* Measurement data measured by REW V5.30.5
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: 08/03/2024 10:30:00 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Chu R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 89.405 -165.4515
20.299999 89.375 -165.9721
20.600000 89.358 -166.3962
20.900000 89.361 -166.8070
21.200001 89.380 -167.3002
21.400000 89.397 -167.7100
21.799999 89.418 -168.7461
22.000000 89.412 -169.3499
22.400000 89.350 -170.5866
22.700001 89.252 -171.3606
23.000000 89.119 -171.8041
23.299999 88.979 -171.7612
23.600000 88.876 -171.1832
24.000000 88.885 -169.8766
24.299999 89.033 -168.9939
24.700001 89.371 -168.7615
25.000000 89.645 -169.5719
25.400000 89.905 -171.7920
25.799999 89.952 -174.6151
26.200001 89.775 -177.0928
26.500000 89.546 -178.2418
26.900000 89.230 -178.5786
27.200001 89.065 -178.1291
27.600000 88.994 -177.2878
28.000000 89.043 -176.8819
28.500000 89.124 -177.3074
29.000000 89.126 -178.2939
29.500000 89.060 -179.2904
30.000000 88.965 179.8953
30.400000 88.882 179.4244
30.700001 88.828 179.2139
31.100000 88.791 179.0920
31.500000 88.825 178.9724
32.000000 88.955 178.3622
32.500000 89.096 176.9918
33.000000 89.167 175.2010
33.500000 89.179 173.4843
34.000000 89.192 171.8636
34.500000 89.193 170.0165
35.000000 89.082 168.0357
35.500000 88.810 166.7481
36.000000 88.491 167.0324
36.500000 88.339 168.6650
37.000000 88.430 170.2384
37.500000 88.607 170.7206
38.200001 88.699 170.2812
38.700001 88.670 170.1577
39.500000 88.648 170.2034
40.000000 88.618 169.8864
40.599998 88.489 169.4048
41.200001 88.307 169.2963
41.799999 88.155 169.4352
42.500000 88.018 169.4412
43.099998 87.913 169.2791
43.700001 87.831 168.9232
44.400002 87.732 168.1638
45.000000 87.614 167.5193
45.500000 87.522 167.2030
46.200001 87.462 166.8826
46.799999 87.447 166.4014
47.500000 87.412 165.7443
48.200001 87.375 165.2631
48.700001 87.363 164.9461
49.400002 87.334 164.4588
50.000000 87.289 164.1484
50.799999 87.238 163.9651
51.500000 87.210 163.7765
52.200001 87.164 163.5336
53.000000 87.100 163.3798
53.799999 87.050 163.2502
54.500000 87.001 163.0728
55.200001 86.945 162.9280
56.000000 86.890 162.7492
57.000000 86.808 162.3444
58.000000 86.693 161.9980
59.000000 86.588 161.7483
60.000000 86.492 161.4164
60.799999 86.412 161.1107
61.500000 86.342 160.8661
62.200001 86.275 160.6683
63.000000 86.210 160.4639
64.000000 86.130 160.1628
65.000000 86.031 159.9062
66.000000 85.929 159.8082
67.000000 85.834 159.6176
68.000000 85.706 159.3664
69.000000 85.578 159.3315
70.000000 85.488 159.2104
71.000000 85.390 158.8990
72.000000 85.267 158.6865
73.000000 85.131 158.7245
74.000000 84.993 159.0554
75.000000 84.862 159.5322
76.199997 84.670 160.1199
77.500000 84.422 161.1716
78.800003 84.214 162.5522
80.000000 84.135 163.8015
81.199997 84.124 164.1458
82.500000 84.053 164.1181
83.800003 83.971 164.2987
85.000000 83.898 164.4977
86.199997 83.795 164.7211
87.500000 83.626 164.9954
88.500000 83.402 165.6399
90.000000 83.105 168.8423
91.199997 83.111 172.4393
92.500000 83.395 176.4942
93.800003 83.989 179.6071
95.000000 84.661 -179.6043
96.199997 85.241 179.2790
97.500000 85.662 176.9024
98.800003 85.868 174.2900
100.000000 85.932 172.1670
101.500000 85.909 169.8575
103.000000 85.790 168.0921
104.400002 85.663 166.9138
106.000000 85.518 165.8429
107.500000 85.401 165.0714
109.000000 85.295 164.3485
110.599998 85.164 163.8389
112.000000 85.061 163.6456
113.800003 84.939 163.4462
115.000000 84.859 163.3217
117.199997 84.722 163.1103
118.000000 84.678 163.0494
120.599998 84.547 162.9208
122.000000 84.477 162.9018
124.099998 84.376 162.9128
125.000000 84.333 162.9067
126.500000 84.263 162.8988
128.000000 84.195 162.8989
131.500000 84.051 162.9675
132.000000 84.031 162.9844
134.000000 83.951 163.0688
136.000000 83.872 163.1743
138.000000 83.797 163.2611
140.000000 83.724 163.3516
143.000000 83.623 163.5176
145.000000 83.559 163.6366
147.500000 83.478 163.8188
150.000000 83.401 164.0126
152.500000 83.325 164.2123
155.000000 83.253 164.4368
157.500000 83.184 164.6521
160.000000 83.114 164.8398
162.500000 83.042 165.0623
165.000000 82.975 165.2921
167.500000 82.907 165.5160
170.000000 82.839 165.7654
172.500000 82.774 166.0260
175.000000 82.707 166.3038
177.500000 82.638 166.6396
180.000000 82.571 167.0775
182.500000 82.519 167.6159
185.000000 82.496 168.1781
187.500000 82.502 168.6180
190.000000 82.513 168.8177
192.500000 82.506 168.8564
195.000000 82.481 168.8690
197.500000 82.442 168.9202
200.000000 82.396 169.0534
203.000000 82.344 169.2617
206.000000 82.293 169.4706
209.000000 82.244 169.7080
212.000000 82.194 169.9708
214.000000 82.161 170.1450
218.000000 82.098 170.4718
220.000000 82.068 170.6581
224.000000 82.016 171.0654
227.000000 81.977 171.3627
230.000000 81.938 171.6392
233.000000 81.899 171.9040
236.000000 81.858 172.1946
240.000000 81.808 172.5892
243.000000 81.774 172.8749
247.000000 81.729 173.2716
250.000000 81.696 173.5652
254.000000 81.658 173.9418
258.000000 81.622 174.3037
262.000000 81.587 174.6680
265.000000 81.562 174.9531
269.000000 81.526 175.3277
272.000000 81.498 175.5994
276.000000 81.460 175.9746
280.000000 81.425 176.3517
285.000000 81.386 176.8193
290.000000 81.349 177.3189
295.000000 81.315 177.7605
300.000000 81.279 178.1779
304.000000 81.251 178.5148
307.000000 81.233 178.7823
311.000000 81.208 179.1641
315.000000 81.183 179.5340
320.000000 81.153 179.9698
325.000000 81.123 -179.5941
330.000000 81.098 -179.1515
335.000000 81.073 -178.7194
340.000000 81.046 -178.2957
345.000000 81.021 -177.8653
350.000000 81.000 -177.4186
355.000000 80.977 -177.0082
360.000000 80.955 -176.6126
365.000000 80.936 -176.1994
370.000000 80.916 -175.7824
375.000000 80.895 -175.3624
382.000000 80.867 -174.8089
387.000000 80.851 -174.3975
395.000000 80.824 -173.7394
400.000000 80.806 -173.3367
406.000000 80.785 -172.8539
412.000000 80.768 -172.3774
418.000000 80.754 -171.8930
425.000000 80.736 -171.3302
431.000000 80.719 -170.8657
437.000000 80.705 -170.4023
444.000000 80.690 -169.8695
450.000000 80.678 -169.4301
455.000000 80.668 -169.0657
462.000000 80.654 -168.5283
468.000000 80.643 -168.0824
475.000000 80.633 -167.5707
482.000000 80.625 -167.0416
487.000000 80.617 -166.6557
494.000000 80.604 -166.1472
500.000000 80.596 -165.7225
508.000000 80.584 -165.1347
515.000000 80.574 -164.6116
522.000000 80.566 -164.0907
530.000000 80.562 -163.5128
538.000000 80.557 -162.9395
545.000000 80.552 -162.4254
552.000000 80.546 -161.9265
560.000000 80.541 -161.3523
570.000000 80.537 -160.6067
580.000000 80.532 -159.8706
590.000000 80.529 -159.1642
600.000000 80.528 -158.4530
608.000000 80.530 -157.8724
615.000000 80.532 -157.3711
622.000000 80.534 -156.8838
630.000000 80.538 -156.3119
640.000000 80.543 -155.5846
650.000000 80.547 -154.8629
660.000000 80.551 -154.1411
670.000000 80.558 -153.4223
680.000000 80.570 -152.7047
690.000000 80.584 -151.9813
700.000000 80.598 -151.2536
710.000000 80.612 -150.5417
720.000000 80.628 -149.8215
730.000000 80.646 -149.0914
740.000000 80.666 -148.3596
750.000000 80.689 -147.6299
762.000000 80.719 -146.7630
775.000000 80.755 -145.8105
788.000000 80.794 -144.8694
800.000000 80.832 -144.0134
812.000000 80.874 -143.1527
825.000000 80.927 -142.2126
838.000000 80.982 -141.2775
850.000000 81.036 -140.4211
862.000000 81.095 -139.5800
875.000000 81.164 -138.6915
885.000000 81.221 -138.0117
900.000000 81.311 -137.0096
912.000000 81.386 -136.2242
925.000000 81.471 -135.4029
938.000000 81.561 -134.6220
950.000000 81.647 -133.9489
962.000000 81.732 -133.3138
975.000000 81.822 -132.6502
988.000000 81.916 -132.0102
1000.000000 82.000 -131.4845
1015.000000 82.085 -130.7539
1030.000000 82.190 -129.8019
1044.000000 82.320 -129.0136
1060.000000 82.473 -128.3238
1075.000000 82.610 -127.7912
1090.000000 82.743 -127.3067
1106.000000 82.881 -126.8376
1120.000000 82.998 -126.4660
1138.000000 83.145 -126.0340
1150.000000 83.241 -125.7705
1172.000000 83.410 -125.3453
1180.000000 83.470 -125.2025
1206.000000 83.659 -124.7765
1220.000000 83.757 -124.5753
1241.000000 83.897 -124.2970
1250.000000 83.954 -124.1828
1265.000000 84.048 -123.9989
1280.000000 84.139 -123.8243
1315.000000 84.343 -123.4501
1320.000000 84.371 -123.3980
1340.000000 84.480 -123.1979
1360.000000 84.586 -123.0048
1380.000000 84.689 -122.8075
1400.000000 84.789 -122.6119
1430.000000 84.935 -122.3219
1450.000000 85.030 -122.1265
1475.000000 85.147 -121.8787
1500.000000 85.263 -121.6398
1525.000000 85.379 -121.3963
1550.000000 85.494 -121.1533
1575.000000 85.608 -120.9115
1600.000000 85.723 -120.6794
1625.000000 85.837 -120.4494
1650.000000 85.951 -120.2301
1675.000000 86.066 -120.0257
1700.000000 86.183 -119.8305
1725.000000 86.300 -119.6467
1750.000000 86.417 -119.4813
1775.000000 86.536 -119.3369
1800.000000 86.655 -119.2140
1825.000000 86.774 -119.1075
1850.000000 86.894 -119.0259
1875.000000 87.012 -118.9679
1900.000000 87.131 -118.9282
1925.000000 87.250 -118.9097
1950.000000 87.368 -118.9167
1975.000000 87.487 -118.9455
2000.000000 87.604 -118.9899
2030.000000 87.743 -119.0749
2060.000000 87.881 -119.1999
2090.000000 88.018 -119.3573
2120.000000 88.153 -119.5350
2140.000000 88.241 -119.6682
2180.000000 88.417 -119.9720
2200.000000 88.504 -120.1415
2240.000000 88.677 -120.5176
2270.000000 88.807 -120.8455
2300.000000 88.935 -121.2274
2330.000000 89.060 -121.6596
2360.000000 89.179 -122.1359
2400.000000 89.330 -122.8303
2430.000000 89.436 -123.3903
2470.000000 89.568 -124.1763
2500.000000 89.660 -124.7920
2540.000000 89.772 -125.6474
2580.000000 89.873 -126.5384
2620.000000 89.964 -127.4565
2650.000000 90.024 -128.1554
2690.000000 90.092 -129.0884
2720.000000 90.135 -129.7854
2760.000000 90.183 -130.6992
2800.000000 90.222 -131.5890
2850.000000 90.265 -132.6602
2900.000000 90.304 -133.7299
2950.000000 90.336 -134.8607
3000.000000 90.349 -136.0580
3040.000000 90.343 -137.0243
3070.000000 90.329 -137.7332
3110.000000 90.298 -138.6400
3150.000000 90.257 -139.4910
3200.000000 90.193 -140.4742
3250.000000 90.119 -141.3715
3300.000000 90.038 -142.1810
3350.000000 89.951 -142.9072
3400.000000 89.860 -143.5578
3450.000000 89.765 -144.1309
3500.000000 89.668 -144.6254
3550.000000 89.569 -145.0543
3600.000000 89.470 -145.4137
3650.000000 89.372 -145.7016
3700.000000 89.275 -145.9156
3750.000000 89.182 -146.0582
3820.000000 89.064 -146.1658
3870.000000 88.990 -146.2059
3950.000000 88.884 -146.2485
4000.000000 88.822 -146.2680
4060.000000 88.750 -146.2703
4120.000000 88.681 -146.2353
4180.000000 88.620 -146.1667
4250.000000 88.559 -146.0640
4310.000000 88.515 -145.9791
4370.000000 88.477 -145.9031
4440.000000 88.438 -145.8307
4500.000000 88.409 -145.7777
4550.000000 88.387 -145.7376
4620.000000 88.363 -145.6788
4680.000000 88.350 -145.6344
4750.000000 88.343 -145.6155
4820.000000 88.346 -145.6513
4870.000000 88.351 -145.7159
4940.000000 88.360 -145.8679
5000.000000 88.368 -146.0516
5080.000000 88.377 -146.3656
5150.000000 88.382 -146.6865
5220.000000 88.384 -147.0387
5300.000000 88.385 -147.4902
5380.000000 88.383 -147.9971
5450.000000 88.377 -148.4917
5520.000000 88.364 -149.0307
