* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.108
* Format: 256k Log Swept Sine, 1 sweep at -22.0 dBFS with no timing reference
* Dated: 28/10/2023 2:33:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Variations L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 100.732 -158.0181
20.299999 100.750 -158.7862
20.600000 100.766 -159.5463
20.900000 100.781 -160.2962
21.200001 100.792 -161.0310
21.400000 100.799 -161.5094
21.799999 100.812 -162.4377
22.000000 100.818 -162.8889
22.400000 100.830 -163.7726
22.700001 100.840 -164.4263
23.000000 100.848 -165.0761
23.299999 100.855 -165.7192
23.600000 100.861 -166.3511
24.000000 100.866 -167.1704
24.299999 100.870 -167.7684
24.700001 100.875 -168.5528
25.000000 100.878 -169.1396
25.400000 100.880 -169.9235
25.799999 100.876 -170.6988
26.200001 100.868 -171.4455
26.500000 100.861 -171.9787
26.900000 100.852 -172.6560
27.200001 100.847 -173.1495
27.600000 100.844 -173.8080
28.000000 100.843 -174.4880
28.500000 100.837 -175.3789
29.000000 100.820 -176.2876
29.500000 100.789 -177.1501
30.000000 100.752 -177.8940
30.400000 100.726 -178.3917
30.700001 100.716 -178.7290
31.100000 100.714 -179.1889
31.500000 100.723 -179.7204
32.000000 100.730 179.4728
32.500000 100.714 178.5782
33.000000 100.671 177.7592
33.500000 100.615 177.1288
34.000000 100.572 176.6642
34.500000 100.551 176.2323
35.000000 100.544 175.7214
35.500000 100.533 175.1177
36.000000 100.512 174.4849
36.500000 100.485 173.8705
37.000000 100.456 173.2680
37.500000 100.425 172.6595
38.200001 100.372 171.8509
38.700001 100.337 171.3511
39.500000 100.309 170.5599
40.000000 100.301 169.9481
40.599998 100.279 169.1083
41.200001 100.236 168.3030
41.799999 100.188 167.6104
42.500000 100.140 166.8828
43.099998 100.102 166.2756
43.700001 100.063 165.6989
44.400002 100.018 165.0720
45.000000 99.982 164.5562
45.500000 99.951 164.1388
46.200001 99.909 163.5714
46.799999 99.876 163.0808
47.500000 99.835 162.4813
48.200001 99.790 161.8570
48.700001 99.754 161.4055
49.400002 99.697 160.7905
50.000000 99.646 160.3032
50.799999 99.582 159.7007
51.500000 99.532 159.1725
52.200001 99.482 158.6330
53.000000 99.424 158.0274
53.799999 99.367 157.4337
54.500000 99.315 156.9178
55.200001 99.260 156.4198
56.000000 99.197 155.8815
57.000000 99.118 155.2305
58.000000 99.038 154.5959
59.000000 98.958 153.9869
60.000000 98.881 153.3947
60.799999 98.821 152.9252
61.500000 98.770 152.5025
62.200001 98.718 152.0685
63.000000 98.653 151.5836
64.000000 98.572 151.0146
65.000000 98.493 150.4585
66.000000 98.410 149.9073
67.000000 98.326 149.3965
68.000000 98.246 148.9125
69.000000 98.168 148.4038
70.000000 98.086 147.9029
71.000000 98.003 147.4331
72.000000 97.920 146.9776
73.000000 97.837 146.5359
74.000000 97.752 146.1088
75.000000 97.667 145.7205
76.199997 97.570 145.2671
77.500000 97.463 144.7463
78.800003 97.352 144.2519
80.000000 97.251 143.8120
81.199997 97.151 143.3800
82.500000 97.042 142.9247
83.800003 96.933 142.4836
85.000000 96.831 142.0960
86.199997 96.730 141.7283
87.500000 96.620 141.3454
88.500000 96.536 141.0629
90.000000 96.411 140.6560
91.199997 96.312 140.3395
92.500000 96.203 140.0135
93.800003 96.094 139.7119
95.000000 95.994 139.4435
96.199997 95.893 139.1790
97.500000 95.785 138.8912
98.800003 95.675 138.6003
100.000000 95.571 138.3677
101.500000 95.447 138.1319
103.000000 95.328 137.8935
104.400002 95.215 137.6772
106.000000 95.084 137.4488
107.500000 94.960 137.2516
109.000000 94.838 137.0660
110.599998 94.709 136.8823
112.000000 94.596 136.7419
113.800003 94.450 136.5899
115.000000 94.353 136.4974
117.199997 94.174 136.3534
118.000000 94.110 136.3089
120.599998 93.909 136.1566
122.000000 93.799 136.0954
124.099998 93.634 136.0554
125.000000 93.564 136.0490
126.500000 93.447 136.0458
128.000000 93.332 136.0507
131.500000 93.067 136.0828
132.000000 93.030 136.0955
134.000000 92.881 136.1665
136.000000 92.734 136.2577
138.000000 92.587 136.3654
140.000000 92.440 136.4871
143.000000 92.223 136.7252
145.000000 92.082 136.9155
147.500000 91.907 137.1715
150.000000 91.733 137.4615
152.500000 91.562 137.7806
155.000000 91.393 138.1346
157.500000 91.228 138.5163
160.000000 91.067 138.9075
162.500000 90.908 139.3295
165.000000 90.751 139.7910
167.500000 90.595 140.2985
170.000000 90.442 140.8373
172.500000 90.292 141.4036
175.000000 90.145 142.0043
177.500000 90.001 142.6602
180.000000 89.862 143.3762
182.500000 89.730 144.1436
185.000000 89.604 144.9732
187.500000 89.490 145.8860
190.000000 89.396 146.8545
192.500000 89.322 147.8115
195.000000 89.270 148.6643
197.500000 89.238 149.3513
200.000000 89.211 149.9314
203.000000 89.173 150.6188
206.000000 89.119 151.2425
209.000000 89.049 151.7918
212.000000 88.972 152.3362
214.000000 88.919 152.7237
218.000000 88.813 153.5558
220.000000 88.761 153.9912
224.000000 88.659 154.8928
227.000000 88.587 155.6005
230.000000 88.521 156.3223
233.000000 88.461 157.0452
236.000000 88.405 157.7693
240.000000 88.337 158.7318
243.000000 88.291 159.4561
247.000000 88.231 160.4184
250.000000 88.192 161.1302
254.000000 88.151 162.0648
258.000000 88.114 162.9912
262.000000 88.081 163.9106
265.000000 88.060 164.5879
269.000000 88.036 165.4700
272.000000 88.021 166.1133
276.000000 88.006 166.9549
280.000000 87.994 167.7806
285.000000 87.984 168.7787
290.000000 87.980 169.7385
295.000000 87.979 170.6649
300.000000 87.982 171.5633
304.000000 87.987 172.2690
307.000000 87.992 172.7873
311.000000 88.001 173.4542
315.000000 88.011 174.0981
320.000000 88.026 174.8781
325.000000 88.044 175.6332
330.000000 88.062 176.3567
335.000000 88.083 177.0413
340.000000 88.104 177.7068
345.000000 88.125 178.3564
350.000000 88.147 178.9816
355.000000 88.171 179.5777
360.000000 88.196 -179.8471
365.000000 88.221 -179.2856
370.000000 88.246 -178.7405
375.000000 88.270 -178.2114
382.000000 88.306 -177.4999
387.000000 88.331 -177.0157
395.000000 88.372 -176.2684
400.000000 88.398 -175.8170
406.000000 88.426 -175.3016
412.000000 88.454 -174.8002
418.000000 88.483 -174.3074
425.000000 88.516 -173.7467
431.000000 88.544 -173.2816
437.000000 88.571 -172.8312
444.000000 88.602 -172.3234
450.000000 88.629 -171.8991
455.000000 88.651 -171.5552
462.000000 88.681 -171.0889
468.000000 88.705 -170.6960
475.000000 88.732 -170.2434
482.000000 88.759 -169.8035
487.000000 88.778 -169.4985
494.000000 88.806 -169.0770
500.000000 88.828 -168.7149
508.000000 88.856 -168.2312
515.000000 88.880 -167.8204
522.000000 88.903 -167.4228
530.000000 88.930 -166.9733
538.000000 88.956 -166.5285
545.000000 88.979 -166.1465
552.000000 89.000 -165.7693
560.000000 89.023 -165.3421
570.000000 89.053 -164.8106
580.000000 89.081 -164.2843
590.000000 89.108 -163.7634
600.000000 89.134 -163.2421
608.000000 89.155 -162.8206
615.000000 89.173 -162.4548
622.000000 89.191 -162.0901
630.000000 89.211 -161.6716
640.000000 89.235 -161.1475
650.000000 89.259 -160.6266
660.000000 89.285 -160.1014
670.000000 89.310 -159.5687
680.000000 89.334 -159.0338
690.000000 89.359 -158.4936
700.000000 89.386 -157.9483
710.000000 89.412 -157.3952
720.000000 89.440 -156.8366
730.000000 89.470 -156.2716
740.000000 89.502 -155.7059
750.000000 89.534 -155.1450
762.000000 89.573 -154.4684
775.000000 89.618 -153.7265
788.000000 89.666 -152.9763
800.000000 89.712 -152.2826
812.000000 89.763 -151.5926
825.000000 89.821 -150.8385
838.000000 89.881 -150.0785
850.000000 89.941 -149.3807
862.000000 90.004 -148.6913
875.000000 90.076 -147.9494
885.000000 90.136 -147.3829
900.000000 90.230 -146.5474
912.000000 90.310 -145.8907
925.000000 90.399 -145.1940
938.000000 90.494 -144.5198
950.000000 90.585 -143.9195
962.000000 90.680 -143.3411
975.000000 90.786 -142.7401
988.000000 90.895 -142.1691
1000.000000 90.998 -141.6727
1015.000000 91.129 -141.0978
1030.000000 91.264 -140.5719
1044.000000 91.390 -140.1248
1060.000000 91.536 -139.6670
1075.000000 91.673 -139.2928
1090.000000 91.810 -138.9702
1106.000000 91.953 -138.6773
1120.000000 92.077 -138.4613
1138.000000 92.232 -138.2369
1150.000000 92.332 -138.1176
1172.000000 92.510 -137.9551
1180.000000 92.572 -137.9111
1206.000000 92.767 -137.8174
1220.000000 92.867 -137.7948
1241.000000 93.009 -137.7834
1250.000000 93.067 -137.7864
1265.000000 93.161 -137.7997
1280.000000 93.251 -137.8185
1315.000000 93.447 -137.8772
1320.000000 93.473 -137.8862
1340.000000 93.575 -137.9211
1360.000000 93.672 -137.9538
1380.000000 93.765 -137.9814
1400.000000 93.853 -137.9982
1430.000000 93.979 -138.0004
1450.000000 94.059 -137.9905
1475.000000 94.157 -137.9620
1500.000000 94.251 -137.9153
1525.000000 94.343 -137.8539
1550.000000 94.435 -137.7777
1575.000000 94.525 -137.6821
1600.000000 94.614 -137.5729
1625.000000 94.704 -137.4560
1650.000000 94.794 -137.3274
1675.000000 94.884 -137.1873
1700.000000 94.974 -137.0407
1725.000000 95.065 -136.8875
1750.000000 95.157 -136.7273
1775.000000 95.250 -136.5611
1800.000000 95.344 -136.3859
1825.000000 95.440 -136.1969
1850.000000 95.539 -135.9921
1875.000000 95.642 -135.7728
1900.000000 95.753 -135.5496
1925.000000 95.873 -135.3507
1950.000000 95.999 -135.2062
1975.000000 96.127 -135.1273
2000.000000 96.252 -135.1007
2030.000000 96.397 -135.1040
2060.000000 96.539 -135.1232
2090.000000 96.680 -135.1500
2120.000000 96.821 -135.1862
2140.000000 96.915 -135.2194
2180.000000 97.106 -135.3160
2200.000000 97.203 -135.3811
2240.000000 97.398 -135.5481
2270.000000 97.546 -135.7083
2300.000000 97.694 -135.9030
2330.000000 97.843 -136.1335
2360.000000 97.992 -136.4006
2400.000000 98.191 -136.8167
2430.000000 98.340 -137.1769
2470.000000 98.538 -137.7298
2500.000000 98.684 -138.2028
2540.000000 98.875 -138.9105
2580.000000 99.060 -139.7003
2620.000000 99.238 -140.5684
2650.000000 99.366 -141.2695
2690.000000 99.529 -142.2698
2720.000000 99.645 -143.0668
2760.000000 99.791 -144.1890
2800.000000 99.925 -145.3777
2850.000000 100.076 -146.9480
2900.000000 100.205 -148.6024
2950.000000 100.312 -150.3308
3000.000000 100.396 -152.1253
3040.000000 100.445 -153.5994
3070.000000 100.471 -154.7226
3110.000000 100.491 -156.2410
3150.000000 100.492 -157.7823
3200.000000 100.465 -159.7320
3250.000000 100.402 -161.6787
3300.000000 100.299 -163.5682
3350.000000 100.157 -165.3253
3400.000000 99.982 -166.8782
3450.000000 99.784 -168.1844
3500.000000 99.574 -169.2355
3550.000000 99.362 -170.0432
3600.000000 99.157 -170.6330
3650.000000 98.965 -171.0436
3700.000000 98.791 -171.3221
3750.000000 98.637 -171.5198
3820.000000 98.456 -171.7821
3870.000000 98.344 -172.0489
3950.000000 98.159 -172.6721
4000.000000 98.025 -173.1165
4060.000000 97.841 -173.5907
4120.000000 97.639 -173.9190
4180.000000 97.429 -174.0643
4250.000000 97.190 -174.0133
4310.000000 96.999 -173.8290
4370.000000 96.823 -173.5725
4440.000000 96.633 -173.2327
4500.000000 96.478 -172.9200
4550.000000 96.353 -172.6395
4620.000000 96.186 -172.2084
4680.000000 96.051 -171.8093
4750.000000 95.904 -171.3290
4820.000000 95.767 -170.8545
4870.000000 95.674 -170.5298
4940.000000 95.549 -170.1011
5000.000000 95.442 -169.7540
5080.000000 95.299 -169.3055
5150.000000 95.173 -168.9133
5220.000000 95.044 -168.5074
5300.000000 94.894 -168.0111
5380.000000 94.743 -167.4612
5450.000000 94.612 -166.9232
5520.000000 94.485 -166.3282
