* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.099
* Format: 256k Log Swept Sine, 1 sweep at -22.0 dBFS with no timing reference
* Dated: 28/10/2023 2:45:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Variations R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 99.939 19.8702
20.299999 99.938 19.1050
20.600000 99.935 18.3949
20.900000 99.935 17.7363
21.200001 99.939 17.1110
21.400000 99.944 16.6981
21.799999 99.960 15.8628
22.000000 99.968 15.4346
22.400000 99.983 14.5604
22.700001 99.992 13.9039
23.000000 99.998 13.2597
23.299999 100.004 12.6278
23.600000 100.011 11.9996
24.000000 100.019 11.1509
24.299999 100.021 10.5017
24.700001 100.016 9.6392
25.000000 100.005 9.0256
25.400000 99.984 8.2924
25.799999 99.966 7.6670
26.200001 99.961 7.1047
26.500000 99.966 6.6759
26.900000 99.980 6.0447
27.200001 99.988 5.5166
27.600000 99.988 4.7655
28.000000 99.975 4.0215
28.500000 99.944 3.1753
29.000000 99.912 2.4162
29.500000 99.882 1.6721
30.000000 99.846 0.9071
30.400000 99.806 0.3184
30.700001 99.772 -0.0788
31.100000 99.728 -0.5336
31.500000 99.694 -0.9326
32.000000 99.671 -1.4540
32.500000 99.657 -2.0954
33.000000 99.633 -2.8389
33.500000 99.594 -3.5761
34.000000 99.552 -4.2259
34.500000 99.520 -4.8146
35.000000 99.501 -5.4224
35.500000 99.486 -6.0940
36.000000 99.462 -6.7941
36.500000 99.429 -7.4475
37.000000 99.395 -7.9911
37.500000 99.370 -8.4233
38.200001 99.372 -9.0011
38.700001 99.390 -9.5549
39.500000 99.389 -10.7504
40.000000 99.349 -11.4966
40.599998 99.277 -12.1812
41.200001 99.213 -12.6562
41.799999 99.167 -13.0871
42.500000 99.121 -13.6463
43.099998 99.080 -14.1491
43.700001 99.038 -14.6687
44.400002 98.985 -15.2985
45.000000 98.933 -15.8124
45.500000 98.892 -16.2056
46.200001 98.840 -16.7506
46.799999 98.796 -17.2382
47.500000 98.739 -17.7692
48.200001 98.691 -18.2444
48.700001 98.663 -18.6112
49.400002 98.622 -19.2188
50.000000 98.570 -19.7552
50.799999 98.487 -20.3379
51.500000 98.425 -20.7427
52.200001 98.374 -21.1610
53.000000 98.316 -21.6873
53.799999 98.254 -22.2027
54.500000 98.202 -22.6272
55.200001 98.154 -23.0563
56.000000 98.098 -23.5764
57.000000 98.018 -24.2122
58.000000 97.938 -24.7846
59.000000 97.860 -25.3639
60.000000 97.779 -25.9528
60.799999 97.710 -26.4154
61.500000 97.649 -26.8105
62.200001 97.585 -27.1845
63.000000 97.514 -27.5815
64.000000 97.429 -28.0523
65.000000 97.347 -28.5211
66.000000 97.265 -28.9884
67.000000 97.180 -29.4329
68.000000 97.095 -29.8507
69.000000 97.012 -30.2584
70.000000 96.929 -30.6679
71.000000 96.844 -31.0726
72.000000 96.756 -31.4488
73.000000 96.669 -31.7909
74.000000 96.586 -32.1319
75.000000 96.502 -32.4824
76.199997 96.398 -32.8996
77.500000 96.284 -33.3305
78.800003 96.173 -33.7213
80.000000 96.074 -34.0736
81.199997 95.976 -34.4134
82.500000 95.870 -34.7522
83.800003 95.763 -35.0758
85.000000 95.660 -35.3606
86.199997 95.556 -35.6325
87.500000 95.442 -35.9256
88.500000 95.353 -36.1381
90.000000 95.225 -36.4343
91.199997 95.125 -36.6612
92.500000 95.018 -36.8832
93.800003 94.911 -37.0778
95.000000 94.814 -37.2505
96.199997 94.715 -37.4129
97.500000 94.609 -37.5646
98.800003 94.506 -37.7119
100.000000 94.410 -37.8610
101.500000 94.286 -38.0274
103.000000 94.163 -38.1527
104.400002 94.049 -38.2638
106.000000 93.918 -38.3838
107.500000 93.796 -38.4732
109.000000 93.676 -38.5301
110.599998 93.553 -38.5645
112.000000 93.446 -38.5873
113.800003 93.307 -38.6055
115.000000 93.213 -38.6058
117.199997 93.039 -38.5637
118.000000 92.978 -38.5395
120.599998 92.784 -38.4740
122.000000 92.680 -38.4220
124.099998 92.526 -38.3052
125.000000 92.462 -38.2470
126.500000 92.354 -38.1453
128.000000 92.247 -38.0300
131.500000 91.999 -37.7044
132.000000 91.965 -37.6523
134.000000 91.826 -37.4264
136.000000 91.689 -37.1743
138.000000 91.554 -36.8994
140.000000 91.420 -36.6123
143.000000 91.220 -36.1530
145.000000 91.089 -35.8248
147.500000 90.926 -35.3734
150.000000 90.766 -34.8689
152.500000 90.606 -34.3248
155.000000 90.442 -33.7250
157.500000 90.281 -33.0114
160.000000 90.127 -32.1802
162.500000 89.985 -31.1735
165.000000 89.875 -29.9868
167.500000 89.821 -28.7678
170.000000 89.818 -27.7618
172.500000 89.833 -27.1339
175.000000 89.829 -26.8386
177.500000 89.790 -26.6694
180.000000 89.723 -26.4526
182.500000 89.640 -26.1355
185.000000 89.552 -25.7410
187.500000 89.465 -25.2918
190.000000 89.382 -24.8030
192.500000 89.303 -24.2857
195.000000 89.231 -23.7410
197.500000 89.164 -23.1687
200.000000 89.097 -22.5794
203.000000 89.016 -21.8451
206.000000 88.941 -21.1095
209.000000 88.876 -20.3842
212.000000 88.818 -19.6510
214.000000 88.783 -19.1688
218.000000 88.716 -18.1997
220.000000 88.686 -17.7241
224.000000 88.629 -16.7641
227.000000 88.594 -16.0703
230.000000 88.558 -15.3694
233.000000 88.532 -14.6843
236.000000 88.504 -14.0164
240.000000 88.475 -13.1246
243.000000 88.455 -12.4932
247.000000 88.433 -11.6417
250.000000 88.421 -11.0320
254.000000 88.402 -10.2313
258.000000 88.392 -9.4460
262.000000 88.384 -8.6799
265.000000 88.380 -8.1174
269.000000 88.378 -7.3842
272.000000 88.381 -6.8566
276.000000 88.384 -6.1881
280.000000 88.384 -5.5271
285.000000 88.388 -4.6726
290.000000 88.410 -3.8838
295.000000 88.426 -3.2753
300.000000 88.417 -2.6231
304.000000 88.417 -2.0162
307.000000 88.427 -1.5603
311.000000 88.449 -0.9892
315.000000 88.473 -0.4731
320.000000 88.501 0.1414
325.000000 88.528 0.7652
330.000000 88.553 1.4024
335.000000 88.569 2.0087
340.000000 88.583 2.5060
345.000000 88.608 2.9610
350.000000 88.636 3.4609
355.000000 88.655 3.9695
360.000000 88.673 4.4730
365.000000 88.695 4.9282
370.000000 88.716 5.3728
375.000000 88.733 5.8452
382.000000 88.757 6.4686
387.000000 88.780 6.8826
395.000000 88.811 7.6272
400.000000 88.833 8.0852
406.000000 88.868 8.6153
412.000000 88.909 9.0975
418.000000 88.949 9.5335
425.000000 88.994 9.9693
431.000000 89.026 10.3193
437.000000 89.052 10.6662
444.000000 89.078 11.0586
450.000000 89.101 11.3961
455.000000 89.122 11.7018
462.000000 89.146 12.1171
468.000000 89.159 12.4113
475.000000 89.178 12.7354
482.000000 89.202 13.1160
487.000000 89.220 13.4166
494.000000 89.244 13.8151
500.000000 89.260 14.1414
508.000000 89.277 14.5600
515.000000 89.296 14.8853
522.000000 89.317 15.2065
530.000000 89.336 15.6330
538.000000 89.353 16.0554
545.000000 89.367 16.3851
552.000000 89.382 16.7588
560.000000 89.402 17.2012
570.000000 89.426 17.7219
580.000000 89.449 18.2467
590.000000 89.468 18.7508
600.000000 89.490 19.2523
608.000000 89.507 19.6629
615.000000 89.521 20.0229
622.000000 89.535 20.3814
630.000000 89.553 20.7934
640.000000 89.572 21.3280
650.000000 89.585 21.8453
660.000000 89.605 22.3513
670.000000 89.629 22.8861
680.000000 89.653 23.4279
690.000000 89.674 23.9795
700.000000 89.698 24.5294
710.000000 89.718 25.0538
720.000000 89.741 25.6062
730.000000 89.765 26.1958
740.000000 89.788 26.7626
750.000000 89.814 27.3301
762.000000 89.850 28.0269
775.000000 89.890 28.7879
788.000000 89.932 29.5429
800.000000 89.975 30.2493
812.000000 90.021 30.9551
825.000000 90.074 31.7172
838.000000 90.131 32.4931
850.000000 90.186 33.2153
862.000000 90.245 33.9312
875.000000 90.313 34.6981
885.000000 90.369 35.2838
900.000000 90.458 36.1518
912.000000 90.533 36.8322
925.000000 90.620 37.5516
938.000000 90.711 38.2497
950.000000 90.798 38.8745
962.000000 90.889 39.4769
975.000000 90.991 40.1069
988.000000 91.096 40.7109
1000.000000 91.195 41.2372
1015.000000 91.322 41.8517
1030.000000 91.451 42.4257
1044.000000 91.575 42.9259
1060.000000 91.719 43.4388
1075.000000 91.856 43.8555
1090.000000 91.990 44.2225
1106.000000 92.131 44.5609
1120.000000 92.252 44.8136
1138.000000 92.404 45.0863
1150.000000 92.503 45.2385
1172.000000 92.679 45.4641
1180.000000 92.741 45.5294
1206.000000 92.934 45.6940
1220.000000 93.032 45.7575
1241.000000 93.173 45.8243
1250.000000 93.231 45.8456
1265.000000 93.324 45.8752
1280.000000 93.413 45.8992
1315.000000 93.607 45.9334
1320.000000 93.634 45.9377
1340.000000 93.736 45.9586
1360.000000 93.832 45.9858
1380.000000 93.924 46.0161
1400.000000 94.013 46.0525
1430.000000 94.139 46.1270
1450.000000 94.220 46.1895
1475.000000 94.319 46.2865
1500.000000 94.415 46.4008
1525.000000 94.510 46.5250
1550.000000 94.603 46.6645
1575.000000 94.696 46.8214
1600.000000 94.788 46.9872
1625.000000 94.880 47.1613
1650.000000 94.974 47.3468
1675.000000 95.067 47.5390
1700.000000 95.162 47.7341
1725.000000 95.257 47.9369
1750.000000 95.355 48.1462
1775.000000 95.454 48.3582
1800.000000 95.555 48.5752
1825.000000 95.661 48.7905
1850.000000 95.770 48.9901
1875.000000 95.881 49.1663
1900.000000 95.993 49.3228
1925.000000 96.106 49.4655
1950.000000 96.219 49.5973
1975.000000 96.333 49.7194
2000.000000 96.449 49.8309
2030.000000 96.590 49.9471
2060.000000 96.734 50.0417
2090.000000 96.880 50.1134
2120.000000 97.029 50.1566
2140.000000 97.129 50.1677
2180.000000 97.332 50.1479
2200.000000 97.435 50.1164
2240.000000 97.643 50.0061
2270.000000 97.801 49.8781
2300.000000 97.959 49.7075
2330.000000 98.118 49.4937
2360.000000 98.278 49.2357
2400.000000 98.491 48.8188
2430.000000 98.649 48.4498
2470.000000 98.859 47.8810
2500.000000 99.014 47.3958
2540.000000 99.217 46.6712
2580.000000 99.415 45.8575
2620.000000 99.606 44.9550
2650.000000 99.744 44.2207
2690.000000 99.920 43.1661
2720.000000 100.045 42.3199
2760.000000 100.202 41.1241
2800.000000 100.347 39.8594
2850.000000 100.509 38.1923
2900.000000 100.649 36.4428
2950.000000 100.769 34.6290
3000.000000 100.871 32.7465
3040.000000 100.939 31.1688
3070.000000 100.980 29.9311
3110.000000 101.018 28.2059
3150.000000 101.029 26.4101
3200.000000 101.000 24.1183
3250.000000 100.919 21.8583
3300.000000 100.787 19.7309
3350.000000 100.612 17.8291
3400.000000 100.407 16.2150
3450.000000 100.188 14.9010
3500.000000 99.966 13.8591
3550.000000 99.749 13.0477
3600.000000 99.544 12.4225
3650.000000 99.353 11.9368
3700.000000 99.174 11.5485
3750.000000 99.007 11.2272
3820.000000 98.787 10.8609
3870.000000 98.638 10.6548
3950.000000 98.410 10.4092
4000.000000 98.272 10.3001
4060.000000 98.109 10.2145
4120.000000 97.946 10.1980
4180.000000 97.785 10.2863
4250.000000 97.606 10.5559
4310.000000 97.471 10.9136
4370.000000 97.359 11.3297
4440.000000 97.257 11.8055
4500.000000 97.188 12.1621
4550.000000 97.139 12.4121
4620.000000 97.078 12.6862
4680.000000 97.030 12.8546
4750.000000 96.975 12.9808
4820.000000 96.920 13.0338
4870.000000 96.877 13.0296
4940.000000 96.808 12.9793
5000.000000 96.740 12.9189
5080.000000 96.635 12.8664
5150.000000 96.534 12.8810
5220.000000 96.429 12.9501
5300.000000 96.309 13.0759
5380.000000 96.188 13.2236
5450.000000 96.076 13.3642
5520.000000 95.956 13.5268
5600.000000 95.807 13.7740
5700.000000 95.607 14.2408
5800.000000 95.399 14.9375
5900.000000 95.195 15.8678
