* Measurement data measured by REW V5.30.5
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -31.0 dBFS with no timing reference
* Dated: 26/02/2024 10:42:44 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Singularity L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 95.656 -155.9213
20.299999 95.676 -156.7966
20.600000 95.694 -157.6617
20.900000 95.710 -158.5112
21.200001 95.724 -159.3417
21.400000 95.732 -159.8850
21.799999 95.748 -160.9513
22.000000 95.756 -161.4771
22.400000 95.770 -162.5197
22.700001 95.778 -163.2943
23.000000 95.784 -164.0603
23.299999 95.788 -164.8140
23.600000 95.790 -165.5523
24.000000 95.790 -166.5107
24.299999 95.789 -167.2119
24.700001 95.787 -168.1297
25.000000 95.785 -168.8093
25.400000 95.779 -169.7047
25.799999 95.770 -170.5813
26.200001 95.759 -171.4282
26.500000 95.750 -172.0408
26.900000 95.739 -172.8347
27.200001 95.733 -173.4237
27.600000 95.725 -174.2154
28.000000 95.715 -175.0184
28.500000 95.695 -176.0137
29.000000 95.668 -176.9615
29.500000 95.642 -177.8632
30.000000 95.616 -178.7590
30.400000 95.591 -179.4786
30.700001 95.566 179.9991
31.100000 95.528 179.3605
31.500000 95.491 178.8085
32.000000 95.460 178.1933
32.500000 95.448 177.5380
33.000000 95.438 176.7611
33.500000 95.411 175.9172
34.000000 95.369 175.1232
34.500000 95.325 174.4214
35.000000 95.292 173.7442
35.500000 95.262 173.0150
36.000000 95.224 172.2457
36.500000 95.174 171.5111
37.000000 95.122 170.8521
37.500000 95.076 170.2379
38.200001 95.019 169.3677
38.700001 94.976 168.7407
39.500000 94.903 167.7931
40.000000 94.859 167.2321
40.599998 94.807 166.5677
41.200001 94.753 165.9169
41.799999 94.698 165.2900
42.500000 94.631 164.5910
43.099998 94.573 164.0299
43.700001 94.519 163.5023
44.400002 94.462 162.8721
45.000000 94.413 162.2834
45.500000 94.365 161.7827
46.200001 94.291 161.1288
46.799999 94.229 160.6198
47.500000 94.162 160.0521
48.200001 94.100 159.4857
48.700001 94.057 159.0646
49.400002 93.993 158.4472
50.000000 93.928 157.9523
50.799999 93.844 157.4334
51.500000 93.787 157.0221
52.200001 93.735 156.5367
53.000000 93.661 155.9682
53.799999 93.583 155.4789
54.500000 93.516 155.0706
55.200001 93.446 154.6664
56.000000 93.365 154.2309
57.000000 93.267 153.6966
58.000000 93.175 153.1531
59.000000 93.089 152.5323
60.000000 92.993 151.9124
60.799999 92.922 151.5148
61.500000 92.870 151.1716
62.200001 92.817 150.8249
63.000000 92.752 150.5176
64.000000 92.678 150.1943
65.000000 92.583 149.9703
66.000000 92.515 150.0671
67.000000 92.503 149.7657
68.000000 92.421 148.9781
69.000000 92.285 148.4456
70.000000 92.166 148.0030
71.000000 92.046 147.5254
72.000000 91.935 147.1519
73.000000 91.846 146.8201
74.000000 91.772 146.4610
75.000000 91.695 146.0835
76.199997 91.595 145.7335
77.500000 91.491 145.4230
78.800003 91.382 145.0778
80.000000 91.276 144.7692
81.199997 91.170 144.4760
82.500000 91.063 144.1699
83.800003 90.962 143.8759
85.000000 90.873 143.6135
86.199997 90.784 143.3424
87.500000 90.680 143.0855
88.500000 90.601 142.9339
90.000000 90.488 142.7111
91.199997 90.396 142.5263
92.500000 90.297 142.3365
93.800003 90.198 142.1548
95.000000 90.107 141.9934
96.199997 90.017 141.8424
97.500000 89.920 141.6938
98.800003 89.825 141.5693
100.000000 89.741 141.4654
101.500000 89.632 141.3043
103.000000 89.514 141.1872
104.400002 89.403 141.1164
106.000000 89.278 141.0631
107.500000 89.164 141.0152
109.000000 89.048 140.9625
110.599998 88.917 140.9595
112.000000 88.800 141.0338
113.800003 88.653 141.2148
115.000000 88.554 141.3762
117.199997 88.377 141.8754
118.000000 88.317 142.1183
120.599998 88.152 143.2252
122.000000 88.105 144.0260
124.099998 88.120 145.2090
125.000000 88.157 145.5920
126.500000 88.243 145.9282
128.000000 88.335 145.8269
131.500000 88.430 144.4783
132.000000 88.427 144.2470
134.000000 88.378 143.3817
136.000000 88.290 142.7355
138.000000 88.185 142.2498
140.000000 88.074 141.8848
143.000000 87.911 141.4878
145.000000 87.806 141.3199
147.500000 87.671 141.1437
150.000000 87.535 141.0252
152.500000 87.411 140.9497
155.000000 87.292 140.9182
157.500000 87.174 140.9315
160.000000 87.056 140.9512
162.500000 86.942 140.9727
165.000000 86.832 141.0126
167.500000 86.722 141.0753
170.000000 86.613 141.1353
172.500000 86.504 141.2026
175.000000 86.401 141.2916
177.500000 86.302 141.3975
180.000000 86.204 141.5172
182.500000 86.108 141.6487
185.000000 86.011 141.7858
187.500000 85.914 141.9274
190.000000 85.820 142.0818
192.500000 85.729 142.2481
195.000000 85.638 142.4243
197.500000 85.547 142.6136
200.000000 85.458 142.8087
203.000000 85.353 143.0518
206.000000 85.245 143.3216
209.000000 85.138 143.6495
212.000000 85.039 144.0056
214.000000 84.978 144.2302
218.000000 84.859 144.7522
220.000000 84.804 145.0603
224.000000 84.713 145.6848
227.000000 84.663 146.1244
230.000000 84.626 146.4816
233.000000 84.593 146.7315
236.000000 84.554 146.8860
240.000000 84.485 146.9987
243.000000 84.420 147.0706
247.000000 84.322 147.2309
250.000000 84.247 147.4053
254.000000 84.145 147.7151
258.000000 84.051 148.1092
262.000000 83.971 148.5408
265.000000 83.921 148.8795
269.000000 83.868 149.2604
272.000000 83.831 149.4386
276.000000 83.773 149.6061
280.000000 83.702 149.7700
285.000000 83.601 150.0040
290.000000 83.497 150.2992
295.000000 83.395 150.6400
300.000000 83.296 151.0109
304.000000 83.219 151.3228
307.000000 83.163 151.5721
311.000000 83.092 151.9279
315.000000 83.021 152.2804
320.000000 82.931 152.7052
325.000000 82.845 153.1445
330.000000 82.763 153.5895
335.000000 82.682 154.0324
340.000000 82.606 154.4746
345.000000 82.533 154.9253
350.000000 82.462 155.3884
355.000000 82.392 155.8439
360.000000 82.324 156.3047
365.000000 82.258 156.7712
370.000000 82.194 157.2315
375.000000 82.131 157.6888
382.000000 82.044 158.3474
387.000000 81.984 158.8224
395.000000 81.894 159.5587
400.000000 81.842 160.0182
406.000000 81.782 160.5754
412.000000 81.719 161.1350
418.000000 81.661 161.7025
425.000000 81.598 162.3678
431.000000 81.542 162.9248
437.000000 81.490 163.4209
444.000000 81.430 164.0352
450.000000 81.379 164.5814
455.000000 81.337 165.0223
462.000000 81.280 165.6464
468.000000 81.234 166.1766
475.000000 81.182 166.8021
482.000000 81.130 167.4326
487.000000 81.093 167.8892
494.000000 81.044 168.5271
500.000000 81.003 169.0650
508.000000 80.946 169.7976
515.000000 80.900 170.4617
522.000000 80.860 171.1223
530.000000 80.819 171.8074
538.000000 80.782 172.5020
545.000000 80.748 173.1352
552.000000 80.713 173.7667
560.000000 80.677 174.4764
570.000000 80.636 175.3741
580.000000 80.596 176.2676
590.000000 80.558 177.1591
600.000000 80.525 178.0416
608.000000 80.500 178.7501
615.000000 80.479 179.3776
622.000000 80.460 -179.9951
630.000000 80.440 -179.2802
640.000000 80.416 -178.3944
650.000000 80.394 -177.5082
660.000000 80.374 -176.6172
670.000000 80.360 -175.7220
680.000000 80.347 -174.8313
690.000000 80.336 -173.9470
700.000000 80.328 -173.0529
710.000000 80.325 -172.1582
720.000000 80.324 -171.2661
730.000000 80.325 -170.3681
740.000000 80.330 -169.4725
750.000000 80.337 -168.5817
762.000000 80.350 -167.5125
775.000000 80.370 -166.3440
788.000000 80.395 -165.1832
800.000000 80.424 -164.1210
812.000000 80.458 -163.0541
825.000000 80.502 -161.9016
838.000000 80.551 -160.7608
850.000000 80.603 -159.7237
862.000000 80.660 -158.7072
875.000000 80.727 -157.6143
885.000000 80.784 -156.7895
900.000000 80.877 -155.5812
912.000000 80.956 -154.6338
925.000000 81.048 -153.6398
938.000000 81.146 -152.6812
950.000000 81.241 -151.8264
962.000000 81.341 -151.0056
975.000000 81.455 -150.1616
988.000000 81.572 -149.3663
1000.000000 81.683 -148.6706
1015.000000 81.824 -147.8606
1030.000000 81.969 -147.1182
1044.000000 82.106 -146.4819
1060.000000 82.262 -145.8219
1075.000000 82.409 -145.2726
1090.000000 82.555 -144.7837
1106.000000 82.708 -144.3283
1120.000000 82.839 -143.9801
1138.000000 83.002 -143.5906
1150.000000 83.108 -143.3619
1172.000000 83.295 -143.0082
1180.000000 83.361 -142.8984
1206.000000 83.566 -142.5901
1220.000000 83.671 -142.4547
1241.000000 83.821 -142.2724
1250.000000 83.883 -142.2025
1265.000000 83.983 -142.0959
1280.000000 84.079 -141.9999
1315.000000 84.291 -141.7951
1320.000000 84.320 -141.7673
1340.000000 84.434 -141.6588
1360.000000 84.544 -141.5499
1380.000000 84.649 -141.4376
1400.000000 84.752 -141.3231
1430.000000 84.902 -141.1525
1450.000000 85.001 -141.0332
1475.000000 85.122 -140.8903
1500.000000 85.241 -140.7479
1525.000000 85.361 -140.6015
1550.000000 85.480 -140.4601
1575.000000 85.598 -140.3278
1600.000000 85.717 -140.2012
1625.000000 85.836 -140.0782
1650.000000 85.956 -139.9692
1675.000000 86.076 -139.8810
1700.000000 86.197 -139.8083
1725.000000 86.319 -139.7463
1750.000000 86.441 -139.7059
1775.000000 86.564 -139.6862
1800.000000 86.686 -139.6851
1825.000000 86.809 -139.7039
1850.000000 86.933 -139.7454
1875.000000 87.057 -139.8087
1900.000000 87.181 -139.8962
1925.000000 87.306 -140.0161
1950.000000 87.430 -140.1727
1975.000000 87.554 -140.3620
2000.000000 87.676 -140.5847
2030.000000 87.820 -140.8933
2060.000000 87.962 -141.2479
2090.000000 88.100 -141.6414
2120.000000 88.234 -142.0685
2140.000000 88.323 -142.3754
2180.000000 88.494 -143.0523
2200.000000 88.577 -143.4214
2240.000000 88.737 -144.2221
2270.000000 88.849 -144.8760
2300.000000 88.954 -145.5678
2330.000000 89.052 -146.2907
2360.000000 89.142 -147.0403
2400.000000 89.250 -148.0805
2430.000000 89.322 -148.8822
2470.000000 89.404 -149.9719
2500.000000 89.456 -150.8024
2540.000000 89.514 -151.9211
2580.000000 89.556 -153.0431
2620.000000 89.585 -154.1544
2650.000000 89.598 -154.9781
2690.000000 89.603 -156.0587
2720.000000 89.598 -156.8499
2760.000000 89.582 -157.8732
2800.000000 89.555 -158.8579
2850.000000 89.507 -160.0288
2900.000000 89.445 -161.1247
2950.000000 89.372 -162.1404
3000.000000 89.289 -163.0714
3040.000000 89.217 -163.7561
3070.000000 89.160 -164.2342
3110.000000 89.082 -164.8247
3150.000000 89.000 -165.3631
3200.000000 88.896 -165.9657
3250.000000 88.790 -166.4959
3300.000000 88.682 -166.9546
3350.000000 88.574 -167.3448
3400.000000 88.466 -167.6644
3450.000000 88.360 -167.9102
3500.000000 88.258 -168.0823
3550.000000 88.164 -168.1942
3600.000000 88.079 -168.2640
3650.000000 88.005 -168.3202
3700.000000 87.940 -168.3935
3750.000000 87.882 -168.5020
3820.000000 87.803 -168.7234
3870.000000 87.745 -168.9256
3950.000000 87.641 -169.2943
4000.000000 87.568 -169.5302
4060.000000 87.469 -169.7738
4120.000000 87.360 -169.8896
4180.000000 87.263 -169.8045
4250.000000 87.205 -169.6009
4310.000000 87.201 -169.7450
4370.000000 87.178 -170.2805
4440.000000 87.098 -171.0238
4500.000000 87.000 -171.6031
4550.000000 86.908 -172.0412
4620.000000 86.767 -172.6021
4680.000000 86.635 -173.0330
4750.000000 86.470 -173.4697
4820.000000 86.296 -173.8368
4870.000000 86.168 -174.0596
4940.000000 85.984 -174.3234
5000.000000 85.822 -174.5072
5080.000000 85.598 -174.6874
5150.000000 85.394 -174.7790
5220.000000 85.181 -174.7981
5300.000000 84.927 -174.7034
5380.000000 84.667 -174.4504
5450.000000 84.438 -174.0888
5520.000000 84.213 -173.5881
5600.000000 83.967 -172.8530
5700.000000 83.681 -171.7412
5800.000000 83.425 -170.4868
