* Measurement data measured by REW V5.30.5
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -31.0 dBFS with no timing reference
* Dated: 26/02/2024 10:41:39 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Singularity R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 96.286 -157.8831
20.299999 96.302 -158.7433
20.600000 96.318 -159.5807
20.900000 96.334 -160.4043
21.200001 96.349 -161.2206
21.400000 96.358 -161.7617
21.799999 96.373 -162.8332
22.000000 96.379 -163.3610
22.400000 96.387 -164.3959
22.700001 96.392 -165.1534
23.000000 96.396 -165.8970
23.299999 96.398 -166.6291
23.600000 96.400 -167.3513
24.000000 96.400 -168.2986
24.299999 96.398 -168.9964
24.700001 96.395 -169.9098
25.000000 96.391 -170.5835
25.400000 96.385 -171.4699
25.799999 96.376 -172.3447
26.200001 96.365 -173.2052
26.500000 96.354 -173.8374
26.900000 96.337 -174.6571
27.200001 96.324 -175.2532
27.600000 96.306 -176.0264
28.000000 96.289 -176.7841
28.500000 96.267 -177.7224
29.000000 96.242 -178.6474
29.500000 96.213 -179.5380
30.000000 96.187 179.6068
30.400000 96.169 178.9197
30.700001 96.156 178.3843
31.100000 96.133 177.6408
31.500000 96.100 176.8961
32.000000 96.043 176.0536
32.500000 95.987 175.3685
33.000000 95.952 174.7673
33.500000 95.936 174.0975
34.000000 95.917 173.2988
34.500000 95.877 172.4718
35.000000 95.825 171.7501
35.500000 95.780 171.1435
36.000000 95.752 170.5384
36.500000 95.727 169.8448
37.000000 95.690 169.0977
37.500000 95.638 168.3974
38.200001 95.563 167.5651
38.700001 95.519 167.0158
39.500000 95.452 166.0977
40.000000 95.407 165.5073
40.599998 95.346 164.8187
41.200001 95.282 164.1802
41.799999 95.221 163.6009
42.500000 95.160 162.9542
43.099998 95.116 162.3644
43.700001 95.070 161.7248
44.400002 95.007 160.9604
45.000000 94.945 160.3424
45.500000 94.890 159.8805
46.200001 94.817 159.3113
46.799999 94.761 158.8478
47.500000 94.698 158.2915
48.200001 94.630 157.7510
48.700001 94.582 157.3922
49.400002 94.519 156.8875
50.000000 94.465 156.4157
50.799999 94.380 155.7838
51.500000 94.301 155.3008
52.200001 94.229 154.8561
53.000000 94.154 154.3210
53.799999 94.077 153.7635
54.500000 94.006 153.2932
55.200001 93.934 152.8602
56.000000 93.856 152.4157
57.000000 93.768 151.8504
58.000000 93.673 151.2424
59.000000 93.575 150.7173
60.000000 93.487 150.1926
60.799999 93.414 149.7655
61.500000 93.352 149.4229
62.200001 93.294 149.1007
63.000000 93.230 148.7578
64.000000 93.150 148.3282
65.000000 93.053 148.0609
66.000000 93.001 148.0207
67.000000 92.976 147.4466
68.000000 92.852 146.7227
69.000000 92.721 146.4881
70.000000 92.628 146.0987
71.000000 92.509 145.6346
72.000000 92.402 145.3135
73.000000 92.313 144.9439
74.000000 92.227 144.5864
75.000000 92.146 144.2554
76.199997 92.050 143.9214
77.500000 91.950 143.5981
78.800003 91.846 143.2770
80.000000 91.748 142.9737
81.199997 91.648 142.6707
82.500000 91.543 142.3495
83.800003 91.438 142.0426
85.000000 91.343 141.8106
86.199997 91.252 141.5971
87.500000 91.153 141.3550
88.500000 91.075 141.1706
90.000000 90.959 140.8992
91.199997 90.868 140.6829
92.500000 90.770 140.4594
93.800003 90.674 140.2585
95.000000 90.585 140.0826
96.199997 90.497 139.9202
97.500000 90.404 139.7452
98.800003 90.310 139.5710
100.000000 90.224 139.4139
101.500000 90.116 139.2429
103.000000 90.010 139.1052
104.400002 89.913 138.9846
106.000000 89.801 138.8514
107.500000 89.695 138.7315
109.000000 89.588 138.6195
110.599998 89.474 138.5169
112.000000 89.375 138.4313
113.800003 89.246 138.3390
115.000000 89.160 138.2971
117.199997 89.002 138.2607
118.000000 88.944 138.2601
120.599998 88.754 138.2942
122.000000 88.648 138.3474
124.099998 88.487 138.4967
125.000000 88.417 138.5952
126.500000 88.299 138.8144
128.000000 88.181 139.1181
131.500000 87.937 140.2590
132.000000 87.910 140.4767
134.000000 87.831 141.4832
136.000000 87.828 142.6684
138.000000 87.914 143.5584
140.000000 88.033 143.7993
143.000000 88.155 143.0508
145.000000 88.161 142.2407
147.500000 88.101 141.3292
150.000000 88.000 140.6102
152.500000 87.876 140.0771
155.000000 87.745 139.7098
157.500000 87.613 139.4664
160.000000 87.482 139.3007
162.500000 87.357 139.1868
165.000000 87.236 139.1205
167.500000 87.119 139.0947
170.000000 87.001 139.0951
172.500000 86.887 139.1313
175.000000 86.776 139.1760
177.500000 86.667 139.2311
180.000000 86.561 139.3079
182.500000 86.457 139.4254
185.000000 86.350 139.5577
187.500000 86.246 139.6875
190.000000 86.149 139.7538
192.500000 86.054 139.8382
195.000000 85.960 139.9765
197.500000 85.864 140.1395
200.000000 85.767 140.3067
203.000000 85.654 140.5307
206.000000 85.549 140.7613
209.000000 85.447 141.0032
212.000000 85.342 141.2329
214.000000 85.267 141.3861
218.000000 85.118 141.7741
220.000000 85.048 142.0242
224.000000 84.917 142.5883
227.000000 84.830 143.0298
230.000000 84.756 143.5082
233.000000 84.700 144.0104
236.000000 84.659 144.4591
240.000000 84.619 144.8770
243.000000 84.588 145.0252
247.000000 84.529 145.0760
250.000000 84.470 145.0991
254.000000 84.376 145.1828
258.000000 84.275 145.3321
262.000000 84.172 145.5467
265.000000 84.098 145.7474
269.000000 84.003 146.0349
272.000000 83.933 146.2528
276.000000 83.840 146.5632
280.000000 83.746 146.8484
285.000000 83.629 147.1805
290.000000 83.510 147.5710
295.000000 83.394 147.9988
300.000000 83.282 148.4713
304.000000 83.195 148.8576
307.000000 83.132 149.1465
311.000000 83.048 149.5445
315.000000 82.965 149.9615
320.000000 82.867 150.4886
325.000000 82.772 151.0269
330.000000 82.680 151.5955
335.000000 82.593 152.1853
340.000000 82.510 152.7966
345.000000 82.432 153.4054
350.000000 82.361 154.0042
355.000000 82.292 154.6161
360.000000 82.229 155.2262
365.000000 82.172 155.8251
370.000000 82.121 156.4153
375.000000 82.073 157.0047
382.000000 82.010 157.7878
387.000000 81.971 158.3048
395.000000 81.912 159.1008
400.000000 81.875 159.5907
406.000000 81.832 160.1443
412.000000 81.789 160.6775
418.000000 81.744 161.2057
425.000000 81.692 161.8052
431.000000 81.648 162.2980
437.000000 81.603 162.7895
444.000000 81.550 163.3618
450.000000 81.506 163.8578
455.000000 81.470 164.2700
462.000000 81.418 164.8470
468.000000 81.374 165.3384
475.000000 81.324 165.9130
482.000000 81.274 166.5066
487.000000 81.239 166.9310
494.000000 81.193 167.5232
500.000000 81.154 168.0395
508.000000 81.102 168.7240
515.000000 81.058 169.3228
522.000000 81.016 169.9305
530.000000 80.971 170.6167
538.000000 80.927 171.3135
545.000000 80.889 171.9250
552.000000 80.853 172.5355
560.000000 80.814 173.2505
570.000000 80.769 174.1371
580.000000 80.725 174.9954
590.000000 80.684 175.8889
600.000000 80.649 176.7852
608.000000 80.623 177.4946
615.000000 80.601 178.1152
622.000000 80.580 178.7363
630.000000 80.558 179.4493
640.000000 80.533 -179.6577
650.000000 80.511 -178.7598
660.000000 80.493 -177.8616
670.000000 80.477 -176.9659
680.000000 80.464 -176.0705
690.000000 80.456 -175.1784
700.000000 80.451 -174.2766
710.000000 80.448 -173.3819
720.000000 80.449 -172.4775
730.000000 80.452 -171.5800
740.000000 80.460 -170.6891
750.000000 80.471 -169.7978
762.000000 80.488 -168.7284
775.000000 80.512 -167.5741
788.000000 80.542 -166.4384
800.000000 80.575 -165.3965
812.000000 80.614 -164.3599
825.000000 80.661 -163.2485
838.000000 80.713 -162.1502
850.000000 80.768 -161.1589
862.000000 80.828 -160.1937
875.000000 80.899 -159.1571
885.000000 80.957 -158.3741
900.000000 81.049 -157.2463
912.000000 81.128 -156.3748
925.000000 81.217 -155.4585
938.000000 81.312 -154.5736
950.000000 81.403 -153.7863
962.000000 81.497 -153.0331
975.000000 81.602 -152.2585
988.000000 81.710 -151.5324
1000.000000 81.812 -150.8948
1015.000000 81.941 -150.1425
1030.000000 82.073 -149.4518
1044.000000 82.196 -148.8535
1060.000000 82.336 -148.2301
1075.000000 82.465 -147.7018
1090.000000 82.593 -147.2220
1106.000000 82.729 -146.7583
1120.000000 82.845 -146.3904
1138.000000 82.990 -145.9626
1150.000000 83.085 -145.7073
1172.000000 83.253 -145.2919
1180.000000 83.312 -145.1552
1206.000000 83.498 -144.7535
1220.000000 83.594 -144.5616
1241.000000 83.732 -144.2946
1250.000000 83.789 -144.1878
1265.000000 83.882 -144.0189
1280.000000 83.972 -143.8568
1315.000000 84.171 -143.5034
1320.000000 84.199 -143.4538
1340.000000 84.306 -143.2577
1360.000000 84.411 -143.0665
1380.000000 84.513 -142.8782
1400.000000 84.613 -142.6888
1430.000000 84.759 -142.4032
1450.000000 84.855 -142.2116
1475.000000 84.974 -141.9801
1500.000000 85.092 -141.7565
1525.000000 85.209 -141.5270
1550.000000 85.326 -141.3001
1575.000000 85.444 -141.0829
1600.000000 85.562 -140.8738
1625.000000 85.681 -140.6708
1650.000000 85.800 -140.4804
1675.000000 85.921 -140.3057
1700.000000 86.042 -140.1456
1725.000000 86.165 -140.0005
1750.000000 86.289 -139.8753
1775.000000 86.413 -139.7686
1800.000000 86.538 -139.6829
1825.000000 86.664 -139.6189
1850.000000 86.790 -139.5804
1875.000000 86.917 -139.5693
1900.000000 87.044 -139.5837
1925.000000 87.170 -139.6225
1950.000000 87.297 -139.6893
1975.000000 87.424 -139.7844
2000.000000 87.550 -139.9112
2030.000000 87.700 -140.1053
2060.000000 87.848 -140.3402
2090.000000 87.995 -140.6189
2120.000000 88.140 -140.9439
2140.000000 88.234 -141.1866
2180.000000 88.419 -141.7282
2200.000000 88.509 -142.0283
2240.000000 88.683 -142.6825
2270.000000 88.808 -143.2223
2300.000000 88.928 -143.8033
2330.000000 89.042 -144.4220
2360.000000 89.149 -145.0742
2400.000000 89.282 -145.9896
2430.000000 89.374 -146.7100
2470.000000 89.485 -147.7082
2500.000000 89.560 -148.4784
2540.000000 89.647 -149.5273
2580.000000 89.720 -150.5947
2620.000000 89.780 -151.6731
2650.000000 89.816 -152.4810
2690.000000 89.852 -153.5510
2720.000000 89.870 -154.3455
2760.000000 89.883 -155.3882
2800.000000 89.886 -156.4056
2850.000000 89.873 -157.6273
2900.000000 89.844 -158.7879
2950.000000 89.803 -159.8817
3000.000000 89.751 -160.9074
3040.000000 89.702 -161.6730
3070.000000 89.662 -162.2151
3110.000000 89.604 -162.8976
3150.000000 89.543 -163.5328
3200.000000 89.463 -164.2639
3250.000000 89.379 -164.9299
3300.000000 89.294 -165.5334
3350.000000 89.207 -166.0776
3400.000000 89.120 -166.5716
3450.000000 89.033 -167.0163
3500.000000 88.946 -167.4184
3550.000000 88.860 -167.7766
3600.000000 88.774 -168.0929
3650.000000 88.689 -168.3747
3700.000000 88.607 -168.6219
3750.000000 88.528 -168.8337
3820.000000 88.425 -169.1066
3870.000000 88.354 -169.3084
3950.000000 88.233 -169.6066
4000.000000 88.151 -169.6698
4060.000000 88.083 -169.5230
4120.000000 88.084 -169.4937
4180.000000 88.095 -169.9831
4250.000000 88.049 -170.8493
4310.000000 87.974 -171.5589
4370.000000 87.882 -172.2099
4440.000000 87.762 -172.9250
4500.000000 87.650 -173.5187
4550.000000 87.550 -174.0012
4620.000000 87.397 -174.6487
4680.000000 87.255 -175.1720
4750.000000 87.077 -175.7325
4820.000000 86.888 -176.2291
4870.000000 86.745 -176.5381
4940.000000 86.537 -176.9034
5000.000000 86.353 -177.1504
5080.000000 86.099 -177.3745
5150.000000 85.871 -177.4664
5220.000000 85.640 -177.4651
5300.000000 85.374 -177.3551
5380.000000 85.104 -177.1216
5450.000000 84.867 -176.8109
5520.000000 84.630 -176.3927
5600.000000 84.363 -175.7677
5700.000000 84.041 -174.7611
5800.000000 83.744 -173.5312
