* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 09/11/2023 11:14:24 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Noble Katana L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.852	-143.9556
20.299999	99.878	-144.6819
20.600000	99.902	-145.3781
20.900000	99.925	-146.0424
21.200001	99.946	-146.6725
21.400000	99.961	-147.0740
21.799999	99.992	-147.8434
22.000000	100.009	-148.2203
22.400000	100.047	-148.9827
22.700001	100.075	-149.5761
23.000000	100.099	-150.1888
23.299999	100.117	-150.8030
23.600000	100.129	-151.3977
24.000000	100.138	-152.1334
24.299999	100.145	-152.6387
24.700001	100.157	-153.2711
25.000000	100.169	-153.7353
25.400000	100.187	-154.3544
25.799999	100.205	-154.9641
26.200001	100.224	-155.5505
26.500000	100.243	-155.9835
26.900000	100.275	-156.5842
27.200001	100.300	-157.0769
27.600000	100.329	-157.7978
28.000000	100.346	-158.5533
28.500000	100.350	-159.4506
29.000000	100.345	-160.2401
29.500000	100.342	-160.9605
30.000000	100.334	-161.6459
30.400000	100.321	-162.1306
30.700001	100.310	-162.4262
31.100000	100.302	-162.7252
31.500000	100.312	-162.9678
32.000000	100.346	-163.3278
32.500000	100.386	-163.8447
33.000000	100.409	-164.4601
33.500000	100.412	-165.0435
34.000000	100.410	-165.5349
34.500000	100.412	-165.9868
35.000000	100.418	-166.4645
35.500000	100.417	-166.9679
36.000000	100.409	-167.4474
36.500000	100.400	-167.8766
37.000000	100.396	-168.2758
37.500000	100.399	-168.6813
38.200001	100.410	-169.2974
38.700001	100.418	-169.7809
39.500000	100.420	-170.6084
40.000000	100.409	-171.0951
40.599998	100.393	-171.5655
41.200001	100.388	-171.9224
41.799999	100.403	-172.2817
42.500000	100.425	-172.8145
43.099998	100.431	-173.3214
43.700001	100.426	-173.7825
44.400002	100.416	-174.2239
45.000000	100.415	-174.5544
45.500000	100.420	-174.8488
46.200001	100.427	-175.3469
46.799999	100.419	-175.8177
47.500000	100.397	-176.2830
48.200001	100.384	-176.6470
48.700001	100.384	-176.9238
49.400002	100.385	-177.3889
50.000000	100.377	-177.8002
50.799999	100.362	-178.2891
51.500000	100.353	-178.6882
52.200001	100.345	-179.0833
53.000000	100.336	-179.5298
53.799999	100.325	-179.9735
54.500000	100.313	179.6624
55.200001	100.304	179.3259
56.000000	100.300	178.9330
57.000000	100.296	178.3910
58.000000	100.284	177.8469
59.000000	100.273	177.3628
60.000000	100.269	176.8743
60.799999	100.260	176.4651
61.500000	100.249	176.1347
62.200001	100.237	175.8335
63.000000	100.226	175.4980
64.000000	100.212	175.0759
65.000000	100.196	174.6465
66.000000	100.178	174.2194
67.000000	100.160	173.8068
68.000000	100.144	173.4010
69.000000	100.130	172.9974
70.000000	100.116	172.5958
71.000000	100.104	172.2032
72.000000	100.091	171.8110
73.000000	100.076	171.4175
74.000000	100.057	171.0479
75.000000	100.039	170.7018
76.199997	100.017	170.2957
77.500000	99.995	169.8642
78.800003	99.975	169.4164
80.000000	99.957	168.9996
81.199997	99.939	168.5731
82.500000	99.915	168.1299
83.800003	99.892	167.7256
85.000000	99.872	167.3647
86.199997	99.851	167.0067
87.500000	99.828	166.6260
88.500000	99.811	166.3397
90.000000	99.787	165.9133
91.199997	99.770	165.5700
92.500000	99.753	165.1971
93.800003	99.734	164.8279
95.000000	99.717	164.4852
96.199997	99.699	164.1306
97.500000	99.677	163.7380
98.800003	99.652	163.3517
100.000000	99.630	163.0089
101.500000	99.603	162.5894
103.000000	99.577	162.1626
104.400002	99.546	161.7678
106.000000	99.507	161.3583
107.500000	99.472	160.9982
109.000000	99.439	160.6404
110.599998	99.403	160.2615
112.000000	99.369	159.9471
113.800003	99.326	159.5608
115.000000	99.296	159.3077
117.199997	99.237	158.8640
118.000000	99.215	158.7156
120.599998	99.141	158.2993
122.000000	99.100	158.1111
124.099998	99.038	157.8850
125.000000	99.011	157.8188
126.500000	98.969	157.7584
128.000000	98.935	157.7622
131.500000	98.907	157.9272
132.000000	98.910	157.9525
134.000000	98.943	157.9995
136.000000	99.000	157.8379
138.000000	99.053	157.4089
140.000000	99.080	156.8009
143.000000	99.053	155.9213
145.000000	99.021	155.5822
147.500000	99.009	155.3956
150.000000	99.050	155.2659
152.500000	99.135	154.8129
155.000000	99.207	153.9021
157.500000	99.231	152.7794
160.000000	99.212	151.6584
162.500000	99.162	150.6402
165.000000	99.095	149.7511
167.500000	99.020	149.0085
170.000000	98.948	148.3685
172.500000	98.880	147.7874
175.000000	98.814	147.2695
177.500000	98.753	146.8004
180.000000	98.696	146.3416
182.500000	98.645	145.8788
185.000000	98.597	145.4224
187.500000	98.549	144.9902
190.000000	98.499	144.5663
192.500000	98.448	144.1296
195.000000	98.394	143.6847
197.500000	98.340	143.2471
200.000000	98.285	142.8312
203.000000	98.222	142.3722
206.000000	98.162	141.9414
209.000000	98.103	141.5146
212.000000	98.044	141.0955
214.000000	98.006	140.8269
218.000000	97.929	140.3040
220.000000	97.891	140.0407
224.000000	97.814	139.5055
227.000000	97.757	139.1066
230.000000	97.701	138.7138
233.000000	97.646	138.3400
236.000000	97.593	137.9939
240.000000	97.524	137.5674
243.000000	97.470	137.2478
247.000000	97.396	136.8069
250.000000	97.341	136.4791
254.000000	97.270	136.0573
258.000000	97.202	135.6489
262.000000	97.134	135.2543
265.000000	97.083	134.9661
269.000000	97.017	134.6053
272.000000	96.969	134.3564
276.000000	96.902	134.0346
280.000000	96.836	133.7026
285.000000	96.756	133.2884
290.000000	96.680	132.8947
295.000000	96.602	132.5140
300.000000	96.523	132.1348
304.000000	96.462	131.8481
307.000000	96.417	131.6539
311.000000	96.360	131.4186
315.000000	96.304	131.1956
320.000000	96.235	130.9139
325.000000	96.168	130.6260
330.000000	96.103	130.3313
335.000000	96.041	130.0190
340.000000	95.981	129.6971
345.000000	95.917	129.3803
350.000000	95.850	129.0858
355.000000	95.781	128.8165
360.000000	95.711	128.5653
365.000000	95.642	128.3309
370.000000	95.575	128.1141
375.000000	95.510	127.9097
382.000000	95.420	127.6287
387.000000	95.357	127.4370
395.000000	95.257	127.1749
400.000000	95.195	127.0432
406.000000	95.121	126.9137
412.000000	95.047	126.8040
418.000000	94.976	126.7003
425.000000	94.897	126.5807
431.000000	94.832	126.4838
437.000000	94.769	126.3988
444.000000	94.697	126.3121
450.000000	94.637	126.2574
455.000000	94.586	126.2303
462.000000	94.517	126.2206
468.000000	94.458	126.2261
475.000000	94.391	126.2398
482.000000	94.327	126.2628
487.000000	94.282	126.2855
494.000000	94.222	126.3313
500.000000	94.172	126.3830
508.000000	94.110	126.4691
515.000000	94.055	126.5569
522.000000	94.001	126.6561
530.000000	93.940	126.7933
538.000000	93.880	126.9602
545.000000	93.831	127.1213
552.000000	93.784	127.2862
560.000000	93.731	127.4835
570.000000	93.669	127.7491
580.000000	93.611	128.0422
590.000000	93.555	128.3631
600.000000	93.500	128.7079
608.000000	93.458	129.0061
615.000000	93.423	129.2844
622.000000	93.390	129.5715
630.000000	93.354	129.9033
640.000000	93.311	130.3262
650.000000	93.274	130.7692
660.000000	93.241	131.2387
670.000000	93.209	131.7379
680.000000	93.179	132.2471
690.000000	93.152	132.7681
700.000000	93.128	133.3152
710.000000	93.106	133.8885
720.000000	93.087	134.4758
730.000000	93.071	135.0696
740.000000	93.060	135.6736
750.000000	93.053	136.2937
762.000000	93.050	137.0562
775.000000	93.052	137.9012
788.000000	93.058	138.7643
800.000000	93.068	139.5767
812.000000	93.081	140.4066
825.000000	93.101	141.3212
838.000000	93.126	142.2438
850.000000	93.156	143.0966
862.000000	93.193	143.9473
875.000000	93.240	144.8675
885.000000	93.282	145.5736
900.000000	93.350	146.6246
912.000000	93.410	147.4523
925.000000	93.479	148.3434
938.000000	93.551	149.2290
950.000000	93.622	150.0300
962.000000	93.697	150.8088
975.000000	93.782	151.6226
988.000000	93.872	152.4036
1000.000000	93.958	153.1026
1015.000000	94.069	153.9493
1030.000000	94.182	154.7530
1044.000000	94.291	155.4556
1060.000000	94.416	156.2090
1075.000000	94.533	156.8752
1090.000000	94.646	157.5056
1106.000000	94.764	158.1389
1120.000000	94.865	158.6628
1138.000000	94.991	159.2953
1150.000000	95.074	159.6881
1172.000000	95.220	160.3581
1180.000000	95.271	160.5926
1206.000000	95.428	161.3353
1220.000000	95.507	161.7198
1241.000000	95.618	162.2778
1250.000000	95.663	162.5144
1265.000000	95.733	162.9145
1280.000000	95.799	163.3286
1315.000000	95.938	164.3329
1320.000000	95.958	164.4786
1340.000000	96.035	165.0690
1360.000000	96.111	165.6780
1380.000000	96.185	166.2983
1400.000000	96.255	166.9080
1430.000000	96.350	167.8071
1450.000000	96.405	168.4236
1475.000000	96.466	169.2349
1500.000000	96.521	170.0850
1525.000000	96.573	170.9742
1550.000000	96.624	171.9141
1575.000000	96.673	172.9126
1600.000000	96.722	173.9787
1625.000000	96.775	175.1111
1650.000000	96.837	176.2906
1675.000000	96.912	177.4789
1700.000000	96.997	178.6327
1725.000000	97.084	179.7411
1750.000000	97.171	-179.1871
1775.000000	97.256	-178.1507
1800.000000	97.341	-177.1432
