* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 09/11/2023 11:16:08 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Noble Katana R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.260	-150.3977
20.299999	100.276	-150.9546
20.600000	100.296	-151.4504
20.900000	100.320	-151.9317
21.200001	100.342	-152.4275
21.400000	100.354	-152.7589
21.799999	100.369	-153.3920
22.000000	100.374	-153.6827
22.400000	100.390	-154.2151
22.700001	100.409	-154.6122
23.000000	100.434	-155.0576
23.299999	100.458	-155.5734
23.600000	100.478	-156.1500
24.000000	100.489	-156.9630
24.299999	100.487	-157.5560
24.700001	100.479	-158.2837
25.000000	100.473	-158.7807
25.400000	100.471	-159.3984
25.799999	100.474	-159.9877
26.200001	100.482	-160.5543
26.500000	100.491	-160.9638
26.900000	100.506	-161.4936
27.200001	100.520	-161.8862
27.600000	100.539	-162.4095
28.000000	100.556	-162.9240
28.500000	100.570	-163.5212
29.000000	100.583	-164.0479
29.500000	100.600	-164.5358
30.000000	100.618	-165.0433
30.400000	100.629	-165.4814
30.700001	100.632	-165.8220
31.100000	100.629	-166.2712
31.500000	100.618	-166.6931
32.000000	100.601	-167.1642
32.500000	100.586	-167.5819
33.000000	100.579	-167.9828
33.500000	100.578	-168.4037
34.000000	100.579	-168.8591
34.500000	100.579	-169.3312
35.000000	100.576	-169.7893
35.500000	100.575	-170.2183
36.000000	100.578	-170.6289
36.500000	100.584	-171.0409
37.000000	100.590	-171.4628
37.500000	100.592	-171.8871
38.200001	100.587	-172.4597
38.700001	100.579	-172.8375
39.500000	100.563	-173.3702
40.000000	100.557	-173.6777
40.599998	100.555	-174.0670
41.200001	100.553	-174.5006
41.799999	100.546	-174.9493
42.500000	100.537	-175.4528
43.099998	100.531	-175.8780
43.700001	100.525	-176.3016
44.400002	100.517	-176.7610
45.000000	100.514	-177.1198
45.500000	100.514	-177.4142
46.200001	100.512	-177.8256
46.799999	100.510	-178.1613
47.500000	100.506	-178.5444
48.200001	100.499	-178.9276
48.700001	100.491	-179.1777
49.400002	100.486	-179.5000
50.000000	100.489	-179.8242
50.799999	100.482	179.6461
51.500000	100.460	179.2261
52.200001	100.440	178.9061
53.000000	100.427	178.5701
53.799999	100.420	178.2427
54.500000	100.420	177.9530
55.200001	100.420	177.5909
56.000000	100.403	177.1400
57.000000	100.372	176.7142
58.000000	100.357	176.2723
59.000000	100.329	175.7133
60.000000	100.289	175.2964
60.799999	100.277	175.0524
61.500000	100.282	174.7864
62.200001	100.287	174.4532
63.000000	100.288	174.0579
64.000000	100.284	173.5876
65.000000	100.273	173.1437
66.000000	100.256	172.7485
67.000000	100.236	172.3906
68.000000	100.218	172.0669
69.000000	100.205	171.7305
70.000000	100.193	171.3448
71.000000	100.176	170.9537
72.000000	100.158	170.5806
73.000000	100.139	170.2280
74.000000	100.121	169.9009
75.000000	100.104	169.5759
76.199997	100.082	169.1740
77.500000	100.055	168.7558
78.800003	100.031	168.3455
80.000000	100.007	167.9816
81.199997	99.990	167.6608
82.500000	99.980	167.2269
83.800003	99.947	166.7343
85.000000	99.903	166.3967
86.199997	99.868	166.1440
87.500000	99.846	165.8200
88.500000	99.826	165.5043
90.000000	99.787	165.0620
91.199997	99.758	164.7461
92.500000	99.725	164.4219
93.800003	99.694	164.1400
95.000000	99.669	163.8737
96.199997	99.640	163.6032
97.500000	99.606	163.3517
98.800003	99.571	163.1342
100.000000	99.536	162.9471
101.500000	99.479	162.7717
103.000000	99.416	162.7281
104.400002	99.367	162.7951
106.000000	99.333	162.9578
107.500000	99.332	163.2286
109.000000	99.382	163.5830
110.599998	99.494	163.8238
112.000000	99.615	163.6935
113.800003	99.738	162.9904
115.000000	99.779	162.2854
117.199997	99.775	160.8787
118.000000	99.759	160.3975
120.599998	99.689	159.0898
122.000000	99.651	158.5820
124.099998	99.604	158.0222
125.000000	99.586	157.8216
126.500000	99.562	157.4885
128.000000	99.543	157.1124
131.500000	99.495	156.0683
132.000000	99.486	155.9147
134.000000	99.443	155.3290
136.000000	99.392	154.7980
138.000000	99.336	154.3033
140.000000	99.278	153.8508
143.000000	99.199	153.2787
145.000000	99.149	152.9501
147.500000	99.084	152.6015
150.000000	99.017	152.3376
152.500000	98.960	152.1792
155.000000	98.923	152.0811
157.500000	98.910	152.0049
160.000000	98.927	151.8486
162.500000	98.967	151.4636
165.000000	99.003	150.8501
167.500000	99.017	150.1041
170.000000	99.003	149.3054
172.500000	98.964	148.5291
175.000000	98.913	147.8267
177.500000	98.857	147.2095
180.000000	98.798	146.6582
182.500000	98.738	146.1559
185.000000	98.680	145.6938
187.500000	98.623	145.2595
190.000000	98.567	144.8574
192.500000	98.514	144.4828
195.000000	98.465	144.1238
197.500000	98.418	143.7719
200.000000	98.374	143.4221
203.000000	98.324	142.9982
206.000000	98.274	142.5554
209.000000	98.222	142.0986
212.000000	98.168	141.6484
214.000000	98.129	141.3640
218.000000	98.050	140.8289
220.000000	98.010	140.5657
224.000000	97.928	140.0695
227.000000	97.867	139.7483
230.000000	97.808	139.4650
233.000000	97.751	139.1988
236.000000	97.699	138.9458
240.000000	97.639	138.6339
243.000000	97.602	138.4014
247.000000	97.563	138.0543
250.000000	97.537	137.7477
254.000000	97.497	137.2753
258.000000	97.447	136.7794
262.000000	97.388	136.2984
265.000000	97.341	135.9429
269.000000	97.276	135.4728
272.000000	97.228	135.1268
276.000000	97.165	134.6812
280.000000	97.102	134.2634
285.000000	97.022	133.7858
290.000000	96.941	133.3445
295.000000	96.864	132.9177
300.000000	96.787	132.5042
304.000000	96.725	132.1882
307.000000	96.677	131.9625
311.000000	96.614	131.6707
315.000000	96.552	131.3850
320.000000	96.476	131.0418
325.000000	96.403	130.7226
330.000000	96.330	130.4302
335.000000	96.258	130.1601
340.000000	96.188	129.8944
345.000000	96.120	129.6248
350.000000	96.054	129.3549
355.000000	95.989	129.0950
360.000000	95.922	128.8497
365.000000	95.857	128.6169
370.000000	95.792	128.4042
375.000000	95.728	128.2163
382.000000	95.636	127.9815
387.000000	95.571	127.8252
395.000000	95.471	127.5911
400.000000	95.411	127.4539
406.000000	95.341	127.3019
412.000000	95.274	127.1649
418.000000	95.207	127.0374
425.000000	95.129	126.9026
431.000000	95.063	126.8113
437.000000	94.998	126.7482
444.000000	94.923	126.6969
450.000000	94.860	126.6653
455.000000	94.809	126.6426
462.000000	94.740	126.6094
468.000000	94.684	126.5883
475.000000	94.622	126.5792
482.000000	94.560	126.5934
487.000000	94.517	126.6192
494.000000	94.456	126.6710
500.000000	94.406	126.7288
508.000000	94.339	126.8201
515.000000	94.282	126.9131
522.000000	94.228	127.0183
530.000000	94.170	127.1509
538.000000	94.114	127.3000
545.000000	94.067	127.4440
552.000000	94.021	127.5994
560.000000	93.969	127.7922
570.000000	93.905	128.0656
580.000000	93.844	128.3719
590.000000	93.786	128.7014
600.000000	93.732	129.0466
608.000000	93.693	129.3288
615.000000	93.660	129.5831
622.000000	93.628	129.8521
630.000000	93.594	130.1785
640.000000	93.553	130.6073
650.000000	93.515	131.0527
660.000000	93.479	131.5282
670.000000	93.446	132.0176
680.000000	93.416	132.5144
690.000000	93.388	133.0309
700.000000	93.364	133.5654
710.000000	93.342	134.1182
720.000000	93.322	134.6890
730.000000	93.307	135.2759
740.000000	93.295	135.8773
750.000000	93.287	136.4891
762.000000	93.283	137.2341
775.000000	93.283	138.0615
788.000000	93.289	138.9121
800.000000	93.299	139.7152
812.000000	93.314	140.5266
825.000000	93.335	141.4120
838.000000	93.362	142.3091
850.000000	93.393	143.1466
862.000000	93.427	143.9863
875.000000	93.471	144.8956
885.000000	93.509	145.5914
900.000000	93.574	146.6221
912.000000	93.631	147.4366
925.000000	93.697	148.3127
938.000000	93.768	149.1777
950.000000	93.840	149.9570
962.000000	93.915	150.7117
975.000000	94.000	151.5032
988.000000	94.089	152.2714
1000.000000	94.173	152.9570
1015.000000	94.280	153.7786
1030.000000	94.389	154.5599
1044.000000	94.492	155.2521
1060.000000	94.611	155.9955
1075.000000	94.723	156.6453
1090.000000	94.835	157.2552
1106.000000	94.952	157.8660
1120.000000	95.052	158.3691
1138.000000	95.175	158.9761
1150.000000	95.255	159.3580
1172.000000	95.393	160.0172
1180.000000	95.441	160.2470
1206.000000	95.586	160.9725
1220.000000	95.657	161.3562
1241.000000	95.758	161.9214
1250.000000	95.800	162.1588
1265.000000	95.867	162.5515
1280.000000	95.930	162.9457
1315.000000	96.065	163.9102
1320.000000	96.082	164.0559
1340.000000	96.148	164.6608
1360.000000	96.212	165.2921
1380.000000	96.277	165.9294
1400.000000	96.341	166.5609
1430.000000	96.432	167.4996
1450.000000	96.487	168.1276
1475.000000	96.549	168.9279
1500.000000	96.605	169.7587
1525.000000	96.658	170.6364
1550.000000	96.706	171.5634
1575.000000	96.752	172.5331
1600.000000	96.799	173.5408
1625.000000	96.847	174.5864
1650.000000	96.899	175.6625
1675.000000	96.954	176.7580
1700.000000	97.011	177.8579
1725.000000	97.071	178.9556
1750.000000	97.132	-179.9526
1775.000000	97.194	-178.8641
1800.000000	97.256	-177.7739
1825.000000	97.321	-176.6843
1850.000000	97.387	-175.5978
1875.000000	97.457	-174.5158
1900.000000	97.528	-173.4431
1925.000000	97.600	-172.3785
1950.000000	97.673	-171.3181
1975.000000	97.745	-170.2670
2000.000000	97.819	-169.2331
2030.000000	97.910	-168.0201
2060.000000	98.002	-166.8369
2090.000000	98.095	-165.6838
2120.000000	98.188	-164.5652
2140.000000	98.250	-163.8405
2180.000000	98.372	-162.4431
2200.000000	98.433	-161.7718
2240.000000	98.549	-160.4838
2270.000000	98.630	-159.5547
2300.000000	98.704	-158.6504
2330.000000	98.773	-157.7692
2360.000000	98.838	-156.9102
2400.000000	98.921	-155.7946
2430.000000	98.981	-154.9782
2470.000000	99.055	-153.9295
2500.000000	99.104	-153.1792
2540.000000	99.159	-152.2068
2580.000000	99.205	-151.2295
2620.000000	99.252	-150.2223
2650.000000	99.295	-149.4680
2690.000000	99.362	-148.5499
2720.000000	99.414	-147.9915
2760.000000	99.470	-147.4423
2800.000000	99.493	-147.0413
2850.000000	99.474	-146.5601
