* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 24/03/2023 3:51:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ronin L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.184	16.6476
20.299999	100.229	16.3235
20.600000	100.263	15.8939
20.900000	100.280	15.4319
21.200001	100.283	15.0256
21.400000	100.284	14.8091
21.799999	100.295	14.4681
22.000000	100.308	14.3082
22.400000	100.349	13.9113
22.700001	100.379	13.5062
23.000000	100.397	13.0326
23.299999	100.397	12.5671
23.600000	100.386	12.1727
24.000000	100.367	11.8033
24.299999	100.362	11.6079
24.700001	100.374	11.3469
25.000000	100.388	11.0856
25.400000	100.399	10.6424
25.799999	100.389	10.1851
26.200001	100.366	9.8263
26.500000	100.349	9.6403
26.900000	100.339	9.4560
27.200001	100.341	9.3099
27.600000	100.350	9.0546
28.000000	100.356	8.7368
28.500000	100.354	8.3300
29.000000	100.350	7.9706
29.500000	100.354	7.6293
30.000000	100.363	7.2556
30.400000	100.368	6.9312
30.700001	100.371	6.6833
31.100000	100.371	6.3599
31.500000	100.369	6.0547
32.000000	100.364	5.7139
32.500000	100.359	5.4294
33.000000	100.361	5.1812
33.500000	100.369	4.9201
34.000000	100.377	4.6147
34.500000	100.375	4.2925
35.000000	100.365	4.0074
35.500000	100.354	3.7812
36.000000	100.349	3.5798
36.500000	100.350	3.3520
37.000000	100.349	3.0768
37.500000	100.343	2.7779
38.200001	100.326	2.3901
38.700001	100.315	2.1455
39.500000	100.303	1.7552
40.000000	100.295	1.5221
40.599998	100.288	1.2898
41.200001	100.293	1.0627
41.799999	100.298	0.7743
42.500000	100.284	0.4943
43.099998	100.281	0.4747
43.700001	100.325	0.4573
44.400002	100.400	-0.0414
45.000000	100.404	-0.8322
45.500000	100.348	-1.3568
46.200001	100.248	-1.5409
46.799999	100.209	-1.4164
47.500000	100.207	-1.4339
48.200001	100.200	-1.6475
48.700001	100.188	-1.8048
49.400002	100.172	-2.0032
50.000000	100.162	-2.1872
50.799999	100.149	-2.4326
51.500000	100.143	-2.6550
52.200001	100.137	-2.9212
53.000000	100.119	-3.2140
53.799999	100.100	-3.4142
54.500000	100.093	-3.5602
55.200001	100.088	-3.7401
56.000000	100.078	-3.9822
57.000000	100.054	-4.2646
58.000000	100.027	-4.4925
59.000000	100.005	-4.6971
60.000000	99.992	-4.9164
60.799999	99.986	-5.1406
61.500000	99.977	-5.3732
62.200001	99.964	-5.6020
63.000000	99.946	-5.8254
64.000000	99.927	-6.0713
65.000000	99.909	-6.2913
66.000000	99.894	-6.4861
67.000000	99.880	-6.7081
68.000000	99.861	-6.9188
69.000000	99.845	-7.1077
70.000000	99.832	-7.3451
71.000000	99.812	-7.5994
72.000000	99.791	-7.8330
73.000000	99.769	-8.0638
74.000000	99.747	-8.2753
75.000000	99.726	-8.4631
76.199997	99.705	-8.6998
77.500000	99.679	-8.9640
78.800003	99.649	-9.2087
80.000000	99.621	-9.4165
81.199997	99.593	-9.6078
82.500000	99.568	-9.8188
83.800003	99.541	-10.0479
85.000000	99.514	-10.2321
86.199997	99.487	-10.3853
87.500000	99.461	-10.5248
88.500000	99.443	-10.6462
90.000000	99.408	-10.8613
91.199997	99.378	-10.9996
92.500000	99.350	-11.1586
93.800003	99.323	-11.3293
95.000000	99.299	-11.4792
96.199997	99.278	-11.6267
97.500000	99.254	-11.7919
98.800003	99.228	-11.9651
100.000000	99.201	-12.1262
101.500000	99.165	-12.3289
103.000000	99.127	-12.5216
104.400002	99.093	-12.6675
106.000000	99.059	-12.8065
107.500000	99.027	-12.9294
109.000000	98.993	-13.0455
110.599998	98.955	-13.1772
112.000000	98.920	-13.3043
113.800003	98.874	-13.4796
115.000000	98.844	-13.6023
117.199997	98.786	-13.7931
118.000000	98.767	-13.8487
120.599998	98.704	-14.0085
122.000000	98.670	-14.0873
124.099998	98.618	-14.1975
125.000000	98.595	-14.2415
126.500000	98.557	-14.3141
128.000000	98.519	-14.3815
131.500000	98.425	-14.4881
132.000000	98.411	-14.5007
134.000000	98.351	-14.5417
136.000000	98.290	-14.5469
138.000000	98.231	-14.5206
140.000000	98.173	-14.4538
143.000000	98.086	-14.2289
145.000000	98.029	-13.9740
147.500000	97.967	-13.5184
150.000000	97.935	-12.8892
152.500000	97.966	-12.2094
155.000000	98.061	-11.8024
157.500000	98.177	-11.9075
160.000000	98.258	-12.4676
162.500000	98.279	-13.2048
165.000000	98.253	-13.8748
167.500000	98.200	-14.4019
170.000000	98.137	-14.7842
172.500000	98.070	-15.0504
175.000000	98.005	-15.2366
177.500000	97.942	-15.3768
180.000000	97.882	-15.5016
182.500000	97.826	-15.5972
185.000000	97.773	-15.6505
187.500000	97.721	-15.6796
190.000000	97.669	-15.6979
192.500000	97.619	-15.7077
195.000000	97.572	-15.7121
197.500000	97.525	-15.7120
200.000000	97.478	-15.7075
203.000000	97.424	-15.6940
206.000000	97.372	-15.6726
209.000000	97.321	-15.6385
212.000000	97.273	-15.5939
214.000000	97.242	-15.5631
218.000000	97.180	-15.5034
220.000000	97.148	-15.4774
224.000000	97.084	-15.4158
227.000000	97.038	-15.3488
230.000000	96.993	-15.2754
233.000000	96.948	-15.2095
236.000000	96.904	-15.1489
240.000000	96.847	-15.0557
243.000000	96.805	-14.9763
247.000000	96.748	-14.8669
250.000000	96.706	-14.7776
254.000000	96.652	-14.6458
258.000000	96.601	-14.5104
262.000000	96.549	-14.3701
265.000000	96.510	-14.2571
269.000000	96.458	-14.0997
272.000000	96.420	-13.9801
276.000000	96.370	-13.8168
280.000000	96.320	-13.6410
285.000000	96.262	-13.3987
290.000000	96.207	-13.1443
295.000000	96.154	-12.8785
300.000000	96.107	-12.6241
304.000000	96.074	-12.4398
307.000000	96.050	-12.3135
311.000000	96.017	-12.1595
315.000000	95.981	-12.0114
320.000000	95.933	-11.8171
325.000000	95.883	-11.6117
330.000000	95.834	-11.3962
335.000000	95.786	-11.1691
