* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 24/03/2023 3:50:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ronin R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.043	15.6119
20.299999	100.071	15.3413
20.600000	100.104	15.0066
20.900000	100.136	14.6012
21.200001	100.160	14.1460
21.400000	100.170	13.8378
21.799999	100.182	13.2443
22.000000	100.186	12.9713
22.400000	100.191	12.4763
22.700001	100.196	12.1361
23.000000	100.201	11.8126
23.299999	100.205	11.5098
23.600000	100.210	11.2355
24.000000	100.219	10.9183
24.299999	100.230	10.7035
24.700001	100.252	10.4149
25.000000	100.269	10.1796
25.400000	100.289	9.8458
25.799999	100.303	9.5251
26.200001	100.317	9.2397
26.500000	100.331	9.0291
26.900000	100.355	8.7021
27.200001	100.370	8.3950
27.600000	100.377	7.9150
28.000000	100.360	7.4411
28.500000	100.317	7.0177
29.000000	100.282	6.8247
29.500000	100.280	6.7017
30.000000	100.301	6.4425
30.400000	100.316	6.1049
30.700001	100.320	5.8094
31.100000	100.316	5.4206
31.500000	100.305	5.0757
32.000000	100.293	4.7083
32.500000	100.287	4.3742
33.000000	100.285	4.0454
33.500000	100.284	3.7224
34.000000	100.285	3.4120
34.500000	100.287	3.1141
35.000000	100.290	2.8221
35.500000	100.294	2.5248
36.000000	100.293	2.2159
36.500000	100.286	1.9109
37.000000	100.271	1.6488
37.500000	100.254	1.4567
38.200001	100.241	1.2644
38.700001	100.242	1.1102
39.500000	100.246	0.7606
40.000000	100.245	0.5009
40.599998	100.240	0.1694
41.200001	100.233	-0.1858
41.799999	100.220	-0.5508
42.500000	100.200	-0.9449
43.099998	100.187	-1.2480
43.700001	100.180	-1.5524
44.400002	100.173	-1.9370
45.000000	100.164	-2.2747
45.500000	100.152	-2.5293
46.200001	100.133	-2.8004
46.799999	100.125	-2.9547
47.500000	100.131	-3.1255
48.200001	100.141	-3.3690
48.700001	100.142	-3.5773
49.400002	100.132	-3.8438
50.000000	100.120	-4.0155
50.799999	100.109	-4.2155
51.500000	100.102	-4.4323
52.200001	100.089	-4.6836
53.000000	100.069	-4.9566
53.799999	100.053	-5.2228
54.500000	100.041	-5.4849
55.200001	100.028	-5.7546
56.000000	100.016	-6.0459
57.000000	100.006	-6.4266
58.000000	99.988	-6.7867
59.000000	99.971	-7.0605
60.000000	99.957	-7.3131
60.799999	99.944	-7.5154
61.500000	99.931	-7.6924
62.200001	99.917	-7.8757
63.000000	99.898	-8.0879
64.000000	99.876	-8.3503
65.000000	99.856	-8.6440
66.000000	99.832	-8.9730
67.000000	99.799	-9.2339
68.000000	99.777	-9.3871
69.000000	99.772	-9.5808
70.000000	99.761	-9.8352
71.000000	99.746	-10.0458
72.000000	99.736	-10.2704
73.000000	99.722	-10.5328
74.000000	99.703	-10.7866
75.000000	99.682	-11.0291
76.199997	99.656	-11.2928
77.500000	99.629	-11.5569
78.800003	99.606	-11.8346
80.000000	99.582	-12.1069
81.199997	99.557	-12.3628
82.500000	99.531	-12.6371
83.800003	99.505	-12.9124
85.000000	99.478	-13.1496
86.199997	99.450	-13.3680
87.500000	99.419	-13.6000
88.500000	99.394	-13.7761
90.000000	99.359	-14.0472
91.199997	99.330	-14.2707
92.500000	99.299	-14.4978
93.800003	99.271	-14.7031
95.000000	99.246	-14.8893
96.199997	99.219	-15.0767
97.500000	99.186	-15.2649
98.800003	99.153	-15.4409
100.000000	99.122	-15.6034
101.500000	99.085	-15.8147
103.000000	99.049	-16.0124
104.400002	99.020	-16.1977
106.000000	98.985	-16.4077
107.500000	98.951	-16.5823
109.000000	98.919	-16.7684
110.599998	98.880	-16.9888
112.000000	98.842	-17.1610
113.800003	98.795	-17.3754
115.000000	98.763	-17.5072
117.199997	98.705	-17.7284
118.000000	98.683	-17.8021
120.599998	98.606	-17.9855
122.000000	98.563	-18.0575
