* Measurement data measured by REW V5.30.9
* Source: External Mic (Realtek(R) Audio), MICROPHONE (Master Volume), R, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -9.0 dBFS with no timing reference
* Dated: 23/02/2024 1:08:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Noble Audio Spartacus L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 96.720 165.5310
20.299999 96.676 165.0729
20.600000 96.667 164.5996
20.900000 96.676 164.0022
21.200001 96.684 163.2644
21.400000 96.679 162.7297
21.799999 96.643 161.7025
22.000000 96.616 161.2664
22.400000 96.569 160.5925
22.700001 96.557 160.1933
23.000000 96.567 159.7742
23.299999 96.589 159.2502
23.600000 96.607 158.5977
24.000000 96.603 157.6115
24.299999 96.573 156.8928
24.700001 96.513 156.0882
25.000000 96.466 155.6125
25.400000 96.418 155.0653
25.799999 96.383 154.4935
26.200001 96.343 153.8456
26.500000 96.301 153.3476
26.900000 96.232 152.7559
27.200001 96.179 152.4003
27.600000 96.124 152.0095
28.000000 96.095 151.5961
28.500000 96.076 150.8740
29.000000 96.037 149.9366
29.500000 95.961 149.0303
30.000000 95.875 148.3757
30.400000 95.831 148.0005
30.700001 95.819 147.7075
31.100000 95.820 147.1785
31.500000 95.815 146.4512
32.000000 95.763 145.4332
32.500000 95.659 144.6328
33.000000 95.556 144.2280
33.500000 95.500 144.0094
34.000000 95.484 143.6212
34.500000 95.456 142.9590
35.000000 95.386 142.2275
35.500000 95.291 141.6412
36.000000 95.203 141.2010
36.500000 95.130 140.7788
37.000000 95.063 140.3199
37.500000 95.000 139.8519
38.200001 94.935 139.1338
38.700001 94.893 138.5101
39.500000 94.806 137.5011
40.000000 94.755 136.9575
40.599998 94.706 136.2821
41.200001 94.635 135.5886
41.799999 94.540 135.1241
42.500000 94.460 134.8589
43.099998 94.418 134.4922
43.700001 94.346 133.9613
44.400002 94.230 133.4164
45.000000 94.138 132.9441
45.500000 94.060 132.4653
46.200001 93.967 131.6765
46.799999 93.936 130.4575
47.500000 93.805 127.8264
48.200001 93.334 125.5157
48.700001 92.900 125.7665
49.400002 92.674 128.4822
50.000000 92.939 129.8318
50.799999 93.266 128.4182
51.500000 93.276 126.9115
52.200001 93.270 126.4670
53.000000 93.332 126.0682
53.799999 93.325 125.5628
54.500000 93.281 125.4171
55.200001 93.231 125.2872
56.000000 93.125 124.9951
57.000000 92.921 124.6486
58.000000 92.683 124.1979
59.000000 92.397 123.7980
60.000000 92.170 124.1228
60.799999 92.158 124.3865
61.500000 92.223 124.0146
62.200001 92.279 123.2016
63.000000 92.298 122.0984
64.000000 92.231 121.2220
65.000000 92.220 121.4009
66.000000 92.323 121.2407
67.000000 92.373 120.7094
68.000000 92.444 119.8153
69.000000 92.383 117.9238
70.000000 92.117 116.5407
71.000000 91.842 116.0755
72.000000 91.618 116.0789
73.000000 91.494 116.1358
74.000000 91.406 115.6956
75.000000 91.285 115.1722
76.199997 91.169 114.9690
77.500000 91.177 114.5806
78.800003 91.143 113.4674
80.000000 91.056 112.9874
81.199997 91.003 112.6531
82.500000 90.909 112.1967
83.800003 90.777 111.8784
85.000000 90.677 111.5653
86.199997 90.575 110.7428
87.500000 90.419 109.8735
88.500000 90.320 109.3870
90.000000 90.199 108.8741
91.199997 90.138 108.6726
92.500000 90.070 108.3347
93.800003 89.967 107.9158
95.000000 89.854 107.4560
96.199997 89.728 106.7532
97.500000 89.571 106.2046
98.800003 89.509 105.9959
100.000000 89.503 105.4307
101.500000 89.437 104.8557
103.000000 89.377 104.8338
104.400002 89.350 104.3945
106.000000 89.213 103.4911
107.500000 89.091 102.8925
109.000000 88.991 102.0421
110.599998 88.877 101.4916
112.000000 88.794 101.1814
113.800003 88.671 101.2116
115.000000 88.621 101.2114
117.199997 88.482 100.6290
118.000000 88.422 100.4700
120.599998 88.276 99.7779
122.000000 88.195 99.3140
124.099998 88.089 98.7027
125.000000 88.043 98.3690
126.500000 87.948 97.8735
128.000000 87.858 97.6288
131.500000 87.713 96.8448
132.000000 87.684 96.7279
134.000000 87.570 96.4606
136.000000 87.473 96.2073
138.000000 87.355 95.7987
140.000000 87.218 95.4609
143.000000 87.081 94.7953
145.000000 86.984 94.1945
147.500000 86.860 93.7881
150.000000 86.767 93.4609
152.500000 86.674 92.9245
155.000000 86.561 92.4044
157.500000 86.445 92.1120
160.000000 86.342 91.7849
162.500000 86.248 91.4059
165.000000 86.169 91.0624
167.500000 86.095 90.6449
170.000000 86.013 90.1880
172.500000 85.932 89.7754
175.000000 85.855 89.3845
177.500000 85.780 88.9800
180.000000 85.703 88.5214
182.500000 85.626 88.0299
185.000000 85.540 87.5471
187.500000 85.452 87.1321
190.000000 85.368 86.6964
192.500000 85.284 86.2651
195.000000 85.202 85.8693
197.500000 85.128 85.5367
200.000000 85.063 85.2281
203.000000 84.985 84.8456
206.000000 84.898 84.4269
209.000000 84.808 83.9306
212.000000 84.717 83.4267
214.000000 84.659 83.1241
218.000000 84.553 82.5587
220.000000 84.502 82.2981
224.000000 84.400 81.8654
227.000000 84.331 81.5540
230.000000 84.262 81.2036
233.000000 84.186 80.8252
236.000000 84.105 80.4248
240.000000 84.005 79.9446
243.000000 83.938 79.6026
247.000000 83.852 79.2461
250.000000 83.795 79.0436
254.000000 83.716 78.7404
258.000000 83.634 78.4386
262.000000 83.547 78.0933
265.000000 83.492 77.8344
269.000000 83.441 77.5567
272.000000 83.416 77.3848
276.000000 83.403 77.1116
280.000000 83.397 76.7314
285.000000 83.373 76.0327
290.000000 83.325 75.1422
295.000000 83.258 74.2369
300.000000 83.183 73.4680
304.000000 83.118 72.9778
307.000000 83.069 72.6627
311.000000 83.004 72.2818
315.000000 82.940 71.8586
320.000000 82.861 71.2202
325.000000 82.788 70.5537
330.000000 82.716 69.9297
335.000000 82.643 69.4232
340.000000 82.570 69.0112
345.000000 82.499 68.6144
350.000000 82.424 68.2119
355.000000 82.354 67.7587
360.000000 82.284 67.2509
365.000000 82.213 66.7869
370.000000 82.148 66.3517
375.000000 82.086 65.9804
382.000000 81.994 65.6132
387.000000 81.931 65.3566
395.000000 81.834 64.8600
400.000000 81.777 64.5339
406.000000 81.713 64.1862
412.000000 81.645 63.8926
418.000000 81.584 63.6777
425.000000 81.521 63.4608
431.000000 81.464 63.2170
437.000000 81.410 62.9621
444.000000 81.359 62.6461
450.000000 81.319 62.3338
455.000000 81.285 62.0958
462.000000 81.231 61.8372
468.000000 81.186 61.6513
475.000000 81.142 61.4468
482.000000 81.105 61.1597
487.000000 81.078 60.9074
494.000000 81.033 60.5825
500.000000 80.995 60.3520
508.000000 80.950 60.0878
515.000000 80.904 59.9551
522.000000 80.854 59.8452
530.000000 80.801 59.6373
538.000000 80.757 59.3763
545.000000 80.726 59.1080
552.000000 80.697 58.8586
560.000000 80.657 58.6553
570.000000 80.597 58.4733
580.000000 80.532 58.3757
590.000000 80.470 58.2498
600.000000 80.417 58.0688
608.000000 80.377 57.9030
615.000000 80.348 57.7775
622.000000 80.323 57.6887
630.000000 80.285 57.6181
640.000000 80.232 57.5861
650.000000 80.180 57.5667
660.000000 80.127 57.5170
670.000000 80.074 57.5240
680.000000 80.017 57.5428
690.000000 79.955 57.6236
700.000000 79.897 57.7840
710.000000 79.842 57.9626
720.000000 79.792 58.0927
730.000000 79.752 58.2422
740.000000 79.714 58.4358
750.000000 79.678 58.6541
762.000000 79.629 59.0093
775.000000 79.563 59.4727
788.000000 79.501 60.0082
800.000000 79.452 60.5774
812.000000 79.413 61.1010
825.000000 79.384 61.7029
838.000000 79.367 62.3701
850.000000 79.354 63.0633
862.000000 79.343 63.8102
875.000000 79.343 64.6498
885.000000 79.351 65.3010
900.000000 79.377 66.3111
912.000000 79.407 67.1335
925.000000 79.446 68.0570
938.000000 79.491 69.0182
950.000000 79.549 69.8911
962.000000 79.618 70.7573
975.000000 79.704 71.6760
988.000000 79.807 72.5439
1000.000000 79.916 73.3061
1015.000000 80.060 74.2333
1030.000000 80.215 75.0935
1044.000000 80.366 75.8474
1060.000000 80.546 76.6644
1075.000000 80.726 77.3287
1090.000000 80.918 77.8931
1106.000000 81.133 78.3983
1120.000000 81.328 78.7533
1138.000000 81.575 79.1225
1150.000000 81.734 79.3262
1172.000000 82.023 79.6157
1180.000000 82.124 79.6888
1206.000000 82.463 79.8032
1220.000000 82.654 79.7510
1241.000000 82.934 79.5532
1250.000000 83.051 79.4544
1265.000000 83.242 79.2788
1280.000000 83.420 79.1054
1315.000000 83.826 78.5677
1320.000000 83.886 78.4639
1340.000000 84.122 77.9781
1360.000000 84.352 77.4465
1380.000000 84.573 76.9346
1400.000000 84.769 76.2987
1430.000000 85.032 75.4338
1450.000000 85.219 74.8425
1475.000000 85.474 73.8427
1500.000000 85.760 72.6815
1525.000000 86.024 71.5449
1550.000000 86.253 70.3373
1575.000000 86.445 69.0692
1600.000000 86.609 67.7046
1625.000000 86.763 66.2691
1650.000000 86.917 64.6582
1675.000000 87.065 62.9332
1700.000000 87.194 61.1495
1725.000000 87.282 59.3308
1750.000000 87.325 57.5190
1775.000000 87.324 55.7533
1800.000000 87.285 54.0141
1825.000000 87.215 52.3874
1850.000000 87.115 50.9237
1875.000000 86.984 49.6405
1900.000000 86.824 48.6280
1925.000000 86.639 47.9314
1950.000000 86.440 47.5425
1975.000000 86.245 47.4585
2000.000000 86.072 47.6534
2030.000000 85.909 48.1856
2060.000000 85.807 49.0276
2090.000000 85.764 50.0615
2120.000000 85.774 51.1605
2140.000000 85.807 51.8939
2180.000000 85.927 53.1960
2200.000000 86.011 53.6993
2240.000000 86.223 54.4142
2270.000000 86.414 54.6826
2300.000000 86.624 54.7199
2330.000000 86.840 54.5805
2360.000000 87.050 54.2831
2400.000000 87.314 53.6428
2430.000000 87.501 52.9906
2470.000000 87.740 51.8170
2500.000000 87.913 50.7131
2540.000000 88.128 49.0224
2580.000000 88.307 47.0914
2620.000000 88.422 45.0060
2650.000000 88.454 43.4297
2690.000000 88.418 41.3982
2720.000000 88.342 40.0590
2760.000000 88.204 38.6401
2800.000000 88.065 37.6837
2850.000000 87.943 37.0453
2900.000000 87.895 36.7011
2950.000000 87.880 36.3563
3000.000000 87.868 36.1302
3040.000000 87.878 35.9362
3070.000000 87.890 35.6978
3110.000000 87.891 35.3202
3150.000000 87.876 35.0205
3200.000000 87.854 34.8159
3250.000000 87.835 34.7902
3300.000000 87.830 34.9464
3350.000000 87.859 35.2950
3400.000000 87.942 35.7055
3450.000000 88.063 35.8974
3500.000000 88.173 35.9599
3550.000000 88.264 36.1492
3600.000000 88.381 36.4889
3650.000000 88.530 36.7787
3700.000000 88.698 36.9302
3750.000000 88.880 36.9528
3820.000000 89.155 36.8162
3870.000000 89.361 36.6080
3950.000000 89.695 36.1293
4000.000000 89.902 35.7456
4060.000000 90.152 35.1749
4120.000000 90.400 34.5108
4180.000000 90.649 33.7059
4250.000000 90.947 32.5406
4310.000000 91.199 31.3507
4370.000000 91.437 29.9433
4440.000000 91.675 28.0286
4500.000000 91.819 26.2604
4550.000000 91.890 24.8269
4620.000000 91.938 23.1226
4680.000000 91.977 22.0124
4750.000000 92.069 20.8564
4820.000000 92.205 19.5035
4870.000000 92.305 18.3156
4940.000000 92.412 16.3773
5000.000000 92.456 14.5947
5080.000000 92.443 12.2847
5150.000000 92.382 10.4259
5220.000000 92.287 8.7101
5300.000000 92.131 6.9605
5380.000000 91.935 5.6820
5450.000000 91.797 4.9781
5520.000000 91.712 4.1746
5600.000000 91.629 2.4945
5700.000000 91.204 -0.9373
5800.000000 90.201 -0.7108
5900.000000 89.657 4.2934
6000.000000 89.636 7.9504
6080.000000 89.678 9.9703
6150.000000 89.720 11.5989
6220.000000 89.781 13.2601
6300.000000 89.899 15.1914
6400.000000 90.140 17.5778
6500.000000 90.502 19.7293
6600.000000 90.986 21.3649
6700.000000 91.568 22.2215
6800.000000 92.212 22.0656
6900.000000 92.867 20.7292
7000.000000 93.467 18.3000
