* Measurement data measured by REW V5.30.9
* Source: External Mic (Realtek(R) Audio), MICROPHONE (Master Volume), R, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -9.0 dBFS with no timing reference
* Dated: 23/02/2024 1:07:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Noble Audio Spartacus R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 97.181 164.4117
20.299999 97.161 163.7605
20.600000 97.140 163.1290
20.900000 97.118 162.5228
21.200001 97.097 161.9445
21.400000 97.083 161.5727
21.799999 97.059 160.8483
22.000000 97.048 160.4871
22.400000 97.027 159.7468
22.700001 97.008 159.1699
23.000000 96.984 158.5811
23.299999 96.951 157.9969
23.600000 96.912 157.4378
24.000000 96.851 156.7596
24.299999 96.803 156.3090
24.700001 96.743 155.7735
25.000000 96.704 155.4031
25.400000 96.659 154.9220
25.799999 96.622 154.4282
26.200001 96.593 153.8967
26.500000 96.574 153.4607
26.900000 96.549 152.8212
27.200001 96.527 152.3033
27.600000 96.488 151.5903
28.000000 96.439 150.8992
28.500000 96.370 150.1271
29.000000 96.307 149.4522
29.500000 96.255 148.7950
30.000000 96.204 148.0972
30.400000 96.156 147.5314
30.700001 96.114 147.1313
31.100000 96.058 146.6520
31.500000 96.006 146.2240
32.000000 95.952 145.6926
32.500000 95.905 145.0966
33.000000 95.852 144.4376
33.500000 95.789 143.7668
34.000000 95.721 143.1201
34.500000 95.648 142.5159
35.000000 95.574 141.9898
35.500000 95.507 141.5741
36.000000 95.461 141.2322
36.500000 95.440 140.8529
37.000000 95.429 140.3399
37.500000 95.407 139.6909
38.200001 95.331 138.7314
38.700001 95.246 138.1790
39.500000 95.099 137.7039
40.000000 95.031 137.5551
40.599998 94.974 137.2842
41.200001 94.917 136.8471
41.799999 94.851 136.3560
42.500000 94.789 135.6954
43.099998 94.735 134.9338
43.700001 94.657 134.1432
44.400002 94.574 133.4330
45.000000 94.547 132.7825
45.500000 94.525 132.0543
46.200001 94.442 131.0757
46.799999 94.367 130.5823
47.500000 94.334 129.9877
48.200001 94.260 128.9918
48.700001 94.131 128.4378
49.400002 93.934 128.4439
50.000000 93.857 128.8018
50.799999 93.838 128.6722
51.500000 93.783 128.1788
52.200001 93.731 127.8459
53.000000 93.735 127.2524
53.799999 93.703 126.4987
54.500000 93.698 126.4753
55.200001 93.860 126.3766
56.000000 94.058 124.6662
57.000000 93.864 122.2021
58.000000 93.553 122.5451
59.000000 93.463 123.0344
60.000000 93.323 122.8587
60.799999 93.216 122.5886
61.500000 93.113 122.0342
62.200001 92.991 121.4515
63.000000 92.886 120.8387
64.000000 92.785 119.8455
65.000000 92.662 119.2002
66.000000 92.589 119.1866
67.000000 92.569 119.2405
68.000000 92.514 118.9923
69.000000 92.375 118.7055
70.000000 92.213 118.2910
71.000000 92.014 117.4709
72.000000 91.812 116.6447
73.000000 91.688 115.7237
74.000000 91.632 114.7448
75.000000 91.662 113.7795
76.199997 91.683 112.4216
77.500000 91.608 111.9202
78.800003 91.545 112.0501
80.000000 91.460 112.1009
81.199997 91.335 111.8737
82.500000 91.174 111.5900
83.800003 91.068 111.1100
85.000000 90.985 110.3753
86.199997 90.880 109.6396
87.500000 90.759 109.2150
88.500000 90.685 108.9299
90.000000 90.559 108.3669
91.199997 90.451 107.9434
92.500000 90.347 107.4926
93.800003 90.251 107.0518
95.000000 90.165 106.7690
96.199997 90.100 106.6441
97.500000 90.054 106.3088
98.800003 89.967 105.6358
100.000000 89.830 105.0921
101.500000 89.664 104.8697
103.000000 89.574 104.6257
104.400002 89.500 104.0963
106.000000 89.401 103.6862
107.500000 89.344 103.3665
109.000000 89.268 102.8644
110.599998 89.159 102.4700
112.000000 89.072 102.1255
113.800003 88.946 101.4683
115.000000 88.854 101.0778
117.199997 88.709 100.4691
118.000000 88.664 100.2770
120.599998 88.523 99.6751
122.000000 88.441 99.4030
124.099998 88.322 99.0171
125.000000 88.272 98.8330
126.500000 88.192 98.5057
128.000000 88.110 98.1763
131.500000 87.933 97.5269
132.000000 87.911 97.4423
134.000000 87.833 97.1029
136.000000 87.764 96.7380
138.000000 87.687 96.2890
140.000000 87.592 95.8058
143.000000 87.449 95.1164
145.000000 87.369 94.6307
147.500000 87.260 94.0796
150.000000 87.151 93.6703
152.500000 87.045 93.2137
155.000000 86.944 92.7242
157.500000 86.844 92.2135
160.000000 86.745 91.7411
162.500000 86.652 91.2919
165.000000 86.563 90.8206
167.500000 86.465 90.3728
170.000000 86.369 89.9723
172.500000 86.281 89.5665
175.000000 86.196 89.1367
177.500000 86.107 88.7220
180.000000 86.024 88.3263
182.500000 85.951 87.9043
185.000000 85.875 87.4626
187.500000 85.792 87.0371
190.000000 85.704 86.6292
192.500000 85.623 86.2955
195.000000 85.557 86.0051
197.500000 85.495 85.6718
200.000000 85.431 85.3344
203.000000 85.354 84.9565
206.000000 85.268 84.5794
209.000000 85.179 84.1461
212.000000 85.104 83.6713
214.000000 85.063 83.3784
218.000000 84.971 82.7894
220.000000 84.920 82.5197
224.000000 84.823 81.9515
227.000000 84.748 81.5194
230.000000 84.677 81.1057
233.000000 84.608 80.6782
236.000000 84.539 80.2643
240.000000 84.448 79.7641
243.000000 84.382 79.4000
247.000000 84.295 78.9328
250.000000 84.234 78.5878
254.000000 84.153 78.1314
258.000000 84.072 77.6656
262.000000 83.998 77.1871
265.000000 83.946 76.8260
269.000000 83.874 76.3763
272.000000 83.821 76.0531
276.000000 83.751 75.6361
280.000000 83.681 75.2240
285.000000 83.600 74.6748
290.000000 83.526 74.1655
295.000000 83.452 73.6699
300.000000 83.371 73.1972
304.000000 83.309 72.7921
307.000000 83.267 72.5121
311.000000 83.212 72.1291
315.000000 83.157 71.7271
320.000000 83.085 71.2355
325.000000 83.022 70.8282
330.000000 82.965 70.4517
335.000000 82.904 70.0017
340.000000 82.841 69.5649
345.000000 82.781 69.1570
350.000000 82.726 68.7660
355.000000 82.672 68.3652
360.000000 82.618 67.9417
365.000000 82.567 67.5426
370.000000 82.519 67.1571
375.000000 82.465 66.7951
382.000000 82.391 66.3301
387.000000 82.346 66.0178
395.000000 82.269 65.4752
400.000000 82.217 65.1449
406.000000 82.162 64.7691
412.000000 82.109 64.4419
418.000000 82.055 64.0684
425.000000 82.001 63.6600
431.000000 81.956 63.3286
437.000000 81.907 62.9747
444.000000 81.849 62.5489
450.000000 81.800 62.1958
455.000000 81.763 61.9568
462.000000 81.711 61.6391
468.000000 81.667 61.3486
475.000000 81.618 61.0562
482.000000 81.569 60.7568
487.000000 81.535 60.5390
494.000000 81.487 60.2867
500.000000 81.451 60.0860
508.000000 81.405 59.7774
515.000000 81.362 59.5351
522.000000 81.319 59.2950
530.000000 81.272 59.0790
538.000000 81.229 58.8654
545.000000 81.189 58.6388
552.000000 81.147 58.4238
560.000000 81.104 58.2600
570.000000 81.061 58.0943
580.000000 81.019 57.8573
590.000000 80.964 57.6149
600.000000 80.901 57.4247
608.000000 80.856 57.3007
615.000000 80.825 57.2156
622.000000 80.795 57.1349
630.000000 80.757 57.0427
640.000000 80.713 56.9617
650.000000 80.669 56.8719
660.000000 80.620 56.7959
670.000000 80.573 56.7808
680.000000 80.525 56.7925
690.000000 80.474 56.8383
700.000000 80.429 56.8811
710.000000 80.383 56.9507
720.000000 80.339 57.0451
730.000000 80.298 57.1647
740.000000 80.254 57.2899
750.000000 80.212 57.4443
762.000000 80.163 57.7127
775.000000 80.109 58.0519
788.000000 80.059 58.4189
800.000000 80.016 58.8073
812.000000 79.977 59.2431
825.000000 79.939 59.7767
838.000000 79.911 60.3330
850.000000 79.888 60.9033
862.000000 79.872 61.5256
875.000000 79.864 62.1907
885.000000 79.857 62.7318
900.000000 79.860 63.6340
912.000000 79.870 64.3561
925.000000 79.888 65.1906
938.000000 79.916 66.0537
950.000000 79.956 66.8239
962.000000 80.007 67.6252
975.000000 80.071 68.4973
988.000000 80.149 69.3113
1000.000000 80.234 70.0807
1015.000000 80.351 71.0090
1030.000000 80.479 71.8771
1044.000000 80.604 72.6597
1060.000000 80.758 73.4928
1075.000000 80.914 74.2017
1090.000000 81.076 74.8194
1106.000000 81.261 75.4008
1120.000000 81.428 75.8374
1138.000000 81.643 76.3000
1150.000000 81.788 76.5743
1172.000000 82.057 76.9886
1180.000000 82.153 77.1069
1206.000000 82.464 77.3714
1220.000000 82.631 77.4488
1241.000000 82.878 77.5239
1250.000000 82.985 77.5201
1265.000000 83.163 77.4690
1280.000000 83.336 77.3932
1315.000000 83.738 77.1136
1320.000000 83.794 77.0615
1340.000000 84.014 76.8125
1360.000000 84.232 76.5381
1380.000000 84.446 76.2245
1400.000000 84.656 75.8483
1430.000000 84.979 75.2683
1450.000000 85.198 74.7943
1475.000000 85.476 74.0547
1500.000000 85.745 73.1386
1525.000000 85.991 72.1100
1550.000000 86.227 71.0698
1575.000000 86.450 69.9482
1600.000000 86.663 68.7671
1625.000000 86.869 67.5228
1650.000000 87.058 66.1621
1675.000000 87.239 64.7289
1700.000000 87.400 63.2013
1725.000000 87.544 61.5736
1750.000000 87.666 59.8799
1775.000000 87.758 58.1176
1800.000000 87.822 56.3223
1825.000000 87.853 54.5096
1850.000000 87.848 52.7007
1875.000000 87.808 50.9691
1900.000000 87.733 49.3642
1925.000000 87.626 47.8975
1950.000000 87.489 46.6210
1975.000000 87.331 45.6082
2000.000000 87.160 44.8607
2030.000000 86.950 44.3035
2060.000000 86.750 44.1482
2090.000000 86.569 44.3012
2120.000000 86.416 44.7266
2140.000000 86.337 45.1588
2180.000000 86.238 46.1917
2200.000000 86.220 46.7529
2240.000000 86.246 47.8958
2270.000000 86.313 48.6598
2300.000000 86.418 49.3234
2330.000000 86.555 49.8338
2360.000000 86.717 50.1417
2400.000000 86.961 50.2767
2430.000000 87.155 50.1384
2470.000000 87.420 49.6004
2500.000000 87.615 48.9420
2540.000000 87.855 47.7247
2580.000000 88.058 46.1205
2620.000000 88.200 44.2332
2650.000000 88.255 42.7419
2690.000000 88.262 40.8236
2720.000000 88.224 39.5895
2760.000000 88.144 38.3030
2800.000000 88.061 37.3613
2850.000000 87.976 36.5611
2900.000000 87.908 35.9364
2950.000000 87.851 35.4977
3000.000000 87.805 35.2127
3040.000000 87.782 35.0600
3070.000000 87.773 34.9918
3110.000000 87.771 34.9230
3150.000000 87.782 34.8632
3200.000000 87.807 34.8239
3250.000000 87.840 34.8191
3300.000000 87.882 34.8479
3350.000000 87.931 34.9137
3400.000000 87.987 35.0251
3450.000000 88.053 35.1609
3500.000000 88.132 35.3534
3550.000000 88.227 35.5638
3600.000000 88.338 35.7804
3650.000000 88.463 36.0280
3700.000000 88.603 36.2359
3750.000000 88.756 36.4256
3820.000000 88.989 36.6981
3870.000000 89.178 36.8235
3950.000000 89.513 36.8918
4000.000000 89.739 36.7978
4060.000000 90.022 36.5382
4120.000000 90.313 36.1211
4180.000000 90.610 35.5291
4250.000000 90.959 34.6388
4310.000000 91.259 33.6809
4370.000000 91.559 32.5080
4440.000000 91.897 30.8449
4500.000000 92.167 29.1297
4550.000000 92.369 27.5062
4620.000000 92.603 25.0149
4680.000000 92.755 22.7363
4750.000000 92.871 19.9646
4820.000000 92.916 17.1949
4870.000000 92.904 15.2552
4940.000000 92.830 12.6429
5000.000000 92.706 10.6451
5080.000000 92.479 8.5184
5150.000000 92.265 7.2280
5220.000000 92.070 6.4143
5300.000000 91.892 5.8196
5380.000000 91.783 5.3768
5450.000000 91.749 4.8199
5520.000000 91.749 3.6607
5600.000000 91.673 1.0387
5700.000000 90.985 -2.6484
5800.000000 89.935 -0.3919
5900.000000 89.555 4.5415
6000.000000 89.523 8.0078
6080.000000 89.548 10.3378
6150.000000 89.601 12.3766
6220.000000 89.702 14.4608
6300.000000 89.896 16.8265
6400.000000 90.269 19.5883
6500.000000 90.793 21.8047
6600.000000 91.450 23.0656
6700.000000 92.183 23.0741
6800.000000 92.926 21.6450
6900.000000 93.599 18.8840
7000.000000 94.139 15.1415
