* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 09/11/2023 11:00:30 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Noble Stage 3 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.165	-172.9048
20.299999	102.168	-173.2364
20.600000	102.166	-173.5699
20.900000	102.158	-173.8815
21.200001	102.147	-174.1500
21.400000	102.140	-174.3011
21.799999	102.132	-174.5487
22.000000	102.131	-174.6569
22.400000	102.138	-174.8757
22.700001	102.148	-175.0662
23.000000	102.157	-175.2897
23.299999	102.163	-175.5347
23.600000	102.162	-175.7805
24.000000	102.154	-176.0734
24.299999	102.146	-176.2495
24.700001	102.139	-176.4339
25.000000	102.139	-176.5604
25.400000	102.145	-176.7551
25.799999	102.151	-177.0071
26.200001	102.150	-177.3046
26.500000	102.143	-177.5318
26.900000	102.127	-177.8076
27.200001	102.113	-177.9816
27.600000	102.096	-178.1731
28.000000	102.084	-178.3402
28.500000	102.076	-178.5524
29.000000	102.074	-178.7944
29.500000	102.073	-179.0742
30.000000	102.070	-179.3850
30.400000	102.063	-179.6405
30.700001	102.056	-179.8245
31.100000	102.045	179.9532
31.500000	102.034	179.7601
32.000000	102.024	179.5442
32.500000	102.019	179.3275
33.000000	102.013	179.0982
33.500000	102.004	178.8723
34.000000	101.993	178.6696
34.500000	101.984	178.4897
35.000000	101.977	178.3159
35.500000	101.972	178.1327
36.000000	101.966	177.9370
36.500000	101.958	177.7332
37.000000	101.949	177.5284
37.500000	101.937	177.3303
38.200001	101.919	177.0714
38.700001	101.908	176.8927
39.500000	101.889	176.5991
40.000000	101.875	176.4170
40.599998	101.858	176.2111
41.200001	101.842	176.0141
41.799999	101.827	175.8194
42.500000	101.811	175.5997
43.099998	101.800	175.4114
43.700001	101.790	175.2068
44.400002	101.777	174.9622
45.000000	101.767	174.7701
45.500000	101.760	174.6156
46.200001	101.751	174.4019
46.799999	101.744	174.2557
47.500000	101.750	174.1109
48.200001	101.767	173.8333
48.700001	101.766	173.5239
49.400002	101.729	173.1230
50.000000	101.680	172.9838
50.799999	101.639	173.0056
51.500000	101.625	172.9833
52.200001	101.611	172.8853
53.000000	101.591	172.7595
53.799999	101.573	172.6141
54.500000	101.556	172.4688
55.200001	101.541	172.3187
56.000000	101.525	172.1346
57.000000	101.507	171.9095
58.000000	101.495	171.6763
59.000000	101.480	171.3991
60.000000	101.458	171.1566
60.799999	101.443	170.9814
61.500000	101.429	170.8108
62.200001	101.413	170.6347
63.000000	101.391	170.4551
64.000000	101.368	170.2531
65.000000	101.349	170.0358
66.000000	101.328	169.8068
67.000000	101.307	169.5903
68.000000	101.285	169.3862
69.000000	101.261	169.1883
70.000000	101.236	169.0020
71.000000	101.209	168.8293
72.000000	101.182	168.6763
73.000000	101.161	168.5146
74.000000	101.140	168.3143
75.000000	101.115	168.1097
76.199997	101.084	167.8926
77.500000	101.053	167.6799
78.800003	101.026	167.4669
80.000000	100.998	167.2590
81.199997	100.968	167.0639
82.500000	100.935	166.8674
83.800003	100.903	166.6660
85.000000	100.872	166.4821
86.199997	100.842	166.3049
87.500000	100.810	166.1243
88.500000	100.786	165.9950
90.000000	100.753	165.8058
91.199997	100.726	165.6438
92.500000	100.695	165.4667
93.800003	100.665	165.2887
95.000000	100.637	165.1128
96.199997	100.610	164.9314
97.500000	100.579	164.7292
98.800003	100.545	164.5322
100.000000	100.512	164.3837
101.500000	100.474	164.2164
103.000000	100.434	164.0590
104.400002	100.399	163.9185
106.000000	100.359	163.7375
107.500000	100.319	163.5664
109.000000	100.275	163.4164
110.599998	100.230	163.2876
112.000000	100.193	163.1809
113.800003	100.149	163.0488
115.000000	100.123	162.9553
117.199997	100.076	162.7522
118.000000	100.058	162.6763
120.599998	99.991	162.4485
122.000000	99.954	162.3277
124.099998	99.896	162.1417
125.000000	99.870	162.0612
126.500000	99.826	161.9302
128.000000	99.780	161.8157
131.500000	99.667	161.6625
132.000000	99.651	161.6550
134.000000	99.587	161.6470
136.000000	99.523	161.6840
138.000000	99.460	161.7852
