* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 09/11/2023 10:59:31 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Noble Stage 3 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.739	-172.4059
20.299999	101.737	-172.7649
20.600000	101.725	-173.0987
20.900000	101.708	-173.3800
21.200001	101.689	-173.5947
21.400000	101.679	-173.7064
21.799999	101.669	-173.8869
22.000000	101.669	-173.9763
22.400000	101.678	-174.1964
22.700001	101.687	-174.4136
23.000000	101.694	-174.6691
23.299999	101.695	-174.9373
23.600000	101.691	-175.1948
24.000000	101.684	-175.4973
24.299999	101.682	-175.6968
24.700001	101.684	-175.9554
25.000000	101.688	-176.1670
25.400000	101.694	-176.4853
25.799999	101.694	-176.8251
26.200001	101.686	-177.1462
26.500000	101.678	-177.3565
26.900000	101.667	-177.5937
27.200001	101.661	-177.7503
27.600000	101.657	-177.9519
28.000000	101.655	-178.1630
28.500000	101.652	-178.4436
29.000000	101.645	-178.7233
29.500000	101.635	-178.9848
30.000000	101.626	-179.2291
30.400000	101.620	-179.4227
30.700001	101.616	-179.5722
31.100000	101.611	-179.7789
31.500000	101.604	-179.9895
32.000000	101.594	179.7542
32.500000	101.584	179.5145
33.000000	101.576	179.2854
33.500000	101.569	179.0549
34.000000	101.563	178.8186
34.500000	101.555	178.5823
35.000000	101.546	178.3511
35.500000	101.536	178.1250
36.000000	101.524	177.9068
36.500000	101.509	177.7055
37.000000	101.495	177.5251
37.500000	101.484	177.3530
38.200001	101.471	177.0934
38.700001	101.461	176.8933
39.500000	101.444	176.5752
40.000000	101.436	176.3724
40.599998	101.424	176.1193
41.200001	101.410	175.8882
41.799999	101.397	175.7106
42.500000	101.390	175.5459
43.099998	101.390	175.3948
43.700001	101.390	175.2171
44.400002	101.382	174.9818
45.000000	101.362	174.7963
45.500000	101.341	174.6877
46.200001	101.313	174.5523
46.799999	101.283	174.3543
47.500000	101.212	174.1686
48.200001	101.136	174.3755
48.700001	101.129	174.6836
49.400002	101.195	174.7787
50.000000	101.250	174.3102
50.799999	101.239	173.4514
51.500000	101.194	173.0062
52.200001	101.173	172.7309
53.000000	101.163	172.3782
53.799999	101.148	172.0799
54.500000	101.139	171.8969
55.200001	101.134	171.7312
56.000000	101.125	171.5583
57.000000	101.110	171.3603
58.000000	101.090	171.1493
