* Measurement data measured by REW V5.30.8
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.5 dBFS with no timing reference
* Dated: 16/02/2024 11:41:26 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Noble Audio XM-1 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 95.476 -160.2976
20.299999 95.502 -162.7316
20.600000 95.396 -164.8965
20.900000 95.208 -166.5013
21.200001 95.006 -167.4927
21.400000 94.891 -167.9062
21.799999 94.731 -168.5613
22.000000 94.676 -168.9724
22.400000 94.563 -170.1121
22.700001 94.441 -171.1131
23.000000 94.283 -172.0180
23.299999 94.114 -172.6737
23.600000 93.972 -173.0683
24.000000 93.868 -173.4446
24.299999 93.852 -173.8712
24.700001 93.869 -174.8369
25.000000 93.876 -175.8046
25.400000 93.859 -177.1747
25.799999 93.828 -178.4000
26.200001 93.816 -179.4239
26.500000 93.828 179.8729
26.900000 93.861 178.9261
27.200001 93.886 178.2010
27.600000 93.907 177.2787
28.000000 93.918 176.4792
28.500000 93.934 175.6276
29.000000 93.947 174.7631
29.500000 93.918 173.8054
30.000000 93.811 172.9948
30.400000 93.682 172.7289
30.700001 93.589 172.8341
31.100000 93.515 173.2678
31.500000 93.532 173.6718
32.000000 93.645 173.4392
32.500000 93.732 172.1065
33.000000 93.674 170.1904
33.500000 93.473 168.5709
34.000000 93.235 167.7250
34.500000 93.060 167.4159
35.000000 92.944 167.2046
35.500000 92.842 167.1267
36.000000 92.783 167.4462
36.500000 92.850 167.8798
37.000000 93.028 167.6260
37.500000 93.174 166.3126
38.200001 93.103 163.8083
38.700001 92.889 162.6773
39.500000 92.552 162.3748
40.000000 92.399 162.5280
40.599998 92.248 162.8398
41.200001 92.187 163.2202
41.799999 92.246 162.9409
42.500000 92.288 161.2161
43.099998 92.171 159.4250
43.700001 91.995 158.3165
44.400002 91.899 157.7501
45.000000 91.916 157.1622
45.500000 91.942 156.4720
46.200001 91.948 155.4864
46.799999 91.918 154.8914
47.500000 91.865 154.7689
48.200001 91.865 155.0782
48.700001 91.898 155.1333
49.400002 91.895 154.7780
50.000000 91.807 154.4560
50.799999 91.659 154.2523
51.500000 91.517 153.8341
52.200001 91.313 153.2910
53.000000 91.083 152.6843
53.799999 90.828 151.4806
54.500000 90.446 150.9151
55.200001 90.131 152.3479
56.000000 90.256 154.3562
57.000000 90.611 153.0976
58.000000 90.548 151.0430
59.000000 90.443 150.8018
60.000000 90.435 150.8017
60.799999 90.439 150.6650
61.500000 90.454 150.2755
62.200001 90.434 149.3889
63.000000 90.275 148.1612
64.000000 89.960 147.8602
65.000000 89.840 148.1746
66.000000 89.740 147.1037
67.000000 89.436 146.5216
68.000000 89.244 147.2863
69.000000 89.226 147.3848
70.000000 89.180 146.7188
71.000000 89.090 145.7689
72.000000 88.892 145.0700
73.000000 88.717 145.7276
74.000000 88.739 146.5563
75.000000 88.760 146.5653
76.199997 88.658 147.0328
77.500000 88.586 148.0621
78.800003 88.425 148.3976
80.000000 88.199 149.3134
81.199997 88.103 149.7023
82.500000 87.929 148.6126
83.800003 87.639 147.8259
85.000000 87.505 147.8969
86.199997 87.508 147.3608
87.500000 87.459 147.3372
88.500000 87.543 148.1172
90.000000 87.779 148.3616
91.199997 87.803 147.3033
92.500000 87.398 146.3564
93.800003 86.815 148.0388
95.000000 86.551 150.1467
96.199997 86.525 150.6964
97.500000 86.665 149.4190
98.800003 86.740 146.8787
100.000000 86.631 145.8914
101.500000 86.613 148.0147
103.000000 86.568 149.4236
104.400002 86.251 152.6469
106.000000 86.174 154.8893
107.500000 86.029 154.0648
109.000000 86.003 153.1053
110.599998 86.299 151.8993
112.000000 86.543 150.1238
113.800003 86.546 149.0303
115.000000 86.454 149.1097
117.199997 86.221 149.2505
118.000000 86.146 149.1450
120.599998 85.946 148.5932
122.000000 85.850 148.6265
124.099998 85.711 149.0804
125.000000 85.648 149.1997
126.500000 85.536 149.2470
128.000000 85.428 149.1826
131.500000 85.220 149.1415
132.000000 85.184 149.1925
134.000000 85.036 149.6288
136.000000 84.906 150.0882
138.000000 84.778 150.3717
140.000000 84.658 150.8385
143.000000 84.535 151.5853
145.000000 84.471 152.0117
147.500000 84.390 152.4521
150.000000 84.313 152.9087
152.500000 84.255 153.1250
155.000000 84.192 153.1713
157.500000 84.112 153.1954
160.000000 84.019 153.3389
162.500000 83.921 153.4881
165.000000 83.815 153.6414
167.500000 83.699 153.8276
170.000000 83.584 154.1094
172.500000 83.474 154.4250
175.000000 83.371 154.7158
177.500000 83.271 154.9881
180.000000 83.171 155.3171
182.500000 83.066 155.6533
185.000000 82.959 155.9870
187.500000 82.865 156.3354
190.000000 82.779 156.7253
192.500000 82.688 157.1068
195.000000 82.592 157.4263
197.500000 82.501 157.7319
200.000000 82.413 158.1002
203.000000 82.304 158.6878
206.000000 82.197 159.2023
209.000000 82.088 159.6479
212.000000 81.989 160.2648
214.000000 81.924 160.7149
218.000000 81.789 161.5743
220.000000 81.726 161.9472
224.000000 81.606 162.6381
227.000000 81.514 163.2444
230.000000 81.425 163.8604
233.000000 81.344 164.5074
236.000000 81.282 165.2685
240.000000 81.215 166.3474
243.000000 81.177 167.1489
247.000000 81.154 168.0788
250.000000 81.142 168.5732
254.000000 81.109 169.0024
258.000000 81.060 169.3342
262.000000 81.001 169.7218
265.000000 80.946 169.9116
269.000000 80.846 170.1998
272.000000 80.769 170.5880
276.000000 80.673 171.2070
280.000000 80.582 171.7847
285.000000 80.474 172.5584
290.000000 80.371 173.3549
295.000000 80.263 174.1761
300.000000 80.171 175.1066
304.000000 80.096 175.7158
307.000000 80.043 176.1628
311.000000 79.979 176.7991
315.000000 79.914 177.4922
320.000000 79.832 178.3648
325.000000 79.753 179.1898
330.000000 79.676 -179.9659
335.000000 79.599 -179.1483
340.000000 79.529 -178.3473
345.000000 79.458 -177.5165
350.000000 79.383 -176.7280
355.000000 79.321 -175.9673
360.000000 79.267 -175.0667
365.000000 79.204 -174.2297
370.000000 79.138 -173.3974
375.000000 79.070 -172.5193
382.000000 78.986 -171.3488
387.000000 78.931 -170.5389
395.000000 78.846 -169.2469
400.000000 78.796 -168.4346
406.000000 78.742 -167.4505
412.000000 78.688 -166.4903
418.000000 78.632 -165.5199
425.000000 78.572 -164.3629
431.000000 78.525 -163.3898
437.000000 78.486 -162.3962
444.000000 78.419 -161.2746
450.000000 78.357 -160.3739
455.000000 78.316 -159.5965
462.000000 78.267 -158.4843
468.000000 78.225 -157.5196
475.000000 78.176 -156.4055
482.000000 78.132 -155.3420
487.000000 78.104 -154.5676
494.000000 78.064 -153.4669
500.000000 78.029 -152.5159
508.000000 77.980 -151.2596
515.000000 77.942 -150.1643
522.000000 77.909 -149.0877
530.000000 77.871 -147.8682
538.000000 77.834 -146.6557
545.000000 77.804 -145.6006
552.000000 77.777 -144.5491
560.000000 77.749 -143.3360
570.000000 77.714 -141.8411
580.000000 77.679 -140.3582
590.000000 77.641 -138.8158
600.000000 77.610 -137.2566
608.000000 77.590 -136.0637
615.000000 77.574 -135.0270
622.000000 77.559 -134.0047
630.000000 77.547 -132.8489
640.000000 77.533 -131.3762
650.000000 77.518 -129.8616
660.000000 77.504 -128.3653
670.000000 77.490 -126.8971
680.000000 77.478 -125.4384
690.000000 77.470 -123.9710
700.000000 77.468 -122.4991
710.000000 77.467 -121.0258
720.000000 77.470 -119.5534
730.000000 77.476 -118.0689
740.000000 77.486 -116.5850
750.000000 77.500 -115.1283
762.000000 77.526 -113.3816
775.000000 77.558 -111.4831
788.000000 77.586 -109.5532
800.000000 77.612 -107.7833
812.000000 77.642 -106.0237
825.000000 77.684 -104.1218
838.000000 77.738 -102.2459
850.000000 77.795 -100.5496
862.000000 77.858 -98.8784
875.000000 77.930 -97.0652
885.000000 77.986 -95.6726
900.000000 78.072 -93.6046
912.000000 78.145 -91.9667
925.000000 78.231 -90.2270
938.000000 78.323 -88.5372
950.000000 78.412 -87.0071
962.000000 78.505 -85.4968
975.000000 78.610 -83.8947
988.000000 78.718 -82.3303
1000.000000 78.820 -80.9259
1015.000000 78.952 -79.2226
1030.000000 79.086 -77.5532
1044.000000 79.211 -76.0485
1060.000000 79.354 -74.3958
1075.000000 79.486 -72.8866
1090.000000 79.619 -71.4248
1106.000000 79.761 -69.9124
1120.000000 79.885 -68.6344
1138.000000 80.047 -67.0436
1150.000000 80.153 -66.0043
1172.000000 80.345 -64.1584
1180.000000 80.413 -63.5024
1206.000000 80.625 -61.4211
1220.000000 80.734 -60.3192
1241.000000 80.895 -58.6847
1250.000000 80.963 -58.0012
1265.000000 81.075 -56.8803
1280.000000 81.187 -55.7654
1315.000000 81.444 -53.1693
1320.000000 81.480 -52.8042
1340.000000 81.625 -51.3609
1360.000000 81.768 -49.9266
1380.000000 81.907 -48.4876
1400.000000 82.045 -47.0629
1430.000000 82.249 -44.9087
1450.000000 82.387 -43.4534
1475.000000 82.563 -41.6324
1500.000000 82.739 -39.8095
1525.000000 82.919 -38.0045
1550.000000 83.101 -36.2255
1575.000000 83.285 -34.4614
1600.000000 83.468 -32.7109
1625.000000 83.652 -30.9810
1650.000000 83.840 -29.2699
1675.000000 84.037 -27.5891
1700.000000 84.240 -25.9385
1725.000000 84.445 -24.3123
1750.000000 84.649 -22.7132
1775.000000 84.854 -21.1355
1800.000000 85.062 -19.5766
1825.000000 85.276 -18.0475
1850.000000 85.500 -16.5575
1875.000000 85.732 -15.1110
1900.000000 85.970 -13.7202
1925.000000 86.212 -12.4015
1950.000000 86.454 -11.1578
1975.000000 86.696 -9.9829
2000.000000 86.939 -8.8659
2030.000000 87.232 -7.5951
2060.000000 87.527 -6.4050
2090.000000 87.823 -5.2992
2120.000000 88.118 -4.2781
2140.000000 88.314 -3.6430
2180.000000 88.708 -2.4934
2200.000000 88.907 -1.9892
2240.000000 89.310 -1.1181
2270.000000 89.612 -0.5983
2300.000000 89.911 -0.2222
2330.000000 90.201 0.0075
2360.000000 90.480 0.1022
2400.000000 90.828 0.0524
2430.000000 91.074 -0.1115
2470.000000 91.378 -0.4917
2500.000000 91.586 -0.8711
2540.000000 91.834 -1.4802
2580.000000 92.046 -2.1802
2620.000000 92.221 -2.9399
2650.000000 92.327 -3.5257
2690.000000 92.435 -4.2975
2720.000000 92.493 -4.8508
2760.000000 92.541 -5.5203
2800.000000 92.559 -6.0803
2850.000000 92.548 -6.6060
2900.000000 92.509 -6.8977
2950.000000 92.453 -6.9315
3000.000000 92.391 -6.6968
3040.000000 92.348 -6.3485
3070.000000 92.322 -6.0231
3110.000000 92.297 -5.5409
3150.000000 92.278 -5.0573
3200.000000 92.260 -4.4506
3250.000000 92.240 -3.7764
3300.000000 92.224 -3.0011
3350.000000 92.218 -2.1467
3400.000000 92.230 -1.2607
3450.000000 92.261 -0.3796
3500.000000 92.315 0.4493
3550.000000 92.388 1.1873
3600.000000 92.475 1.8064
3650.000000 92.573 2.2682
3700.000000 92.678 2.5465
3750.000000 92.784 2.6448
3820.000000 92.924 2.4417
3870.000000 93.014 2.0199
3950.000000 93.121 0.8201
4000.000000 93.143 -0.2396
4060.000000 93.111 -1.7537
4120.000000 93.007 -3.4067
4180.000000 92.824 -5.0603
4250.000000 92.515 -6.8202
4310.000000 92.178 -8.0680
4370.000000 91.784 -8.9954
4440.000000 91.270 -9.6022
4500.000000 90.800 -9.6972
4550.000000 90.398 -9.4721
4620.000000 89.836 -8.7032
4680.000000 89.364 -7.6668
4750.000000 88.836 -6.0731
4820.000000 88.333 -4.1039
4870.000000 87.993 -2.5044
4940.000000 87.545 -0.0401
5000.000000 87.193 2.2508
5080.000000 86.768 5.5001
5150.000000 86.440 8.4888
5220.000000 86.154 11.5759
5300.000000 85.879 15.1811
5380.000000 85.657 18.8414
5450.000000 85.502 22.0685
5520.000000 85.386 25.2983
5600.000000 85.299 28.9639
5700.000000 85.257 33.4649
