* Measurement data measured by REW V5.30.8
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -18.5 dBFS with no timing reference
* Dated: 16/02/2024 11:38:48 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Noble Audio XM-1 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 94.444 -158.8875
20.299999 94.439 -159.3069
20.600000 94.483 -159.8551
20.900000 94.549 -160.6669
21.200001 94.606 -161.7435
21.400000 94.628 -162.5566
21.799999 94.624 -164.2155
22.000000 94.600 -164.9777
22.400000 94.536 -166.2436
22.700001 94.494 -166.9671
23.000000 94.474 -167.5740
23.299999 94.478 -168.1703
23.600000 94.499 -168.8505
24.000000 94.533 -169.9678
24.299999 94.545 -170.9493
24.700001 94.529 -172.3528
25.000000 94.491 -173.3970
25.400000 94.411 -174.6759
25.799999 94.308 -175.7388
26.200001 94.199 -176.5130
26.500000 94.128 -176.8887
26.900000 94.071 -177.1828
27.200001 94.069 -177.3647
27.600000 94.109 -177.7731
28.000000 94.161 -178.4991
28.500000 94.166 -179.6324
29.000000 94.097 179.6277
29.500000 94.068 179.5959
30.000000 94.180 179.5400
30.400000 94.314 178.7883
30.700001 94.366 177.7676
31.100000 94.304 176.2413
31.500000 94.094 175.2763
32.000000 93.807 175.6709
32.500000 93.769 177.0695
33.000000 93.991 177.3362
33.500000 94.171 175.6444
34.000000 94.091 173.1780
34.500000 93.816 171.5013
35.000000 93.584 170.9774
35.500000 93.525 170.5498
36.000000 93.520 169.3206
36.500000 93.424 167.6855
37.000000 93.253 166.5652
37.500000 93.151 166.1885
38.200001 93.229 165.5790
38.700001 93.313 164.4211
39.500000 93.273 162.2094
40.000000 93.156 161.3176
40.599998 92.995 160.9941
41.200001 92.871 161.2874
41.799999 92.809 161.7488
42.500000 92.760 162.0966
43.099998 92.715 162.3569
43.700001 92.713 162.4625
44.400002 92.729 161.6721
45.000000 92.608 160.4445
45.500000 92.397 159.8817
46.200001 92.165 160.4116
46.799999 92.177 160.9726
47.500000 92.268 160.3984
48.200001 92.243 159.2475
48.700001 92.186 158.6481
49.400002 92.120 158.0013
50.000000 92.052 157.3741
50.799999 91.894 156.7607
51.500000 91.757 156.7184
52.200001 91.690 156.7153
53.000000 91.637 156.0758
53.799999 91.486 155.1815
54.500000 91.329 154.9597
55.200001 91.274 154.8959
56.000000 91.249 154.1260
57.000000 91.072 153.2506
58.000000 90.956 153.4122
59.000000 90.903 153.0461
60.000000 90.716 152.6240
60.799999 90.533 152.9009
61.500000 90.428 153.4246
62.200001 90.393 153.6872
63.000000 90.372 153.2493
64.000000 90.255 152.1378
65.000000 90.093 151.1461
66.000000 89.919 150.3089
67.000000 89.776 150.1121
68.000000 89.766 149.7024
69.000000 89.669 148.5040
70.000000 89.441 148.4975
71.000000 89.396 149.4164
72.000000 89.445 149.3412
73.000000 89.361 148.9613
74.000000 89.224 149.5133
75.000000 89.184 150.4755
76.199997 89.149 150.4415
77.500000 88.843 150.4003
78.800003 88.625 150.6098
80.000000 88.272 149.6430
81.199997 88.003 150.6268
82.500000 88.146 149.9663
83.800003 88.108 148.3157
85.000000 88.119 148.7082
86.199997 88.260 149.0233
87.500000 88.260 149.2618
88.500000 88.209 150.0158
90.000000 88.156 150.7051
91.199997 88.079 150.5145
92.500000 87.968 149.9203
93.800003 87.886 149.1567
95.000000 87.774 148.2740
96.199997 87.612 148.1833
97.500000 87.453 148.5827
98.800003 87.253 149.6663
100.000000 87.192 151.2090
101.500000 87.252 151.6621
103.000000 87.237 150.6234
104.400002 87.095 150.0317
106.000000 87.010 150.0658
107.500000 86.936 150.1544
109.000000 86.849 150.5143
110.599998 86.765 150.9601
112.000000 86.682 151.1650
113.800003 86.579 151.4984
115.000000 86.538 151.6815
117.199997 86.467 151.7706
118.000000 86.437 151.8514
120.599998 86.377 152.0804
122.000000 86.349 152.0623
124.099998 86.291 151.8699
125.000000 86.253 151.7785
126.500000 86.184 151.6961
128.000000 86.120 151.5867
131.500000 85.942 151.2405
132.000000 85.916 151.2109
134.000000 85.815 151.1561
136.000000 85.710 151.1490
138.000000 85.601 151.1853
140.000000 85.484 151.2027
143.000000 85.313 151.4702
145.000000 85.210 151.6827
147.500000 85.066 151.9022
150.000000 84.923 152.1224
152.500000 84.799 152.3234
155.000000 84.687 152.6552
157.500000 84.585 153.1276
160.000000 84.484 153.5894
162.500000 84.380 154.0127
165.000000 84.284 154.3838
167.500000 84.201 154.6529
170.000000 84.128 154.8557
172.500000 84.065 155.0478
175.000000 83.986 155.2277
177.500000 83.887 155.4782
180.000000 83.773 155.7044
182.500000 83.651 155.9257
185.000000 83.535 156.1958
187.500000 83.422 156.4615
190.000000 83.307 156.8157
192.500000 83.212 157.1971
195.000000 83.125 157.5635
197.500000 83.036 157.9951
200.000000 82.945 158.4131
203.000000 82.827 158.8702
206.000000 82.702 159.3996
209.000000 82.581 159.9439
212.000000 82.469 160.5161
214.000000 82.404 161.0052
218.000000 82.286 162.0859
220.000000 82.224 162.6161
224.000000 82.123 163.7180
227.000000 82.086 164.5179
230.000000 82.067 165.2089
233.000000 82.052 165.7490
236.000000 82.026 166.1786
240.000000 81.979 166.5747
243.000000 81.932 166.8135
247.000000 81.849 167.2000
250.000000 81.777 167.5043
254.000000 81.679 167.9737
258.000000 81.589 168.5479
262.000000 81.500 169.1013
265.000000 81.437 169.4936
269.000000 81.352 170.0780
272.000000 81.283 170.5211
276.000000 81.187 171.0974
280.000000 81.099 171.6350
285.000000 80.996 172.3500
290.000000 80.892 173.1694
295.000000 80.797 174.0089
300.000000 80.704 174.9250
304.000000 80.623 175.5575
307.000000 80.563 176.0037
311.000000 80.489 176.6144
315.000000 80.429 177.2357
320.000000 80.349 178.0095
325.000000 80.261 178.8619
330.000000 80.178 179.7437
335.000000 80.101 -179.4104
340.000000 80.025 -178.5689
345.000000 79.954 -177.7339
350.000000 79.887 -176.8868
355.000000 79.822 -176.0521
360.000000 79.759 -175.2695
365.000000 79.694 -174.5045
370.000000 79.634 -173.7027
375.000000 79.573 -172.8358
382.000000 79.476 -171.6095
387.000000 79.413 -170.7765
395.000000 79.323 -169.4397
400.000000 79.271 -168.6205
406.000000 79.213 -167.6265
412.000000 79.158 -166.5748
418.000000 79.105 -165.5489
425.000000 79.034 -164.4303
431.000000 78.976 -163.4742
437.000000 78.924 -162.5276
444.000000 78.856 -161.4088
450.000000 78.800 -160.4682
455.000000 78.768 -159.6689
462.000000 78.733 -158.4774
468.000000 78.697 -157.4557
475.000000 78.645 -156.3495
482.000000 78.596 -155.2613
487.000000 78.559 -154.4328
494.000000 78.509 -153.2514
500.000000 78.473 -152.2711
508.000000 78.430 -150.9890
515.000000 78.390 -149.8781
522.000000 78.355 -148.7724
530.000000 78.318 -147.5131
538.000000 78.281 -146.2418
545.000000 78.248 -145.1034
552.000000 78.214 -143.9811
560.000000 78.175 -142.7136
570.000000 78.138 -141.1377
580.000000 78.113 -139.6013
590.000000 78.087 -138.0643
600.000000 78.059 -136.5417
608.000000 78.038 -135.3017
615.000000 78.019 -134.2006
622.000000 78.000 -133.0896
630.000000 77.980 -131.8399
640.000000 77.959 -130.2851
650.000000 77.944 -128.7355
660.000000 77.934 -127.2247
670.000000 77.927 -125.7234
680.000000 77.922 -124.2108
690.000000 77.920 -122.6830
700.000000 77.920 -121.1646
710.000000 77.918 -119.6404
720.000000 77.916 -118.1087
730.000000 77.920 -116.5874
740.000000 77.930 -115.0775
750.000000 77.942 -113.5533
762.000000 77.961 -111.7612
775.000000 77.987 -109.8567
788.000000 78.017 -107.9280
800.000000 78.047 -106.1572
812.000000 78.080 -104.3908
825.000000 78.118 -102.4710
838.000000 78.165 -100.5604
850.000000 78.215 -98.8188
862.000000 78.268 -97.1143
875.000000 78.328 -95.2741
885.000000 78.380 -93.8496
900.000000 78.464 -91.7294
912.000000 78.534 -90.0564
925.000000 78.615 -88.2724
938.000000 78.702 -86.5006
950.000000 78.790 -84.8913
962.000000 78.881 -83.3256
975.000000 78.984 -81.6773
988.000000 79.092 -80.0536
1000.000000 79.194 -78.5730
1015.000000 79.324 -76.7659
1030.000000 79.457 -75.0290
1044.000000 79.584 -73.4720
1060.000000 79.731 -71.7357
1075.000000 79.869 -70.1622
1090.000000 80.008 -68.6366
1106.000000 80.156 -67.0734
1120.000000 80.286 -65.7498
1138.000000 80.451 -64.0934
1150.000000 80.559 -63.0181
1172.000000 80.752 -61.0993
1180.000000 80.820 -60.4129
1206.000000 81.041 -58.2483
1220.000000 81.156 -57.1255
1241.000000 81.323 -55.4556
1250.000000 81.395 -54.7421
1265.000000 81.513 -53.5667
1280.000000 81.630 -52.4235
1315.000000 81.893 -49.7805
1320.000000 81.931 -49.4016
1340.000000 82.079 -47.9060
1360.000000 82.225 -46.4562
1380.000000 82.369 -45.0048
1400.000000 82.511 -43.5271
1430.000000 82.724 -41.3496
1450.000000 82.868 -39.9331
1475.000000 83.050 -38.1573
1500.000000 83.233 -36.3726
1525.000000 83.419 -34.6260
1550.000000 83.606 -32.9017
1575.000000 83.794 -31.1824
1600.000000 83.983 -29.4901
1625.000000 84.179 -27.8310
1650.000000 84.380 -26.2028
1675.000000 84.583 -24.6010
1700.000000 84.791 -23.0299
1725.000000 85.002 -21.4952
1750.000000 85.218 -20.0089
1775.000000 85.436 -18.5636
1800.000000 85.656 -17.1532
1825.000000 85.878 -15.7788
1850.000000 86.106 -14.4526
1875.000000 86.338 -13.1812
1900.000000 86.573 -11.9605
1925.000000 86.812 -10.7819
1950.000000 87.057 -9.6617
1975.000000 87.306 -8.6202
2000.000000 87.558 -7.6480
2030.000000 87.859 -6.5557
2060.000000 88.159 -5.5734
2090.000000 88.462 -4.7245
2120.000000 88.765 -3.9898
2140.000000 88.967 -3.5609
2180.000000 89.368 -2.8782
2200.000000 89.567 -2.6294
2240.000000 89.956 -2.3006
2270.000000 90.235 -2.1913
2300.000000 90.501 -2.1956
2330.000000 90.755 -2.3201
2360.000000 90.994 -2.5636
2400.000000 91.286 -3.0352
2430.000000 91.485 -3.4998
2470.000000 91.723 -4.2493
2500.000000 91.878 -4.8690
2540.000000 92.050 -5.7398
2580.000000 92.183 -6.6447
2620.000000 92.279 -7.5394
2650.000000 92.323 -8.1643
2690.000000 92.349 -8.9191
2720.000000 92.350 -9.4268
2760.000000 92.331 -10.0031
2800.000000 92.294 -10.4287
2850.000000 92.231 -10.7367
2900.000000 92.159 -10.8056
2950.000000 92.082 -10.6471
3000.000000 92.003 -10.3097
3040.000000 91.945 -9.9603
3070.000000 91.904 -9.6599
3110.000000 91.853 -9.2058
3150.000000 91.808 -8.6928
3200.000000 91.765 -7.9869
3250.000000 91.734 -7.2156
3300.000000 91.718 -6.4040
3350.000000 91.720 -5.5990
3400.000000 91.740 -4.8273
3450.000000 91.772 -4.1045
3500.000000 91.817 -3.4692
3550.000000 91.876 -2.9645
3600.000000 91.946 -2.5996
3650.000000 92.020 -2.3936
3700.000000 92.095 -2.3716
3750.000000 92.168 -2.5551
3820.000000 92.251 -3.1558
3870.000000 92.284 -3.8236
3950.000000 92.275 -5.2591
4000.000000 92.225 -6.3336
4060.000000 92.115 -7.7163
4120.000000 91.948 -9.1142
4180.000000 91.720 -10.4478
4250.000000 91.378 -11.7895
4310.000000 91.029 -12.6204
4370.000000 90.637 -13.0831
4440.000000 90.139 -13.1653
4500.000000 89.696 -12.8614
4550.000000 89.325 -12.3459
4620.000000 88.811 -11.2387
4680.000000 88.385 -9.9664
4750.000000 87.910 -8.1499
4820.000000 87.461 -6.0262
4870.000000 87.159 -4.3563
4940.000000 86.766 -1.8365
5000.000000 86.458 0.4712
5080.000000 86.090 3.7202
5150.000000 85.812 6.6823
5220.000000 85.578 9.7265
5300.000000 85.363 13.2790
5380.000000 85.201 16.8531
5450.000000 85.100 19.9652
5520.000000 85.033 23.0334
5600.000000 84.995 26.4681
