* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 09/11/2023 11:05:53 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Noble Zephyr L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.890	126.1842
20.299999	102.852	125.2400
20.600000	102.815	124.3235
20.900000	102.783	123.4305
21.200001	102.756	122.5406
21.400000	102.741	121.9333
21.799999	102.712	120.6683
22.000000	102.695	120.0105
22.400000	102.650	118.6689
22.700001	102.606	117.6815
23.000000	102.554	116.7505
23.299999	102.499	115.8918
23.600000	102.448	115.0970
24.000000	102.389	114.0978
24.299999	102.353	113.3531
24.700001	102.311	112.3286
25.000000	102.279	111.5317
25.400000	102.232	110.4494
25.799999	102.178	109.3778
26.200001	102.120	108.3442
26.500000	102.075	107.6021
26.900000	102.016	106.6587
27.200001	101.974	105.9820
27.600000	101.924	105.1089
28.000000	101.880	104.2505
28.500000	101.831	103.1817
29.000000	101.785	102.1362
29.500000	101.749	101.1371
30.000000	101.730	100.1326
30.400000	101.725	99.2446
30.700001	101.720	98.5013
31.100000	101.699	97.4311
31.500000	101.655	96.3541
32.000000	101.574	95.1545
32.500000	101.491	94.1820
33.000000	101.427	93.3202
33.500000	101.380	92.4147
34.000000	101.329	91.4328
34.500000	101.267	90.4604
35.000000	101.203	89.5561
35.500000	101.147	88.6893
36.000000	101.098	87.8048
36.500000	101.052	86.8934
37.000000	101.007	85.9713
37.500000	100.965	85.0340
38.200001	100.902	83.6869
38.700001	100.848	82.7529
39.500000	100.762	81.4409
40.000000	100.722	80.7032
40.599998	100.685	79.8119
41.200001	100.651	78.8862
41.799999	100.613	77.9598
42.500000	100.562	76.9086
43.099998	100.515	76.0358
43.700001	100.463	75.2036
44.400002	100.400	74.3070
45.000000	100.354	73.5894
45.500000	100.322	72.9874
46.200001	100.283	72.0887
46.799999	100.246	71.2876
47.500000	100.200	70.3929
48.200001	100.165	69.5103
48.700001	100.141	68.8321
49.400002	100.093	67.8544
50.000000	100.040	67.1238
50.799999	99.985	66.3420
51.500000	99.965	65.6224
52.200001	99.946	64.7458
53.000000	99.901	63.6895
53.799999	99.841	62.7140
