* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 09/11/2023 11:07:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Noble Zephyr R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.479	140.7076
20.299999	102.459	139.8423
20.600000	102.432	138.9003
20.900000	102.385	137.9503
21.200001	102.323	137.0971
21.400000	102.281	136.6076
21.799999	102.213	135.7582
22.000000	102.192	135.3477
22.400000	102.171	134.4227
22.700001	102.160	133.5847
23.000000	102.141	132.6420
23.299999	102.108	131.6642
23.600000	102.064	130.7052
24.000000	101.997	129.5006
24.299999	101.948	128.6442
24.700001	101.886	127.5310
25.000000	101.840	126.7103
25.400000	101.777	125.6593
25.799999	101.715	124.6953
26.200001	101.664	123.8149
26.500000	101.636	123.1771
26.900000	101.609	122.3102
27.200001	101.592	121.6324
27.600000	101.569	120.7043
28.000000	101.543	119.7864
28.500000	101.512	118.6842
29.000000	101.492	117.5837
29.500000	101.479	116.3967
30.000000	101.458	115.0939
30.400000	101.426	114.0164
30.700001	101.393	113.2267
31.100000	101.340	112.2369
31.500000	101.286	111.3264
32.000000	101.223	110.2664
32.500000	101.165	109.2518
33.000000	101.107	108.2892
33.500000	101.053	107.4091
34.000000	101.010	106.5939
34.500000	100.979	105.7712
35.000000	100.951	104.8952
35.500000	100.915	103.9926
36.000000	100.871	103.1206
36.500000	100.823	102.2947
37.000000	100.777	101.4847
37.500000	100.731	100.6638
38.200001	100.662	99.5016
38.700001	100.613	98.6700
39.500000	100.536	97.3058
40.000000	100.489	96.4256
40.599998	100.431	95.3631
41.200001	100.374	94.3226
41.799999	100.322	93.3231
42.500000	100.270	92.2092
43.099998	100.235	91.2787
43.700001	100.202	90.3701
44.400002	100.167	89.3767
45.000000	100.144	88.5818
45.500000	100.130	87.9105
46.200001	100.108	86.9053
46.799999	100.073	86.0263
47.500000	100.017	85.0831
48.200001	99.959	84.2267
48.700001	99.918	83.6288
49.400002	99.860	82.7981
50.000000	99.810	82.1094
50.799999	99.754	81.1965
51.500000	99.712	80.3446
52.200001	99.669	79.4411
53.000000	99.615	78.4060
53.799999	99.559	77.4208
54.500000	99.514	76.6025
55.200001	99.473	75.8089
56.000000	99.428	74.9259
57.000000	99.373	73.8615
58.000000	99.316	72.8307
59.000000	99.255	71.8533
60.000000	99.196	70.9004
60.799999	99.149	70.1181
61.500000	99.106	69.4307
62.200001	99.063	68.7495
63.000000	99.016	67.9767
64.000000	98.961	67.0304
65.000000	98.908	66.1258
66.000000	98.860	65.3196
67.000000	98.828	64.5987
68.000000	98.804	63.8595
69.000000	98.774	63.1088
70.000000	98.738	62.3931
71.000000	98.703	61.6728
72.000000	98.662	60.8940
73.000000	98.611	60.1405
74.000000	98.564	59.4204
75.000000	98.519	58.7041
76.199997	98.468	57.9427
77.500000	98.433	57.2025
78.800003	98.416	56.4525
80.000000	98.405	55.7084
81.199997	98.400	54.9225
82.500000	98.393	53.9285
83.800003	98.371	52.8983
85.000000	98.345	51.9543
86.199997	98.312	51.0535
87.500000	98.276	50.1401
88.500000	98.248	49.4626
90.000000	98.204	48.4936
91.199997	98.171	47.7331
92.500000	98.134	46.9238
93.800003	98.097	46.1299
95.000000	98.061	45.4143
96.199997	98.023	44.7375
97.500000	97.980	44.0491
98.800003	97.939	43.4004
100.000000	97.906	42.7965
101.500000	97.864	41.9962
103.000000	97.817	41.1934
104.400002	97.775	40.4834
106.000000	97.735	39.7330
107.500000	97.708	39.0516
109.000000	97.679	38.3548
110.599998	97.639	37.6625
112.000000	97.598	37.0950
113.800003	97.546	36.4063
115.000000	97.519	35.9179
117.199997	97.472	34.9445
118.000000	97.455	34.6104
120.599998	97.402	33.6510
122.000000	97.366	33.1973
124.099998	97.303	32.5368
125.000000	97.276	32.2341
126.500000	97.236	31.6831
128.000000	97.203	31.1084
131.500000	97.149	29.9509
132.000000	97.141	29.8083
134.000000	97.100	29.2445
136.000000	97.046	28.6619
138.000000	96.995	28.0463
140.000000	96.954	27.4207
143.000000	96.897	26.5250
145.000000	96.852	25.9888
147.500000	96.802	25.3586
150.000000	96.757	24.7324
152.500000	96.707	24.1362
155.000000	96.659	23.5676
157.500000	96.613	22.9407
160.000000	96.560	22.3638
162.500000	96.512	21.8506
165.000000	96.467	21.3302
167.500000	96.421	20.8209
170.000000	96.373	20.3553
172.500000	96.324	19.9073
175.000000	96.274	19.4701
177.500000	96.228	19.0377
180.000000	96.183	18.6107
182.500000	96.137	18.1937
185.000000	96.091	17.7881
187.500000	96.046	17.4022
190.000000	96.002	17.0372
192.500000	95.958	16.6906
195.000000	95.913	16.3608
197.500000	95.868	16.0505
200.000000	95.824	15.7624
203.000000	95.774	15.4385
206.000000	95.728	15.1313
209.000000	95.687	14.8411
212.000000	95.647	14.5383
214.000000	95.621	14.3128
218.000000	95.579	13.8391
220.000000	95.559	13.6145
224.000000	95.510	13.1740
227.000000	95.466	12.8225
230.000000	95.421	12.4736
233.000000	95.375	12.1515
236.000000	95.327	11.8445
240.000000	95.263	11.4462
243.000000	95.213	11.1649
247.000000	95.147	10.8240
250.000000	95.097	10.5995
254.000000	95.029	10.3201
258.000000	94.962	10.0433
262.000000	94.897	9.7888
265.000000	94.847	9.6220
269.000000	94.780	9.4247
272.000000	94.731	9.2902
276.000000	94.667	9.1372
280.000000	94.605	9.0063
285.000000	94.528	8.8582
290.000000	94.454	8.7390
295.000000	94.384	8.6808
300.000000	94.316	8.6963
304.000000	94.267	8.7258
307.000000	94.236	8.7411
311.000000	94.199	8.7502
315.000000	94.163	8.7444
320.000000	94.118	8.7052
325.000000	94.070	8.6324
330.000000	94.023	8.5480
335.000000	93.975	8.4888
340.000000	93.927	8.4274
345.000000	93.875	8.3547
350.000000	93.827	8.2665
355.000000	93.779	8.1597
360.000000	93.731	8.0787
365.000000	93.686	8.0034
370.000000	93.639	7.9215
375.000000	93.590	7.8525
382.000000	93.516	7.8033
387.000000	93.462	7.7885
395.000000	93.373	7.7769
400.000000	93.317	7.7988
406.000000	93.252	7.8394
412.000000	93.186	7.8960
418.000000	93.121	7.9857
425.000000	93.049	8.1146
431.000000	92.986	8.2377
437.000000	92.922	8.3748
444.000000	92.855	8.5318
450.000000	92.799	8.6782
455.000000	92.751	8.8277
462.000000	92.684	9.0568
468.000000	92.629	9.2570
475.000000	92.569	9.4861
482.000000	92.510	9.7402
487.000000	92.465	9.9276
494.000000	92.405	10.1991
500.000000	92.354	10.4478
508.000000	92.288	10.7736
515.000000	92.234	11.0803
522.000000	92.179	11.4081
530.000000	92.117	11.7870
538.000000	92.056	12.1609
545.000000	92.002	12.4941
552.000000	91.949	12.8351
560.000000	91.892	13.2379
570.000000	91.822	13.7551
580.000000	91.757	14.2948
590.000000	91.695	14.8536
600.000000	91.634	15.4292
608.000000	91.587	15.8999
615.000000	91.546	16.3177
622.000000	91.505	16.7368
630.000000	91.460	17.2190
640.000000	91.404	17.8384
650.000000	91.346	18.5057
660.000000	91.297	19.2390
670.000000	91.262	19.9535
680.000000	91.230	20.6273
690.000000	91.196	21.3069
700.000000	91.161	22.0012
710.000000	91.126	22.7046
720.000000	91.094	23.4304
730.000000	91.064	24.1758
740.000000	91.037	24.9227
750.000000	91.015	25.6718
762.000000	90.993	26.5941
775.000000	90.978	27.6119
788.000000	90.970	28.6246
800.000000	90.968	29.5434
812.000000	90.972	30.4474
825.000000	90.977	31.4263
838.000000	90.982	32.4163
850.000000	90.989	33.3506
862.000000	91.001	34.3131
875.000000	91.022	35.3700
885.000000	91.045	36.1682
900.000000	91.091	37.3217
912.000000	91.138	38.2249
925.000000	91.196	39.1911
938.000000	91.260	40.1446
950.000000	91.322	41.0024
962.000000	91.386	41.8323
975.000000	91.456	42.7051
988.000000	91.527	43.5561
1000.000000	91.595	44.3158
1015.000000	91.685	45.2159
1030.000000	91.780	46.0564
1044.000000	91.874	46.7930
1060.000000	91.989	47.5857
1075.000000	92.100	48.2727
1090.000000	92.214	48.8982
1106.000000	92.335	49.5142
1120.000000	92.435	50.0273
1138.000000	92.556	50.6539
1150.000000	92.631	51.0476
1172.000000	92.762	51.7249
1180.000000	92.808	51.9593
1206.000000	92.963	52.6682
1220.000000	93.049	53.0066
1241.000000	93.182	53.4695
1250.000000	93.240	53.6580
1265.000000	93.333	53.9626
1280.000000	93.420	54.2595
1315.000000	93.598	54.9620
1320.000000	93.620	55.0639
1340.000000	93.702	55.4719
1360.000000	93.778	55.8830
1380.000000	93.853	56.2973
1400.000000	93.933	56.7067
1430.000000	94.067	57.2982
1450.000000	94.165	57.6812
1475.000000	94.288	58.1668
1500.000000	94.407	58.6668
1525.000000	94.518	59.1837
1550.000000	94.622	59.7185
1575.000000	94.724	60.2681
1600.000000	94.833	60.8228
1625.000000	94.955	61.3606
1650.000000	95.092	61.8676
1675.000000	95.241	62.3187
1700.000000	95.393	62.7025
1725.000000	95.541	63.0582
1750.000000	95.686	63.4043
1775.000000	95.827	63.7105
1800.000000	95.962	63.9704
1825.000000	96.091	64.2059
1850.000000	96.218	64.4215
1875.000000	96.349	64.6084
1900.000000	96.486	64.7643
1925.000000	96.631	64.8911
1950.000000	96.780	64.9855
1975.000000	96.931	65.0494
2000.000000	97.079	65.0889
2030.000000	97.251	65.0987
2060.000000	97.416	65.0613
2090.000000	97.576	64.9767
2120.000000	97.731	64.8421
2140.000000	97.834	64.7213
2180.000000	98.041	64.4024
2200.000000	98.146	64.2026
2240.000000	98.355	63.7222
2270.000000	98.508	63.2997
2300.000000	98.653	62.8300
2330.000000	98.786	62.3210
2360.000000	98.907	61.7798
2400.000000	99.049	61.0096
2430.000000	99.143	60.4011
2470.000000	99.256	59.5698
2500.000000	99.333	58.9412
2540.000000	99.427	58.1081
2580.000000	99.511	57.3093
2620.000000	99.589	56.5618
2650.000000	99.645	56.0367
2690.000000	99.718	55.3705
2720.000000	99.772	54.8678
2760.000000	99.840	54.1509
2800.000000	99.898	53.3644
2850.000000	99.954	52.3100
2900.000000	99.993	51.2385
2950.000000	100.021	50.1920
3000.000000	100.035	49.1846
3040.000000	100.034	48.4240
3070.000000	100.025	47.8889
3110.000000	100.005	47.2309
3150.000000	99.977	46.6442
3200.000000	99.936	46.0150
3250.000000	99.895	45.4791
3300.000000	99.859	45.0110
3350.000000	99.829	44.5975
3400.000000	99.803	44.2315
3450.000000	99.779	43.9145
3500.000000	99.757	43.6524
3550.000000	99.738	43.4451
3600.000000	99.722	43.2897
3650.000000	99.709	43.1780
3700.000000	99.703	43.0986
3750.000000	99.706	43.0445
3820.000000	99.727	43.0082
3870.000000	99.756	42.9969
3950.000000	99.828	42.9612
4000.000000	99.887	42.9193
4060.000000	99.971	42.8495
4120.000000	100.078	42.7437
4180.000000	100.216	42.5137
4250.000000	100.404	41.9524
4310.000000	100.572	41.2596
4370.000000	100.749	40.3957
4440.000000	100.961	39.0906
4500.000000	101.146	37.7032
4550.000000	101.298	36.2980
4620.000000	101.485	33.8827
4680.000000	101.598	31.4328
4750.000000	101.653	28.2640
4820.000000	101.618	24.9347
4870.000000	101.538	22.5553
4940.000000	101.353	19.3457
5000.000000	101.134	16.7917
5080.000000	100.774	13.7664
5150.000000	100.408	11.5315
5220.000000	100.009	9.7048
5300.000000	99.528	8.1210
5380.000000	99.034	7.0601
5450.000000	98.605	6.5388
5520.000000	98.189	6.3737
5600.000000	97.739	6.5903
5700.000000	97.236	7.3529
5800.000000	96.807	8.4599
5900.000000	96.441	9.7990
6000.000000	96.137	11.3401
6080.000000	95.942	12.6823
6150.000000	95.807	13.9081
6220.000000	95.705	15.1572
6300.000000	95.630	16.5874
6400.000000	95.603	18.3255
6500.000000	95.652	19.9105
6600.000000	95.768	21.2325
6700.000000	95.939	22.2312
6800.000000	96.154	22.8698
6900.000000	96.409	23.1012
7000.000000	96.696	22.8578
7100.000000	97.003	22.0380
7200.000000	97.305	20.5380
7300.000000	97.558	18.3539
7400.000000	97.716	15.7451
7500.000000	97.780	13.2759
7620.000000	97.861	10.8117
7750.000000	98.027	7.7169
7880.000000	98.137	3.7114
8000.000000	98.137	-0.2507
8120.000000	98.074	-4.1313
8250.000000	97.984	-8.2440
8380.000000	97.907	-12.4846
8500.000000	97.853	-16.8050
8620.000000	97.794	-21.8028
8750.000000	97.668	-28.2194
8850.000000	97.474	-33.8928
9000.000000	96.925	-43.2646
9120.000000	96.205	-50.8477
9250.000000	95.136	-58.2523
9380.000000	93.825	-64.1088
9500.000000	92.484	-67.8595
9620.000000	91.100	-70.0588
9750.000000	89.622	-70.8744
9880.000000	88.232	-70.3484
10000.000000	87.070	-69.1099
10150.000000	85.770	-67.0969
10300.000000	84.582	-64.6328
10440.000000	83.570	-61.9062
10600.000000	82.534	-58.4846
10750.000000	81.670	-55.1481
10900.000000	80.900	-51.7994
11060.000000	80.167	-48.2953
11200.000000	79.586	-45.3315
11380.000000	78.900	-41.6957
11500.000000	78.467	-39.3708
11720.000000	77.692	-35.1473
11800.000000	77.408	-33.5469
12060.000000	76.493	-27.5530
12200.000000	76.055	-23.6909
12410.000000	75.523	-17.1014
12500.000000	75.368	-13.9622
12650.000000	75.254	-8.4824
12800.000000	75.345	-3.0404
13150.000000	76.292	7.3793
13200.000000	76.493	8.4634
13400.000000	77.400	11.5505
13600.000000	78.393	12.5140
13800.000000	79.374	11.3654
14000.000000	80.260	8.3387
14300.000000	81.315	1.2671
14500.000000	81.824	-4.3418
14750.000000	82.322	-11.5003
15000.000000	82.824	-18.5392
15250.000000	83.507	-26.0269
15500.000000	84.454	-35.4464
15750.000000	85.516	-48.9220
16000.000000	86.273	-67.7562
16250.000000	86.349	-90.3852
16500.000000	85.711	-113.8647
16750.000000	84.507	-136.6625
17000.000000	82.860	-158.2185
17250.000000	80.887	-178.3804
17500.000000	78.692	162.6396
17750.000000	76.349	144.5585
18000.000000	73.930	127.0540
18250.000000	71.539	109.5627
18500.000000	69.285	91.2181
18750.000000	67.254	71.1408
19000.000000	65.458	48.8920
19250.000000	63.859	24.9216
19500.000000	62.404	0.7703
19750.000000	61.110	-20.3600
