* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -39.0 dBFS with no timing reference
* Dated: 31/03/2024 10:28:49 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: QKZ x HBB Hades L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 59.454 116.2795
0.732422 65.019 61.4862
1.098633 71.175 29.7943
1.464844 76.108 8.3773
1.831055 79.917 -9.0853
2.197266 82.831 -24.5012
2.563477 85.031 -38.3594
2.929688 86.662 -50.6787
3.295898 87.857 -61.3516
3.662109 88.744 -70.3275
4.028320 89.439 -77.7357
4.394531 90.035 -83.9151
4.760742 90.577 -89.3023
5.126953 91.069 -94.2433
5.493164 91.496 -98.8803
5.859375 91.852 -103.1892
6.225586 92.144 -107.0988
6.591797 92.391 -110.5903
6.958008 92.611 -113.7188
7.324219 92.813 -116.5691
7.690430 92.999 -119.2015
8.056641 93.167 -121.6391
8.422852 93.323 -123.8936
8.789062 93.469 -125.9923
9.155273 93.609 -127.9743
9.521484 93.739 -129.8673
9.887695 93.859 -131.6754
10.253906 93.969 -133.3946
10.620117 94.072 -135.0367
10.986328 94.167 -136.6297
11.352539 94.251 -138.1894
11.718750 94.318 -139.6906
12.084961 94.368 -141.0744
12.451172 94.411 -142.2951
12.817383 94.461 -143.3711
13.183594 94.525 -144.3901
13.549805 94.599 -145.4530
13.916016 94.668 -146.5999
14.282227 94.719 -147.7810
14.648438 94.748 -148.8948
15.014648 94.767 -149.8614
15.380859 94.790 -150.6779
15.747070 94.830 -151.4177
16.113281 94.886 -152.1777
16.479492 94.948 -153.0194
16.845703 95.005 -153.9455
17.211914 95.048 -154.9148
17.578125 95.076 -155.8713
17.944336 95.090 -156.7649
18.310547 95.096 -157.5608
18.676758 95.101 -158.2464
19.042969 95.114 -158.8398
19.409180 95.139 -159.3880
19.775391 95.176 -159.9502
20.141602 95.219 -160.5690
20.507812 95.260 -161.2531
20.874023 95.293 -161.9820
21.240234 95.316 -162.7230
21.606445 95.326 -163.4441
21.972656 95.326 -164.1131
22.338867 95.320 -164.6966
22.705078 95.314 -165.1741
23.071289 95.318 -165.5642
23.437500 95.340 -165.9355
23.803711 95.374 -166.3732
24.169922 95.409 -166.9162
24.536133 95.432 -167.5183
24.902344 95.440 -168.0778
25.268555 95.446 -168.5236
25.634766 95.470 -168.8913
26.000977 95.517 -169.3139
26.367188 95.574 -169.9173
26.733398 95.615 -170.7074
27.099609 95.625 -171.5554
27.465820 95.607 -172.2970
27.832031 95.585 -172.8665
28.198242 95.576 -173.3521
28.564453 95.576 -173.9025
28.930664 95.561 -174.5569
29.296875 95.510 -175.1619
29.663086 95.435 -175.4712
30.029297 95.380 -175.3781
30.395508 95.397 -175.1016
30.761719 95.489 -175.1051
31.127930 95.600 -175.7434
31.494141 95.646 -176.9641
31.860352 95.572 -178.3104
32.226562 95.387 -179.1613
32.592773 95.172 -179.0780
32.958984 95.039 -178.1404
33.325195 95.058 -176.9953
33.691406 95.201 -176.4053
34.057617 95.369 -176.6946
34.423828 95.474 -177.6460
34.790039 95.483 -178.7791
35.156250 95.416 -179.6662
35.522461 95.324 179.8806
35.888672 95.254 179.7886
36.254883 95.230 179.8475
36.621094 95.250 179.8622
36.987305 95.300 179.7134
37.353516 95.367 179.3312
37.719727 95.430 178.6798
38.085938 95.465 177.7989
38.452148 95.453 176.8458
38.818359 95.395 176.0615
39.184570 95.319 175.6400
39.550781 95.271 175.5732
39.916992 95.282 175.6082
40.283203 95.343 175.4122
40.649414 95.405 174.8290
41.015625 95.423 173.9933
41.381836 95.380 173.2253
41.748047 95.305 172.8060
42.114258 95.246 172.7769
42.480469 95.240 172.9049
42.846680 95.282 172.8666
43.212891 95.331 172.5034
43.579102 95.347 171.9180
43.945312 95.318 171.3622
44.311523 95.265 171.0418
44.677734 95.225 170.9730
45.043945 95.221 170.9838
45.410156 95.246 170.8573
45.776367 95.275 170.4940
46.142578 95.279 169.9628
46.508789 95.250 169.4306
46.875000 95.199 169.0463
47.241211 95.148 168.8560
47.607422 95.118 168.7899
47.973633 95.113 168.7170
48.339844 95.125 168.5289
48.706055 95.136 168.1960
49.072266 95.132 167.7722
49.438477 95.108 167.3566
49.804688 95.072 167.0384
50.170898 95.036 166.8502
50.537109 95.015 166.7519
50.903320 95.012 166.6571
51.269531 95.023 166.4856
51.635742 95.035 166.2069
52.001953 95.038 165.8472
52.368164 95.027 165.4626
52.734375 95.004 165.1054
53.100586 94.973 164.8067
53.466797 94.939 164.5789
53.833008 94.907 164.4233
54.199219 94.882 164.3273
54.565430 94.868 164.2551
54.931641 94.867 164.1494
55.297852 94.873 163.9579
55.664062 94.873 163.6709
56.030273 94.860 163.3356
56.396484 94.832 163.0324
56.762695 94.798 162.8231
57.128906 94.770 162.7080
57.495117 94.757 162.6243
57.861328 94.757 162.4913
58.227539 94.761 162.2655
58.593750 94.759 161.9639
58.959961 94.745 161.6411
59.326172 94.723 161.3464
59.692383 94.699 161.0952
60.058594 94.676 160.8716
60.424805 94.654 160.6551
60.791016 94.631 160.4429
61.157227 94.606 160.2507
61.523438 94.581 160.0943
61.889648 94.559 159.9729
62.255859 94.543 159.8667
62.622070 94.533 159.7505
62.988281 94.526 159.6091
63.354492 94.519 159.4427
63.720703 94.511 159.2595
64.086914 94.502 159.0654
64.453125 94.492 158.8603
64.819336 94.480 158.6422
65.185547 94.465 158.4139
65.551758 94.447 158.1855
65.917969 94.426 157.9702
66.284180 94.403 157.7758
66.650391 94.380 157.6003
67.016602 94.360 157.4331
67.382812 94.341 157.2633
67.749023 94.322 157.0872
68.115234 94.303 156.9101
68.481445 94.282 156.7411
68.847656 94.263 156.5844
69.213867 94.245 156.4342
69.580078 94.231 156.2780
69.946289 94.217 156.1054
70.312500 94.202 155.9161
70.678711 94.186 155.7197
71.044922 94.166 155.5288
71.411133 94.147 155.3500
71.777344 94.127 155.1808
72.143555 94.108 155.0140
72.509766 94.090 154.8451
72.875977 94.071 154.6757
73.242188 94.051 154.5107
73.608398 94.032 154.3532
73.974609 94.012 154.2016
74.340820 93.993 154.0524
74.707031 93.975 153.9046
75.073242 93.957 153.7596
75.439453 93.940 153.6176
75.805664 93.925 153.4731
76.171875 93.910 153.3163
76.538086 93.895 153.1418
76.904297 93.877 152.9561
77.270508 93.855 152.7777
77.636719 93.830 152.6270
78.002930 93.807 152.5113
78.369141 93.787 152.4183
78.735352 93.774 152.3222
79.101562 93.763 152.1996
79.467773 93.753 152.0445
79.833984 93.739 151.8701
80.200195 93.720 151.6990
80.566406 93.699 151.5480
80.932617 93.678 151.4194
81.298828 93.659 151.3030
81.665039 93.642 151.1856
82.031250 93.626 151.0605
82.397461 93.609 150.9299
82.763672 93.591 150.8005
83.129883 93.572 150.6769
83.496094 93.554 150.5587
83.862305 93.537 150.4411
84.228516 93.520 150.3195
84.594727 93.502 150.1926
84.960938 93.484 150.0628
85.327148 93.464 149.9347
85.693359 93.445 149.8120
86.059570 93.425 149.6954
86.425781 93.406 149.5829
86.791992 93.388 149.4705
87.158203 93.370 149.3544
87.524414 93.353 149.2332
87.890625 93.335 149.1080
88.256836 93.317 148.9816
88.623047 93.299 148.8569
88.989258 93.280 148.7350
89.355469 93.262 148.6161
89.721680 93.243 148.4993
90.087891 93.225 148.3840
90.454102 93.207 148.2700
90.820312 93.190 148.1564
91.186523 93.172 148.0425
91.552734 93.154 147.9279
91.918945 93.136 147.8138
92.285156 93.118 147.7032
92.651367 93.099 147.5984
93.017578 93.081 147.4991
93.383789 93.063 147.4018
93.750000 93.047 147.3018
94.116211 93.031 147.1957
94.482422 93.014 147.0840
94.848633 92.997 146.9698
95.214844 92.979 146.8561
95.581055 92.960 146.7443
95.947266 92.942 146.6336
96.313477 92.922 146.5238
96.679688 92.903 146.4166
97.045898 92.882 146.3153
97.412109 92.862 146.2219
97.778320 92.843 146.1345
98.144531 92.825 146.0473
98.510742 92.809 145.9547
98.876953 92.792 145.8544
99.243164 92.774 145.7498
99.609375 92.755 145.6471
99.975586 92.735 145.5521
100.341797 92.716 145.4657
100.708008 92.698 145.3837
101.074219 92.681 145.2996
101.440430 92.664 145.2088
101.806641 92.647 145.1107
102.172852 92.629 145.0089
102.539062 92.610 144.9081
102.905273 92.590 144.8124
103.271484 92.570 144.7228
103.637695 92.550 144.6381
104.003906 92.530 144.5559
104.370117 92.511 144.4740
104.736328 92.493 144.3906
105.102539 92.475 144.3046
105.468750 92.458 144.2157
105.834961 92.440 144.1239
106.201172 92.422 144.0304
106.567383 92.404 143.9370
106.933594 92.385 143.8459
107.299805 92.367 143.7583
107.666016 92.349 143.6742
108.032227 92.331 143.5920
108.398438 92.315 143.5097
108.764648 92.298 143.4258
109.130859 92.281 143.3406
109.497070 92.264 143.2558
109.863281 92.247 143.1736
110.229492 92.230 143.0948
110.595703 92.212 143.0188
110.961914 92.195 142.9438
111.328125 92.177 142.8687
111.694336 92.159 142.7946
112.060547 92.140 142.7233
112.426758 92.122 142.6564
112.792969 92.103 142.5928
113.159180 92.084 142.5297
113.525391 92.066 142.4645
113.891602 92.048 142.3973
114.257812 92.028 142.3304
114.624023 92.009 142.2661
114.990234 91.990 142.2040
115.356445 91.972 142.1412
115.722656 91.954 142.0748
116.088867 91.936 142.0051
116.455078 91.917 141.9360
116.821289 91.899 141.8713
117.187500 91.881 141.8106
117.553711 91.864 141.7489
117.919922 91.848 141.6804
118.286133 91.832 141.6050
118.652344 91.814 141.5298
119.018555 91.795 141.4648
119.384766 91.776 141.4154
119.750977 91.758 141.3774
120.117188 91.743 141.3407
120.483398 91.729 141.2972
120.849609 91.715 141.2474
121.215820 91.699 141.1988
121.582031 91.684 141.1580
121.948242 91.669 141.1235
122.314453 91.657 141.0852
122.680664 91.645 141.0333
123.046875 91.631 140.9672
123.413086 91.615 140.8979
123.779297 91.597 140.8401
124.145508 91.579 140.8003
124.511719 91.563 140.7706
124.877930 91.550 140.7341
125.244141 91.539 140.6776
125.610352 91.526 140.6018
125.976562 91.510 140.5205
126.342773 91.492 140.4498
126.708984 91.474 140.3960
127.075195 91.459 140.3514
127.441406 91.446 140.3013
127.807617 91.434 140.2357
128.173828 91.421 140.1566
128.540039 91.406 140.0752
128.906250 91.390 140.0021
129.272461 91.374 139.9390
129.638672 91.359 139.8783
130.004883 91.345 139.8113
130.371094 91.331 139.7363
130.737305 91.314 139.6609
131.103516 91.296 139.5961
131.469727 91.278 139.5465
131.835938 91.262 139.5066
132.202148 91.248 139.4636
132.568359 91.235 139.4070
132.934570 91.221 139.3358
133.300781 91.205 139.2593
133.666992 91.186 139.1895
134.033203 91.167 139.1338
134.399414 91.149 139.0898
134.765625 91.132 139.0483
135.131836 91.117 139.0003
135.498047 91.101 138.9423
135.864258 91.085 138.8775
136.230469 91.067 138.8127
136.596680 91.049 138.7535
136.962891 91.030 138.7020
137.329102 91.012 138.6564
137.695312 90.995 138.6132
138.061523 90.979 138.5689
138.427734 90.964 138.5207
138.793945 90.948 138.4672
139.160156 90.932 138.4097
139.526367 90.914 138.3521
139.892578 90.896 138.2996
140.258789 90.877 138.2563
140.625000 90.858 138.2220
140.991211 90.841 138.1927
141.357422 90.825 138.1627
141.723633 90.809 138.1293
142.089844 90.792 138.0940
142.456055 90.775 138.0604
142.822266 90.759 138.0302
143.188477 90.743 138.0012
143.554688 90.727 137.9691
143.920898 90.711 137.9319
144.287109 90.695 137.8931
144.653320 90.677 137.8597
145.019531 90.659 137.8366
145.385742 90.641 137.8223
145.751953 90.626 137.8093
146.118164 90.612 137.7894
146.484375 90.597 137.7609
146.850586 90.581 137.7296
147.216797 90.564 137.7050
147.583008 90.547 137.6926
147.949219 90.531 137.6902
148.315430 90.517 137.6898
148.681641 90.504 137.6832
149.047852 90.492 137.6679
149.414062 90.479 137.6473
149.780273 90.466 137.6274
150.146484 90.452 137.6124
150.512695 90.438 137.6021
