* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -39.0 dBFS with no timing reference
* Dated: 31/03/2024 10:27:30 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: QKZ x HBB Hades R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 59.223 104.0713
0.732422 66.196 56.5268
1.098633 72.435 29.2555
1.464844 77.339 9.3253
1.831055 81.140 -7.6512
2.197266 84.061 -22.9338
2.563477 86.274 -36.7847
2.929688 87.925 -49.1357
3.295898 89.144 -59.8480
3.662109 90.060 -68.8690
4.028320 90.790 -76.3424
4.394531 91.422 -82.6222
4.760742 91.998 -88.1450
5.126953 92.518 -93.2365
5.493164 92.967 -98.0124
5.859375 93.342 -102.4323
6.225586 93.654 -106.4302
6.591797 93.923 -110.0114
6.958008 94.167 -113.2572
7.324219 94.389 -116.2600
7.690430 94.587 -119.0611
8.056641 94.760 -121.6515
8.422852 94.918 -124.0260
8.789062 95.067 -126.2273
9.155273 95.212 -128.3324
9.521484 95.343 -130.3915
9.887695 95.451 -132.3836
10.253906 95.536 -134.2346
10.620117 95.608 -135.8879
10.986328 95.683 -137.3673
11.352539 95.769 -138.7734
11.718750 95.859 -140.2102
12.084961 95.938 -141.7044
12.451172 95.994 -143.1872
12.817383 96.026 -144.5506
13.183594 96.051 -145.7302
13.549805 96.083 -146.7526
13.916016 96.132 -147.7138
14.282227 96.192 -148.7066
14.648438 96.251 -149.7626
15.014648 96.301 -150.8488
15.380859 96.339 -151.9107
15.747070 96.372 -152.9166
16.113281 96.403 -153.8723
16.479492 96.434 -154.8015
16.845703 96.464 -155.7199
17.211914 96.491 -156.6251
17.578125 96.513 -157.5077
17.944336 96.532 -158.3629
18.310547 96.547 -159.1912
18.676758 96.558 -159.9873
19.042969 96.566 -160.7371
19.409180 96.573 -161.4304
19.775391 96.585 -162.0801
20.141602 96.603 -162.7262
20.507812 96.624 -163.4122
20.874023 96.638 -164.1484
21.240234 96.639 -164.8940
21.606445 96.626 -165.5779
21.972656 96.608 -166.1472
22.338867 96.598 -166.6104
22.705078 96.602 -167.0369
23.071289 96.620 -167.5096
23.437500 96.638 -168.0635
23.803711 96.647 -168.6630
24.169922 96.645 -169.2344
24.536133 96.641 -169.7277
24.902344 96.646 -170.1604
25.268555 96.664 -170.6066
25.634766 96.689 -171.1381
26.000977 96.707 -171.7648
26.367188 96.708 -172.4242
26.733398 96.692 -173.0239
27.099609 96.671 -173.5054
27.465820 96.656 -173.8820
27.832031 96.655 -174.2239
28.198242 96.664 -174.6025
28.564453 96.672 -175.0396
28.930664 96.672 -175.5009
29.296875 96.664 -175.9315
29.663086 96.654 -176.3018
30.029297 96.649 -176.6281
30.395508 96.651 -176.9553
30.761719 96.656 -177.3195
31.127930 96.658 -177.7217
31.494141 96.653 -178.1327
31.860352 96.642 -178.5187
32.226562 96.631 -178.8672
32.592773 96.622 -179.1935
32.958984 96.618 -179.5261
33.325195 96.615 -179.8848
33.691406 96.610 179.7315
34.057617 96.600 179.3413
34.423828 96.587 178.9658
34.790039 96.572 178.6149
35.156250 96.559 178.2829
35.522461 96.549 177.9550
35.888672 96.540 177.6183
36.254883 96.531 177.2716
36.621094 96.519 176.9253
36.987305 96.506 176.5934
37.353516 96.494 176.2824
37.719727 96.484 175.9843
38.085938 96.478 175.6804
38.452148 96.472 175.3545
38.818359 96.464 175.0063
39.184570 96.450 174.6549
39.550781 96.432 174.3288
39.916992 96.411 174.0479
40.283203 96.395 173.8087
40.649414 96.384 173.5857
41.015625 96.380 173.3459
41.381836 96.377 173.0695
41.748047 96.372 172.7613
42.114258 96.362 172.4446
42.480469 96.348 172.1448
42.846680 96.333 171.8726
43.212891 96.321 171.6193
43.579102 96.311 171.3649
43.945312 96.304 171.0932
44.311523 96.295 170.8021
44.677734 96.283 170.5036
45.043945 96.267 170.2151
45.410156 96.250 169.9483
45.776367 96.232 169.7048
46.142578 96.217 169.4775
46.508789 96.204 169.2563
46.875000 96.192 169.0326
47.241211 96.182 168.8010
47.607422 96.172 168.5587
47.973633 96.161 168.3061
48.339844 96.147 168.0482
48.706055 96.131 167.7944
49.072266 96.114 167.5554
49.438477 96.095 167.3370
49.804688 96.079 167.1354
50.170898 96.065 166.9387
50.537109 96.054 166.7329
50.903320 96.044 166.5109
51.269531 96.032 166.2757
51.635742 96.018 166.0366
52.001953 96.003 165.8029
52.368164 95.988 165.5777
52.734375 95.972 165.3586
53.100586 95.957 165.1415
53.466797 95.942 164.9255
53.833008 95.927 164.7125
54.199219 95.911 164.5051
54.565430 95.896 164.3034
54.931641 95.881 164.1044
55.297852 95.867 163.9050
55.664062 95.852 163.7040
56.030273 95.837 163.5030
56.396484 95.822 163.3047
56.762695 95.806 163.1109
57.128906 95.791 162.9213
57.495117 95.775 162.7348
57.861328 95.760 162.5501
58.227539 95.745 162.3660
58.593750 95.730 162.1812
58.959961 95.716 161.9945
59.326172 95.701 161.8056
59.692383 95.685 161.6161
60.058594 95.668 161.4286
60.424805 95.652 161.2458
60.791016 95.635 161.0684
61.157227 95.618 160.8953
61.523438 95.602 160.7234
61.889648 95.587 160.5501
62.255859 95.572 160.3736
62.622070 95.556 160.1941
62.988281 95.540 160.0137
63.354492 95.523 159.8357
63.720703 95.506 159.6627
64.086914 95.489 159.4950
64.453125 95.473 159.3299
64.819336 95.457 159.1632
65.185547 95.441 158.9925
65.551758 95.424 158.8196
65.917969 95.407 158.6502
66.284180 95.388 158.4893
66.650391 95.371 158.3378
67.016602 95.355 158.1906
67.382812 95.340 158.0409
67.749023 95.325 157.8844
68.115234 95.311 157.7225
68.481445 95.295 157.5601
68.847656 95.279 157.4006
69.213867 95.264 157.2436
69.580078 95.249 157.0851
69.946289 95.233 156.9224
70.312500 95.216 156.7574
70.678711 95.198 156.5960
71.044922 95.179 156.4442
71.411133 95.160 156.3043
71.777344 95.143 156.1730
72.143555 95.126 156.0436
72.509766 95.110 155.9096
72.875977 95.095 155.7681
73.242188 95.078 155.6213
73.608398 95.060 155.4763
73.974609 95.041 155.3415
74.340820 95.022 155.2216
74.707031 95.005 155.1133
75.073242 94.991 155.0043
75.439453 94.980 154.8788
75.805664 94.968 154.7277
76.171875 94.954 154.5562
76.538086 94.936 154.3828
76.904297 94.914 154.2281
77.270508 94.892 154.1021
77.636719 94.873 153.9966
78.002930 94.857 153.8922
78.369141 94.843 153.7729
78.735352 94.828 153.6377
79.101562 94.811 153.5005
79.467773 94.792 153.3770
79.833984 94.774 153.2711
80.200195 94.759 153.1711
80.566406 94.747 153.0586
80.932617 94.735 152.9238
81.298828 94.720 152.7730
81.665039 94.701 152.6248
82.031250 94.680 152.4956
82.397461 94.660 152.3888
82.763672 94.642 152.2926
83.129883 94.627 152.1894
83.496094 94.613 152.0681
83.862305 94.598 151.9306
84.228516 94.579 151.7901
84.594727 94.557 151.6623
84.960938 94.535 151.5571
85.327148 94.514 151.4740
85.693359 94.497 151.4026
86.059570 94.484 151.3275
86.425781 94.473 151.2342
86.791992 94.464 151.1150
87.158203 94.452 150.9720
87.524414 94.437 150.8167
87.890625 94.418 150.6650
88.256836 94.397 150.5303
88.623047 94.375 150.4185
88.989258 94.354 150.3257
89.355469 94.335 150.2422
89.721680 94.319 150.1573
90.087891 94.304 150.0643
90.454102 94.289 149.9622
90.820312 94.273 149.8545
91.186523 94.256 149.7469
91.552734 94.239 149.6442
91.918945 94.221 149.5482
92.285156 94.205 149.4568
92.651367 94.189 149.3649
93.017578 94.174 149.2668
93.383789 94.159 149.1601
93.750000 94.143 149.0474
94.116211 94.125 148.9359
94.482422 94.106 148.8334
94.848633 94.087 148.7438
95.214844 94.070 148.6641
95.581055 94.054 148.5858
95.947266 94.041 148.4990
96.313477 94.028 148.3971
96.679688 94.014 148.2802
97.045898 93.997 148.1559
97.412109 93.978 148.0357
97.778320 93.957 147.9316
98.144531 93.935 147.8503
98.510742 93.915 147.7899
98.876953 93.899 147.7387
99.243164 93.886 147.6799
99.609375 93.876 147.5983
99.975586 93.865 147.4887
100.341797 93.851 147.3592
100.708008 93.833 147.2281
101.074219 93.811 147.1154
101.440430 93.787 147.0322
101.806641 93.766 146.9760
102.172852 93.749 146.9316
102.539062 93.735 146.8803
102.905273 93.724 146.8085
103.271484 93.713 146.7133
103.637695 93.700 146.6020
104.003906 93.684 146.4859
104.370117 93.666 146.3750
104.736328 93.646 146.2750
105.102539 93.625 146.1881
105.468750 93.605 146.1143
105.834961 93.586 146.0519
106.201172 93.569 145.9969
106.567383 93.555 145.9418
106.933594 93.542 145.8771
107.299805 93.531 145.7954
107.666016 93.518 145.6958
108.032227 93.504 145.5849
108.398438 93.486 145.4741
108.764648 93.466 145.3746
109.130859 93.445 145.2923
109.497070 93.425 145.2264
109.863281 93.406 145.1713
110.229492 93.389 145.1202
110.595703 93.374 145.0674
110.961914 93.360 145.0091
111.328125 93.347 144.9429
111.694336 93.334 144.8672
112.060547 93.320 144.7816
112.426758 93.305 144.6881
112.792969 93.289 144.5914
113.159180 93.270 144.4982
113.525391 93.250 144.4149
113.891602 93.230 144.3455
114.257812 93.210 144.2892
114.624023 93.192 144.2409
114.990234 93.176 144.1931
115.356445 93.161 144.1393
115.722656 93.147 144.0770
116.088867 93.132 144.0079
116.455078 93.117 143.9358
116.821289 93.101 143.8635
117.187500 93.085 143.7910
117.553711 93.070 143.7165
117.919922 93.054 143.6393
118.286133 93.037 143.5604
118.652344 93.020 143.4830
119.018555 93.002 143.4092
119.384766 92.984 143.3400
119.750977 92.966 143.2754
120.117188 92.947 143.2166
120.483398 92.929 143.1654
120.849609 92.912 143.1221
121.215820 92.896 143.0824
121.582031 92.883 143.0378
121.948242 92.870 142.9799
122.314453 92.857 142.9069
122.680664 92.842 142.8252
123.046875 92.824 142.7460
123.413086 92.805 142.6785
123.779297 92.785 142.6238
124.145508 92.767 142.5756
124.511719 92.751 142.5256
124.877930 92.734 142.4693
125.244141 92.716 142.4084
125.610352 92.697 142.3486
125.976562 92.678 142.2955
126.342773 92.658 142.2513
126.708984 92.639 142.2144
127.075195 92.621 142.1804
127.441406 92.604 142.1433
127.807617 92.589 142.0980
128.173828 92.572 142.0427
128.540039 92.555 141.9809
128.906250 92.536 141.9209
129.272461 92.515 141.8708
129.638672 92.495 141.8332
130.004883 92.477 141.8023
130.371094 92.460 141.7679
130.737305 92.444 141.7228
131.103516 92.427 141.6683
131.469727 92.408 141.6134
131.835938 92.388 141.5675
132.202148 92.368 141.5337
132.568359 92.349 141.5073
132.934570 92.330 141.4812
133.300781 92.312 141.4526
133.666992 92.293 141.4255
134.033203 92.273 141.4064
134.399414 92.254 141.3987
134.765625 92.235 141.3993
135.131836 92.218 141.4015
135.498047 92.202 141.4007
135.864258 92.185 141.3974
136.230469 92.168 141.3962
136.596680 92.151 141.4017
136.962891 92.134 141.4152
137.329102 92.117 141.4359
137.695312 92.101 141.4621
138.061523 92.086 141.4932
138.427734 92.072 141.5289
138.793945 92.059 141.5676
139.160156 92.047 141.6064
139.526367 92.037 141.6428
139.892578 92.027 141.6769
140.258789 92.017 141.7117
140.625000 92.008 141.7510
140.991211 91.999 141.7964
141.357422 91.993 141.8457
141.723633 91.989 141.8942
142.089844 91.988 141.9370
142.456055 91.988 141.9711
142.822266 91.989 141.9958
143.188477 91.992 142.0115
143.554688 91.996 142.0180
143.920898 92.001 142.0135
144.287109 92.008 141.9947
144.653320 92.015 141.9582
145.019531 92.023 141.9017
145.385742 92.030 141.8250
145.751953 92.036 141.7299
146.118164 92.040 141.6201
146.484375 92.041 141.5004
146.850586 92.039 141.3760
147.216797 92.035 141.2525
147.583008 92.030 141.1339
147.949219 92.023 141.0213
148.315430 92.016 140.9124
148.681641 92.010 140.8018
149.047852 92.002 140.6854
149.414062 91.993 140.5626
149.780273 91.982 140.4385
150.146484 91.969 140.3210
150.512695 91.955 140.2160
