* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.099
* Format: 256k Log Swept Sine, 1 sweep at -23.0 dBFS with no timing reference
* Dated: 28/10/2023 2:49:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Salnotes Zero L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 99.696 -167.2017
20.299999 99.695 -167.9251
20.600000 99.686 -168.6517
20.900000 99.667 -169.3471
21.200001 99.643 -169.9812
21.400000 99.628 -170.3656
21.799999 99.600 -171.0635
22.000000 99.591 -171.3934
22.400000 99.579 -172.0567
22.700001 99.573 -172.5783
23.000000 99.566 -173.1225
23.299999 99.553 -173.6725
23.600000 99.537 -174.2110
24.000000 99.510 -174.8914
24.299999 99.489 -175.3714
24.700001 99.462 -175.9831
25.000000 99.442 -176.4310
25.400000 99.415 -177.0192
25.799999 99.387 -177.5926
26.200001 99.358 -178.1477
26.500000 99.338 -178.5568
26.900000 99.312 -179.1036
27.200001 99.291 -179.5201
27.600000 99.262 179.9178
28.000000 99.229 179.3618
28.500000 99.184 178.6958
29.000000 99.138 178.0646
29.500000 99.091 177.4568
30.000000 99.045 176.8736
30.400000 99.007 176.4343
30.700001 98.981 176.1226
31.100000 98.948 175.7231
31.500000 98.920 175.3279
32.000000 98.888 174.8206
32.500000 98.857 174.2889
33.000000 98.823 173.7378
33.500000 98.782 173.1885
34.000000 98.734 172.6838
34.500000 98.684 172.2581
35.000000 98.641 171.8895
35.500000 98.607 171.5042
36.000000 98.569 171.0677
36.500000 98.518 170.6479
37.000000 98.462 170.3480
37.500000 98.422 170.1562
38.200001 98.403 169.7756
38.700001 98.391 169.2794
39.500000 98.314 168.3775
40.000000 98.245 167.9642
40.599998 98.172 167.6035
41.200001 98.110 167.2463
41.799999 98.048 166.8867
42.500000 97.979 166.5395
43.099998 97.931 166.2523
43.700001 97.887 165.9154
44.400002 97.828 165.5252
45.000000 97.777 165.2467
45.500000 97.738 165.0283
46.200001 97.685 164.7113
46.799999 97.638 164.4486
47.500000 97.581 164.1642
48.200001 97.523 163.8913
48.700001 97.479 163.7163
49.400002 97.422 163.5045
50.000000 97.377 163.3143
50.799999 97.317 163.0161
51.500000 97.259 162.7575
52.200001 97.202 162.5177
53.000000 97.137 162.2398
53.799999 97.069 161.9786
54.500000 97.011 161.7813
55.200001 96.956 161.5926
56.000000 96.893 161.3854
57.000000 96.818 161.1668
58.000000 96.750 160.9428
59.000000 96.682 160.6922
60.000000 96.612 160.4459
60.799999 96.554 160.2471
61.500000 96.501 160.0908
62.200001 96.448 159.9627
63.000000 96.391 159.8324
64.000000 96.322 159.6680
65.000000 96.253 159.5062
66.000000 96.185 159.3619
67.000000 96.119 159.2243
68.000000 96.053 159.0908
69.000000 95.989 158.9728
70.000000 95.924 158.8544
71.000000 95.858 158.7637
72.000000 95.796 158.6853
73.000000 95.733 158.5906
74.000000 95.668 158.5184
75.000000 95.606 158.4592
76.199997 95.532 158.3715
77.500000 95.453 158.2931
78.800003 95.376 158.2236
80.000000 95.305 158.1803
81.199997 95.238 158.1461
82.500000 95.166 158.1093
83.800003 95.094 158.0696
85.000000 95.027 158.0572
86.199997 94.964 158.0529
87.500000 94.896 158.0331
88.500000 94.842 158.0504
90.000000 94.770 158.0999
91.199997 94.712 158.0980
92.500000 94.642 158.1148
93.800003 94.574 158.1664
95.000000 94.513 158.2122
96.199997 94.451 158.2638
97.500000 94.384 158.3342
98.800003 94.317 158.4261
100.000000 94.262 158.5303
101.500000 94.200 158.6384
103.000000 94.139 158.7148
104.400002 94.079 158.7943
106.000000 94.010 158.9395
107.500000 93.950 159.1024
109.000000 93.896 159.2469
110.599998 93.839 159.3732
112.000000 93.791 159.4807
113.800003 93.731 159.6192
115.000000 93.691 159.7172
117.199997 93.616 159.9183
118.000000 93.589 159.9811
120.599998 93.490 160.1826
122.000000 93.437 160.3132
124.099998 93.365 160.5200
125.000000 93.335 160.6100
126.500000 93.286 160.7714
128.000000 93.240 160.9426
131.500000 93.133 161.2977
132.000000 93.117 161.3491
134.000000 93.053 161.5713
136.000000 92.991 161.8107
138.000000 92.929 162.0548
140.000000 92.867 162.3111
143.000000 92.772 162.7425
145.000000 92.707 163.0793
147.500000 92.627 163.5705
150.000000 92.552 164.1598
152.500000 92.492 164.8641
155.000000 92.456 165.6690
157.500000 92.457 166.5220
160.000000 92.502 167.2655
162.500000 92.576 167.7242
165.000000 92.653 167.8392
167.500000 92.706 167.6978
170.000000 92.725 167.4378
172.500000 92.713 167.1757
175.000000 92.680 166.9768
177.500000 92.635 166.8583
180.000000 92.584 166.8191
182.500000 92.531 166.8439
185.000000 92.478 166.9156
187.500000 92.426 167.0283
190.000000 92.375 167.1736
192.500000 92.326 167.3442
195.000000 92.280 167.5451
197.500000 92.236 167.7787
200.000000 92.197 168.0246
203.000000 92.156 168.2991
206.000000 92.119 168.5763
209.000000 92.087 168.8524
212.000000 92.058 169.1007
214.000000 92.040 169.2514
218.000000 92.003 169.5360
220.000000 91.983 169.6725
224.000000 91.940 169.9375
227.000000 91.908 170.1416
230.000000 91.875 170.3584
233.000000 91.842 170.5821
236.000000 91.811 170.8078
240.000000 91.770 171.1160
243.000000 91.740 171.3523
247.000000 91.702 171.6591
250.000000 91.674 171.8938
254.000000 91.638 172.2318
258.000000 91.604 172.5658
262.000000 91.570 172.8907
265.000000 91.547 173.1341
269.000000 91.517 173.4543
272.000000 91.494 173.6960
276.000000 91.466 174.0240
280.000000 91.439 174.3491
285.000000 91.407 174.7505
290.000000 91.375 175.1499
295.000000 91.343 175.5474
300.000000 91.314 175.9519
304.000000 91.292 176.2787
307.000000 91.275 176.5236
311.000000 91.254 176.8544
315.000000 91.234 177.1923
320.000000 91.213 177.6231
325.000000 91.198 178.0522
330.000000 91.187 178.4538
335.000000 91.178 178.8170
340.000000 91.167 179.1533
345.000000 91.154 179.4774
350.000000 91.139 179.8032
355.000000 91.122 -179.8626
360.000000 91.105 -179.5281
365.000000 91.089 -179.1950
370.000000 91.074 -178.8591
375.000000 91.060 -178.5176
382.000000 91.042 -178.0357
387.000000 91.029 -177.6967
395.000000 91.009 -177.1561
400.000000 90.998 -176.8145
406.000000 90.985 -176.4193
412.000000 90.973 -176.0283
418.000000 90.962 -175.6347
425.000000 90.950 -175.1780
431.000000 90.941 -174.7853
437.000000 90.932 -174.3931
444.000000 90.922 -173.9456
450.000000 90.914 -173.5678
455.000000 90.908 -173.2534
462.000000 90.900 -172.8110
468.000000 90.894 -172.4306
475.000000 90.886 -171.9918
482.000000 90.881 -171.5591
487.000000 90.877 -171.2497
494.000000 90.871 -170.8176
500.000000 90.866 -170.4501
508.000000 90.861 -169.9621
515.000000 90.858 -169.5334
522.000000 90.854 -169.1083
530.000000 90.851 -168.6252
538.000000 90.848 -168.1414
545.000000 90.846 -167.7205
552.000000 90.845 -167.2984
560.000000 90.844 -166.8128
570.000000 90.844 -166.2066
580.000000 90.844 -165.6094
590.000000 90.847 -165.0139
600.000000 90.848 -164.4070
608.000000 90.850 -163.9177
615.000000 90.853 -163.4909
622.000000 90.855 -163.0654
630.000000 90.860 -162.5801
640.000000 90.867 -161.9727
650.000000 90.875 -161.3628
660.000000 90.884 -160.7520
670.000000 90.894 -160.1367
680.000000 90.905 -159.5199
690.000000 90.917 -158.8994
700.000000 90.932 -158.2719
710.000000 90.948 -157.6455
720.000000 90.965 -157.0208
730.000000 90.984 -156.3962
740.000000 91.004 -155.7646
750.000000 91.027 -155.1254
762.000000 91.057 -154.3587
775.000000 91.093 -153.5287
788.000000 91.132 -152.6978
800.000000 91.172 -151.9288
812.000000 91.215 -151.1610
825.000000 91.266 -150.3328
838.000000 91.320 -149.5024
850.000000 91.376 -148.7433
862.000000 91.436 -147.9969
875.000000 91.505 -147.1991
885.000000 91.561 -146.5894
900.000000 91.651 -145.6911
912.000000 91.729 -144.9988
925.000000 91.819 -144.2717
938.000000 91.914 -143.5686
950.000000 92.007 -142.9500
962.000000 92.106 -142.3695
975.000000 92.220 -141.7912
988.000000 92.342 -141.2912
1000.000000 92.461 -140.9384
1015.000000 92.611 -140.7451
1030.000000 92.720 -140.9122
1044.000000 92.736 -141.0790
1060.000000 92.702 -140.6699
1075.000000 92.694 -139.8145
1090.000000 92.734 -138.6482
1106.000000 92.863 -137.3737
1120.000000 93.019 -136.5598
1138.000000 93.220 -135.9090
1150.000000 93.343 -135.6167
1172.000000 93.548 -135.2142
1180.000000 93.618 -135.0942
1206.000000 93.830 -134.7716
1220.000000 93.938 -134.6281
1241.000000 94.090 -134.4440
1250.000000 94.153 -134.3749
1265.000000 94.253 -134.2695
1280.000000 94.350 -134.1742
1315.000000 94.563 -133.9768
1320.000000 94.593 -133.9510
1340.000000 94.706 -133.8538
1360.000000 94.815 -133.7609
1380.000000 94.920 -133.6673
1400.000000 95.022 -133.5739
1430.000000 95.169 -133.4379
1450.000000 95.264 -133.3439
1475.000000 95.380 -133.2246
1500.000000 95.494 -133.1038
1525.000000 95.605 -132.9842
1550.000000 95.716 -132.8644
1575.000000 95.825 -132.7452
1600.000000 95.933 -132.6295
1625.000000 96.040 -132.5175
1650.000000 96.147 -132.4102
1675.000000 96.253 -132.3064
1700.000000 96.359 -132.2093
1725.000000 96.465 -132.1237
1750.000000 96.570 -132.0466
1775.000000 96.675 -131.9746
1800.000000 96.780 -131.9114
1825.000000 96.885 -131.8573
1850.000000 96.989 -131.8097
1875.000000 97.094 -131.7694
1900.000000 97.201 -131.7403
1925.000000 97.310 -131.7293
1950.000000 97.419 -131.7439
1975.000000 97.528 -131.7877
2000.000000 97.635 -131.8593
2030.000000 97.762 -131.9756
2060.000000 97.886 -132.1180
2090.000000 98.008 -132.2836
2120.000000 98.127 -132.4728
2140.000000 98.205 -132.6108
2180.000000 98.358 -132.9148
2200.000000 98.434 -133.0816
2240.000000 98.580 -133.4436
2270.000000 98.688 -133.7423
2300.000000 98.792 -134.0666
2330.000000 98.894 -134.4129
2360.000000 98.992 -134.7786
2400.000000 99.118 -135.2968
2430.000000 99.208 -135.7074
2470.000000 99.321 -136.2815
2500.000000 99.402 -136.7302
2540.000000 99.503 -137.3518
2580.000000 99.598 -137.9953
2620.000000 99.685 -138.6559
2650.000000 99.744 -139.1628
2690.000000 99.817 -139.8494
2720.000000 99.867 -140.3694
2760.000000 99.926 -141.0678
2800.000000 99.978 -141.7686
2850.000000 100.032 -142.6405
2900.000000 100.075 -143.5036
2950.000000 100.107 -144.3494
3000.000000 100.128 -145.1703
3040.000000 100.138 -145.8084
3070.000000 100.142 -146.2735
3110.000000 100.142 -146.8705
3150.000000 100.138 -147.4382
3200.000000 100.126 -148.1029
3250.000000 100.112 -148.7157
3300.000000 100.096 -149.2807
3350.000000 100.080 -149.8150
3400.000000 100.064 -150.3347
3450.000000 100.046 -150.8390
3500.000000 100.024 -151.3149
3550.000000 100.003 -151.7486
3600.000000 99.985 -152.1404
3650.000000 99.975 -152.5139
3700.000000 99.974 -152.9177
3750.000000 99.978 -153.3992
3820.000000 99.976 -154.2116
3870.000000 99.961 -154.8472
3950.000000 99.915 -155.8696
4000.000000 99.875 -156.4855
4060.000000 99.820 -157.1968
4120.000000 99.758 -157.8828
4180.000000 99.692 -158.5435
4250.000000 99.610 -159.2801
4310.000000 99.537 -159.8937
4370.000000 99.462 -160.5111
4440.000000 99.370 -161.2524
4500.000000 99.284 -161.9090
4550.000000 99.206 -162.4681
4620.000000 99.083 -163.2527
4680.000000 98.964 -163.9071
4750.000000 98.811 -164.6252
4820.000000 98.642 -165.2737
4870.000000 98.513 -165.6786
4940.000000 98.322 -166.1409
5000.000000 98.155 -166.4315
5080.000000 97.933 -166.6828
5150.000000 97.744 -166.8088
5220.000000 97.559 -166.8764
5300.000000 97.349 -166.8968
5380.000000 97.138 -166.8554
5450.000000 96.953 -166.7616
5520.000000 96.765 -166.6028
5600.000000 96.548 -166.3157
