* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.099
* Format: 256k Log Swept Sine, 1 sweep at -22.8 dBFS with no timing reference
* Dated: 28/10/2023 2:47:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Salnotes Zero R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 100.627 -162.2293
20.299999 100.625 -162.9366
20.600000 100.623 -163.6215
20.900000 100.620 -164.2860
21.200001 100.619 -164.9367
21.400000 100.619 -165.3693
21.799999 100.619 -166.2410
22.000000 100.617 -166.6818
22.400000 100.608 -167.5651
22.700001 100.594 -168.2074
23.000000 100.577 -168.8075
23.299999 100.559 -169.3549
23.600000 100.545 -169.8584
24.000000 100.536 -170.5011
24.299999 100.535 -171.0032
24.700001 100.536 -171.7344
25.000000 100.532 -172.3221
25.400000 100.513 -173.1113
25.799999 100.482 -173.8392
26.200001 100.448 -174.4737
26.500000 100.427 -174.9042
26.900000 100.404 -175.4591
27.200001 100.391 -175.8857
27.600000 100.372 -176.4746
28.000000 100.349 -177.0626
28.500000 100.318 -177.7578
29.000000 100.290 -178.4192
29.500000 100.265 -179.0955
30.000000 100.238 -179.8005
30.400000 100.209 179.6445
30.700001 100.186 179.2511
31.100000 100.155 178.7617
31.500000 100.128 178.2972
32.000000 100.099 177.7177
32.500000 100.069 177.1253
33.000000 100.037 176.5396
33.500000 100.004 175.9784
34.000000 99.970 175.4355
34.500000 99.933 174.9031
35.000000 99.892 174.3972
35.500000 99.849 173.9441
36.000000 99.807 173.5391
36.500000 99.770 173.1467
37.000000 99.732 172.7460
37.500000 99.690 172.3627
38.200001 99.632 171.9128
38.700001 99.604 171.6084
39.500000 99.571 170.9428
40.000000 99.538 170.4156
40.599998 99.478 169.8007
41.200001 99.411 169.2990
41.799999 99.353 168.8721
42.500000 99.296 168.3707
43.099998 99.249 167.9262
43.700001 99.202 167.4990
44.400002 99.149 167.0365
45.000000 99.106 166.6600
45.500000 99.071 166.3528
46.200001 99.020 165.9379
46.799999 98.975 165.6051
47.500000 98.921 165.2294
48.200001 98.863 164.8517
48.700001 98.817 164.6010
49.400002 98.750 164.3093
50.000000 98.701 164.0841
50.799999 98.641 163.7335
51.500000 98.586 163.3867
52.200001 98.529 163.0534
53.000000 98.467 162.6861
53.799999 98.406 162.3182
54.500000 98.352 162.0156
55.200001 98.299 161.7380
56.000000 98.240 161.4443
57.000000 98.167 161.1046
58.000000 98.094 160.7734
59.000000 98.018 160.4554
60.000000 97.942 160.1554
60.799999 97.882 159.9143
61.500000 97.830 159.7046
62.200001 97.778 159.5024
63.000000 97.721 159.2803
64.000000 97.651 159.0125
65.000000 97.582 158.7620
66.000000 97.512 158.5333
67.000000 97.443 158.3253
68.000000 97.374 158.1282
69.000000 97.306 157.9296
70.000000 97.237 157.7348
71.000000 97.169 157.5480
72.000000 97.103 157.3663
73.000000 97.037 157.1984
74.000000 96.973 157.0482
75.000000 96.910 156.9088
76.199997 96.834 156.7504
77.500000 96.750 156.5995
78.800003 96.669 156.4677
80.000000 96.596 156.3350
81.199997 96.523 156.2000
82.500000 96.445 156.0767
83.800003 96.369 155.9751
85.000000 96.302 155.8890
86.199997 96.234 155.8098
87.500000 96.160 155.7324
88.500000 96.103 155.6835
90.000000 96.020 155.6281
91.199997 95.957 155.5822
92.500000 95.889 155.5270
93.800003 95.819 155.4732
95.000000 95.753 155.4483
96.199997 95.688 155.4429
97.500000 95.620 155.4331
98.800003 95.552 155.4164
100.000000 95.491 155.4096
101.500000 95.420 155.3967
103.000000 95.350 155.3759
104.400002 95.284 155.3701
106.000000 95.207 155.3907
107.500000 95.136 155.4317
109.000000 95.065 155.4673
110.599998 94.989 155.5044
112.000000 94.926 155.5464
113.800003 94.847 155.5999
115.000000 94.796 155.6427
117.199997 94.699 155.7466
118.000000 94.662 155.7899
120.599998 94.539 155.9963
122.000000 94.477 156.1246
124.099998 94.390 156.3116
125.000000 94.353 156.3915
126.500000 94.294 156.5373
128.000000 94.235 156.7099
131.500000 94.113 157.1285
132.000000 94.096 157.1805
134.000000 94.029 157.3812
136.000000 93.965 157.5815
138.000000 93.902 157.7817
140.000000 93.837 157.9896
143.000000 93.737 158.3194
145.000000 93.668 158.5648
147.500000 93.582 158.9258
150.000000 93.499 159.3713
152.500000 93.423 159.8983
155.000000 93.363 160.5026
157.500000 93.330 161.1516
160.000000 93.327 161.7519
162.500000 93.348 162.2073
165.000000 93.377 162.4545
167.500000 93.397 162.5111
170.000000 93.399 162.4510
172.500000 93.381 162.3523
175.000000 93.348 162.2715
177.500000 93.305 162.2330
180.000000 93.254 162.2426
182.500000 93.201 162.2920
185.000000 93.147 162.3755
187.500000 93.094 162.4954
190.000000 93.041 162.6385
192.500000 92.990 162.7894
195.000000 92.941 162.9619
197.500000 92.895 163.1746
200.000000 92.853 163.3945
203.000000 92.800 163.6234
206.000000 92.748 163.8568
209.000000 92.698 164.1206
212.000000 92.651 164.3991
214.000000 92.623 164.5863
218.000000 92.569 164.9680
220.000000 92.545 165.1582
224.000000 92.501 165.5249
227.000000 92.472 165.7907
230.000000 92.444 166.0432
233.000000 92.416 166.2734
236.000000 92.388 166.4829
240.000000 92.351 166.7452
243.000000 92.321 166.9372
247.000000 92.279 167.1812
250.000000 92.246 167.3653
254.000000 92.204 167.6429
258.000000 92.162 167.9338
262.000000 92.120 168.2226
265.000000 92.089 168.4439
269.000000 92.048 168.7498
272.000000 92.018 168.9817
276.000000 91.980 169.2875
280.000000 91.943 169.5997
285.000000 91.899 170.0042
290.000000 91.858 170.4118
295.000000 91.821 170.8148
300.000000 91.785 171.2126
304.000000 91.758 171.5298
307.000000 91.738 171.7630
311.000000 91.713 172.0681
315.000000 91.687 172.3690
320.000000 91.656 172.7441
325.000000 91.626 173.1269
330.000000 91.599 173.5170
335.000000 91.575 173.9018
340.000000 91.554 174.2693
345.000000 91.533 174.6176
350.000000 91.511 174.9527
355.000000 91.487 175.2923
360.000000 91.463 175.6356
365.000000 91.441 175.9789
370.000000 91.418 176.3205
375.000000 91.397 176.6603
382.000000 91.368 177.1357
387.000000 91.349 177.4767
395.000000 91.320 178.0342
400.000000 91.302 178.3820
406.000000 91.281 178.7792
412.000000 91.261 179.1706
418.000000 91.243 179.5740
425.000000 91.223 -179.9544
431.000000 91.206 -179.5548
437.000000 91.189 -179.1574
444.000000 91.171 -178.6942
450.000000 91.157 -178.3022
455.000000 91.146 -177.9768
462.000000 91.131 -177.5208
468.000000 91.119 -177.1336
475.000000 91.105 -176.6868
482.000000 91.092 -176.2423
487.000000 91.084 -175.9215
494.000000 91.072 -175.4694
500.000000 91.062 -175.0867
508.000000 91.052 -174.5870
515.000000 91.043 -174.1511
522.000000 91.035 -173.7124
530.000000 91.027 -173.2112
538.000000 91.018 -172.7142
545.000000 91.012 -172.2797
552.000000 91.006 -171.8460
560.000000 91.001 -171.3524
570.000000 90.995 -170.7368
580.000000 90.990 -170.1158
590.000000 90.986 -169.4968
600.000000 90.983 -168.8793
608.000000 90.982 -168.3864
615.000000 90.982 -167.9588
622.000000 90.983 -167.5313
630.000000 90.984 -167.0355
640.000000 90.987 -166.4113
650.000000 90.991 -165.7930
660.000000 90.996 -165.1761
670.000000 91.002 -164.5558
680.000000 91.010 -163.9299
690.000000 91.021 -163.2987
700.000000 91.032 -162.6714
710.000000 91.044 -162.0467
720.000000 91.058 -161.4196
730.000000 91.075 -160.7864
740.000000 91.092 -160.1529
750.000000 91.113 -159.5227
762.000000 91.140 -158.7582
775.000000 91.172 -157.9244
788.000000 91.209 -157.0937
800.000000 91.247 -156.3302
812.000000 91.289 -155.5677
825.000000 91.338 -154.7430
838.000000 91.391 -153.9240
850.000000 91.445 -153.1756
862.000000 91.504 -152.4372
875.000000 91.573 -151.6508
885.000000 91.631 -151.0572
900.000000 91.724 -150.1906
912.000000 91.804 -149.5187
925.000000 91.899 -148.8218
938.000000 92.002 -148.1736
950.000000 92.106 -147.6314
962.000000 92.221 -147.1705
975.000000 92.359 -146.8304
988.000000 92.506 -146.8175
1000.000000 92.614 -147.3117
1015.000000 92.573 -148.4138
1030.000000 92.287 -148.0980
1044.000000 92.144 -145.7498
1060.000000 92.312 -143.2329
1075.000000 92.550 -141.9958
1090.000000 92.758 -141.3315
1106.000000 92.948 -140.8603
1120.000000 93.096 -140.5442
1138.000000 93.270 -140.2234
1150.000000 93.377 -140.0488
1172.000000 93.557 -139.7569
1180.000000 93.619 -139.6526
1206.000000 93.818 -139.3463
1220.000000 93.920 -139.2166
1241.000000 94.067 -139.0615
1250.000000 94.128 -139.0058
1265.000000 94.225 -138.9248
1280.000000 94.319 -138.8552
1315.000000 94.526 -138.7199
1320.000000 94.554 -138.7031
1340.000000 94.663 -138.6413
1360.000000 94.766 -138.5819
1380.000000 94.866 -138.5231
1400.000000 94.963 -138.4659
1430.000000 95.102 -138.3798
1450.000000 95.192 -138.3200
1475.000000 95.301 -138.2441
1500.000000 95.406 -138.1651
1525.000000 95.510 -138.0822
1550.000000 95.611 -137.9975
1575.000000 95.712 -137.9127
1600.000000 95.812 -137.8281
1625.000000 95.910 -137.7458
1650.000000 96.007 -137.6647
1675.000000 96.104 -137.5867
1700.000000 96.201 -137.5147
1725.000000 96.298 -137.4503
1750.000000 96.394 -137.3914
1775.000000 96.490 -137.3393
1800.000000 96.586 -137.2960
1825.000000 96.682 -137.2625
1850.000000 96.778 -137.2382
1875.000000 96.874 -137.2236
1900.000000 96.970 -137.2219
1925.000000 97.065 -137.2323
1950.000000 97.160 -137.2538
1975.000000 97.254 -137.2887
2000.000000 97.349 -137.3392
2030.000000 97.463 -137.4202
2060.000000 97.575 -137.5239
2090.000000 97.685 -137.6503
2120.000000 97.794 -137.7989
2140.000000 97.866 -137.9105
2180.000000 98.008 -138.1616
2200.000000 98.078 -138.3010
2240.000000 98.215 -138.6077
2270.000000 98.315 -138.8622
2300.000000 98.413 -139.1385
2330.000000 98.509 -139.4361
2360.000000 98.602 -139.7536
2400.000000 98.723 -140.2070
2430.000000 98.809 -140.5692
2470.000000 98.920 -141.0788
2500.000000 98.999 -141.4808
2540.000000 99.100 -142.0421
2580.000000 99.195 -142.6287
2620.000000 99.284 -143.2369
2650.000000 99.346 -143.7062
2690.000000 99.422 -144.3476
2720.000000 99.476 -144.8397
2760.000000 99.541 -145.5069
2800.000000 99.599 -146.1831
2850.000000 99.663 -147.0389
2900.000000 99.716 -147.9010
2950.000000 99.758 -148.7634
3000.000000 99.791 -149.6201
3040.000000 99.810 -150.2979
3070.000000 99.821 -150.8001
3110.000000 99.830 -151.4594
3150.000000 99.833 -152.1043
3200.000000 99.830 -152.8837
3250.000000 99.820 -153.6261
3300.000000 99.805 -154.3241
3350.000000 99.789 -154.9781
3400.000000 99.774 -155.6029
3450.000000 99.762 -156.2289
3500.000000 99.751 -156.8857
3550.000000 99.736 -157.5816
3600.000000 99.713 -158.3052
3650.000000 99.680 -159.0368
3700.000000 99.639 -159.7592
3750.000000 99.590 -160.4600
3820.000000 99.511 -161.3954
3870.000000 99.449 -162.0329
3950.000000 99.344 -163.0043
4000.000000 99.274 -163.5867
4060.000000 99.188 -164.2699
4120.000000 99.097 -164.9437
4180.000000 99.002 -165.6110
4250.000000 98.882 -166.3810
4310.000000 98.773 -167.0287
4370.000000 98.656 -167.6598
4440.000000 98.510 -168.3672
4500.000000 98.378 -168.9421
4550.000000 98.263 -169.3972
4620.000000 98.095 -169.9979
4680.000000 97.944 -170.4775
4750.000000 97.761 -170.9921
4820.000000 97.570 -171.4554
4870.000000 97.429 -171.7541
4940.000000 97.225 -172.1263
5000.000000 97.043 -172.4012
5080.000000 96.790 -172.6882
5150.000000 96.558 -172.8371
5220.000000 96.320 -172.8684
5300.000000 96.046 -172.7529
5380.000000 95.774 -172.4854
5450.000000 95.541 -172.1410
5520.000000 95.313 -171.7044
5600.000000 95.059 -171.1026
