* Measurement data measured by REW V5.30.5
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -30.0 dBFS with no timing reference
* Dated: 26/02/2024 10:50:58 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Simgot EM6L L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 88.465 -113.4585
20.299999 88.541 -114.5367
20.600000 88.617 -115.5762
20.900000 88.693 -116.5960
21.200001 88.768 -117.6109
21.400000 88.816 -118.2877
21.799999 88.907 -119.6363
22.000000 88.949 -120.3023
22.400000 89.026 -121.6046
22.700001 89.081 -122.5515
23.000000 89.134 -123.4763
23.299999 89.187 -124.3866
23.600000 89.238 -125.2892
24.000000 89.302 -126.4849
24.299999 89.347 -127.3720
24.700001 89.401 -128.5303
25.000000 89.439 -129.3751
25.400000 89.489 -130.4710
25.799999 89.538 -131.5440
26.200001 89.586 -132.6072
26.500000 89.619 -133.3991
26.900000 89.660 -134.4364
27.200001 89.687 -135.1900
27.600000 89.723 -136.1549
28.000000 89.762 -137.0855
28.500000 89.815 -138.2454
29.000000 89.867 -139.4424
29.500000 89.907 -140.6582
30.000000 89.934 -141.8282
30.400000 89.950 -142.7035
30.700001 89.963 -143.3294
31.100000 89.982 -144.1427
31.500000 90.001 -144.9497
32.000000 90.021 -145.9482
32.500000 90.037 -146.9113
33.000000 90.052 -147.8337
33.500000 90.070 -148.7451
34.000000 90.087 -149.6694
34.500000 90.097 -150.5912
35.000000 90.103 -151.4794
35.500000 90.108 -152.3313
36.000000 90.115 -153.1745
36.500000 90.121 -154.0260
37.000000 90.120 -154.8672
37.500000 90.114 -155.6666
38.200001 90.109 -156.7119
38.700001 90.109 -157.4392
39.500000 90.108 -158.6102
40.000000 90.104 -159.3317
40.599998 90.096 -160.1718
41.200001 90.088 -160.9935
41.799999 90.077 -161.8048
42.500000 90.059 -162.7160
43.099998 90.043 -163.4495
43.700001 90.031 -164.1637
44.400002 90.020 -165.0271
45.000000 90.005 -165.7868
45.500000 89.987 -166.3979
46.200001 89.960 -167.1942
46.799999 89.941 -167.8492
47.500000 89.918 -168.6047
48.200001 89.894 -169.3262
48.700001 89.879 -169.8224
49.400002 89.860 -170.5312
50.000000 89.838 -171.1527
50.799999 89.800 -171.9228
51.500000 89.770 -172.5339
52.200001 89.744 -173.1599
53.000000 89.709 -173.8976
53.799999 89.669 -174.5887
54.500000 89.638 -175.1710
55.200001 89.608 -175.7590
56.000000 89.572 -176.4082
57.000000 89.529 -177.1720
58.000000 89.486 -177.9140
59.000000 89.440 -178.6158
60.000000 89.391 -179.2842
60.799999 89.350 -179.8102
61.500000 89.312 179.7301
62.200001 89.275 179.2695
63.000000 89.235 178.7237
64.000000 89.185 178.0182
65.000000 89.145 177.2926
66.000000 89.098 176.4776
67.000000 89.028 175.8584
68.000000 88.987 175.4841
69.000000 88.959 175.0038
70.000000 88.909 174.6064
71.000000 88.869 174.2948
72.000000 88.823 173.8625
73.000000 88.761 173.4278
74.000000 88.698 173.0092
75.000000 88.640 172.5672
76.199997 88.582 172.0073
77.500000 88.518 171.3310
78.800003 88.446 170.8238
80.000000 88.397 170.4570
81.199997 88.348 170.0454
82.500000 88.286 169.6060
83.800003 88.217 169.1829
85.000000 88.156 168.8116
86.199997 88.100 168.4323
87.500000 88.042 168.0240
88.500000 87.998 167.7185
90.000000 87.928 167.2791
91.199997 87.868 166.9726
92.500000 87.804 166.6573
93.800003 87.741 166.3378
95.000000 87.684 166.0410
96.199997 87.629 165.7528
97.500000 87.571 165.4551
98.800003 87.512 165.1765
100.000000 87.457 164.9479
101.500000 87.390 164.6622
103.000000 87.320 164.3660
104.400002 87.254 164.0935
106.000000 87.180 163.7961
107.500000 87.114 163.5310
109.000000 87.049 163.2788
110.599998 86.979 163.0259
112.000000 86.916 162.8266
113.800003 86.836 162.5870
115.000000 86.784 162.4327
117.199997 86.691 162.1408
118.000000 86.656 162.0372
120.599998 86.541 161.7493
122.000000 86.480 161.6150
124.099998 86.387 161.4158
125.000000 86.346 161.3321
126.500000 86.278 161.2026
128.000000 86.209 161.0871
131.500000 86.044 160.8839
132.000000 86.021 160.8624
134.000000 85.922 160.7874
136.000000 85.816 160.7633
138.000000 85.705 160.7932
140.000000 85.589 160.9077
143.000000 85.419 161.3260
145.000000 85.315 161.8181
147.500000 85.210 162.7819
150.000000 85.181 164.0437
152.500000 85.256 165.1797
155.000000 85.409 165.7032
157.500000 85.563 165.4516
160.000000 85.657 164.7061
162.500000 85.681 163.8215
165.000000 85.653 163.0439
167.500000 85.599 162.4239
170.000000 85.529 161.9285
172.500000 85.451 161.5388
175.000000 85.372 161.2369
177.500000 85.295 161.0113
180.000000 85.221 160.8394
182.500000 85.148 160.7071
185.000000 85.077 160.6042
187.500000 85.009 160.5276
190.000000 84.941 160.4727
192.500000 84.876 160.4298
195.000000 84.812 160.3992
197.500000 84.750 160.3925
200.000000 84.687 160.3973
203.000000 84.614 160.4095
206.000000 84.545 160.4518
209.000000 84.478 160.5031
212.000000 84.413 160.5295
214.000000 84.371 160.5426
218.000000 84.293 160.6071
220.000000 84.253 160.6566
224.000000 84.175 160.7657
227.000000 84.119 160.8593
230.000000 84.064 160.9610
233.000000 84.011 161.0630
236.000000 83.959 161.1652
240.000000 83.893 161.3127
243.000000 83.845 161.4261
247.000000 83.783 161.5671
250.000000 83.739 161.6587
254.000000 83.682 161.7814
258.000000 83.625 161.9045
262.000000 83.567 162.0153
265.000000 83.524 162.0926
269.000000 83.468 162.1965
272.000000 83.424 162.2935
276.000000 83.363 162.4376
280.000000 83.303 162.5781
285.000000 83.226 162.7656
290.000000 83.147 162.9716
295.000000 83.065 163.2306
300.000000 82.985 163.5538
304.000000 82.921 163.8489
307.000000 82.874 164.1050
311.000000 82.815 164.5081
315.000000 82.767 164.9952
320.000000 82.732 165.6917
325.000000 82.735 166.3580
330.000000 82.770 166.8130
335.000000 82.811 166.9819
340.000000 82.833 166.9241
345.000000 82.827 166.7894
350.000000 82.799 166.6758
355.000000 82.757 166.6285
360.000000 82.710 166.6470
365.000000 82.661 166.7139
370.000000 82.613 166.8177
375.000000 82.564 166.9493
382.000000 82.498 167.1684
387.000000 82.454 167.3428
395.000000 82.386 167.6256
400.000000 82.345 167.8146
406.000000 82.296 168.0552
412.000000 82.251 168.3082
418.000000 82.208 168.5714
425.000000 82.159 168.8685
431.000000 82.117 169.1199
437.000000 82.077 169.3775
444.000000 82.032 169.6854
450.000000 81.995 169.9565
455.000000 81.965 170.1811
462.000000 81.924 170.4915
468.000000 81.889 170.7643
475.000000 81.850 171.0877
482.000000 81.813 171.4048
487.000000 81.787 171.6295
494.000000 81.750 171.9551
500.000000 81.718 172.2401
508.000000 81.679 172.6097
515.000000 81.647 172.9338
522.000000 81.616 173.2594
530.000000 81.581 173.6330
538.000000 81.547 174.0166
545.000000 81.519 174.3578
552.000000 81.491 174.6938
560.000000 81.460 175.0772
570.000000 81.424 175.5529
580.000000 81.390 176.0226
590.000000 81.354 176.5043
600.000000 81.322 176.9888
608.000000 81.297 177.3779
615.000000 81.276 177.7193
622.000000 81.255 178.0622
630.000000 81.232 178.4578
640.000000 81.205 178.9618
650.000000 81.179 179.4664
660.000000 81.153 179.9740
670.000000 81.128 -179.5062
680.000000 81.105 -178.9772
690.000000 81.084 -178.4410
700.000000 81.064 -177.8928
710.000000 81.047 -177.3222
720.000000 81.033 -176.7514
730.000000 81.021 -176.1825
740.000000 81.012 -175.5952
750.000000 81.006 -175.0000
762.000000 81.003 -174.2875
775.000000 81.003 -173.5143
788.000000 81.009 -172.7426
800.000000 81.019 -172.0302
812.000000 81.032 -171.3150
825.000000 81.051 -170.5383
838.000000 81.077 -169.7718
850.000000 81.104 -169.0693
862.000000 81.134 -168.3687
875.000000 81.172 -167.6189
885.000000 81.204 -167.0513
900.000000 81.259 -166.2138
912.000000 81.308 -165.5548
925.000000 81.367 -164.8609
938.000000 81.429 -164.1858
950.000000 81.489 -163.5821
962.000000 81.554 -162.9977
975.000000 81.629 -162.3892
988.000000 81.706 -161.8155
1000.000000 81.780 -161.3136
1015.000000 81.877 -160.7238
1030.000000 81.977 -160.1801
1044.000000 82.072 -159.7111
1060.000000 82.183 -159.2191
1075.000000 82.287 -158.8032
1090.000000 82.391 -158.4375
1106.000000 82.502 -158.0906
1120.000000 82.597 -157.8172
1138.000000 82.719 -157.5219
1150.000000 82.798 -157.3539
1172.000000 82.939 -157.0911
1180.000000 82.989 -157.0099
1206.000000 83.146 -156.7921
1220.000000 83.227 -156.7007
1241.000000 83.343 -156.5853
1250.000000 83.391 -156.5471
1265.000000 83.468 -156.4928
1280.000000 83.543 -156.4402
1315.000000 83.709 -156.3314
1320.000000 83.731 -156.3177
1340.000000 83.819 -156.2648
1360.000000 83.904 -156.2133
1380.000000 83.987 -156.1605
1400.000000 84.066 -156.1032
1430.000000 84.182 -155.9983
1450.000000 84.258 -155.9188
1475.000000 84.352 -155.8180
1500.000000 84.445 -155.7071
1525.000000 84.538 -155.5878
1550.000000 84.631 -155.4611
1575.000000 84.725 -155.3270
1600.000000 84.821 -155.1922
1625.000000 84.919 -155.0551
1650.000000 85.019 -154.9194
1675.000000 85.120 -154.7870
1700.000000 85.224 -154.6610
1725.000000 85.330 -154.5410
1750.000000 85.439 -154.4272
1775.000000 85.550 -154.3246
1800.000000 85.663 -154.2337
1825.000000 85.779 -154.1579
1850.000000 85.896 -154.0996
1875.000000 86.016 -154.0617
1900.000000 86.137 -154.0446
1925.000000 86.260 -154.0487
1950.000000 86.384 -154.0730
1975.000000 86.509 -154.1170
2000.000000 86.635 -154.1822
2030.000000 86.788 -154.2895
2060.000000 86.942 -154.4260
2090.000000 87.097 -154.5987
2120.000000 87.252 -154.8047
2140.000000 87.356 -154.9608
2180.000000 87.564 -155.3195
2200.000000 87.668 -155.5199
2240.000000 87.875 -155.9612
2270.000000 88.030 -156.3304
2300.000000 88.185 -156.7352
2330.000000 88.339 -157.1741
2360.000000 88.494 -157.6469
2400.000000 88.698 -158.3327
2430.000000 88.849 -158.8932
2470.000000 89.048 -159.7032
2500.000000 89.195 -160.3542
2540.000000 89.387 -161.2826
2580.000000 89.573 -162.2841
2620.000000 89.752 -163.3537
2650.000000 89.880 -164.1977
2690.000000 90.043 -165.3736
2720.000000 90.159 -166.2890
2760.000000 90.304 -167.5520
2800.000000 90.439 -168.8567
2850.000000 90.590 -170.5335
2900.000000 90.724 -172.2437
2950.000000 90.840 -173.9783
3000.000000 90.938 -175.7259
3040.000000 91.004 -177.1221
3070.000000 91.046 -178.1660
3110.000000 91.094 -179.5508
3150.000000 91.131 179.0789
3200.000000 91.166 177.3942
3250.000000 91.187 175.7433
3300.000000 91.195 174.1249
3350.000000 91.193 172.5462
3400.000000 91.182 171.0051
3450.000000 91.161 169.5016
3500.000000 91.132 168.0372
3550.000000 91.094 166.6119
3600.000000 91.048 165.2253
3650.000000 90.994 163.8764
3700.000000 90.932 162.5698
3750.000000 90.863 161.3055
3820.000000 90.753 159.6222
3870.000000 90.668 158.4944
3950.000000 90.525 156.8121
4000.000000 90.433 155.8285
4060.000000 90.321 154.7020
4120.000000 90.205 153.6160
4180.000000 90.082 152.5720
4250.000000 89.928 151.4274
4310.000000 89.787 150.5331
4370.000000 89.640 149.7385
4440.000000 89.464 148.9462
4500.000000 89.311 148.3802
4550.000000 89.184 147.9797
4620.000000 89.007 147.5182
4680.000000 88.857 147.2139
4750.000000 88.683 146.9600
4820.000000 88.510 146.8145
4870.000000 88.387 146.7804
4940.000000 88.217 146.8289
5000.000000 88.073 146.9510
5080.000000 87.883 147.2182
5150.000000 87.713 147.5322
5220.000000 87.524 147.9444
5300.000000 87.258 149.0076
5380.000000 87.147 151.7725
5450.000000 87.302 153.0168
5520.000000 87.330 153.0019
5600.000000 87.234 153.3734
5700.000000 87.120 154.3853
5800.000000 87.046 155.5743
