* Measurement data measured by REW V5.30.5
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -30.0 dBFS with no timing reference
* Dated: 26/02/2024 10:51:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Simgot EM6L R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 88.440 -113.4852
20.299999 88.519 -114.5756
20.600000 88.597 -115.6548
20.900000 88.672 -116.7265
21.200001 88.743 -117.7871
21.400000 88.788 -118.4839
21.799999 88.872 -119.8442
22.000000 88.912 -120.5058
22.400000 88.991 -121.7962
22.700001 89.050 -122.7433
23.000000 89.107 -123.6801
23.299999 89.163 -124.6105
23.600000 89.216 -125.5339
24.000000 89.281 -126.7475
24.299999 89.327 -127.6382
24.700001 89.383 -128.7940
25.000000 89.423 -129.6367
25.400000 89.475 -130.7331
25.799999 89.525 -131.8063
26.200001 89.572 -132.8630
26.500000 89.606 -133.6454
26.900000 89.646 -134.6716
27.200001 89.674 -135.4247
27.600000 89.709 -136.4044
28.000000 89.742 -137.3610
28.500000 89.783 -138.5417
29.000000 89.819 -139.7204
29.500000 89.848 -140.8851
30.000000 89.870 -142.0076
30.400000 89.888 -142.8716
30.700001 89.903 -143.5111
31.100000 89.924 -144.3718
31.500000 89.943 -145.2535
32.000000 89.957 -146.3623
32.500000 89.961 -147.4185
33.000000 89.964 -148.3866
33.500000 89.976 -149.3091
34.000000 89.995 -150.2637
34.500000 90.007 -151.2674
35.000000 90.001 -152.2416
35.500000 89.984 -153.0808
36.000000 89.975 -153.7598
36.500000 89.986 -154.3645
37.000000 90.015 -155.0153
37.500000 90.047 -155.7687
38.200001 90.071 -156.9164
38.700001 90.073 -157.7104
39.500000 90.067 -158.8773
40.000000 90.063 -159.5781
40.599998 90.055 -160.4173
41.200001 90.042 -161.2412
41.799999 90.028 -162.0407
42.500000 90.011 -162.9658
43.099998 89.993 -163.7584
43.700001 89.972 -164.5175
44.400002 89.950 -165.3355
45.000000 89.940 -166.0206
45.500000 89.934 -166.6148
46.200001 89.920 -167.4670
46.799999 89.900 -168.1645
47.500000 89.875 -168.9201
48.200001 89.850 -169.6485
48.700001 89.828 -170.1540
49.400002 89.794 -170.8105
50.000000 89.769 -171.3304
50.799999 89.743 -172.0436
51.500000 89.718 -172.7162
52.200001 89.689 -173.3887
53.000000 89.656 -174.1367
53.799999 89.624 -174.8880
54.500000 89.592 -175.5243
55.200001 89.559 -176.1070
56.000000 89.526 -176.7202
57.000000 89.487 -177.4674
58.000000 89.443 -178.2006
59.000000 89.392 -178.9156
60.000000 89.336 -179.6097
60.799999 89.293 179.8360
61.500000 89.256 179.3231
62.200001 89.219 178.8168
63.000000 89.184 178.2603
64.000000 89.148 177.5342
65.000000 89.122 176.8984
66.000000 89.117 176.0189
67.000000 89.016 174.9744
68.000000 88.858 174.8020
69.000000 88.799 175.1013
70.000000 88.807 175.0345
71.000000 88.812 174.4697
72.000000 88.763 173.7022
73.000000 88.694 173.1280
74.000000 88.640 172.6102
75.000000 88.590 172.0986
76.199997 88.534 171.5645
77.500000 88.476 171.0656
78.800003 88.415 170.5722
80.000000 88.348 170.1509
81.199997 88.282 169.7479
82.500000 88.214 169.2563
83.800003 88.146 168.7740
85.000000 88.089 168.3761
86.199997 88.037 167.9915
87.500000 87.980 167.5940
88.500000 87.934 167.2951
90.000000 87.857 166.8779
91.199997 87.797 166.5693
92.500000 87.734 166.2291
93.800003 87.674 165.9035
95.000000 87.620 165.6118
96.199997 87.566 165.3295
97.500000 87.506 165.0305
98.800003 87.444 164.7421
100.000000 87.386 164.4873
101.500000 87.316 164.1877
103.000000 87.249 163.8880
104.400002 87.186 163.6237
106.000000 87.116 163.3462
107.500000 87.049 163.0979
109.000000 86.982 162.8653
110.599998 86.911 162.6220
112.000000 86.848 162.4154
113.800003 86.768 162.1600
115.000000 86.715 161.9897
117.199997 86.616 161.6946
118.000000 86.581 161.6029
120.599998 86.466 161.3283
122.000000 86.403 161.1839
124.099998 86.307 160.9816
125.000000 86.266 160.8955
126.500000 86.198 160.7587
128.000000 86.128 160.6385
131.500000 85.951 160.4268
132.000000 85.923 160.4028
134.000000 85.813 160.3571
136.000000 85.709 160.3555
138.000000 85.605 160.3762
140.000000 85.490 160.5160
143.000000 85.305 161.0743
145.000000 85.189 161.7335
147.500000 85.095 162.9242
150.000000 85.108 164.3467
152.500000 85.248 165.4413
155.000000 85.447 165.6223
157.500000 85.599 164.9563
160.000000 85.663 163.9565
162.500000 85.654 163.0142
165.000000 85.603 162.2558
167.500000 85.532 161.6684
170.000000 85.453 161.2339
172.500000 85.372 160.9090
175.000000 85.292 160.6590
177.500000 85.216 160.4615
180.000000 85.143 160.3073
182.500000 85.071 160.1840
185.000000 85.000 160.0854
187.500000 84.931 160.0080
190.000000 84.864 159.9459
192.500000 84.800 159.9037
195.000000 84.738 159.8770
197.500000 84.677 159.8672
200.000000 84.616 159.8591
203.000000 84.538 159.8494
206.000000 84.464 159.8876
209.000000 84.396 159.9294
212.000000 84.333 159.9591
214.000000 84.292 159.9723
218.000000 84.211 160.0280
220.000000 84.170 160.0699
224.000000 84.087 160.1604
227.000000 84.027 160.2335
230.000000 83.968 160.3313
233.000000 83.909 160.4488
236.000000 83.853 160.5872
240.000000 83.779 160.7789
243.000000 83.727 160.9222
247.000000 83.661 161.1351
250.000000 83.617 161.3193
254.000000 83.568 161.5600
258.000000 83.525 161.7455
262.000000 83.483 161.8918
265.000000 83.452 161.9662
269.000000 83.404 162.0435
272.000000 83.364 162.0940
276.000000 83.306 162.1658
280.000000 83.243 162.2794
285.000000 83.162 162.4887
290.000000 83.082 162.7610
295.000000 83.007 163.1364
300.000000 82.949 163.6323
304.000000 82.921 164.0784
307.000000 82.912 164.3811
311.000000 82.909 164.6871
315.000000 82.912 164.8688
320.000000 82.910 164.9572
325.000000 82.895 164.9680
330.000000 82.864 164.9736
335.000000 82.824 164.9841
340.000000 82.780 165.0310
345.000000 82.734 165.1063
350.000000 82.687 165.2100
355.000000 82.638 165.3368
360.000000 82.588 165.4767
365.000000 82.541 165.6365
370.000000 82.496 165.8123
375.000000 82.453 165.9910
382.000000 82.394 166.2501
387.000000 82.352 166.4363
395.000000 82.287 166.7441
400.000000 82.249 166.9483
406.000000 82.205 167.2003
412.000000 82.159 167.4523
418.000000 82.117 167.7008
425.000000 82.070 168.0001
431.000000 82.030 168.2656
437.000000 81.991 168.5323
444.000000 81.945 168.8409
450.000000 81.909 169.0804
455.000000 81.879 169.2936
462.000000 81.838 169.6109
468.000000 81.803 169.8796
475.000000 81.765 170.1873
482.000000 81.728 170.5107
487.000000 81.702 170.7397
494.000000 81.667 171.0494
500.000000 81.638 171.3190
508.000000 81.599 171.6857
515.000000 81.567 172.0115
522.000000 81.536 172.3327
530.000000 81.501 172.7034
538.000000 81.469 173.0769
545.000000 81.440 173.3987
552.000000 81.412 173.7180
560.000000 81.383 174.0905
570.000000 81.346 174.5693
580.000000 81.310 175.0449
590.000000 81.277 175.5112
600.000000 81.245 175.9832
608.000000 81.219 176.3670
615.000000 81.198 176.7047
622.000000 81.177 177.0408
630.000000 81.154 177.4300
640.000000 81.127 177.9234
650.000000 81.100 178.4182
660.000000 81.075 178.9180
670.000000 81.050 179.4279
680.000000 81.027 179.9522
690.000000 81.006 -179.5121
700.000000 80.988 -178.9628
710.000000 80.971 -178.4104
720.000000 80.956 -177.8471
730.000000 80.945 -177.2784
740.000000 80.937 -176.7035
750.000000 80.931 -176.1227
762.000000 80.928 -175.4291
775.000000 80.930 -174.6706
788.000000 80.936 -173.9033
800.000000 80.946 -173.2017
812.000000 80.959 -172.5013
825.000000 80.979 -171.7407
838.000000 81.004 -170.9846
850.000000 81.031 -170.2940
862.000000 81.061 -169.6027
875.000000 81.098 -168.8543
885.000000 81.131 -168.2906
900.000000 81.186 -167.4609
912.000000 81.235 -166.8152
925.000000 81.292 -166.1308
938.000000 81.355 -165.4631
950.000000 81.416 -164.8694
962.000000 81.481 -164.3013
975.000000 81.555 -163.7171
988.000000 81.632 -163.1529
1000.000000 81.706 -162.6551
1015.000000 81.803 -162.0743
1030.000000 81.902 -161.5325
1044.000000 81.996 -161.0707
1060.000000 82.106 -160.5930
1075.000000 82.210 -160.1862
1090.000000 82.313 -159.8245
1106.000000 82.423 -159.4867
1120.000000 82.519 -159.2316
1138.000000 82.640 -158.9453
1150.000000 82.719 -158.7803
1172.000000 82.858 -158.5265
1180.000000 82.908 -158.4485
1206.000000 83.064 -158.2453
1220.000000 83.144 -158.1584
1241.000000 83.259 -158.0478
1250.000000 83.307 -158.0078
1265.000000 83.384 -157.9477
1280.000000 83.458 -157.8960
1315.000000 83.622 -157.8011
1320.000000 83.645 -157.7881
1340.000000 83.733 -157.7361
1360.000000 83.818 -157.6840
1380.000000 83.899 -157.6325
1400.000000 83.978 -157.5768
1430.000000 84.094 -157.4766
1450.000000 84.169 -157.4014
1475.000000 84.263 -157.3051
1500.000000 84.356 -157.1996
1525.000000 84.449 -157.0821
1550.000000 84.543 -156.9541
1575.000000 84.638 -156.8194
1600.000000 84.735 -156.6846
1625.000000 84.832 -156.5521
1650.000000 84.931 -156.4172
1675.000000 85.032 -156.2800
1700.000000 85.137 -156.1493
1725.000000 85.244 -156.0288
1750.000000 85.353 -155.9155
1775.000000 85.463 -155.8116
1800.000000 85.577 -155.7200
1825.000000 85.693 -155.6450
1850.000000 85.811 -155.5861
1875.000000 85.930 -155.5446
1900.000000 86.052 -155.5237
1925.000000 86.176 -155.5243
1950.000000 86.300 -155.5453
1975.000000 86.425 -155.5855
2000.000000 86.551 -155.6484
2030.000000 86.704 -155.7514
2060.000000 86.858 -155.8854
2090.000000 87.013 -156.0513
2120.000000 87.169 -156.2493
2140.000000 87.273 -156.3993
2180.000000 87.482 -156.7408
2200.000000 87.586 -156.9321
2240.000000 87.794 -157.3605
2270.000000 87.950 -157.7182
2300.000000 88.106 -158.1053
2330.000000 88.262 -158.5275
2360.000000 88.419 -158.9869
2400.000000 88.627 -159.6626
2430.000000 88.782 -160.2217
2470.000000 88.984 -161.0346
2500.000000 89.133 -161.6898
2540.000000 89.326 -162.6236
2580.000000 89.512 -163.6276
2620.000000 89.691 -164.6975
2650.000000 89.819 -165.5388
2690.000000 89.982 -166.7063
2720.000000 90.099 -167.6134
2760.000000 90.245 -168.8667
2800.000000 90.380 -170.1611
2850.000000 90.534 -171.8242
2900.000000 90.669 -173.5238
2950.000000 90.786 -175.2500
3000.000000 90.885 -176.9865
3040.000000 90.952 -178.3727
3070.000000 90.995 -179.4092
3110.000000 91.044 179.2162
3150.000000 91.083 177.8553
3200.000000 91.118 176.1807
3250.000000 91.141 174.5425
3300.000000 91.151 172.9355
3350.000000 91.150 171.3660
3400.000000 91.139 169.8387
3450.000000 91.119 168.3459
3500.000000 91.090 166.8896
3550.000000 91.053 165.4726
3600.000000 91.006 164.0984
3650.000000 90.950 162.7665
3700.000000 90.886 161.4848
3750.000000 90.815 160.2628
3820.000000 90.706 158.6665
3870.000000 90.625 157.6079
3950.000000 90.497 156.0118
4000.000000 90.417 155.0465
4060.000000 90.316 153.9053
4120.000000 90.207 152.7946
4180.000000 90.088 151.7346
4250.000000 89.937 150.5911
4310.000000 89.799 149.7102
4370.000000 89.656 148.9276
4440.000000 89.485 148.1425
4500.000000 89.337 147.5778
4550.000000 89.214 147.1763
4620.000000 89.042 146.7165
4680.000000 88.895 146.4163
4750.000000 88.724 146.1671
4820.000000 88.554 146.0255
4870.000000 88.434 145.9906
4940.000000 88.265 146.0365
5000.000000 88.123 146.1570
5080.000000 87.932 146.4256
5150.000000 87.759 146.7557
5220.000000 87.563 147.2207
5300.000000 87.297 148.4739
5380.000000 87.233 151.4376
5450.000000 87.424 152.5199
5520.000000 87.446 152.2557
5600.000000 87.339 152.5789
5700.000000 87.218 153.6017
5800.000000 87.142 154.8025
5900.000000 87.094 156.0264
