* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -5.5 dBFS with no timing reference
* Dated: 01/11/2023 2:34:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Subtonic STORM L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.894	158.7106
20.299999	103.832	157.9541
20.600000	103.763	157.3249
20.900000	103.697	156.8483
21.200001	103.646	156.5049
21.400000	103.626	156.3079
21.799999	103.620	155.8892
22.000000	103.630	155.6188
22.400000	103.662	154.8903
22.700001	103.682	154.1917
23.000000	103.690	153.4135
23.299999	103.685	152.6130
23.600000	103.671	151.8246
24.000000	103.641	150.8159
24.299999	103.614	150.0884
24.700001	103.570	149.1603
25.000000	103.529	148.5231
25.400000	103.469	147.8125
25.799999	103.415	147.3041
26.200001	103.389	146.9461
26.500000	103.393	146.6851
26.900000	103.423	146.2220
27.200001	103.451	145.7370
27.600000	103.475	144.9254
28.000000	103.470	144.0425
28.500000	103.430	143.0417
29.000000	103.380	142.2315
29.500000	103.344	141.4884
30.000000	103.316	140.6422
30.400000	103.284	139.8642
30.700001	103.250	139.2503
31.100000	103.192	138.4426
31.500000	103.126	137.6765
32.000000	103.043	136.7682
32.500000	102.963	135.8727
33.000000	102.885	134.9901
33.500000	102.810	134.1743
34.000000	102.751	133.4510
34.500000	102.718	132.7529
35.000000	102.706	131.9932
35.500000	102.697	131.1814
36.000000	102.685	130.4245
36.500000	102.685	129.7715
37.000000	102.708	129.1059
37.500000	102.739	128.2576
38.200001	102.731	126.7518
38.700001	102.661	125.6878
39.500000	102.474	124.4351
40.000000	102.339	123.9471
40.599998	102.182	123.6107
41.200001	102.059	123.4377
41.799999	101.987	123.1314
42.500000	101.926	122.2565
43.099998	101.838	121.2135
43.700001	101.723	120.2679
44.400002	101.613	119.3638
45.000000	101.555	118.5507
45.500000	101.514	117.7990
46.200001	101.458	116.7764
46.799999	101.421	115.9841
47.500000	101.392	115.0152
48.200001	101.342	113.9347
48.700001	101.275	113.2056
49.400002	101.150	112.4639
50.000000	101.045	112.1232
50.799999	100.953	111.7861
51.500000	100.902	111.2573
52.200001	100.836	110.4786
53.000000	100.728	109.5519
53.799999	100.618	108.7482
54.500000	100.540	108.0797
55.200001	100.475	107.3871
56.000000	100.409	106.5628
57.000000	100.326	105.4844
58.000000	100.222	104.4846
59.000000	100.117	103.6236
60.000000	100.009	102.7261
60.799999	99.907	102.0545
61.500000	99.823	101.5658
62.200001	99.758	101.0731
63.000000	99.696	100.3730
64.000000	99.605	99.4011
65.000000	99.511	98.5204
66.000000	99.425	97.6311
67.000000	99.328	96.7789
68.000000	99.233	96.0565
69.000000	99.152	95.3192
70.000000	99.068	94.5016
71.000000	98.969	93.7052
72.000000	98.872	93.0129
73.000000	98.791	92.3309
74.000000	98.710	91.5627
75.000000	98.613	90.8152
76.199997	98.498	90.0600
77.500000	98.393	89.2227
78.800003	98.286	88.3136
80.000000	98.182	87.5284
81.199997	98.092	86.8170
82.500000	98.006	85.9639
83.800003	97.903	85.0561
85.000000	97.789	84.3018
86.199997	97.678	83.6975
87.500000	97.583	83.0656
88.500000	97.520	82.4911
90.000000	97.417	81.5373
91.199997	97.323	80.8141
92.500000	97.222	80.1268
93.800003	97.133	79.4771
95.000000	97.060	78.8205
96.199997	96.984	78.0984
97.500000	96.891	77.3432
98.800003	96.804	76.7082
100.000000	96.732	76.1374
101.500000	96.637	75.4759
103.000000	96.542	74.8817
104.400002	96.456	74.3040
106.000000	96.354	73.5930
107.500000	96.261	72.9119
109.000000	96.175	72.2171
110.599998	96.086	71.4984
112.000000	96.010	70.9129
113.800003	95.910	70.2092
115.000000	95.844	69.7654
117.199997	95.730	68.8996
118.000000	95.688	68.5551
120.599998	95.549	67.4837
122.000000	95.481	66.9539
124.099998	95.384	66.1732
125.000000	95.342	65.8363
126.500000	95.269	65.2851
128.000000	95.197	64.7543
131.500000	95.042	63.5902
132.000000	95.021	63.4326
134.000000	94.936	62.8100
136.000000	94.846	62.1931
138.000000	94.756	61.5809
140.000000	94.671	60.9938
143.000000	94.557	60.1648
145.000000	94.480	59.6143
147.500000	94.379	58.9708
150.000000	94.283	58.3714
152.500000	94.187	57.8058
155.000000	94.088	57.2982
157.500000	93.991	56.8941
160.000000	93.907	56.6562
162.500000	93.841	56.5175
165.000000	93.795	56.4340
167.500000	93.782	56.3901
170.000000	93.810	56.2920
172.500000	93.867	55.9688
175.000000	93.927	55.3491
177.500000	93.972	54.5103
180.000000	93.989	53.5662
182.500000	93.982	52.6072
185.000000	93.961	51.7017
187.500000	93.930	50.8999
190.000000	93.890	50.1903
192.500000	93.847	49.5329
195.000000	93.807	48.9000
197.500000	93.768	48.3000
200.000000	93.731	47.7378
203.000000	93.693	47.0675
206.000000	93.659	46.3911
209.000000	93.627	45.7570
212.000000	93.598	45.1579
214.000000	93.580	44.7741
218.000000	93.548	44.0423
220.000000	93.533	43.6977
224.000000	93.509	43.0122
227.000000	93.493	42.4882
230.000000	93.479	41.9634
233.000000	93.467	41.4368
236.000000	93.456	40.9099
240.000000	93.443	40.2240
243.000000	93.437	39.7055
247.000000	93.432	39.0158
250.000000	93.428	38.5233
254.000000	93.423	37.8936
258.000000	93.420	37.2422
262.000000	93.417	36.5850
265.000000	93.417	36.1132
269.000000	93.423	35.5021
272.000000	93.428	35.0335
276.000000	93.429	34.3846
280.000000	93.430	33.7432
285.000000	93.437	32.9714
290.000000	93.449	32.1832
295.000000	93.460	31.4072
300.000000	93.467	30.6696
304.000000	93.474	30.0841
307.000000	93.481	29.6334
311.000000	93.489	29.0301
315.000000	93.497	28.4418
320.000000	93.510	27.7080
325.000000	93.523	26.9753
330.000000	93.533	26.2742
335.000000	93.545	25.5807
340.000000	93.562	24.8503
345.000000	93.575	24.1279
350.000000	93.584	23.4473
355.000000	93.600	22.7617
360.000000	93.621	22.0540
365.000000	93.638	21.3362
370.000000	93.649	20.6250
375.000000	93.657	19.9384
382.000000	93.670	18.9916
387.000000	93.679	18.3157
395.000000	93.692	17.2813
400.000000	93.704	16.6519
406.000000	93.711	15.8619
412.000000	93.716	15.0573
418.000000	93.730	14.3032
425.000000	93.744	13.4434
431.000000	93.748	12.6708
437.000000	93.752	11.9133
444.000000	93.759	11.0638
450.000000	93.763	10.3260
455.000000	93.764	9.7068
462.000000	93.764	8.8747
468.000000	93.763	8.2061
475.000000	93.758	7.4170
482.000000	93.755	6.6041
487.000000	93.754	6.0544
494.000000	93.749	5.3180
500.000000	93.744	4.6598
508.000000	93.738	3.7750
515.000000	93.732	3.0597
522.000000	93.723	2.3665
530.000000	93.713	1.5551
538.000000	93.701	0.7574
545.000000	93.688	0.0942
552.000000	93.673	-0.5560
560.000000	93.658	-1.3004
570.000000	93.637	-2.1877
580.000000	93.613	-3.0430
590.000000	93.590	-3.9092
600.000000	93.567	-4.7224
608.000000	93.547	-5.3459
615.000000	93.528	-5.8914
622.000000	93.508	-6.4224
630.000000	93.487	-6.9928
640.000000	93.462	-7.6821
650.000000	93.437	-8.3877
660.000000	93.409	-9.0614
670.000000	93.381	-9.6763
680.000000	93.355	-10.2617
690.000000	93.330	-10.8289
700.000000	93.302	-11.3928
710.000000	93.277	-11.9426
720.000000	93.255	-12.4490
730.000000	93.231	-12.9131
740.000000	93.206	-13.3519
750.000000	93.187	-13.7815
762.000000	93.169	-14.2953
775.000000	93.147	-14.8105
788.000000	93.131	-15.2677
800.000000	93.120	-15.6785
812.000000	93.103	-16.0687
825.000000	93.088	-16.4369
838.000000	93.089	-16.7756
