* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 01/11/2023 2:32:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Subtonic STORM R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.209	163.3176
20.299999	103.193	162.6163
20.600000	103.172	161.9455
20.900000	103.151	161.3195
21.200001	103.133	160.7383
21.400000	103.125	160.3622
21.799999	103.117	159.6011
22.000000	103.116	159.2000
22.400000	103.113	158.3406
22.700001	103.106	157.6628
23.000000	103.092	156.9874
23.299999	103.075	156.3376
23.600000	103.057	155.7163
24.000000	103.037	154.9134
24.299999	103.025	154.3038
24.700001	103.008	153.4595
25.000000	102.991	152.8101
25.400000	102.961	151.9551
25.799999	102.925	151.1489
26.200001	102.889	150.3976
26.500000	102.865	149.8550
26.900000	102.836	149.1370
27.200001	102.815	148.5952
27.600000	102.787	147.8719
28.000000	102.758	147.1576
28.500000	102.724	146.2745
29.000000	102.691	145.3778
29.500000	102.653	144.4614
30.000000	102.608	143.5640
30.400000	102.568	142.8932
30.700001	102.539	142.4242
31.100000	102.504	141.8320
31.500000	102.476	141.2514
32.000000	102.449	140.4952
32.500000	102.423	139.6736
33.000000	102.389	138.8022
33.500000	102.341	137.9357
34.000000	102.285	137.1319
34.500000	102.228	136.3974
35.000000	102.178	135.6840
35.500000	102.130	134.9398
36.000000	102.076	134.1719
36.500000	102.015	133.4296
37.000000	101.956	132.7280
37.500000	101.904	132.0139
38.200001	101.825	130.9212
38.700001	101.751	130.1674
39.500000	101.636	129.2758
40.000000	101.597	128.8108
40.599998	101.580	128.0890
41.200001	101.553	127.1530
41.799999	101.501	126.2061
42.500000	101.429	125.2435
43.099998	101.369	124.4915
43.700001	101.311	123.8003
44.400002	101.257	123.0471
45.000000	101.224	122.3127
45.500000	101.190	121.6085
46.200001	101.129	120.5939
46.799999	101.077	119.6602
47.500000	100.987	118.3315
48.200001	100.810	117.1752
48.700001	100.667	116.8501
49.400002	100.562	116.9106
50.000000	100.576	116.6859
50.799999	100.586	115.5886
51.500000	100.518	114.5867
52.200001	100.445	113.9062
53.000000	100.394	113.1555
53.799999	100.335	112.2931
54.500000	100.270	111.5810
55.200001	100.204	110.9075
56.000000	100.124	110.1520
57.000000	100.026	109.2354
