* Measurement data measured by REW V5.30.5
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -22.0 dBFS with no timing reference
* Dated: 26/02/2024 10:10:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Helios SE L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 89.118 -138.6985
20.299999 89.154 -140.0781
20.600000 89.185 -141.4291
20.900000 89.213 -142.7410
21.200001 89.239 -144.0085
21.400000 89.256 -144.8302
21.799999 89.291 -146.4316
22.000000 89.310 -147.2195
22.400000 89.347 -148.7859
22.700001 89.373 -149.9565
23.000000 89.394 -151.1184
23.299999 89.410 -152.2617
23.600000 89.422 -153.3765
24.000000 89.434 -154.8104
24.299999 89.441 -155.8491
24.700001 89.451 -157.2001
25.000000 89.458 -158.1992
25.400000 89.466 -159.5233
25.799999 89.470 -160.8397
26.200001 89.468 -162.1419
26.500000 89.464 -163.1037
26.900000 89.454 -164.3610
27.200001 89.444 -165.2826
27.600000 89.427 -166.4791
28.000000 89.408 -167.6327
28.500000 89.385 -169.0095
29.000000 89.366 -170.3321
29.500000 89.355 -171.6493
30.000000 89.343 -173.0018
30.400000 89.326 -174.0977
30.700001 89.307 -174.9031
31.100000 89.275 -175.9243
31.500000 89.244 -176.8734
32.000000 89.215 -178.0069
32.500000 89.195 -179.1776
33.000000 89.168 179.5710
33.500000 89.121 178.3097
34.000000 89.056 177.1515
34.500000 88.990 176.1375
35.000000 88.938 175.2049
35.500000 88.898 174.2626
36.000000 88.861 173.2756
36.500000 88.819 172.2690
37.000000 88.773 171.2774
37.500000 88.725 170.3109
38.200001 88.660 168.9865
38.700001 88.611 168.0557
39.500000 88.531 166.6102
40.000000 88.479 165.7469
40.599998 88.420 164.7450
41.200001 88.362 163.7545
41.799999 88.303 162.7728
42.500000 88.230 161.6772
43.099998 88.173 160.7705
43.700001 88.119 159.8330
44.400002 88.042 158.7171
45.000000 87.965 157.8521
45.500000 87.904 157.2209
46.200001 87.836 156.3643
46.799999 87.780 155.5927
47.500000 87.709 154.7148
48.200001 87.644 153.8705
48.700001 87.600 153.2238
49.400002 87.523 152.2737
50.000000 87.440 151.5490
50.799999 87.340 150.7485
51.500000 87.270 150.0193
52.200001 87.194 149.2140
53.000000 87.093 148.3519
53.799999 87.000 147.5769
54.500000 86.927 146.8731
55.200001 86.850 146.1393
56.000000 86.758 145.3560
57.000000 86.657 144.4601
58.000000 86.569 143.5145
59.000000 86.474 142.5669
60.000000 86.372 141.7600
60.799999 86.299 141.1822
61.500000 86.230 140.6635
62.200001 86.149 140.2072
63.000000 86.058 139.6774
64.000000 85.870 138.8077
65.000000 85.581 138.8910
66.000000 85.457 139.6783
67.000000 85.426 139.4172
68.000000 85.343 138.6296
69.000000 85.242 137.8317
70.000000 85.205 137.2037
71.000000 85.255 135.8545
72.000000 85.197 133.9970
73.000000 85.077 132.8563
74.000000 84.993 132.1337
75.000000 84.917 131.5748
76.199997 84.829 131.0195
77.500000 84.715 130.3597
78.800003 84.576 129.6957
80.000000 84.451 129.0358
81.199997 84.329 128.3410
82.500000 84.212 127.6680
83.800003 84.118 127.0640
85.000000 84.033 126.5254
86.199997 83.943 126.0847
87.500000 83.846 125.6049
88.500000 83.763 125.2129
90.000000 83.640 124.6567
91.199997 83.550 124.1604
92.500000 83.452 123.6159
93.800003 83.356 123.1378
95.000000 83.269 122.7394
96.199997 83.180 122.3543
97.500000 83.078 121.9636
98.800003 82.977 121.5911
100.000000 82.888 121.2433
101.500000 82.790 120.7628
103.000000 82.692 120.2213
104.400002 82.597 119.7593
106.000000 82.487 119.3158
107.500000 82.388 118.9520
109.000000 82.292 118.5824
110.599998 82.187 118.1545
112.000000 82.090 117.7916
113.800003 81.964 117.4217
115.000000 81.885 117.2236
117.199997 81.740 116.8336
118.000000 81.685 116.7134
120.599998 81.508 116.3802
122.000000 81.415 116.2566
124.099998 81.274 116.2264
125.000000 81.216 116.2826
126.500000 81.124 116.4435
128.000000 81.041 116.6662
131.500000 80.959 117.5295
132.000000 80.974 117.6384
134.000000 81.077 117.5633
136.000000 81.152 116.8442
138.000000 81.165 115.9384
140.000000 81.131 115.0450
143.000000 81.035 113.8749
145.000000 80.956 113.2551
147.500000 80.847 112.5310
150.000000 80.731 111.8949
152.500000 80.623 111.3639
155.000000 80.521 110.9481
157.500000 80.421 110.5848
160.000000 80.329 110.2010
162.500000 80.243 109.8062
165.000000 80.159 109.4623
167.500000 80.077 109.1976
170.000000 79.998 108.9509
172.500000 79.920 108.7026
175.000000 79.848 108.4545
177.500000 79.780 108.1960
180.000000 79.713 107.9540
182.500000 79.647 107.7385
185.000000 79.585 107.5394
187.500000 79.528 107.3356
190.000000 79.472 107.1325
192.500000 79.418 106.9387
195.000000 79.366 106.7494
197.500000 79.315 106.5443
200.000000 79.264 106.3043
203.000000 79.211 106.0152
206.000000 79.164 105.9065
209.000000 79.126 105.8406
212.000000 79.072 105.6208
214.000000 79.035 105.5300
218.000000 78.978 105.3768
220.000000 78.952 105.2829
224.000000 78.899 105.0931
227.000000 78.857 104.9815
230.000000 78.816 104.8981
233.000000 78.784 104.8166
236.000000 78.759 104.7618
240.000000 78.730 104.7612
243.000000 78.711 104.7742
247.000000 78.707 104.8188
250.000000 78.720 104.8063
254.000000 78.744 104.6923
258.000000 78.774 104.4886
262.000000 78.801 104.1687
265.000000 78.812 103.8768
269.000000 78.812 103.4813
272.000000 78.799 103.2095
276.000000 78.772 102.9132
280.000000 78.744 102.7065
285.000000 78.714 102.6207
290.000000 78.698 102.7533
295.000000 78.724 103.0608
300.000000 78.817 103.2992
304.000000 78.922 103.2143
307.000000 78.999 102.9546
311.000000 79.080 102.4185
315.000000 79.135 101.8003
320.000000 79.171 101.0701
325.000000 79.189 100.4497
330.000000 79.199 99.9528
335.000000 79.209 99.5174
340.000000 79.223 99.1004
345.000000 79.241 98.7352
350.000000 79.263 98.3868
355.000000 79.288 98.0624
360.000000 79.314 97.7355
365.000000 79.341 97.3981
370.000000 79.369 97.0737
375.000000 79.400 96.7574
382.000000 79.447 96.3314
387.000000 79.481 96.0207
395.000000 79.541 95.5220
400.000000 79.580 95.2238
406.000000 79.627 94.8626
412.000000 79.672 94.4814
418.000000 79.718 94.0977
425.000000 79.774 93.6473
431.000000 79.823 93.2573
437.000000 79.872 92.8652
444.000000 79.928 92.3973
450.000000 79.976 91.9835
455.000000 80.015 91.6423
462.000000 80.071 91.1715
468.000000 80.118 90.7673
475.000000 80.173 90.2927
482.000000 80.227 89.7998
487.000000 80.265 89.4454
494.000000 80.317 88.9661
500.000000 80.361 88.5581
508.000000 80.416 88.0052
515.000000 80.462 87.5214
522.000000 80.508 87.0464
530.000000 80.559 86.5067
538.000000 80.608 85.9631
545.000000 80.648 85.4911
552.000000 80.687 85.0201
560.000000 80.729 84.4822
570.000000 80.779 83.8204
580.000000 80.825 83.1846
590.000000 80.869 82.5670
600.000000 80.909 81.9622
608.000000 80.938 81.4903
615.000000 80.963 81.0894
622.000000 80.985 80.7012
630.000000 81.009 80.2652
640.000000 81.036 79.7367
650.000000 81.060 79.2349
660.000000 81.081 78.7590
670.000000 81.100 78.3131
680.000000 81.116 77.8952
690.000000 81.132 77.5007
700.000000 81.147 77.1302
710.000000 81.160 76.7912
720.000000 81.171 76.4860
730.000000 81.184 76.2052
740.000000 81.196 75.9472
750.000000 81.207 75.7235
762.000000 81.220 75.4973
775.000000 81.236 75.2884
788.000000 81.254 75.1136
800.000000 81.272 74.9965
812.000000 81.292 74.9070
825.000000 81.316 74.8455
838.000000 81.341 74.8254
850.000000 81.369 74.8358
862.000000 81.402 74.8716
875.000000 81.441 74.9308
885.000000 81.474 74.9886
900.000000 81.529 75.0849
912.000000 81.577 75.1709
925.000000 81.634 75.2729
938.000000 81.695 75.3766
950.000000 81.755 75.4669
962.000000 81.818 75.5558
975.000000 81.890 75.6548
988.000000 81.965 75.7474
1000.000000 82.038 75.8177
1015.000000 82.133 75.8889
1030.000000 82.231 75.9421
1044.000000 82.325 75.9759
1060.000000 82.436 75.9868
1075.000000 82.541 75.9768
1090.000000 82.646 75.9445
1106.000000 82.758 75.8777
1120.000000 82.856 75.7972
1138.000000 82.982 75.6731
1150.000000 83.066 75.5717
1172.000000 83.218 75.3545
1180.000000 83.272 75.2682
1206.000000 83.446 74.9561
1220.000000 83.537 74.7772
1241.000000 83.670 74.4950
1250.000000 83.726 74.3697
1265.000000 83.819 74.1534
1280.000000 83.910 73.9310
1315.000000 84.115 73.3995
1320.000000 84.144 73.3225
1340.000000 84.259 73.0120
1360.000000 84.372 72.7010
1380.000000 84.483 72.3837
1400.000000 84.593 72.0657
1430.000000 84.755 71.5861
1450.000000 84.863 71.2590
1475.000000 84.996 70.8427
1500.000000 85.129 70.4190
1525.000000 85.263 69.9901
1550.000000 85.395 69.5439
1575.000000 85.527 69.0789
1600.000000 85.659 68.5943
1625.000000 85.790 68.0898
1650.000000 85.921 67.5667
1675.000000 86.053 67.0172
1700.000000 86.183 66.4447
1725.000000 86.311 65.8441
1750.000000 86.439 65.2109
1775.000000 86.564 64.5463
1800.000000 86.687 63.8503
1825.000000 86.808 63.1215
1850.000000 86.926 62.3618
1875.000000 87.041 61.5690
1900.000000 87.152 60.7437
1925.000000 87.260 59.8887
1950.000000 87.364 59.0065
1975.000000 87.463 58.0984
2000.000000 87.557 57.1625
2030.000000 87.664 56.0004
2060.000000 87.762 54.8002
2090.000000 87.852 53.5691
2120.000000 87.933 52.3094
2140.000000 87.982 51.4581
2180.000000 88.068 49.7325
2200.000000 88.105 48.8596
2240.000000 88.167 47.0956
2270.000000 88.201 45.7630
2300.000000 88.224 44.4294
2330.000000 88.238 43.0971
2360.000000 88.243 41.7742
2400.000000 88.235 40.0339
2430.000000 88.218 38.7500
2470.000000 88.182 37.0765
2500.000000 88.145 35.8562
2540.000000 88.086 34.2843
2580.000000 88.016 32.7825
2620.000000 87.936 31.3555
2650.000000 87.871 30.3359
2690.000000 87.780 29.0513
2720.000000 87.708 28.1460
2760.000000 87.607 27.0115
2800.000000 87.505 25.9667
2850.000000 87.374 24.7946
2900.000000 87.246 23.7772
2950.000000 87.125 22.8866
3000.000000 87.009 22.1138
3040.000000 86.920 21.5934
3070.000000 86.858 21.2587
3110.000000 86.779 20.8816
3150.000000 86.709 20.5789
3200.000000 86.635 20.3014
3250.000000 86.578 20.1295
3300.000000 86.540 20.0379
3350.000000 86.525 19.9811
3400.000000 86.527 19.9191
3450.000000 86.540 19.8352
3500.000000 86.560 19.7467
3550.000000 86.585 19.6887
3600.000000 86.616 19.6843
3650.000000 86.660 19.7385
3700.000000 86.717 19.8352
3750.000000 86.792 19.9502
3820.000000 86.926 20.0859
3870.000000 87.042 20.1304
3950.000000 87.255 20.0446
4000.000000 87.402 19.8586
4060.000000 87.587 19.4609
4120.000000 87.772 18.8395
4180.000000 87.947 17.9686
4250.000000 88.124 16.6252
4310.000000 88.235 15.2048
4370.000000 88.291 13.5800
4440.000000 88.269 11.5379
4500.000000 88.163 9.8065
4550.000000 88.007 8.5037
4620.000000 87.694 7.1049
4680.000000 87.350 6.5109
4750.000000 86.896 6.7556
4820.000000 86.444 8.1661
4870.000000 86.162 9.8851
4940.000000 85.884 13.0837
5000.000000 85.790 16.2189
5080.000000 85.882 20.2481
5150.000000 86.121 23.0311
5220.000000 86.430 24.8110
5300.000000 86.773 25.6403
5380.000000 87.031 25.5040
5450.000000 87.156 24.9395
5520.000000 87.187 24.2532
5600.000000 87.122 23.6037
5700.000000 86.941 23.2886
5800.000000 86.716 23.6335
5900.000000 86.504 24.5285
6000.000000 86.340 25.7625
6080.000000 86.256 26.8380
6150.000000 86.219 27.7474
6220.000000 86.216 28.5534
6300.000000 86.253 29.2642
6400.000000 86.355 29.7195
6500.000000 86.509 29.5474
6600.000000 86.701 28.5941
6700.000000 86.908 26.7213
