* Measurement data measured by REW V5.30.5
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -22.0 dBFS with no timing reference
* Dated: 26/02/2024 10:11:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Helios SE R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 90.094 -144.5410
20.299999 90.125 -145.8619
20.600000 90.155 -147.1300
20.900000 90.183 -148.3661
21.200001 90.210 -149.5860
21.400000 90.226 -150.3920
21.799999 90.250 -151.9761
22.000000 90.259 -152.7473
22.400000 90.273 -154.2383
22.700001 90.283 -155.3170
23.000000 90.294 -156.3756
23.299999 90.305 -157.4285
23.600000 90.316 -158.4846
24.000000 90.324 -159.8953
24.299999 90.324 -160.9427
24.700001 90.317 -162.3010
25.000000 90.308 -163.2804
25.400000 90.296 -164.5333
25.799999 90.285 -165.7430
26.200001 90.278 -166.9352
26.500000 90.273 -167.8300
26.900000 90.264 -169.0273
27.200001 90.254 -169.9238
27.600000 90.237 -171.1048
28.000000 90.215 -172.2576
28.500000 90.184 -173.6507
29.000000 90.149 -174.9887
29.500000 90.113 -176.2683
30.000000 90.079 -177.4952
30.400000 90.056 -178.4594
30.700001 90.039 -179.1862
31.100000 90.015 179.8334
31.500000 89.986 178.8538
32.000000 89.942 177.6749
32.500000 89.897 176.5698
33.000000 89.858 175.4946
33.500000 89.820 174.3907
34.000000 89.769 173.2806
34.500000 89.707 172.2574
35.000000 89.650 171.3588
35.500000 89.611 170.4916
36.000000 89.583 169.5279
36.500000 89.543 168.4556
37.000000 89.481 167.3939
37.500000 89.407 166.4556
38.200001 89.321 165.2976
38.700001 89.273 164.4520
39.500000 89.185 163.0242
40.000000 89.121 162.1824
40.599998 89.047 161.2599
41.200001 88.983 160.3703
41.799999 88.920 159.4720
42.500000 88.844 158.4460
43.099998 88.779 157.6093
43.700001 88.718 156.7839
44.400002 88.645 155.7878
45.000000 88.574 154.9258
45.500000 88.508 154.2484
46.200001 88.418 153.3873
46.799999 88.350 152.6655
47.500000 88.273 151.7686
48.200001 88.182 150.8872
48.700001 88.116 150.3301
49.400002 88.034 149.6190
50.000000 87.973 148.9917
50.799999 87.886 148.1388
51.500000 87.809 147.4456
52.200001 87.740 146.7438
53.000000 87.656 145.8619
53.799999 87.556 144.9988
54.500000 87.469 144.2959
55.200001 87.387 143.5897
56.000000 87.291 142.7910
57.000000 87.176 141.8699
58.000000 87.070 141.0390
59.000000 86.976 140.2626
60.000000 86.872 139.4669
60.799999 86.776 138.9116
61.500000 86.693 138.4314
62.200001 86.605 137.9005
63.000000 86.497 137.2254
64.000000 86.335 136.0588
65.000000 86.068 135.2714
66.000000 85.926 135.6881
67.000000 86.013 135.1410
68.000000 85.982 133.5434
69.000000 85.870 132.7572
70.000000 85.823 132.2857
71.000000 85.760 131.7379
72.000000 85.676 131.3420
73.000000 85.581 130.9504
74.000000 85.479 130.5416
75.000000 85.382 129.9600
76.199997 85.242 129.0329
77.500000 85.076 128.1891
78.800003 84.944 127.6103
80.000000 84.860 127.1603
81.199997 84.780 126.6948
82.500000 84.685 126.2061
83.800003 84.568 125.6836
85.000000 84.453 125.2828
86.199997 84.352 124.8381
87.500000 84.245 124.2529
88.500000 84.158 123.8092
90.000000 84.032 123.2553
91.199997 83.940 122.8329
92.500000 83.838 122.3665
93.800003 83.736 121.9282
95.000000 83.644 121.5328
96.199997 83.554 121.1486
97.500000 83.457 120.7506
98.800003 83.357 120.4234
100.000000 83.275 120.2012
101.500000 83.182 119.7568
103.000000 83.063 119.2816
104.400002 82.950 118.9161
106.000000 82.829 118.5295
107.500000 82.721 118.1428
109.000000 82.610 117.7766
110.599998 82.495 117.4604
112.000000 82.399 117.1970
113.800003 82.270 116.8925
115.000000 82.183 116.7294
117.199997 82.020 116.4822
118.000000 81.960 116.4221
120.599998 81.775 116.3558
122.000000 81.684 116.4040
124.099998 81.570 116.6624
125.000000 81.535 116.8292
126.500000 81.497 117.1204
128.000000 81.486 117.3785
131.500000 81.546 117.3066
132.000000 81.558 117.1749
134.000000 81.583 116.3052
136.000000 81.545 115.2944
138.000000 81.471 114.4837
140.000000 81.384 113.8469
143.000000 81.237 113.1829
145.000000 81.145 112.8637
147.500000 81.045 112.3126
150.000000 80.932 111.7743
152.500000 80.826 111.3705
155.000000 80.725 111.0242
157.500000 80.626 110.6990
160.000000 80.532 110.4216
162.500000 80.441 110.1637
165.000000 80.348 109.9141
167.500000 80.260 109.6718
170.000000 80.183 109.4409
172.500000 80.108 109.2226
175.000000 80.033 109.0566
177.500000 79.962 108.8660
180.000000 79.890 108.6690
182.500000 79.822 108.5054
185.000000 79.759 108.3434
187.500000 79.699 108.1861
190.000000 79.641 108.0486
192.500000 79.583 107.9119
195.000000 79.525 107.7795
197.500000 79.472 107.6597
200.000000 79.421 107.5730
203.000000 79.363 107.4984
206.000000 79.307 107.3179
209.000000 79.247 107.1209
212.000000 79.196 107.0547
214.000000 79.167 107.0060
218.000000 79.108 106.8631
220.000000 79.078 106.7872
224.000000 79.020 106.6788
227.000000 78.980 106.6171
230.000000 78.942 106.5632
233.000000 78.906 106.5623
236.000000 78.876 106.6041
240.000000 78.845 106.6742
243.000000 78.835 106.7485
247.000000 78.840 106.8508
250.000000 78.851 106.8717
254.000000 78.869 106.7424
258.000000 78.880 106.4648
262.000000 78.873 106.1348
265.000000 78.855 105.9042
269.000000 78.818 105.7221
272.000000 78.790 105.6981
276.000000 78.757 105.8003
280.000000 78.737 106.0980
285.000000 78.771 106.6812
290.000000 78.889 107.1088
295.000000 79.055 106.9388
300.000000 79.185 106.2051
304.000000 79.240 105.5217
307.000000 79.260 105.0529
311.000000 79.271 104.5099
315.000000 79.275 104.0580
320.000000 79.276 103.5983
325.000000 79.280 103.2218
330.000000 79.289 102.9171
335.000000 79.303 102.6270
340.000000 79.321 102.3630
345.000000 79.341 102.1158
350.000000 79.366 101.8623
355.000000 79.397 101.6115
360.000000 79.429 101.3751
365.000000 79.462 101.1235
370.000000 79.496 100.8681
375.000000 79.533 100.6224
382.000000 79.590 100.2886
387.000000 79.632 100.0339
395.000000 79.698 99.6288
400.000000 79.740 99.3687
406.000000 79.794 99.0455
412.000000 79.849 98.7211
418.000000 79.905 98.4098
425.000000 79.971 98.0233
431.000000 80.027 97.6747
437.000000 80.085 97.3228
444.000000 80.154 96.8995
450.000000 80.212 96.5381
455.000000 80.261 96.2361
462.000000 80.329 95.8099
468.000000 80.387 95.4352
475.000000 80.453 94.9816
482.000000 80.519 94.5298
487.000000 80.565 94.2015
494.000000 80.628 93.7348
500.000000 80.682 93.3369
508.000000 80.753 92.8000
515.000000 80.812 92.3192
522.000000 80.869 91.8352
530.000000 80.935 91.2836
538.000000 80.997 90.7326
545.000000 81.049 90.2561
552.000000 81.099 89.7772
560.000000 81.153 89.2252
570.000000 81.218 88.5300
580.000000 81.278 87.8574
590.000000 81.335 87.1906
600.000000 81.388 86.5354
608.000000 81.427 86.0251
615.000000 81.459 85.5854
622.000000 81.489 85.1552
630.000000 81.522 84.6768
640.000000 81.560 84.0935
650.000000 81.594 83.5336
660.000000 81.625 83.0009
670.000000 81.652 82.4993
680.000000 81.678 82.0164
690.000000 81.703 81.5588
700.000000 81.724 81.1245
710.000000 81.742 80.7212
720.000000 81.761 80.3467
730.000000 81.778 79.9995
740.000000 81.795 79.6862
750.000000 81.812 79.3993
762.000000 81.831 79.0882
775.000000 81.852 78.8014
788.000000 81.874 78.5549
800.000000 81.896 78.3630
812.000000 81.918 78.1947
825.000000 81.945 78.0509
838.000000 81.976 77.9470
850.000000 82.007 77.8824
862.000000 82.039 77.8409
875.000000 82.078 77.8196
885.000000 82.111 77.8246
900.000000 82.165 77.8502
912.000000 82.212 77.8827
925.000000 82.266 77.9305
938.000000 82.324 77.9862
950.000000 82.383 78.0457
962.000000 82.445 78.1127
975.000000 82.518 78.1842
988.000000 82.596 78.2482
1000.000000 82.671 78.2985
1015.000000 82.770 78.3377
1030.000000 82.871 78.3403
1044.000000 82.967 78.3127
1060.000000 83.078 78.2507
1075.000000 83.182 78.1752
1090.000000 83.287 78.0840
1106.000000 83.399 77.9638
1120.000000 83.496 77.8359
1138.000000 83.620 77.6495
1150.000000 83.702 77.5159
1172.000000 83.851 77.2362
1180.000000 83.905 77.1276
1206.000000 84.075 76.7611
1220.000000 84.165 76.5496
1241.000000 84.297 76.2147
1250.000000 84.353 76.0695
1265.000000 84.444 75.8264
1280.000000 84.534 75.5786
1315.000000 84.740 74.9792
1320.000000 84.769 74.8926
1340.000000 84.883 74.5465
1360.000000 84.995 74.2006
1380.000000 85.105 73.8528
1400.000000 85.215 73.5050
1430.000000 85.379 72.9760
1450.000000 85.488 72.6130
1475.000000 85.623 72.1544
1500.000000 85.757 71.6926
1525.000000 85.890 71.2197
1550.000000 86.025 70.7274
1575.000000 86.160 70.2198
1600.000000 86.296 69.6929
1625.000000 86.431 69.1385
1650.000000 86.566 68.5525
1675.000000 86.700 67.9374
1700.000000 86.833 67.2917
1725.000000 86.965 66.6144
1750.000000 87.095 65.9045
1775.000000 87.222 65.1622
1800.000000 87.346 64.3875
1825.000000 87.468 63.5773
1850.000000 87.586 62.7293
1875.000000 87.702 61.8477
1900.000000 87.813 60.9335
1925.000000 87.919 59.9826
1950.000000 88.020 58.9961
1975.000000 88.115 57.9819
2000.000000 88.204 56.9398
2030.000000 88.303 55.6545
2060.000000 88.393 54.3375
2090.000000 88.473 52.9890
2120.000000 88.543 51.6144
2140.000000 88.583 50.6852
2180.000000 88.649 48.8069
2200.000000 88.675 47.8610
2240.000000 88.713 45.9617
2270.000000 88.728 44.5352
2300.000000 88.732 43.1155
2330.000000 88.725 41.7084
2360.000000 88.708 40.3207
2400.000000 88.668 38.5096
2430.000000 88.627 37.1865
2470.000000 88.558 35.4791
2500.000000 88.498 34.2435
2540.000000 88.407 32.6635
2580.000000 88.306 31.1687
2620.000000 88.195 29.7662
2650.000000 88.107 28.7766
2690.000000 87.985 27.5476
2720.000000 87.891 26.6926
2760.000000 87.763 25.6364
2800.000000 87.634 24.6835
2850.000000 87.472 23.6471
2900.000000 87.312 22.7863
2950.000000 87.157 22.1202
3000.000000 87.019 21.6436
3040.000000 86.923 21.3521
3070.000000 86.858 21.1893
3110.000000 86.785 21.0477
3150.000000 86.731 20.9553
3200.000000 86.685 20.8398
3250.000000 86.656 20.6929
3300.000000 86.636 20.5264
3350.000000 86.623 20.3639
3400.000000 86.615 20.2221
3450.000000 86.612 20.1166
3500.000000 86.613 20.0634
3550.000000 86.621 20.0759
3600.000000 86.638 20.1664
3650.000000 86.669 20.3275
3700.000000 86.717 20.5420
3750.000000 86.786 20.7845
3820.000000 86.915 21.1237
3870.000000 87.031 21.3274
3950.000000 87.255 21.4991
4000.000000 87.416 21.4670
4060.000000 87.623 21.2421
4120.000000 87.840 20.7714
4180.000000 88.055 20.0142
4250.000000 88.285 18.7369
4310.000000 88.449 17.3029
4370.000000 88.562 15.5753
4440.000000 88.609 13.2758
4500.000000 88.558 11.1970
4550.000000 88.442 9.5129
4620.000000 88.164 7.4615
4680.000000 87.831 6.2229
4750.000000 87.364 5.6486
4820.000000 86.863 6.2048
4870.000000 86.522 7.3325
4940.000000 86.125 9.8369
5000.000000 85.902 12.5917
5080.000000 85.811 16.4841
5150.000000 85.900 19.4438
5220.000000 86.079 21.6000
5300.000000 86.302 23.0316
5380.000000 86.470 23.6321
5450.000000 86.547 23.7867
5520.000000 86.557 23.8293
5600.000000 86.504 23.9383
5700.000000 86.374 24.3293
5800.000000 86.213 25.0577
5900.000000 86.055 26.0791
6000.000000 85.920 27.2856
6080.000000 85.836 28.3000
6150.000000 85.785 29.1672
6220.000000 85.757 29.9666
6300.000000 85.754 30.7317
6400.000000 85.794 31.3574
6500.000000 85.877 31.4796
6600.000000 85.993 30.9716
6700.000000 86.123 29.7280
6800.000000 86.244 27.6815
