* Measurement data measured by REW V5.30.5
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -27.0 dBFS with no timing reference
* Dated: 26/02/2024 10:32:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Meteor L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 90.061 -137.2682
20.299999 90.121 -138.2159
20.600000 90.183 -139.1219
20.900000 90.247 -140.0137
21.200001 90.312 -140.9098
21.400000 90.354 -141.5120
21.799999 90.431 -142.7171
22.000000 90.466 -143.3121
22.400000 90.532 -144.4729
22.700001 90.579 -145.3161
23.000000 90.625 -146.1415
23.299999 90.670 -146.9569
23.600000 90.714 -147.7680
24.000000 90.771 -148.8440
24.299999 90.810 -149.6440
24.700001 90.860 -150.6966
25.000000 90.896 -151.4750
25.400000 90.942 -152.5015
25.799999 90.986 -153.5187
26.200001 91.028 -154.5268
26.500000 91.056 -155.2741
26.900000 91.092 -156.2529
27.200001 91.117 -156.9705
27.600000 91.149 -157.9037
28.000000 91.181 -158.8131
28.500000 91.222 -159.9286
29.000000 91.262 -161.0327
29.500000 91.299 -162.1231
30.000000 91.334 -163.1862
30.400000 91.362 -164.0158
30.700001 91.384 -164.6346
31.100000 91.416 -165.4712
31.500000 91.446 -166.3350
32.000000 91.475 -167.4448
32.500000 91.491 -168.5394
33.000000 91.497 -169.5616
33.500000 91.504 -170.4976
34.000000 91.518 -171.3868
34.500000 91.538 -172.2825
35.000000 91.559 -173.2064
35.500000 91.574 -174.1408
36.000000 91.585 -175.0557
36.500000 91.593 -175.9367
37.000000 91.603 -176.7925
37.500000 91.614 -177.6420
38.200001 91.627 -178.8385
38.700001 91.631 -179.6885
39.500000 91.631 179.0037
40.000000 91.631 178.2277
40.599998 91.635 177.3138
41.200001 91.642 176.3821
41.799999 91.647 175.4221
42.500000 91.645 174.3058
43.099998 91.640 173.3874
43.700001 91.639 172.4963
44.400002 91.639 171.4502
45.000000 91.636 170.5462
45.500000 91.629 169.8120
46.200001 91.617 168.8388
46.799999 91.610 168.0383
47.500000 91.604 167.1038
48.200001 91.594 166.1639
48.700001 91.584 165.5037
49.400002 91.569 164.6029
50.000000 91.558 163.8369
50.799999 91.542 162.7910
51.500000 91.525 161.8589
52.200001 91.504 160.9444
53.000000 91.481 159.9338
53.799999 91.461 158.9427
54.500000 91.445 158.0870
55.200001 91.429 157.2425
56.000000 91.409 156.2970
57.000000 91.381 155.1771
58.000000 91.356 154.0891
59.000000 91.327 152.9485
60.000000 91.285 151.8403
60.799999 91.257 150.9891
61.500000 91.234 150.2076
62.200001 91.208 149.4280
63.000000 91.183 148.5944
64.000000 91.160 147.5406
65.000000 91.141 146.6440
66.000000 91.178 145.6415
67.000000 91.159 144.0761
68.000000 91.029 143.0255
69.000000 90.960 142.5987
70.000000 90.939 141.8622
71.000000 90.896 140.9572
72.000000 90.848 140.0387
73.000000 90.796 139.0759
74.000000 90.743 138.1112
75.000000 90.690 137.1902
76.199997 90.639 136.1362
77.500000 90.586 134.9735
78.800003 90.527 133.8840
80.000000 90.473 132.9138
81.199997 90.414 131.9630
82.500000 90.351 130.9752
83.800003 90.293 129.9714
85.000000 90.236 129.0207
86.199997 90.175 128.1030
87.500000 90.111 127.1468
88.500000 90.064 126.4292
90.000000 90.001 125.3345
91.199997 89.945 124.4445
92.500000 89.885 123.5084
93.800003 89.820 122.5425
95.000000 89.755 121.7030
96.199997 89.694 120.9053
97.500000 89.633 120.0461
98.800003 89.574 119.1924
100.000000 89.520 118.4101
101.500000 89.446 117.4501
103.000000 89.367 116.5324
104.400002 89.291 115.7026
106.000000 89.207 114.7680
107.500000 89.132 113.8835
109.000000 89.059 113.0049
110.599998 88.979 112.0814
112.000000 88.907 111.2985
113.800003 88.812 110.3427
115.000000 88.750 109.7213
117.199997 88.639 108.5868
118.000000 88.598 108.1765
120.599998 88.462 106.8724
122.000000 88.387 106.1906
124.099998 88.275 105.1967
125.000000 88.228 104.7842
126.500000 88.148 104.1270
128.000000 88.068 103.5010
131.500000 87.876 102.0628
132.000000 87.849 101.8636
134.000000 87.744 101.0936
136.000000 87.641 100.3646
138.000000 87.536 99.7320
140.000000 87.432 99.1995
143.000000 87.289 98.4268
145.000000 87.208 97.9458
147.500000 87.140 97.4877
150.000000 87.104 96.9613
152.500000 87.071 96.2569
155.000000 87.033 95.3545
157.500000 86.989 94.3708
160.000000 86.933 93.3060
162.500000 86.858 92.2444
165.000000 86.770 91.2382
167.500000 86.676 90.3136
170.000000 86.572 89.4236
172.500000 86.457 88.6115
175.000000 86.350 87.8427
177.500000 86.245 87.1389
180.000000 86.144 86.5023
182.500000 86.039 85.8406
185.000000 85.936 85.2189
187.500000 85.844 84.6038
190.000000 85.747 84.0649
192.500000 85.651 83.6402
195.000000 85.563 83.1912
197.500000 85.475 82.6806
200.000000 85.386 82.2141
203.000000 85.281 81.7442
206.000000 85.185 81.2451
209.000000 85.084 80.7336
212.000000 84.984 80.3760
214.000000 84.924 80.1780
218.000000 84.813 79.6765
220.000000 84.756 79.4191
224.000000 84.649 78.9423
227.000000 84.569 78.5973
230.000000 84.490 78.3104
233.000000 84.416 78.0473
236.000000 84.345 77.7505
240.000000 84.247 77.3366
243.000000 84.175 77.0685
247.000000 84.083 76.7276
250.000000 84.016 76.4785
254.000000 83.930 76.2232
258.000000 83.848 76.0323
262.000000 83.769 75.8646
265.000000 83.711 75.7585
269.000000 83.629 75.6076
272.000000 83.573 75.5418
276.000000 83.511 75.4615
280.000000 83.455 75.4691
285.000000 83.393 75.4231
290.000000 83.346 75.3678
295.000000 83.305 75.2388
300.000000 83.267 75.0603
304.000000 83.235 74.8973
307.000000 83.209 74.7799
311.000000 83.173 74.6307
315.000000 83.134 74.4579
320.000000 83.078 74.2849
325.000000 83.017 74.1226
330.000000 82.950 74.0941
335.000000 82.900 74.0768
340.000000 82.834 74.0219
345.000000 82.772 74.1447
350.000000 82.721 74.3116
355.000000 82.673 74.5362
360.000000 82.635 74.8307
365.000000 82.615 75.1420
370.000000 82.617 75.4960
375.000000 82.641 75.9042
382.000000 82.707 76.2312
387.000000 82.762 76.1325
395.000000 82.811 75.7075
400.000000 82.816 75.4450
406.000000 82.808 75.1967
412.000000 82.774 75.0025
418.000000 82.717 75.1122
425.000000 82.691 75.1940
431.000000 82.670 75.0226
437.000000 82.642 74.9060
444.000000 82.625 74.8773
450.000000 82.621 74.9517
455.000000 82.612 75.1298
462.000000 82.591 75.3456
468.000000 82.571 75.4807
475.000000 82.554 75.6577
482.000000 82.537 75.8140
487.000000 82.524 75.9133
494.000000 82.512 76.0599
500.000000 82.511 76.1814
508.000000 82.487 76.3984
515.000000 82.471 76.6260
522.000000 82.466 76.8532
530.000000 82.444 77.0935
538.000000 82.425 77.3262
545.000000 82.413 77.5572
552.000000 82.402 77.8051
560.000000 82.387 78.0784
570.000000 82.366 78.4536
580.000000 82.344 78.8696
590.000000 82.328 79.2811
600.000000 82.314 79.7006
608.000000 82.301 80.0562
615.000000 82.291 80.3771
622.000000 82.280 80.7121
630.000000 82.265 81.1080
640.000000 82.247 81.6169
650.000000 82.230 82.1478
660.000000 82.212 82.6897
670.000000 82.194 83.2559
680.000000 82.177 83.8447
690.000000 82.163 84.4463
700.000000 82.149 85.0660
710.000000 82.135 85.7093
720.000000 82.122 86.3564
730.000000 82.110 87.0219
740.000000 82.100 87.7131
750.000000 82.090 88.4232
762.000000 82.081 89.2936
775.000000 82.075 90.2585
788.000000 82.071 91.2502
800.000000 82.069 92.1937
812.000000 82.070 93.1513
825.000000 82.076 94.2056
838.000000 82.085 95.2728
850.000000 82.098 96.2784
862.000000 82.115 97.2939
875.000000 82.138 98.4002
885.000000 82.158 99.2571
900.000000 82.194 100.5463
912.000000 82.227 101.5764
925.000000 82.267 102.6871
938.000000 82.312 103.7896
950.000000 82.356 104.8010
962.000000 82.404 105.8093
975.000000 82.460 106.8806
988.000000 82.520 107.9279
1000.000000 82.577 108.8738
1015.000000 82.650 110.0393
1030.000000 82.726 111.1749
1044.000000 82.801 112.2025
1060.000000 82.887 113.3445
1075.000000 82.968 114.3835
1090.000000 83.050 115.3886
1106.000000 83.136 116.4174
1120.000000 83.210 117.2908
1138.000000 83.300 118.3895
1150.000000 83.359 119.1027
1172.000000 83.463 120.3699
1180.000000 83.499 120.8230
1206.000000 83.610 122.2727
1220.000000 83.665 123.0422
1241.000000 83.744 124.1873
1250.000000 83.776 124.6783
1265.000000 83.826 125.4977
1280.000000 83.873 126.3195
1315.000000 83.973 128.2690
1320.000000 83.987 128.5500
1340.000000 84.040 129.6848
1360.000000 84.091 130.8376
1380.000000 84.139 132.0055
1400.000000 84.187 133.1919
1430.000000 84.258 135.0010
1450.000000 84.304 136.2237
1475.000000 84.362 137.7782
1500.000000 84.421 139.3509
1525.000000 84.482 140.9384
1550.000000 84.544 142.5391
1575.000000 84.608 144.1562
1600.000000 84.677 145.7894
1625.000000 84.749 147.4326
1650.000000 84.825 149.0756
1675.000000 84.904 150.7166
1700.000000 84.988 152.3545
1725.000000 85.075 153.9903
1750.000000 85.166 155.6186
1775.000000 85.263 157.2300
1800.000000 85.363 158.8275
1825.000000 85.468 160.4097
1850.000000 85.577 161.9711
1875.000000 85.691 163.5049
1900.000000 85.810 165.0093
1925.000000 85.933 166.4830
1950.000000 86.059 167.9214
1975.000000 86.188 169.3175
2000.000000 86.321 170.6708
2030.000000 86.485 172.2373
2060.000000 86.653 173.7305
2090.000000 86.825 175.1447
2120.000000 86.999 176.4790
2140.000000 87.116 177.3181
2180.000000 87.351 178.8704
2200.000000 87.467 179.5844
2240.000000 87.698 -179.1216
2270.000000 87.868 -178.2738
2300.000000 88.032 -177.5303
2330.000000 88.189 -176.8920
2360.000000 88.338 -176.3611
2400.000000 88.520 -175.8148
2430.000000 88.641 -175.5196
2470.000000 88.781 -175.2627
2500.000000 88.865 -175.1624
2540.000000 88.950 -175.1275
2580.000000 89.001 -175.1723
2620.000000 89.016 -175.2678
2650.000000 89.004 -175.3502
2690.000000 88.958 -175.4423
2720.000000 88.902 -175.4800
2760.000000 88.802 -175.4669
2800.000000 88.677 -175.3563
2850.000000 88.492 -175.0594
2900.000000 88.282 -174.5765
2950.000000 88.057 -173.9119
3000.000000 87.823 -173.0829
3040.000000 87.631 -172.3184
3070.000000 87.486 -171.6968
3110.000000 87.288 -170.8126
3150.000000 87.086 -169.8656
3200.000000 86.826 -168.5834
3250.000000 86.560 -167.1494
3300.000000 86.294 -165.5121
3350.000000 86.039 -163.6543
3400.000000 85.813 -161.6089
3450.000000 85.627 -159.4488
3500.000000 85.487 -157.2768
3550.000000 85.395 -155.1843
3600.000000 85.350 -153.2507
3650.000000 85.349 -151.5554
3700.000000 85.390 -150.1706
3750.000000 85.469 -149.1701
3820.000000 85.635 -148.6078
3870.000000 85.779 -148.9562
3950.000000 85.999 -151.0761
4000.000000 86.086 -153.4554
4060.000000 86.087 -157.3249
4120.000000 85.928 -162.0858
4180.000000 85.574 -167.3725
4250.000000 84.907 -173.6346
4310.000000 84.141 -178.6347
4370.000000 83.244 176.9742
4440.000000 82.103 172.7513
4500.000000 81.100 169.8730
4550.000000 80.280 167.9012
4620.000000 79.197 165.6234
4680.000000 78.357 163.9708
4750.000000 77.507 162.2422
4820.000000 76.823 160.6172
4870.000000 76.449 159.4999
4940.000000 76.095 158.0173
5000.000000 75.954 156.8632
5080.000000 75.999 155.5531
5150.000000 76.243 154.6346
5220.000000 76.661 153.9152
5300.000000 77.320 153.2717
5380.000000 78.135 152.6434
5450.000000 78.942 151.9058
5520.000000 79.801 150.8029
5600.000000 80.792 148.8777
5700.000000 81.923 145.2117
5800.000000 82.769 140.3260
5900.000000 83.200 135.1465
6000.000000 83.208 131.0180
6080.000000 82.989 129.1408
6150.000000 82.694 128.6831
6220.000000 82.342 129.3318
6300.000000 81.916 131.3514
