* Measurement data measured by REW V5.30.5
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -27.0 dBFS with no timing reference
* Dated: 26/02/2024 10:30:57 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Meteor R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 90.414 -137.5598
20.299999 90.482 -138.5287
20.600000 90.547 -139.4970
20.900000 90.610 -140.4587
21.200001 90.669 -141.4064
21.400000 90.706 -142.0279
21.799999 90.779 -143.2446
22.000000 90.814 -143.8409
22.400000 90.881 -145.0129
22.700001 90.929 -145.8763
23.000000 90.975 -146.7269
23.299999 91.018 -147.5645
23.600000 91.060 -148.3893
24.000000 91.112 -149.4707
24.299999 91.149 -150.2703
24.700001 91.196 -151.3243
25.000000 91.230 -152.1071
25.400000 91.272 -153.1413
25.799999 91.312 -154.1625
26.200001 91.350 -155.1666
26.500000 91.378 -155.9061
26.900000 91.417 -156.8747
27.200001 91.448 -157.5931
27.600000 91.494 -158.5532
28.000000 91.542 -159.5321
28.500000 91.602 -160.7939
29.000000 91.654 -162.0764
29.500000 91.694 -163.3273
30.000000 91.727 -164.4968
30.400000 91.751 -165.3633
30.700001 91.771 -165.9797
31.100000 91.800 -166.7741
31.500000 91.831 -167.5587
32.000000 91.868 -168.5497
32.500000 91.896 -169.5570
33.000000 91.911 -170.5577
33.500000 91.909 -171.5097
34.000000 91.897 -172.3708
34.500000 91.883 -173.1248
35.000000 91.878 -173.8033
35.500000 91.889 -174.4834
36.000000 91.913 -175.2484
36.500000 91.938 -176.1367
37.000000 91.953 -177.1187
37.500000 91.956 -178.1236
38.200001 91.949 -179.4666
38.700001 91.948 179.6288
39.500000 91.957 178.2065
40.000000 91.967 177.3033
40.599998 91.975 176.2119
41.200001 91.974 175.1552
41.799999 91.969 174.1768
42.500000 91.963 173.1287
43.099998 91.961 172.2650
43.700001 91.957 171.4189
44.400002 91.951 170.4720
45.000000 91.951 169.6586
45.500000 91.953 168.9330
46.200001 91.942 167.8580
46.799999 91.921 166.9711
47.500000 91.899 166.0190
48.200001 91.887 165.0605
48.700001 91.878 164.3457
49.400002 91.859 163.3753
50.000000 91.845 162.6072
50.799999 91.841 161.5646
51.500000 91.831 160.5832
52.200001 91.807 159.6422
53.000000 91.780 158.6736
53.799999 91.760 157.7102
54.500000 91.739 156.8490
55.200001 91.715 156.0209
56.000000 91.692 155.1048
57.000000 91.666 153.9335
58.000000 91.637 152.7471
59.000000 91.599 151.5822
60.000000 91.557 150.4932
60.799999 91.525 149.6352
61.500000 91.495 148.8842
62.200001 91.465 148.1522
63.000000 91.436 147.2845
64.000000 91.392 146.1295
65.000000 91.345 144.9046
66.000000 91.257 143.6031
67.000000 91.144 142.8521
68.000000 91.130 142.2995
69.000000 91.124 141.2433
70.000000 91.080 140.3513
71.000000 91.072 139.5000
72.000000 91.049 138.4417
73.000000 91.006 137.4821
74.000000 90.963 136.5463
75.000000 90.913 135.6647
76.199997 90.863 134.6385
77.500000 90.804 133.4804
78.800003 90.740 132.3493
80.000000 90.677 131.3439
81.199997 90.616 130.3663
82.500000 90.549 129.3190
83.800003 90.481 128.3005
85.000000 90.418 127.3717
86.199997 90.356 126.4442
87.500000 90.286 125.4380
88.500000 90.234 124.6811
90.000000 90.159 123.5602
91.199997 90.101 122.6761
92.500000 90.033 121.7272
93.800003 89.955 120.8400
95.000000 89.882 120.1033
96.199997 89.816 119.3862
97.500000 89.751 118.5682
98.800003 89.689 117.6818
100.000000 89.629 116.8436
101.500000 89.550 115.8311
103.000000 89.469 114.8794
104.400002 89.388 114.0362
106.000000 89.292 113.1301
107.500000 89.205 112.3082
109.000000 89.120 111.4596
110.599998 89.023 110.5889
112.000000 88.939 109.9182
113.800003 88.842 109.0828
115.000000 88.779 108.4807
117.199997 88.654 107.3535
118.000000 88.609 106.9689
120.599998 88.476 105.7779
122.000000 88.409 105.1616
124.099998 88.303 104.2375
125.000000 88.254 103.8492
126.500000 88.170 103.2344
128.000000 88.090 102.6523
131.500000 87.912 101.4216
132.000000 87.887 101.2736
134.000000 87.792 100.7229
136.000000 87.699 100.2450
138.000000 87.629 99.8476
140.000000 87.589 99.3952
143.000000 87.574 98.5062
145.000000 87.572 97.6705
147.500000 87.546 96.3585
150.000000 87.479 94.9405
152.500000 87.379 93.6047
155.000000 87.259 92.4039
157.500000 87.131 91.3387
160.000000 87.004 90.3728
162.500000 86.878 89.4764
165.000000 86.754 88.6443
167.500000 86.632 87.8513
170.000000 86.513 87.1090
172.500000 86.398 86.4102
175.000000 86.285 85.7458
177.500000 86.172 85.1171
180.000000 86.062 84.5194
182.500000 85.954 83.9597
185.000000 85.848 83.4324
187.500000 85.742 82.9122
190.000000 85.638 82.3965
192.500000 85.538 81.9006
195.000000 85.443 81.4459
197.500000 85.353 81.0527
200.000000 85.262 80.7274
203.000000 85.146 80.3340
206.000000 85.024 79.8445
209.000000 84.912 79.3417
212.000000 84.805 78.9943
214.000000 84.730 78.8520
218.000000 84.581 78.5574
220.000000 84.511 78.4420
224.000000 84.389 78.3172
227.000000 84.307 78.3288
230.000000 84.241 78.3419
233.000000 84.195 78.4187
236.000000 84.168 78.4298
240.000000 84.156 78.3033
243.000000 84.154 78.0274
247.000000 84.139 77.4976
250.000000 84.112 77.0297
254.000000 84.056 76.4138
258.000000 83.984 75.8343
262.000000 83.906 75.3485
265.000000 83.846 75.0155
269.000000 83.759 74.6650
272.000000 83.698 74.4601
276.000000 83.613 74.1812
280.000000 83.535 73.9861
285.000000 83.440 73.7542
290.000000 83.355 73.5765
295.000000 83.268 73.4304
300.000000 83.183 73.3398
304.000000 83.118 73.2746
307.000000 83.070 73.2547
311.000000 83.000 73.2756
315.000000 82.925 73.3528
320.000000 82.838 73.6316
325.000000 82.766 74.0919
330.000000 82.731 74.7523
335.000000 82.750 75.4667
340.000000 82.833 76.0502
345.000000 82.954 76.1373
350.000000 83.053 75.7481
355.000000 83.104 75.1328
360.000000 83.110 74.5119
365.000000 83.087 73.9983
370.000000 83.049 73.6114
375.000000 83.008 73.3440
382.000000 82.950 73.1038
387.000000 82.910 72.9786
395.000000 82.851 72.8798
400.000000 82.816 72.8491
406.000000 82.782 72.8917
412.000000 82.750 72.8716
418.000000 82.705 72.9078
425.000000 82.681 73.0893
431.000000 82.666 73.1710
437.000000 82.637 73.2872
444.000000 82.596 73.4536
450.000000 82.580 73.5044
455.000000 82.584 73.4885
462.000000 82.571 73.5731
468.000000 82.552 73.6637
475.000000 82.535 73.7749
482.000000 82.517 73.9173
487.000000 82.507 74.0679
494.000000 82.499 74.3022
500.000000 82.489 74.4904
508.000000 82.471 74.6900
515.000000 82.459 74.8879
522.000000 82.443 75.1253
530.000000 82.423 75.3537
538.000000 82.406 75.5922
545.000000 82.393 75.8301
552.000000 82.379 76.0794
560.000000 82.362 76.3621
570.000000 82.343 76.7366
580.000000 82.324 77.1324
590.000000 82.306 77.5471
600.000000 82.287 77.9791
608.000000 82.271 78.3503
615.000000 82.259 78.6768
622.000000 82.246 79.0068
630.000000 82.232 79.4070
640.000000 82.213 79.9163
650.000000 82.196 80.4378
660.000000 82.180 80.9781
670.000000 82.162 81.5555
680.000000 82.143 82.1349
690.000000 82.129 82.7283
700.000000 82.116 83.3613
710.000000 82.102 84.0157
720.000000 82.089 84.6864
730.000000 82.079 85.3513
740.000000 82.068 86.0294
750.000000 82.059 86.7516
762.000000 82.054 87.6237
775.000000 82.049 88.5923
788.000000 82.044 89.6185
800.000000 82.040 90.5901
812.000000 82.041 91.5282
825.000000 82.048 92.5816
838.000000 82.059 93.6614
850.000000 82.074 94.6611
862.000000 82.092 95.6760
875.000000 82.115 96.7844
885.000000 82.137 97.6342
900.000000 82.175 98.9266
912.000000 82.209 99.9631
925.000000 82.249 101.0658
938.000000 82.294 102.1641
950.000000 82.340 103.1711
962.000000 82.390 104.1661
975.000000 82.446 105.2319
988.000000 82.505 106.2856
1000.000000 82.563 107.2461
1015.000000 82.638 108.4198
1030.000000 82.715 109.5615
1044.000000 82.789 110.5933
1060.000000 82.875 111.7350
1075.000000 82.956 112.7769
1090.000000 83.037 113.7904
1106.000000 83.123 114.8400
1120.000000 83.198 115.7307
1138.000000 83.291 116.8443
1150.000000 83.351 117.5641
1172.000000 83.458 118.8405
1180.000000 83.496 119.2999
1206.000000 83.611 120.7757
1220.000000 83.669 121.5554
1241.000000 83.752 122.7148
1250.000000 83.786 123.2113
1265.000000 83.840 124.0405
1280.000000 83.892 124.8665
1315.000000 84.004 126.7985
1320.000000 84.019 127.0764
1340.000000 84.076 128.1907
1360.000000 84.130 129.3201
1380.000000 84.181 130.4669
1400.000000 84.230 131.6329
1430.000000 84.302 133.4225
1450.000000 84.349 134.6353
1475.000000 84.409 136.1723
1500.000000 84.470 137.7388
1525.000000 84.531 139.3301
1550.000000 84.596 140.9386
1575.000000 84.664 142.5597
1600.000000 84.734 144.1924
1625.000000 84.807 145.8342
1650.000000 84.885 147.4798
1675.000000 84.967 149.1232
1700.000000 85.053 150.7650
1725.000000 85.143 152.4044
1750.000000 85.238 154.0405
1775.000000 85.337 155.6604
1800.000000 85.439 157.2682
1825.000000 85.546 158.8591
1850.000000 85.658 160.4283
1875.000000 85.775 161.9743
1900.000000 85.896 163.4955
1925.000000 86.022 164.9869
1950.000000 86.153 166.4437
1975.000000 86.288 167.8609
2000.000000 86.428 169.2308
2030.000000 86.601 170.8051
2060.000000 86.777 172.2953
2090.000000 86.956 173.6958
2120.000000 87.137 175.0097
2140.000000 87.258 175.8392
2180.000000 87.500 177.3858
2200.000000 87.621 178.0955
2240.000000 87.860 179.3747
2270.000000 88.035 -179.7840
2300.000000 88.206 -179.0509
2330.000000 88.371 -178.4323
2360.000000 88.527 -177.9289
2400.000000 88.718 -177.4318
2430.000000 88.846 -177.1826
2470.000000 88.990 -176.9913
2500.000000 89.077 -176.9360
2540.000000 89.162 -176.9613
2580.000000 89.211 -177.0681
2620.000000 89.222 -177.2088
2650.000000 89.206 -177.3191
2690.000000 89.153 -177.4424
2720.000000 89.091 -177.4962
2760.000000 88.981 -177.4986
2800.000000 88.845 -177.3990
2850.000000 88.644 -177.1069
2900.000000 88.416 -176.6187
2950.000000 88.168 -175.9410
3000.000000 87.905 -175.0848
3040.000000 87.684 -174.2835
3070.000000 87.513 -173.6163
3110.000000 87.275 -172.6221
3150.000000 87.028 -171.4861
3200.000000 86.711 -169.8289
3250.000000 86.397 -167.8701
3300.000000 86.104 -165.6089
3350.000000 85.845 -163.1092
3400.000000 85.630 -160.4641
3450.000000 85.465 -157.7689
3500.000000 85.346 -155.1166
3550.000000 85.270 -152.5722
3600.000000 85.232 -150.1743
3650.000000 85.231 -147.9628
3700.000000 85.263 -145.9763
3750.000000 85.327 -144.2566
3820.000000 85.469 -142.3956
3870.000000 85.604 -141.5479
3950.000000 85.855 -141.2212
4000.000000 86.018 -141.7671
4060.000000 86.191 -143.2668
4120.000000 86.306 -145.7036
4180.000000 86.326 -149.0180
4250.000000 86.180 -153.7614
4310.000000 85.884 -158.2523
4370.000000 85.425 -162.7813
4440.000000 84.711 -167.7019
4500.000000 83.985 -171.3660
4550.000000 83.334 -173.9560
4620.000000 82.398 -176.8838
4680.000000 81.615 -178.8329
4750.000000 80.764 179.4014
4820.000000 80.013 178.0278
4870.000000 79.554 177.2039
4940.000000 79.037 176.1928
5000.000000 78.722 175.4138
5080.000000 78.498 174.4591
5150.000000 78.495 173.6866
5220.000000 78.669 172.9499
5300.000000 79.071 172.0976
5380.000000 79.667 171.1434
5450.000000 80.322 170.0995
5520.000000 81.068 168.7095
5600.000000 81.983 166.5049
5700.000000 83.106 162.5691
5800.000000 84.047 157.3099
5900.000000 84.650 151.2645
6000.000000 84.829 145.5463
6080.000000 84.695 142.1033
6150.000000 84.434 140.2877
6220.000000 84.091 139.6904
6300.000000 83.657 140.4616
