* Measurement data measured by REW V5.30.5
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -27.0 dBFS with no timing reference
* Dated: 08/03/2024 10:40:06 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tangzu Wan'er L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 88.034 -165.2573
20.299999 88.033 -165.8035
20.600000 88.029 -166.3359
20.900000 88.023 -166.8449
21.200001 88.018 -167.3305
21.400000 88.015 -167.6448
21.799999 88.011 -168.2622
22.000000 88.009 -168.5682
22.400000 88.004 -169.1725
22.700001 87.998 -169.6105
23.000000 87.993 -170.0293
23.299999 87.989 -170.4295
23.600000 87.988 -170.8194
24.000000 87.989 -171.3445
24.299999 87.990 -171.7534
24.700001 87.989 -172.3178
25.000000 87.983 -172.7432
25.400000 87.968 -173.2873
25.799999 87.949 -173.7845
26.200001 87.930 -174.2310
26.500000 87.918 -174.5410
26.900000 87.906 -174.9404
27.200001 87.899 -175.2427
27.600000 87.892 -175.6640
28.000000 87.884 -176.1094
28.500000 87.866 -176.6769
29.000000 87.842 -177.2076
29.500000 87.819 -177.6785
30.000000 87.806 -178.1311
30.400000 87.798 -178.5173
30.700001 87.791 -178.8199
31.100000 87.775 -179.2082
31.500000 87.758 -179.5384
32.000000 87.748 -179.8689
32.500000 87.760 179.7792
33.000000 87.780 179.2794
33.500000 87.778 178.6622
34.000000 87.747 178.0964
34.500000 87.705 177.7011
35.000000 87.674 177.4265
35.500000 87.654 177.1501
36.000000 87.630 176.8397
36.500000 87.597 176.5607
37.000000 87.564 176.3486
37.500000 87.540 176.1490
38.200001 87.513 175.7797
38.700001 87.487 175.4733
39.500000 87.446 174.9688
40.000000 87.423 174.5968
40.599998 87.386 174.0811
41.200001 87.335 173.5892
41.799999 87.284 173.1947
42.500000 87.241 172.7962
43.099998 87.214 172.4338
43.700001 87.190 172.0545
44.400002 87.163 171.6185
45.000000 87.140 171.2403
45.500000 87.116 170.9217
46.200001 87.071 170.5291
46.799999 87.028 170.3003
47.500000 86.990 170.1234
48.200001 86.965 169.9142
48.700001 86.946 169.7214
49.400002 86.913 169.4431
50.000000 86.887 169.2078
50.799999 86.853 168.8340
51.500000 86.813 168.4721
52.200001 86.768 168.1609
53.000000 86.724 167.8602
53.799999 86.686 167.5575
54.500000 86.654 167.2889
55.200001 86.624 167.0164
56.000000 86.585 166.7045
57.000000 86.532 166.3633
58.000000 86.482 166.0583
59.000000 86.431 165.7323
60.000000 86.375 165.4182
60.799999 86.330 165.1907
61.500000 86.292 165.0049
62.200001 86.257 164.8286
63.000000 86.222 164.6141
64.000000 86.178 164.2913
65.000000 86.125 163.9716
66.000000 86.069 163.6984
67.000000 86.011 163.4549
68.000000 85.952 163.2689
69.000000 85.902 163.1168
70.000000 85.858 162.9273
71.000000 85.812 162.6932
72.000000 85.761 162.4459
73.000000 85.705 162.2245
74.000000 85.652 162.0550
75.000000 85.609 161.8572
76.199997 85.551 161.5650
77.500000 85.483 161.3222
78.800003 85.424 161.1047
80.000000 85.365 160.8972
81.199997 85.306 160.7682
82.500000 85.251 160.6263
83.800003 85.192 160.4476
85.000000 85.134 160.2938
86.199997 85.078 160.1530
87.500000 85.020 159.9725
88.500000 84.971 159.8260
90.000000 84.899 159.6581
91.199997 84.844 159.5292
92.500000 84.783 159.3990
93.800003 84.722 159.2983
95.000000 84.668 159.2114
96.199997 84.614 159.1305
97.500000 84.557 159.0413
98.800003 84.501 158.9477
100.000000 84.449 158.8599
101.500000 84.384 158.7435
103.000000 84.318 158.6520
104.400002 84.258 158.5865
106.000000 84.191 158.5350
107.500000 84.130 158.4979
109.000000 84.070 158.4411
110.599998 84.004 158.3629
112.000000 83.945 158.3065
113.800003 83.871 158.2461
115.000000 83.822 158.2248
117.199997 83.735 158.2000
118.000000 83.703 158.1841
120.599998 83.597 158.1702
122.000000 83.546 158.1732
124.099998 83.468 158.1463
125.000000 83.434 158.1457
126.500000 83.378 158.1552
128.000000 83.324 158.1609
131.500000 83.188 158.1631
132.000000 83.167 158.1791
134.000000 83.086 158.2855
136.000000 83.014 158.3779
138.000000 82.942 158.4178
140.000000 82.868 158.5016
143.000000 82.755 158.7152
145.000000 82.671 158.9422
147.500000 82.575 159.2791
150.000000 82.507 159.6624
152.500000 82.474 160.0015
155.000000 82.450 160.1838
157.500000 82.413 160.2167
160.000000 82.363 160.1677
162.500000 82.299 160.1391
165.000000 82.230 160.1791
167.500000 82.160 160.2701
170.000000 82.091 160.3577
172.500000 82.023 160.4594
175.000000 81.958 160.5699
177.500000 81.892 160.6978
180.000000 81.829 160.8514
182.500000 81.765 161.0186
185.000000 81.702 161.1932
187.500000 81.640 161.3759
190.000000 81.579 161.5763
192.500000 81.517 161.7701
195.000000 81.454 161.9445
197.500000 81.396 162.1146
200.000000 81.346 162.3216
203.000000 81.287 162.6163
206.000000 81.215 162.9205
209.000000 81.140 163.1697
212.000000 81.075 163.3782
214.000000 81.036 163.5398
218.000000 80.960 163.8713
220.000000 80.922 164.0418
224.000000 80.849 164.4295
227.000000 80.796 164.7614
230.000000 80.738 165.0566
233.000000 80.679 165.3355
236.000000 80.628 165.6505
240.000000 80.568 166.0690
243.000000 80.522 166.4086
247.000000 80.467 166.8560
250.000000 80.429 167.1601
254.000000 80.378 167.5480
258.000000 80.326 167.9724
262.000000 80.283 168.4081
265.000000 80.257 168.6567
269.000000 80.215 168.9302
272.000000 80.179 169.1953
276.000000 80.134 169.5445
280.000000 80.086 169.8477
285.000000 80.026 170.2363
290.000000 79.965 170.6499
295.000000 79.901 171.0920
300.000000 79.847 171.5407
304.000000 79.806 171.8945
307.000000 79.777 172.1520
311.000000 79.741 172.4944
315.000000 79.703 172.8723
320.000000 79.646 173.3496
325.000000 79.587 173.7983
330.000000 79.535 174.2342
335.000000 79.492 174.6978
340.000000 79.452 175.1630
345.000000 79.412 175.5967
350.000000 79.366 176.0250
355.000000 79.320 176.4826
360.000000 79.275 176.9920
365.000000 79.232 177.4932
370.000000 79.192 177.9784
375.000000 79.153 178.4486
382.000000 79.097 179.1594
387.000000 79.061 179.6407
395.000000 79.011 -179.5008
400.000000 78.986 -178.9277
406.000000 78.967 -178.2930
412.000000 78.960 -177.7001
418.000000 78.957 -177.1787
425.000000 78.945 -176.6243
431.000000 78.927 -176.1947
437.000000 78.903 -175.7543
444.000000 78.871 -175.2143
450.000000 78.846 -174.7581
455.000000 78.823 -174.3562
462.000000 78.795 -173.7745
468.000000 78.771 -173.2909
475.000000 78.748 -172.7038
482.000000 78.728 -172.0932
487.000000 78.713 -171.6757
494.000000 78.693 -171.0977
500.000000 78.675 -170.6010
508.000000 78.650 -169.9244
515.000000 78.630 -169.3194
522.000000 78.613 -168.7399
530.000000 78.595 -168.1055
538.000000 78.581 -167.4661
545.000000 78.572 -166.9187
552.000000 78.561 -166.3665
560.000000 78.546 -165.7206
570.000000 78.530 -164.8754
580.000000 78.518 -164.0698
590.000000 78.508 -163.3066
600.000000 78.498 -162.4881
608.000000 78.491 -161.7854
615.000000 78.492 -161.1605
622.000000 78.505 -160.5415
630.000000 78.530 -159.9246
640.000000 78.556 -159.3099
650.000000 78.561 -158.7689
660.000000 78.546 -158.2258
670.000000 78.517 -157.6314
680.000000 78.487 -156.9583
690.000000 78.455 -156.1865
700.000000 78.423 -155.3195
710.000000 78.404 -154.3797
720.000000 78.400 -153.4148
730.000000 78.407 -152.4664
740.000000 78.421 -151.5413
750.000000 78.440 -150.6172
762.000000 78.469 -149.5369
775.000000 78.506 -148.4055
788.000000 78.546 -147.2668
800.000000 78.588 -146.2317
812.000000 78.633 -145.2487
825.000000 78.685 -144.1850
838.000000 78.743 -143.1225
850.000000 78.801 -142.1396
862.000000 78.864 -141.1710
875.000000 78.935 -140.1531
885.000000 78.993 -139.3836
900.000000 79.085 -138.2457
912.000000 79.161 -137.3530
925.000000 79.248 -136.4074
938.000000 79.340 -135.4915
950.000000 79.429 -134.6673
962.000000 79.522 -133.8700
975.000000 79.627 -133.0370
988.000000 79.735 -132.2439
1000.000000 79.837 -131.5380
1015.000000 79.968 -130.6976
1030.000000 80.102 -129.9135
1044.000000 80.227 -129.2230
1060.000000 80.370 -128.4782
1075.000000 80.505 -127.8334
1090.000000 80.640 -127.2348
1106.000000 80.784 -126.6449
1120.000000 80.911 -126.1725
1138.000000 81.071 -125.6039
1150.000000 81.176 -125.2486
1172.000000 81.362 -124.6534
1180.000000 81.429 -124.4534
1206.000000 81.644 -123.8636
1220.000000 81.756 -123.5776
1241.000000 81.920 -123.1757
1250.000000 81.989 -123.0135
1265.000000 82.102 -122.7447
1280.000000 82.213 -122.4887
1315.000000 82.463 -121.9682
1320.000000 82.498 -121.8953
1340.000000 82.636 -121.6147
1360.000000 82.771 -121.3549
1380.000000 82.906 -121.0981
1400.000000 83.040 -120.8491
1430.000000 83.240 -120.5034
1450.000000 83.371 -120.2973
1475.000000 83.535 -120.0619
1500.000000 83.699 -119.8405
1525.000000 83.861 -119.6505
1550.000000 84.024 -119.4941
1575.000000 84.186 -119.3631
1600.000000 84.346 -119.2768
1625.000000 84.507 -119.2231
1650.000000 84.666 -119.1960
1675.000000 84.822 -119.1984
1700.000000 84.977 -119.2282
1725.000000 85.130 -119.2977
1750.000000 85.280 -119.3939
1775.000000 85.428 -119.5182
1800.000000 85.575 -119.6646
1825.000000 85.719 -119.8273
1850.000000 85.860 -120.0140
1875.000000 85.999 -120.2154
1900.000000 86.136 -120.4252
1925.000000 86.274 -120.6361
1950.000000 86.416 -120.8578
1975.000000 86.565 -121.1107
2000.000000 86.721 -121.4278
2030.000000 86.908 -121.9389
2060.000000 87.087 -122.6058
2090.000000 87.252 -123.3803
2120.000000 87.401 -124.2177
2140.000000 87.491 -124.7946
2180.000000 87.657 -125.9877
2200.000000 87.732 -126.5999
2240.000000 87.869 -127.8451
2270.000000 87.958 -128.8041
2300.000000 88.037 -129.7824
2330.000000 88.105 -130.7726
2360.000000 88.163 -131.7660
2400.000000 88.221 -133.0878
2430.000000 88.252 -134.0710
2470.000000 88.278 -135.3633
2500.000000 88.286 -136.3122
2540.000000 88.280 -137.5276
2580.000000 88.258 -138.6765
2620.000000 88.223 -139.7500
2650.000000 88.188 -140.4973
2690.000000 88.132 -141.4041
2720.000000 88.088 -142.0161
2760.000000 88.027 -142.7473
2800.000000 87.969 -143.3968
2850.000000 87.900 -144.1597
2900.000000 87.831 -144.9074
2950.000000 87.752 -145.6288
3000.000000 87.658 -146.2605
3040.000000 87.576 -146.6522
3070.000000 87.515 -146.8721
3110.000000 87.440 -147.0705
3150.000000 87.376 -147.1809
3200.000000 87.316 -147.2630
3250.000000 87.277 -147.3626
3300.000000 87.248 -147.5188
3350.000000 87.223 -147.7149
3400.000000 87.198 -147.9173
3450.000000 87.179 -148.1070
3500.000000 87.168 -148.2959
3550.000000 87.165 -148.5129
3600.000000 87.171 -148.7937
3650.000000 87.179 -149.1728
3700.000000 87.173 -149.6699
3750.000000 87.138 -150.1021
3820.000000 87.121 -150.3048
3870.000000 87.151 -150.6120
3950.000000 87.186 -151.4951
4000.000000 87.191 -152.1011
4060.000000 87.192 -152.8440
4120.000000 87.191 -153.6240
4180.000000 87.188 -154.4716
4250.000000 87.179 -155.5713
4310.000000 87.161 -156.6093
4370.000000 87.129 -157.7253
4440.000000 87.073 -159.1005
4500.000000 87.006 -160.3280
4550.000000 86.936 -161.3761
4620.000000 86.817 -162.8580
4680.000000 86.694 -164.1083
4750.000000 86.528 -165.5166
4820.000000 86.340 -166.8554
4870.000000 86.195 -167.7608
4940.000000 85.978 -168.9525
5000.000000 85.783 -169.9123
5080.000000 85.513 -171.1203
5150.000000 85.265 -172.1426
5220.000000 85.004 -173.1592
5300.000000 84.677 -174.3043
5380.000000 84.307 -175.3991
5450.000000 83.937 -176.2280
5520.000000 83.524 -176.7969
5600.000000 83.010 -176.9468
