* Measurement data measured by REW V5.30.5
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -27.0 dBFS with no timing reference
* Dated: 08/03/2024 10:38:39 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tangzu Wan'er R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 89.374 -168.2017
20.299999 89.386 -168.6968
20.600000 89.397 -169.2469
20.900000 89.402 -169.8416
21.200001 89.398 -170.4514
21.400000 89.389 -170.8481
21.799999 89.364 -171.5803
22.000000 89.349 -171.9079
22.400000 89.325 -172.4958
22.700001 89.313 -172.9041
23.000000 89.307 -173.3124
23.299999 89.305 -173.7382
23.600000 89.302 -174.1859
24.000000 89.295 -174.8026
24.299999 89.284 -175.2612
24.700001 89.266 -175.8412
25.000000 89.251 -176.2432
25.400000 89.232 -176.7359
25.799999 89.216 -177.1942
26.200001 89.206 -177.6407
26.500000 89.200 -177.9794
26.900000 89.191 -178.4422
27.200001 89.183 -178.7943
27.600000 89.168 -179.2581
28.000000 89.150 -179.7000
28.500000 89.125 179.7897
29.000000 89.102 179.3148
29.500000 89.081 178.8512
30.000000 89.060 178.3862
30.400000 89.041 178.0161
30.700001 89.027 177.7427
31.100000 89.008 177.3850
31.500000 88.989 177.0319
32.000000 88.966 176.5855
32.500000 88.942 176.1230
33.000000 88.913 175.6503
33.500000 88.876 175.2016
34.000000 88.835 174.8230
34.500000 88.798 174.5303
35.000000 88.777 174.2754
35.500000 88.771 173.9703
36.000000 88.767 173.5594
36.500000 88.752 173.0697
37.000000 88.720 172.5845
37.500000 88.679 172.1741
38.200001 88.624 171.7303
38.700001 88.593 171.4492
39.500000 88.553 170.9694
40.000000 88.529 170.6382
40.599998 88.496 170.2213
41.200001 88.456 169.8156
41.799999 88.414 169.4519
42.500000 88.370 169.0673
43.099998 88.336 168.7322
43.700001 88.302 168.3873
44.400002 88.260 168.0028
45.000000 88.225 167.6908
45.500000 88.198 167.4299
46.200001 88.158 167.0632
46.799999 88.120 166.7698
47.500000 88.078 166.4679
48.200001 88.042 166.1834
48.700001 88.019 165.9621
49.400002 87.984 165.6068
50.000000 87.946 165.2881
50.799999 87.885 164.9307
51.500000 87.836 164.6904
52.200001 87.794 164.4489
53.000000 87.747 164.1340
53.799999 87.696 163.8208
54.500000 87.651 163.5643
55.200001 87.608 163.3092
56.000000 87.560 163.0140
57.000000 87.499 162.6541
58.000000 87.440 162.3077
59.000000 87.383 161.9614
60.000000 87.322 161.6352
60.799999 87.275 161.4055
61.500000 87.236 161.2142
62.200001 87.198 161.0217
63.000000 87.153 160.8008
64.000000 87.096 160.5223
65.000000 87.035 160.2663
66.000000 86.977 160.0447
67.000000 86.921 159.8058
68.000000 86.864 159.5873
69.000000 86.813 159.3751
70.000000 86.760 159.1232
71.000000 86.701 158.8917
72.000000 86.638 158.6968
73.000000 86.576 158.5655
74.000000 86.525 158.4576
75.000000 86.480 158.2653
76.199997 86.414 157.9843
77.500000 86.335 157.7286
78.800003 86.260 157.5229
80.000000 86.194 157.3392
81.199997 86.129 157.1699
82.500000 86.060 157.0030
83.800003 85.992 156.8421
85.000000 85.929 156.7022
86.199997 85.865 156.5681
87.500000 85.798 156.4350
88.500000 85.747 156.3214
90.000000 85.667 156.1622
91.199997 85.604 156.0452
92.500000 85.536 155.9412
93.800003 85.472 155.8422
95.000000 85.413 155.7536
96.199997 85.356 155.6746
97.500000 85.296 155.5896
98.800003 85.234 155.5134
100.000000 85.176 155.4674
101.500000 85.108 155.4222
103.000000 85.039 155.3530
104.400002 84.973 155.2991
106.000000 84.899 155.2526
107.500000 84.832 155.2108
109.000000 84.766 155.1575
110.599998 84.694 155.1171
112.000000 84.631 155.1061
113.800003 84.553 155.1063
115.000000 84.502 155.0995
117.199997 84.407 155.0589
118.000000 84.372 155.0446
120.599998 84.261 155.0075
122.000000 84.204 155.0208
124.099998 84.124 155.0620
125.000000 84.087 155.0895
126.500000 84.027 155.1640
128.000000 83.970 155.2314
131.500000 83.841 155.2622
132.000000 83.822 155.2623
134.000000 83.745 155.2914
136.000000 83.667 155.3579
138.000000 83.587 155.4598
140.000000 83.509 155.5782
143.000000 83.405 155.7270
145.000000 83.339 155.8138
147.500000 83.255 155.9346
150.000000 83.165 156.0542
152.500000 83.075 156.2059
155.000000 82.989 156.3801
157.500000 82.905 156.5608
160.000000 82.819 156.7555
162.500000 82.734 156.9780
165.000000 82.651 157.2048
167.500000 82.571 157.4682
170.000000 82.499 157.7906
172.500000 82.427 158.1870
175.000000 82.360 158.6129
177.500000 82.305 158.9633
180.000000 82.266 159.2175
182.500000 82.235 159.4051
185.000000 82.200 159.5617
187.500000 82.157 159.7087
190.000000 82.110 159.8423
192.500000 82.057 159.9732
195.000000 82.002 160.1326
197.500000 81.946 160.3105
200.000000 81.888 160.5049
203.000000 81.813 160.7286
206.000000 81.740 160.9313
209.000000 81.679 161.1702
212.000000 81.622 161.4734
214.000000 81.580 161.6864
218.000000 81.499 162.0900
220.000000 81.463 162.2917
224.000000 81.390 162.6796
227.000000 81.337 162.9677
230.000000 81.289 163.2615
233.000000 81.239 163.5571
236.000000 81.188 163.8306
240.000000 81.126 164.1766
243.000000 81.082 164.4355
247.000000 81.022 164.7827
250.000000 80.976 165.0576
254.000000 80.914 165.4616
258.000000 80.851 165.8599
262.000000 80.787 166.2648
265.000000 80.742 166.5621
269.000000 80.687 166.9514
272.000000 80.646 167.2758
276.000000 80.598 167.7359
280.000000 80.555 168.1673
285.000000 80.500 168.6276
290.000000 80.438 169.0702
295.000000 80.357 169.4819
300.000000 80.322 169.9665
304.000000 80.296 170.3172
307.000000 80.266 170.5807
311.000000 80.222 170.9309
315.000000 80.179 171.3049
320.000000 80.125 171.7783
325.000000 80.073 172.2593
330.000000 80.026 172.7404
335.000000 79.980 173.2064
340.000000 79.934 173.6711
345.000000 79.890 174.1461
350.000000 79.848 174.6511
355.000000 79.807 175.1105
360.000000 79.766 175.5530
365.000000 79.732 175.9943
370.000000 79.698 176.4325
375.000000 79.659 176.9470
382.000000 79.612 177.7050
387.000000 79.579 178.1799
395.000000 79.532 178.9503
400.000000 79.504 179.4203
406.000000 79.470 179.9805
412.000000 79.440 -179.4749
418.000000 79.412 -178.9494
425.000000 79.379 -178.3226
431.000000 79.351 -177.7936
437.000000 79.318 -177.2881
444.000000 79.283 -176.6893
450.000000 79.264 -176.1330
455.000000 79.248 -175.6845
462.000000 79.219 -175.0957
468.000000 79.193 -174.5955
475.000000 79.165 -173.9728
482.000000 79.143 -173.3365
487.000000 79.130 -172.9038
494.000000 79.108 -172.3301
500.000000 79.088 -171.8314
508.000000 79.063 -171.1500
515.000000 79.044 -170.5565
522.000000 79.025 -169.9662
530.000000 79.003 -169.2940
538.000000 78.981 -168.6076
545.000000 78.960 -168.0176
552.000000 78.934 -167.4283
560.000000 78.896 -166.7318
570.000000 78.856 -165.7120
580.000000 78.845 -164.4642
590.000000 78.883 -163.3228
600.000000 78.933 -162.5190
608.000000 78.956 -161.9858
615.000000 78.964 -161.5267
622.000000 78.963 -161.0723
630.000000 78.958 -160.5277
640.000000 78.948 -159.7860
650.000000 78.936 -159.0301
660.000000 78.928 -158.2126
670.000000 78.926 -157.3668
680.000000 78.932 -156.5018
690.000000 78.942 -155.6526
700.000000 78.953 -154.8198
710.000000 78.969 -153.9911
720.000000 78.986 -153.1562
730.000000 79.003 -152.3097
740.000000 79.023 -151.4932
750.000000 79.049 -150.6757
762.000000 79.080 -149.6706
775.000000 79.114 -148.6107
788.000000 79.154 -147.5503
800.000000 79.198 -146.5738
812.000000 79.245 -145.5907
825.000000 79.301 -144.5318
838.000000 79.361 -143.4822
850.000000 79.419 -142.5358
862.000000 79.484 -141.5898
875.000000 79.558 -140.5774
885.000000 79.619 -139.8144
900.000000 79.717 -138.6864
912.000000 79.799 -137.7987
925.000000 79.892 -136.8651
938.000000 79.990 -135.9528
950.000000 80.085 -135.1271
962.000000 80.184 -134.3336
975.000000 80.295 -133.5128
988.000000 80.409 -132.7330
1000.000000 80.517 -132.0539
1015.000000 80.656 -131.2426
1030.000000 80.799 -130.4688
1044.000000 80.934 -129.7873
1060.000000 81.089 -129.0849
1075.000000 81.237 -128.4842
1090.000000 81.383 -127.9432
1106.000000 81.538 -127.4155
1120.000000 81.671 -126.9856
1138.000000 81.838 -126.4930
1150.000000 81.948 -126.1973
1172.000000 82.147 -125.7290
1180.000000 82.218 -125.5758
1206.000000 82.442 -125.1398
1220.000000 82.559 -124.9313
1241.000000 82.729 -124.6510
1250.000000 82.800 -124.5417
1265.000000 82.915 -124.3674
1280.000000 83.028 -124.2062
1315.000000 83.280 -123.8606
1320.000000 83.315 -123.8140
1340.000000 83.452 -123.6402
1360.000000 83.587 -123.4883
1380.000000 83.721 -123.3527
1400.000000 83.851 -123.2233
1430.000000 84.042 -123.0241
1450.000000 84.167 -122.9088
1475.000000 84.321 -122.7838
1500.000000 84.476 -122.6655
1525.000000 84.630 -122.5602
1550.000000 84.783 -122.4715
1575.000000 84.935 -122.4127
1600.000000 85.086 -122.3771
1625.000000 85.237 -122.3599
1650.000000 85.389 -122.3671
1675.000000 85.540 -122.4077
1700.000000 85.691 -122.4764
1725.000000 85.841 -122.5759
1750.000000 85.990 -122.7123
1775.000000 86.138 -122.8837
1800.000000 86.286 -123.0905
1825.000000 86.432 -123.3337
1850.000000 86.576 -123.6149
1875.000000 86.717 -123.9258
1900.000000 86.856 -124.2739
1925.000000 86.990 -124.6615
1950.000000 87.121 -125.0776
1975.000000 87.248 -125.5179
2000.000000 87.371 -125.9888
2030.000000 87.514 -126.5815
2060.000000 87.652 -127.1940
2090.000000 87.788 -127.8281
2120.000000 87.926 -128.5078
2140.000000 88.017 -129.0071
2180.000000 88.194 -130.1346
2200.000000 88.274 -130.7579
2240.000000 88.414 -132.0841
2270.000000 88.501 -133.1178
2300.000000 88.574 -134.1668
2330.000000 88.634 -135.2189
2360.000000 88.681 -136.2664
2400.000000 88.727 -137.6434
2430.000000 88.748 -138.6543
2470.000000 88.760 -139.9662
2500.000000 88.759 -140.9191
2540.000000 88.746 -142.1459
2580.000000 88.718 -143.3166
2620.000000 88.677 -144.4198
2650.000000 88.640 -145.2007
2690.000000 88.581 -146.1716
2720.000000 88.532 -146.8475
2760.000000 88.461 -147.6806
2800.000000 88.385 -148.4343
2850.000000 88.286 -149.2658
2900.000000 88.185 -149.9782
2950.000000 88.084 -150.5624
3000.000000 87.990 -151.0323
3040.000000 87.923 -151.3463
3070.000000 87.879 -151.5595
3110.000000 87.825 -151.8452
3150.000000 87.776 -152.1470
3200.000000 87.716 -152.5377
3250.000000 87.655 -152.9159
3300.000000 87.592 -153.2609
3350.000000 87.531 -153.5688
3400.000000 87.475 -153.8422
3450.000000 87.428 -154.0790
3500.000000 87.388 -154.3056
3550.000000 87.356 -154.5621
3600.000000 87.332 -154.8657
3650.000000 87.311 -155.2402
3700.000000 87.285 -155.6868
3750.000000 87.245 -156.1897
3820.000000 87.137 -156.7697
3870.000000 87.061 -156.6257
3950.000000 87.148 -156.3013
4000.000000 87.252 -156.9078
4060.000000 87.318 -158.1396
4120.000000 87.325 -159.4813
4180.000000 87.297 -160.8500
4250.000000 87.226 -162.4764
4310.000000 87.138 -163.8649
4370.000000 87.027 -165.2358
4440.000000 86.870 -166.7959
4500.000000 86.711 -168.0889
4550.000000 86.561 -169.1116
4620.000000 86.328 -170.4389
4680.000000 86.110 -171.4543
4750.000000 85.840 -172.4828
4820.000000 85.559 -173.3519
4870.000000 85.354 -173.8736
4940.000000 85.063 -174.4720
5000.000000 84.812 -174.8736
5080.000000 84.478 -175.2463
5150.000000 84.189 -175.4359
5220.000000 83.907 -175.5326
5300.000000 83.593 -175.5573
5380.000000 83.286 -175.5312
5450.000000 83.017 -175.4990
5520.000000 82.743 -175.4526
5600.000000 82.413 -175.3552
