* Measurement data measured by REW V5.30.5
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -17.0 dBFS with no timing reference
* Dated: 08/03/2024 10:45:39 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tangzu x HBB Wu Heyday L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 90.574 -166.9996
20.299999 90.561 -167.4645
20.600000 90.555 -167.9079
20.900000 90.557 -168.3604
21.200001 90.562 -168.8444
21.400000 90.565 -169.1872
21.799999 90.567 -169.9024
22.000000 90.563 -170.2600
22.400000 90.550 -170.9390
22.700001 90.539 -171.4010
23.000000 90.529 -171.8247
23.299999 90.525 -172.2256
23.600000 90.525 -172.6245
24.000000 90.529 -173.1857
24.299999 90.532 -173.6423
24.700001 90.527 -174.2940
25.000000 90.513 -174.7902
25.400000 90.478 -175.3965
25.799999 90.432 -175.8633
26.200001 90.395 -176.1698
26.500000 90.385 -176.3505
26.900000 90.398 -176.6711
27.200001 90.417 -177.0569
27.600000 90.424 -177.7743
28.000000 90.385 -178.5605
28.500000 90.281 -179.2475
29.000000 90.193 -179.4106
29.500000 90.188 -179.4065
30.000000 90.238 -179.7351
30.400000 90.265 179.7401
30.700001 90.266 179.3179
31.100000 90.255 178.8412
31.500000 90.257 178.4382
32.000000 90.277 177.8021
32.500000 90.261 176.9750
33.000000 90.174 176.3994
33.500000 90.096 176.4628
34.000000 90.133 176.7479
34.500000 90.257 176.3783
35.000000 90.317 175.1670
35.500000 90.221 173.8813
36.000000 90.039 173.3560
36.500000 89.921 173.5486
37.000000 89.913 173.6487
37.500000 89.913 173.1760
38.200001 89.777 172.3861
38.700001 89.660 172.4445
39.500000 89.660 172.8565
40.000000 89.722 172.5184
40.599998 89.733 171.6582
41.200001 89.675 170.9633
41.799999 89.623 170.6343
42.500000 89.603 170.3752
43.099998 89.599 170.1043
43.700001 89.595 169.8271
44.400002 89.594 169.4707
45.000000 89.584 169.0882
45.500000 89.560 168.7513
46.200001 89.503 168.3707
46.799999 89.451 168.1685
47.500000 89.403 167.9887
48.200001 89.368 167.7437
48.700001 89.343 167.5117
49.400002 89.303 167.1479
50.000000 89.266 166.8333
50.799999 89.218 166.4285
51.500000 89.178 166.0931
52.200001 89.139 165.7791
53.000000 89.095 165.4510
53.799999 89.051 165.1640
54.500000 89.013 164.9410
55.200001 88.977 164.7188
56.000000 88.933 164.4418
57.000000 88.871 164.0954
58.000000 88.808 163.7794
59.000000 88.750 163.4419
60.000000 88.691 163.1069
60.799999 88.646 162.8533
61.500000 88.609 162.6306
62.200001 88.570 162.4150
63.000000 88.524 162.1940
64.000000 88.469 161.9555
65.000000 88.419 161.7130
66.000000 88.367 161.4473
67.000000 88.314 161.1819
68.000000 88.260 160.8943
69.000000 88.199 160.6219
70.000000 88.139 160.4267
71.000000 88.088 160.2478
72.000000 88.037 160.0390
73.000000 87.981 159.8260
74.000000 87.923 159.6207
75.000000 87.865 159.4291
76.199997 87.797 159.1867
77.500000 87.723 158.9482
78.800003 87.660 158.7458
80.000000 87.606 158.5534
81.199997 87.552 158.3795
82.500000 87.492 158.2157
83.800003 87.422 158.0647
85.000000 87.355 157.9770
86.199997 87.291 157.8798
87.500000 87.223 157.7339
88.500000 87.171 157.5954
90.000000 87.094 157.3982
91.199997 87.036 157.2598
92.500000 86.973 157.1308
93.800003 86.910 157.0216
95.000000 86.850 156.9270
96.199997 86.787 156.8464
97.500000 86.722 156.7612
98.800003 86.660 156.6581
100.000000 86.604 156.5563
101.500000 86.534 156.4511
103.000000 86.465 156.3899
104.400002 86.402 156.3415
106.000000 86.326 156.2609
107.500000 86.250 156.1994
109.000000 86.177 156.1694
110.599998 86.107 156.1621
112.000000 86.050 156.1524
113.800003 85.973 156.1268
115.000000 85.918 156.1066
117.199997 85.813 156.0868
118.000000 85.775 156.0814
120.599998 85.654 156.0780
122.000000 85.589 156.1021
124.099998 85.492 156.1699
125.000000 85.449 156.1965
126.500000 85.371 156.2775
128.000000 85.293 156.4284
131.500000 85.125 156.9807
132.000000 85.104 157.0887
134.000000 85.035 157.5901
136.000000 85.003 158.1096
138.000000 85.003 158.4651
140.000000 85.011 158.5654
143.000000 84.991 158.3810
145.000000 84.951 158.2119
147.500000 84.883 158.0803
150.000000 84.806 158.0451
152.500000 84.726 158.0400
155.000000 84.646 158.0803
157.500000 84.571 158.1418
160.000000 84.499 158.2366
162.500000 84.426 158.3497
165.000000 84.351 158.4615
167.500000 84.277 158.5851
170.000000 84.207 158.7021
172.500000 84.138 158.8289
175.000000 84.071 158.9769
177.500000 84.006 159.1211
180.000000 83.937 159.2746
182.500000 83.870 159.4579
185.000000 83.806 159.6293
187.500000 83.742 159.8111
190.000000 83.681 160.0070
192.500000 83.620 160.1910
195.000000 83.561 160.3622
197.500000 83.502 160.5354
200.000000 83.443 160.7404
203.000000 83.373 161.0145
206.000000 83.306 161.2371
209.000000 83.241 161.4569
212.000000 83.180 161.7385
214.000000 83.140 161.9278
218.000000 83.056 162.2856
220.000000 83.017 162.4755
224.000000 82.944 162.8716
227.000000 82.889 163.1715
230.000000 82.830 163.4706
233.000000 82.772 163.7791
236.000000 82.720 164.0547
240.000000 82.654 164.3965
243.000000 82.606 164.6630
247.000000 82.544 165.0104
250.000000 82.498 165.2889
254.000000 82.436 165.6779
258.000000 82.378 166.0426
262.000000 82.314 166.4041
265.000000 82.261 166.7197
269.000000 82.196 167.1343
272.000000 82.153 167.4339
276.000000 82.096 167.8538
280.000000 82.037 168.2888
285.000000 81.966 168.8627
290.000000 81.903 169.5271
295.000000 81.854 170.2508
300.000000 81.819 170.9275
304.000000 81.799 171.4211
307.000000 81.788 171.7592
311.000000 81.776 172.1350
315.000000 81.762 172.4650
320.000000 81.739 172.8281
325.000000 81.707 173.1418
330.000000 81.668 173.4919
335.000000 81.631 173.8389
340.000000 81.590 174.2022
345.000000 81.547 174.5910
350.000000 81.504 175.0117
355.000000 81.466 175.4559
360.000000 81.432 175.8734
365.000000 81.395 176.2824
370.000000 81.354 176.7177
375.000000 81.314 177.1610
382.000000 81.266 177.7816
387.000000 81.236 178.2270
395.000000 81.186 178.9294
400.000000 81.156 179.3635
406.000000 81.124 179.8733
412.000000 81.091 -179.6024
418.000000 81.060 -179.0742
425.000000 81.028 -178.4721
431.000000 81.003 -177.9331
437.000000 80.976 -177.3503
444.000000 80.943 -176.7628
450.000000 80.919 -176.3008
455.000000 80.902 -175.8922
462.000000 80.878 -175.3070
468.000000 80.856 -174.8029
475.000000 80.833 -174.2244
482.000000 80.815 -173.6407
487.000000 80.804 -173.2193
494.000000 80.789 -172.6176
500.000000 80.775 -172.1070
508.000000 80.760 -171.4551
515.000000 80.751 -170.8825
522.000000 80.741 -170.2940
530.000000 80.720 -169.6456
538.000000 80.702 -169.0065
545.000000 80.691 -168.4706
552.000000 80.681 -167.9235
560.000000 80.671 -167.2775
570.000000 80.664 -166.4632
580.000000 80.660 -165.6649
590.000000 80.654 -164.8974
600.000000 80.650 -164.1304
608.000000 80.649 -163.4995
615.000000 80.651 -162.9516
622.000000 80.654 -162.4216
630.000000 80.655 -161.8255
640.000000 80.659 -161.0489
650.000000 80.666 -160.2724
660.000000 80.676 -159.5186
670.000000 80.689 -158.7609
680.000000 80.700 -158.0308
690.000000 80.712 -157.2896
700.000000 80.729 -156.5354
710.000000 80.746 -155.7902
720.000000 80.764 -155.0454
730.000000 80.787 -154.3070
740.000000 80.811 -153.5680
750.000000 80.836 -152.8403
762.000000 80.866 -151.9782
775.000000 80.905 -151.0453
788.000000 80.950 -150.1107
800.000000 80.994 -149.2566
812.000000 81.040 -148.3932
825.000000 81.094 -147.4779
838.000000 81.153 -146.5868
850.000000 81.212 -145.7699
862.000000 81.273 -144.9602
875.000000 81.342 -144.0942
885.000000 81.399 -143.4475
900.000000 81.488 -142.5016
912.000000 81.561 -141.7655
925.000000 81.645 -140.9832
938.000000 81.732 -140.2158
950.000000 81.815 -139.5321
962.000000 81.901 -138.8699
975.000000 81.996 -138.1800
988.000000 82.094 -137.5216
1000.000000 82.186 -136.9468
1015.000000 82.304 -136.2573
1030.000000 82.424 -135.6089
1044.000000 82.538 -135.0356
1060.000000 82.668 -134.4157
1075.000000 82.790 -133.8795
1090.000000 82.912 -133.3720
1106.000000 83.043 -132.8779
1120.000000 83.156 -132.4777
1138.000000 83.299 -132.0040
1150.000000 83.395 -131.7155
1172.000000 83.567 -131.2162
1180.000000 83.629 -131.0432
1206.000000 83.829 -130.5179
1220.000000 83.935 -130.2650
1241.000000 84.092 -129.9320
1250.000000 84.158 -129.8010
1265.000000 84.268 -129.5910
1280.000000 84.377 -129.3923
1315.000000 84.626 -128.9859
1320.000000 84.662 -128.9356
1340.000000 84.801 -128.7449
1360.000000 84.938 -128.5694
1380.000000 85.076 -128.4130
1400.000000 85.213 -128.2814
1430.000000 85.416 -128.1173
1450.000000 85.551 -128.0325
1475.000000 85.720 -127.9639
1500.000000 85.889 -127.9302
1525.000000 86.058 -127.9363
1550.000000 86.227 -127.9833
1575.000000 86.395 -128.0774
1600.000000 86.561 -128.2090
1625.000000 86.727 -128.3928
1650.000000 86.891 -128.6321
1675.000000 87.055 -128.9226
1700.000000 87.216 -129.2619
1725.000000 87.374 -129.6483
1750.000000 87.529 -130.0851
1775.000000 87.680 -130.5784
1800.000000 87.825 -131.1246
1825.000000 87.966 -131.7123
1850.000000 88.102 -132.3407
1875.000000 88.233 -133.0131
1900.000000 88.358 -133.7236
1925.000000 88.478 -134.4723
1950.000000 88.593 -135.2598
1975.000000 88.704 -136.0950
2000.000000 88.807 -136.9854
2030.000000 88.920 -138.1244
2060.000000 89.016 -139.3237
2090.000000 89.097 -140.5623
2120.000000 89.162 -141.8222
2140.000000 89.197 -142.6662
2180.000000 89.247 -144.3650
2200.000000 89.263 -145.2169
2240.000000 89.280 -146.9262
2270.000000 89.279 -148.2122
2300.000000 89.267 -149.5214
2330.000000 89.239 -150.8714
2360.000000 89.189 -152.2603
2400.000000 89.076 -154.1145
2430.000000 88.950 -155.4131
2470.000000 88.734 -156.8416
2500.000000 88.551 -157.5834
2540.000000 88.314 -158.0997
2580.000000 88.121 -158.2254
2620.000000 87.984 -158.2204
2650.000000 87.912 -158.2526
2690.000000 87.841 -158.4286
2720.000000 87.796 -158.6845
2760.000000 87.732 -159.1918
2800.000000 87.649 -159.8369
2850.000000 87.504 -160.6797
2900.000000 87.315 -161.3752
2950.000000 87.101 -161.7977
3000.000000 86.885 -161.8965
3040.000000 86.727 -161.7874
3070.000000 86.621 -161.6555
3110.000000 86.492 -161.4756
3150.000000 86.365 -161.3022
3200.000000 86.198 -160.9804
3250.000000 86.038 -160.4109
3300.000000 85.914 -159.6308
3350.000000 85.834 -158.8104
3400.000000 85.787 -158.0634
3450.000000 85.765 -157.4030
3500.000000 85.763 -156.8005
3550.000000 85.784 -156.2941
3600.000000 85.827 -155.9503
3650.000000 85.883 -155.8279
3700.000000 85.937 -155.9400
3750.000000 85.972 -156.2362
3820.000000 85.986 -156.7343
3870.000000 85.986 -157.0496
3950.000000 86.002 -157.5759
4000.000000 86.032 -158.0598
4060.000000 86.073 -158.9812
4120.000000 86.087 -160.3812
4180.000000 86.028 -162.2226
4250.000000 85.807 -164.6119
4310.000000 85.457 -166.3057
4370.000000 84.997 -166.9904
4440.000000 84.480 -166.0572
4500.000000 84.203 -164.3262
4550.000000 84.104 -162.9870
4620.000000 84.056 -161.8743
4680.000000 84.010 -161.4411
4750.000000 83.923 -161.1050
4820.000000 83.817 -160.7167
4870.000000 83.741 -160.3339
4940.000000 83.664 -159.6111
5000.000000 83.655 -158.9659
5080.000000 83.719 -158.5914
5150.000000 83.783 -159.0008
5220.000000 83.789 -159.9503
5300.000000 83.695 -161.3216
5380.000000 83.498 -162.6499
5450.000000 83.253 -163.5557
5520.000000 82.962 -164.0896
5600.000000 82.608 -164.2068
