* Measurement data measured by REW V5.30.5
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -19.0 dBFS with no timing reference
* Dated: 08/03/2024 10:49:32 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tangzu x HBB Wu Heyday R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 87.763 -164.8477
20.299999 87.758 -165.4008
20.600000 87.754 -165.9240
20.900000 87.755 -166.4308
21.200001 87.758 -166.9383
21.400000 87.761 -167.2829
21.799999 87.764 -167.9866
22.000000 87.763 -168.3395
22.400000 87.755 -169.0233
22.700001 87.747 -169.5009
23.000000 87.738 -169.9441
23.299999 87.732 -170.3616
23.600000 87.729 -170.7695
24.000000 87.727 -171.3243
24.299999 87.723 -171.7553
24.700001 87.713 -172.3339
25.000000 87.700 -172.7498
25.400000 87.678 -173.2548
25.799999 87.658 -173.7040
26.200001 87.646 -174.1328
26.500000 87.641 -174.4695
26.900000 87.634 -174.9593
27.200001 87.626 -175.3516
27.600000 87.608 -175.8773
28.000000 87.585 -176.3724
28.500000 87.559 -176.9406
29.000000 87.541 -177.5088
29.500000 87.524 -178.1317
30.000000 87.496 -178.7739
30.400000 87.463 -179.2320
30.700001 87.437 -179.5143
31.100000 87.410 -179.8123
31.500000 87.397 179.9331
32.000000 87.399 179.5690
32.500000 87.403 179.0901
33.000000 87.390 178.5590
33.500000 87.359 178.1153
34.000000 87.331 177.8208
34.500000 87.326 177.5680
35.000000 87.337 177.1725
35.500000 87.333 176.5836
36.000000 87.289 175.9604
36.500000 87.217 175.5218
37.000000 87.154 175.3148
37.500000 87.125 175.1640
38.200001 87.112 174.7055
38.700001 87.087 174.2328
39.500000 87.022 173.5528
40.000000 86.987 173.1841
40.599998 86.947 172.7152
41.200001 86.896 172.2858
41.799999 86.848 171.9935
42.500000 86.820 171.7139
43.099998 86.807 171.3864
43.700001 86.784 171.0167
44.400002 86.751 170.6385
45.000000 86.725 170.3372
45.500000 86.702 170.0782
46.200001 86.665 169.7258
46.799999 86.633 169.4292
47.500000 86.591 169.0566
48.200001 86.538 168.7255
48.700001 86.502 168.5602
49.400002 86.468 168.3545
50.000000 86.451 168.0889
50.799999 86.415 167.6066
51.500000 86.367 167.2050
52.200001 86.316 166.8747
53.000000 86.261 166.5172
53.799999 86.203 166.1645
54.500000 86.150 165.8913
55.200001 86.099 165.6420
56.000000 86.043 165.3782
57.000000 85.982 165.1020
58.000000 85.935 164.7856
59.000000 85.881 164.4320
60.000000 85.824 164.1423
60.799999 85.780 163.9335
61.500000 85.741 163.7626
62.200001 85.703 163.5902
63.000000 85.657 163.3770
64.000000 85.592 163.1378
65.000000 85.534 162.9382
66.000000 85.482 162.6885
67.000000 85.427 162.4583
68.000000 85.383 162.2741
69.000000 85.343 162.0302
70.000000 85.293 161.8179
71.000000 85.242 161.6164
72.000000 85.177 161.4443
73.000000 85.115 161.3380
74.000000 85.056 161.1429
75.000000 84.984 160.9078
76.199997 84.900 160.6505
77.500000 84.810 160.3961
78.800003 84.745 160.2698
80.000000 84.703 160.0575
81.199997 84.645 159.8955
82.500000 84.592 159.8523
83.800003 84.532 159.7140
85.000000 84.457 159.6153
86.199997 84.384 159.5779
87.500000 84.318 159.4788
88.500000 84.266 159.3184
90.000000 84.182 159.1763
91.199997 84.132 159.1056
92.500000 84.074 158.9383
93.800003 83.998 158.8480
95.000000 83.933 158.8540
96.199997 83.878 158.8122
97.500000 83.815 158.7055
98.800003 83.746 158.6034
100.000000 83.678 158.5695
101.500000 83.600 158.6332
103.000000 83.540 158.6697
104.400002 83.485 158.5767
106.000000 83.414 158.4489
107.500000 83.339 158.3547
109.000000 83.247 158.4374
110.599998 83.150 158.6456
112.000000 83.063 158.7643
113.800003 82.952 158.7366
115.000000 82.893 158.6640
117.199997 82.839 158.6341
118.000000 82.832 158.6771
120.599998 82.763 159.2568
122.000000 82.686 159.8902
124.099998 82.553 160.7165
125.000000 82.496 160.9629
126.500000 82.422 161.2668
128.000000 82.394 161.4886
131.500000 82.420 161.9000
132.000000 82.426 161.9818
134.000000 82.449 162.2169
136.000000 82.446 162.1437
138.000000 82.415 162.0929
140.000000 82.413 162.0435
143.000000 82.367 161.5738
145.000000 82.305 161.4294
147.500000 82.229 161.3571
150.000000 82.153 161.4077
152.500000 82.077 161.4212
155.000000 81.996 161.3584
157.500000 81.921 161.3641
160.000000 81.852 161.5266
162.500000 81.777 161.7070
165.000000 81.694 161.7874
167.500000 81.624 161.8643
170.000000 81.567 162.0402
172.500000 81.497 162.2864
175.000000 81.422 162.4820
177.500000 81.359 162.5947
180.000000 81.308 162.7895
182.500000 81.256 163.0629
185.000000 81.196 163.3317
187.500000 81.138 163.5680
190.000000 81.081 163.8067
192.500000 81.022 164.0388
195.000000 80.966 164.2296
197.500000 80.919 164.4254
200.000000 80.877 164.6900
203.000000 80.820 165.0464
206.000000 80.761 165.2910
209.000000 80.705 165.4904
212.000000 80.658 165.7347
214.000000 80.627 165.9275
218.000000 80.560 166.2829
220.000000 80.524 166.4793
224.000000 80.446 166.8246
227.000000 80.393 167.1678
230.000000 80.342 167.4532
233.000000 80.290 167.8082
236.000000 80.250 168.1132
240.000000 80.178 168.4425
243.000000 80.119 168.7861
247.000000 80.068 169.2296
250.000000 80.053 169.6300
254.000000 80.050 170.0489
258.000000 79.970 170.4261
262.000000 79.855 170.7327
265.000000 79.811 170.9432
269.000000 79.828 171.7924
272.000000 79.832 172.4018
276.000000 79.793 172.8326
280.000000 79.774 173.1693
285.000000 79.760 173.4437
290.000000 79.718 173.7078
295.000000 79.672 174.0617
300.000000 79.628 174.4408
304.000000 79.594 174.6975
307.000000 79.564 174.9197
311.000000 79.522 175.3705
315.000000 79.495 175.8742
320.000000 79.461 176.3763
325.000000 79.410 176.8300
330.000000 79.370 177.2665
335.000000 79.342 177.6682
340.000000 79.305 177.9793
345.000000 79.274 178.2517
350.000000 79.250 178.5120
355.000000 79.228 179.0840
360.000000 79.243 179.9211
365.000000 79.223 -179.4638
370.000000 79.120 -178.9657
375.000000 79.046 -178.6582
382.000000 79.051 -178.0866
387.000000 79.036 -177.6354
395.000000 79.005 -177.0787
400.000000 78.981 -176.6795
406.000000 78.957 -176.1584
412.000000 78.937 -175.6274
418.000000 78.915 -175.0946
425.000000 78.887 -174.5130
431.000000 78.863 -173.9976
437.000000 78.844 -173.4859
444.000000 78.825 -172.9128
450.000000 78.811 -172.4146
455.000000 78.801 -171.9983
462.000000 78.805 -171.5093
468.000000 78.858 -171.2578
475.000000 78.963 -171.2364
482.000000 78.867 -170.4238
487.000000 78.776 -169.5737
494.000000 78.741 -168.7398
500.000000 78.732 -168.2025
508.000000 78.708 -167.5526
515.000000 78.688 -167.0316
522.000000 78.679 -166.5386
530.000000 78.675 -165.9082
538.000000 78.676 -165.2954
545.000000 78.676 -164.7634
552.000000 78.672 -164.2148
560.000000 78.665 -163.5682
570.000000 78.662 -162.7486
580.000000 78.658 -161.9843
590.000000 78.652 -161.3004
600.000000 78.661 -160.6045
608.000000 78.673 -159.8974
615.000000 78.675 -159.3693
622.000000 78.679 -158.8686
630.000000 78.687 -158.2675
640.000000 78.697 -157.5095
650.000000 78.708 -156.7554
660.000000 78.720 -156.0104
670.000000 78.736 -155.2597
680.000000 78.755 -154.5081
690.000000 78.772 -153.7692
700.000000 78.788 -153.0255
710.000000 78.806 -152.2910
720.000000 78.830 -151.5691
730.000000 78.857 -150.8633
740.000000 78.887 -150.1466
750.000000 78.916 -149.4122
762.000000 78.950 -148.5163
775.000000 78.993 -147.5619
788.000000 79.041 -146.6483
800.000000 79.088 -145.7950
812.000000 79.142 -144.9454
825.000000 79.205 -144.0398
838.000000 79.274 -143.1548
850.000000 79.338 -142.3392
862.000000 79.395 -141.4885
875.000000 79.459 -140.5942
885.000000 79.517 -139.9444
900.000000 79.611 -139.0195
912.000000 79.687 -138.2789
925.000000 79.768 -137.4547
938.000000 79.856 -136.6569
950.000000 79.938 -136.0088
962.000000 80.029 -135.3832
975.000000 80.132 -134.6649
988.000000 80.234 -133.9833
1000.000000 80.329 -133.4053
1015.000000 80.449 -132.6984
1030.000000 80.565 -132.0108
1044.000000 80.670 -131.4289
1060.000000 80.808 -130.8019
1075.000000 80.942 -130.2403
1090.000000 81.070 -129.7205
1106.000000 81.203 -129.2106
1120.000000 81.320 -128.7728
1138.000000 81.471 -128.2711
1150.000000 81.574 -127.9617
1172.000000 81.754 -127.4087
1180.000000 81.817 -127.2580
1206.000000 82.015 -126.7815
1220.000000 82.117 -126.5201
1241.000000 82.270 -126.1679
1250.000000 82.335 -126.0243
1265.000000 82.444 -125.7929
1280.000000 82.552 -125.5769
1315.000000 82.797 -125.1394
1320.000000 82.831 -125.0806
1340.000000 82.968 -124.8519
1360.000000 83.103 -124.6330
1380.000000 83.237 -124.4349
1400.000000 83.370 -124.2534
1430.000000 83.568 -124.0110
1450.000000 83.700 -123.8705
1475.000000 83.864 -123.7208
1500.000000 84.027 -123.5830
1525.000000 84.190 -123.4838
1550.000000 84.354 -123.4140
1575.000000 84.516 -123.3853
1600.000000 84.678 -123.3915
1625.000000 84.839 -123.4329
1650.000000 84.999 -123.5162
1675.000000 85.158 -123.6390
1700.000000 85.316 -123.7963
1725.000000 85.473 -123.9867
1750.000000 85.629 -124.2248
1775.000000 85.782 -124.5052
1800.000000 85.933 -124.8298
1825.000000 86.081 -125.1937
1850.000000 86.226 -125.6027
1875.000000 86.366 -126.0622
1900.000000 86.502 -126.5645
1925.000000 86.634 -127.1025
1950.000000 86.760 -127.6775
1975.000000 86.880 -128.2896
2000.000000 86.994 -128.9342
2030.000000 87.121 -129.7401
2060.000000 87.242 -130.5724
2090.000000 87.357 -131.4443
2120.000000 87.465 -132.3616
2140.000000 87.532 -133.0014
2180.000000 87.651 -134.3439
2200.000000 87.702 -135.0355
2240.000000 87.788 -136.4547
2270.000000 87.837 -137.5435
2300.000000 87.874 -138.6380
2330.000000 87.899 -139.7243
2360.000000 87.911 -140.7961
2400.000000 87.910 -142.1978
2430.000000 87.896 -143.2248
2470.000000 87.863 -144.5488
2500.000000 87.827 -145.5052
2540.000000 87.767 -146.7377
2580.000000 87.693 -147.9163
2620.000000 87.604 -149.0333
2650.000000 87.527 -149.8254
2690.000000 87.409 -150.7968
2720.000000 87.312 -151.4479
2760.000000 87.174 -152.1878
2800.000000 87.036 -152.7762
2850.000000 86.869 -153.3566
2900.000000 86.714 -153.8631
2950.000000 86.560 -154.3651
3000.000000 86.392 -154.8692
3040.000000 86.239 -155.2379
3070.000000 86.110 -155.4465
3110.000000 85.918 -155.5412
3150.000000 85.719 -155.3230
3200.000000 85.496 -154.5803
3250.000000 85.342 -153.5191
3300.000000 85.263 -152.4612
3350.000000 85.231 -151.6081
3400.000000 85.218 -150.9750
3450.000000 85.209 -150.4753
3500.000000 85.199 -150.0539
3550.000000 85.192 -149.6583
3600.000000 85.192 -149.2861
3650.000000 85.201 -148.9614
3700.000000 85.217 -148.6988
3750.000000 85.236 -148.4955
3820.000000 85.264 -148.3160
3870.000000 85.285 -148.2366
3950.000000 85.323 -148.1621
4000.000000 85.353 -148.1611
4060.000000 85.393 -148.2459
4120.000000 85.434 -148.4629
4180.000000 85.464 -148.8040
4250.000000 85.477 -149.2860
4310.000000 85.470 -149.6727
4370.000000 85.455 -149.9635
4440.000000 85.450 -150.1779
4500.000000 85.471 -150.3557
4550.000000 85.509 -150.6052
4620.000000 85.575 -151.2083
4680.000000 85.628 -151.9707
4750.000000 85.669 -153.1276
4820.000000 85.674 -154.5171
4870.000000 85.651 -155.5974
4940.000000 85.580 -157.1480
5000.000000 85.490 -158.4761
5080.000000 85.335 -160.2633
5150.000000 85.162 -161.8642
5220.000000 84.941 -163.4688
5300.000000 84.628 -165.2159
5380.000000 84.250 -166.7864
5450.000000 83.863 -167.9867
5520.000000 83.410 -168.9709
