* Measurement data measured by REW V5.20.9
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 20/10/2022 4:13:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ernie Monarch L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.606	13.9996
20.299999	93.598	13.3746
20.600000	93.591	12.8037
20.900000	93.589	12.2792
21.200001	93.597	11.7693
21.400000	93.607	11.4142
21.799999	93.632	10.6471
22.000000	93.644	10.2339
22.400000	93.660	9.3757
22.700001	93.665	8.7440
23.000000	93.667	8.1519
23.299999	93.669	7.5991
23.600000	93.675	7.0684
24.000000	93.686	6.3612
24.299999	93.693	5.8156
24.700001	93.696	5.0786
25.000000	93.692	4.5433
25.400000	93.678	3.8841
25.799999	93.662	3.2969
26.200001	93.647	2.7644
26.500000	93.637	2.3859
26.900000	93.625	1.8969
27.200001	93.617	1.5370
27.600000	93.608	1.0594
28.000000	93.599	0.5706
28.500000	93.589	-0.0739
29.000000	93.572	-0.7454
29.500000	93.551	-1.4090
30.000000	93.530	-2.0466
30.400000	93.516	-2.5510
30.700001	93.507	-2.9368
31.100000	93.496	-3.4676
31.500000	93.483	-4.0116
32.000000	93.460	-4.6832
32.500000	93.433	-5.3022
33.000000	93.405	-5.8366
33.500000	93.386	-6.3078
34.000000	93.377	-6.7979
34.500000	93.365	-7.3722
35.000000	93.332	-7.9860
35.500000	93.274	-8.4966
36.000000	93.211	-8.8182
36.500000	93.162	-9.0253
37.000000	93.129	-9.2678
37.500000	93.093	-9.5850
38.200001	93.031	-9.9861
38.700001	93.001	-10.2151
39.500000	92.989	-10.8705
40.000000	92.967	-11.5438
40.599998	92.899	-12.3765
41.200001	92.814	-12.9959
41.799999	92.749	-13.4842
42.500000	92.696	-14.1327
43.099998	92.644	-14.7255
43.700001	92.595	-15.2274
44.400002	92.562	-15.7921
45.000000	92.540	-16.4047
45.500000	92.506	-16.9271
46.200001	92.455	-17.4346
46.799999	92.459	-17.7803
47.500000	92.500	-18.6851
48.200001	92.452	-20.1144
48.700001	92.331	-20.8951
49.400002	92.139	-21.0446
50.000000	92.067	-20.6591
50.799999	92.090	-20.5154
51.500000	92.102	-20.8903
52.200001	92.075	-21.3218
53.000000	92.024	-21.7271
53.799999	91.962	-22.0850
54.500000	91.902	-22.3607
55.200001	91.841	-22.6315
56.000000	91.772	-22.9501
57.000000	91.690	-23.4398
58.000000	91.593	-24.0204
59.000000	91.492	-24.4658
60.000000	91.410	-24.8752
60.799999	91.346	-25.1730
61.500000	91.299	-25.3854
62.200001	91.262	-25.6400
63.000000	91.210	-26.0267
64.000000	91.115	-26.4807
65.000000	91.006	-26.7477
66.000000	90.915	-26.9224
67.000000	90.841	-27.1993
68.000000	90.760	-27.6024
69.000000	90.667	-27.9922
70.000000	90.573	-28.2776
71.000000	90.495	-28.4822
72.000000	90.431	-28.7323
73.000000	90.359	-29.0214
74.000000	90.281	-29.2638
75.000000	90.201	-29.4919
76.199997	90.097	-29.7552
77.500000	89.980	-29.9794
78.800003	89.868	-30.1677
80.000000	89.778	-30.3745
81.199997	89.683	-30.6857
82.500000	89.571	-30.9083
83.800003	89.481	-31.0674
85.000000	89.399	-31.2279
86.199997	89.314	-31.3029
87.500000	89.226	-31.3205
88.500000	89.159	-31.3395
90.000000	89.051	-31.4369
91.199997	88.959	-31.5790
92.500000	88.859	-31.7641
93.800003	88.773	-31.9144
95.000000	88.714	-31.9961
96.199997	88.674	-32.0000
97.500000	88.646	-32.0081
98.800003	88.595	-32.0778
100.000000	88.503	-32.1384
101.500000	88.331	-31.9849
103.000000	88.170	-31.6716
104.400002	88.045	-31.5182
106.000000	87.933	-31.4833
107.500000	87.852	-31.5050
109.000000	87.779	-31.4822
110.599998	87.698	-31.3939
112.000000	87.612	-31.2836
113.800003	87.491	-31.0658
115.000000	87.418	-30.9349
117.199997	87.296	-30.7614
118.000000	87.254	-30.6983
120.599998	87.121	-30.4584
122.000000	87.046	-30.3042
124.099998	86.938	-30.0710
125.000000	86.892	-29.9751
126.500000	86.819	-29.8038
128.000000	86.749	-29.6072
131.500000	86.591	-29.0698
132.000000	86.569	-28.9885
134.000000	86.480	-28.6858
136.000000	86.387	-28.3927
138.000000	86.300	-28.0627
140.000000	86.218	-27.7043
143.000000	86.088	-27.1524
145.000000	85.986	-26.7585
147.500000	85.876	-26.1667
150.000000	85.812	-25.7441
152.500000	85.745	-25.4227
155.000000	85.665	-24.9644
157.500000	85.587	-24.3923
160.000000	85.518	-23.8058
162.500000	85.455	-23.2186
165.000000	85.402	-22.5991
167.500000	85.367	-21.9932
170.000000	85.342	-21.4540
172.500000	85.325	-20.9873
175.000000	85.311	-20.6128
177.500000	85.292	-20.3097
180.000000	85.262	-20.0272
182.500000	85.227	-19.7332
185.000000	85.195	-19.4341
187.500000	85.163	-19.1365
190.000000	85.127	-18.8136
192.500000	85.090	-18.4651
195.000000	85.055	-18.1238
197.500000	85.018	-17.7983
200.000000	84.983	-17.4701
203.000000	84.945	-17.0790
206.000000	84.911	-16.6700
209.000000	84.881	-16.2452
212.000000	84.850	-15.8146
214.000000	84.830	-15.5261
218.000000	84.795	-14.9612
220.000000	84.780	-14.6898
224.000000	84.752	-14.1539
227.000000	84.735	-13.7620
230.000000	84.721	-13.3838
233.000000	84.708	-13.0093
236.000000	84.696	-12.6350
240.000000	84.680	-12.1497
243.000000	84.668	-11.7982
247.000000	84.654	-11.3582
250.000000	84.648	-11.0433
254.000000	84.641	-10.6226
258.000000	84.634	-10.2085
262.000000	84.630	-9.8135
265.000000	84.627	-9.5180
269.000000	84.622	-9.1198
272.000000	84.619	-8.8297
276.000000	84.615	-8.4622
280.000000	84.613	-8.1117
285.000000	84.612	-7.6863
290.000000	84.610	-7.2698
295.000000	84.608	-6.8705
300.000000	84.606	-6.5134
304.000000	84.606	-6.2394
307.000000	84.606	-6.0292
311.000000	84.607	-5.7521
315.000000	84.608	-5.4728
320.000000	84.610	-5.1089
325.000000	84.612	-4.7501
330.000000	84.614	-4.4246
335.000000	84.618	-4.1212
340.000000	84.622	-3.8190
345.000000	84.626	-3.5209
350.000000	84.629	-3.2241
355.000000	84.630	-2.9283
360.000000	84.631	-2.6490
365.000000	84.633	-2.3789
370.000000	84.636	-2.1057
375.000000	84.640	-1.8352
382.000000	84.648	-1.4569
387.000000	84.654	-1.1856
395.000000	84.667	-0.7777
400.000000	84.676	-0.5587
406.000000	84.686	-0.3156
412.000000	84.690	-0.0823
418.000000	84.691	0.1478
425.000000	84.691	0.4226
431.000000	84.692	0.6575
437.000000	84.693	0.8966
444.000000	84.693	1.1808
450.000000	84.692	1.4232
455.000000	84.691	1.6224
462.000000	84.688	1.8998
468.000000	84.687	2.1449
475.000000	84.688	2.4261
482.000000	84.690	2.7040
487.000000	84.691	2.9008
494.000000	84.691	3.1741
500.000000	84.691	3.4015
508.000000	84.692	3.6910
515.000000	84.692	3.9552
522.000000	84.691	4.2281
530.000000	84.688	4.5285
538.000000	84.683	4.8153
545.000000	84.679	5.0669
552.000000	84.675	5.3213
560.000000	84.670	5.6158
570.000000	84.661	6.0026
580.000000	84.651	6.4078
590.000000	84.641	6.8140
600.000000	84.631	7.2268
608.000000	84.623	7.5751
615.000000	84.615	7.8873
622.000000	84.608	8.2039
630.000000	84.601	8.5812
640.000000	84.594	9.0725
650.000000	84.586	9.5640
660.000000	84.581	10.0637
670.000000	84.578	10.5760
680.000000	84.576	11.1009
690.000000	84.575	11.6440
700.000000	84.574	12.1981
710.000000	84.574	12.7617
720.000000	84.578	13.3435
730.000000	84.584	13.9415
740.000000	84.591	14.5607
750.000000	84.602	15.1987
762.000000	84.621	15.9909
775.000000	84.649	16.8606
788.000000	84.687	17.7495
800.000000	84.731	18.5782
812.000000	84.786	19.4169
825.000000	84.859	20.3140
838.000000	84.946	21.1713
850.000000	85.040	21.9056
862.000000	85.144	22.5555
875.000000	85.261	23.1122
885.000000	85.349	23.4371
900.000000	85.467	23.8173
912.000000	85.548	24.0688
925.000000	85.621	24.3308
938.000000	85.682	24.6202
950.000000	85.735	24.9371
962.000000	85.788	25.3032
975.000000	85.847	25.7354
988.000000	85.910	26.1890
1000.000000	85.971	26.6208
1015.000000	86.056	27.1633
1030.000000	86.148	27.6829
1044.000000	86.241	28.1381
1060.000000	86.351	28.6207
1075.000000	86.459	29.0311
1090.000000	86.566	29.4020
1106.000000	86.681	29.7534
1120.000000	86.782	30.0225
1138.000000	86.912	30.3178
1150.000000	86.997	30.4856
1172.000000	87.150	30.7402
1180.000000	87.204	30.8184
1206.000000	87.373	31.0255
1220.000000	87.461	31.1122
1241.000000	87.588	31.2091
1250.000000	87.640	31.2395
1265.000000	87.725	31.2819
1280.000000	87.807	31.3237
1315.000000	87.985	31.4006
1320.000000	88.010	31.4080
1340.000000	88.105	31.4467
1360.000000	88.196	31.5062
1380.000000	88.284	31.5594
1400.000000	88.370	31.6011
1430.000000	88.494	31.7039
1450.000000	88.574	31.7844
1475.000000	88.674	31.8830
1500.000000	88.775	31.9986
1525.000000	88.873	32.1316
1550.000000	88.974	32.2883
1575.000000	89.079	32.4270
1600.000000	89.185	32.5567
1625.000000	89.292	32.7089
1650.000000	89.397	32.8523
1675.000000	89.505	32.9726
1700.000000	89.616	33.0935
1725.000000	89.729	33.2080
1750.000000	89.845	33.3073
1775.000000	89.965	33.3879
1800.000000	90.085	33.4554
1825.000000	90.207	33.5072
1850.000000	90.331	33.5329
1875.000000	90.456	33.5351
1900.000000	90.584	33.5154
1925.000000	90.714	33.4628
1950.000000	90.846	33.3763
1975.000000	90.979	33.2505
2000.000000	91.111	33.0939
2030.000000	91.266	32.8781
2060.000000	91.417	32.6157
2090.000000	91.567	32.3080
2120.000000	91.715	31.9858
2140.000000	91.814	31.7617
2180.000000	92.015	31.3057
2200.000000	92.120	31.0844
2240.000000	92.346	30.5930
2270.000000	92.535	30.0715
2300.000000	92.730	29.3308
2330.000000	92.914	28.3575
2360.000000	93.071	27.1995
2400.000000	93.233	25.5223
2430.000000	93.322	24.2557
2470.000000	93.405	22.5946
2500.000000	93.448	21.3925
2540.000000	93.481	19.8757
2580.000000	93.492	18.4681
2620.000000	93.487	17.1795
