* Measurement data measured by REW V5.20.9
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 20/10/2022 4:13:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ernie Monarch R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.406	15.9099
20.299999	93.443	15.5215
20.600000	93.491	15.0101
20.900000	93.537	14.3580
21.200001	93.571	13.6067
21.400000	93.586	13.0909
21.799999	93.598	12.0782
22.000000	93.599	11.5992
22.400000	93.598	10.6971
22.700001	93.596	10.0492
23.000000	93.592	9.4133
23.299999	93.585	8.7980
23.600000	93.575	8.2171
24.000000	93.560	7.5109
24.299999	93.550	7.0279
24.700001	93.542	6.4220
25.000000	93.538	5.9788
25.400000	93.535	5.3947
25.799999	93.532	4.8208
26.200001	93.532	4.2485
26.500000	93.532	3.8041
26.900000	93.530	3.1750
27.200001	93.523	2.6828
27.600000	93.503	2.0366
28.000000	93.474	1.4570
28.500000	93.442	0.8478
29.000000	93.429	0.2649
29.500000	93.427	-0.4247
30.000000	93.416	-1.2335
30.400000	93.392	-1.8856
30.700001	93.368	-2.3341
31.100000	93.334	-2.8601
31.500000	93.306	-3.3264
32.000000	93.281	-3.8847
32.500000	93.260	-4.4468
33.000000	93.239	-4.9935
33.500000	93.220	-5.5115
34.000000	93.205	-6.0251
34.500000	93.188	-6.5596
35.000000	93.164	-7.0997
35.500000	93.131	-7.6049
36.000000	93.097	-8.0567
36.500000	93.064	-8.4744
37.000000	93.035	-8.8907
37.500000	93.008	-9.3271
38.200001	92.973	-9.9988
38.700001	92.944	-10.5348
39.500000	92.884	-11.4479
40.000000	92.838	-11.9904
40.599998	92.782	-12.5724
41.200001	92.734	-13.1062
41.799999	92.693	-13.6328
42.500000	92.650	-14.2378
43.099998	92.617	-14.7422
43.700001	92.584	-15.2662
44.400002	92.529	-15.8842
45.000000	92.464	-16.3064
45.500000	92.408	-16.5358
46.200001	92.344	-16.7717
46.799999	92.292	-16.9944
47.500000	92.225	-17.1942
48.200001	92.178	-17.2940
48.700001	92.168	-17.4666
49.400002	92.153	-18.0500
50.000000	92.101	-18.7097
50.799999	91.993	-19.3801
51.500000	91.918	-19.7810
52.200001	91.865	-20.2490
53.000000	91.802	-20.8727
53.799999	91.733	-21.4437
54.500000	91.675	-21.8788
55.200001	91.619	-22.2523
56.000000	91.562	-22.6194
57.000000	91.496	-23.0849
58.000000	91.416	-23.5527
59.000000	91.327	-23.9436
60.000000	91.243	-24.3000
60.799999	91.179	-24.6447
61.500000	91.115	-24.9744
62.200001	91.046	-25.2590
63.000000	90.975	-25.5213
64.000000	90.901	-25.8820
65.000000	90.823	-26.2758
66.000000	90.746	-26.6166
67.000000	90.672	-26.9822
68.000000	90.587	-27.3544
69.000000	90.495	-27.6244
70.000000	90.414	-27.8434
71.000000	90.337	-28.0952
72.000000	90.256	-28.3564
73.000000	90.172	-28.5894
74.000000	90.088	-28.7985
75.000000	90.005	-29.0069
76.199997	89.900	-29.2434
77.500000	89.789	-29.4234
78.800003	89.694	-29.5996
80.000000	89.607	-29.8294
81.199997	89.510	-30.0461
82.500000	89.402	-30.2322
83.800003	89.297	-30.4086
85.000000	89.200	-30.5740
86.199997	89.103	-30.7052
87.500000	89.005	-30.7638
88.500000	88.935	-30.7935
90.000000	88.824	-30.8245
91.199997	88.729	-30.8427
92.500000	88.622	-30.8827
93.800003	88.524	-30.9620
95.000000	88.452	-31.0957
96.199997	88.403	-31.2606
97.500000	88.368	-31.4722
98.800003	88.333	-31.7023
100.000000	88.251	-31.8781
101.500000	88.091	-31.4916
103.000000	87.974	-30.9130
104.400002	87.871	-30.6707
106.000000	87.757	-30.5701
107.500000	87.669	-30.5705
109.000000	87.590	-30.5558
110.599998	87.501	-30.3785
112.000000	87.425	-30.1238
113.800003	87.322	-29.8713
