* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 01/11/2023 1:01:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ThieAudio Monarch MKIII L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.318	9.2305
20.299999	100.321	8.7017
20.600000	100.319	8.1772
20.900000	100.313	7.6738
21.200001	100.304	7.2086
21.400000	100.297	6.9235
21.799999	100.288	6.4019
22.000000	100.286	6.1552
22.400000	100.288	5.6592
22.700001	100.294	5.2638
23.000000	100.300	4.8386
23.299999	100.302	4.3912
23.600000	100.300	3.9365
24.000000	100.290	3.3457
24.299999	100.279	2.9307
24.700001	100.264	2.4200
25.000000	100.255	2.0612
25.400000	100.247	1.5961
25.799999	100.242	1.1242
26.200001	100.238	0.6328
26.500000	100.234	0.2532
26.900000	100.225	-0.2563
27.200001	100.215	-0.6285
27.600000	100.199	-1.0953
28.000000	100.183	-1.5211
28.500000	100.169	-2.0126
29.000000	100.162	-2.5093
29.500000	100.157	-3.0510
30.000000	100.146	-3.6255
30.400000	100.129	-4.0720
30.700001	100.114	-4.3829
31.100000	100.094	-4.7618
31.500000	100.076	-5.1146
32.000000	100.059	-5.5536
32.500000	100.041	-6.0103
33.000000	100.021	-6.4728
33.500000	99.997	-6.9196
34.000000	99.974	-7.3464
34.500000	99.951	-7.7656
35.000000	99.930	-8.1865
35.500000	99.908	-8.6098
36.000000	99.885	-9.0312
36.500000	99.863	-9.4476
37.000000	99.841	-9.8588
37.500000	99.820	-10.2655
38.200001	99.790	-10.8269
38.700001	99.770	-11.2188
39.500000	99.737	-11.8328
40.000000	99.717	-12.2120
40.599998	99.689	-12.6517
41.200001	99.659	-13.0607
41.799999	99.629	-13.4514
42.500000	99.591	-13.9019
43.099998	99.555	-14.2584
43.700001	99.521	-14.5893
44.400002	99.485	-15.0118
45.000000	99.450	-15.4086
45.500000	99.420	-15.7258
46.200001	99.389	-16.2249
46.799999	99.358	-16.8394
47.500000	99.270	-17.5938
48.200001	99.152	-17.8989
48.700001	99.103	-17.8414
49.400002	99.111	-17.8749
50.000000	99.132	-18.2676
50.799999	99.113	-18.9507
51.500000	99.079	-19.3695
52.200001	99.057	-19.7371
53.000000	99.026	-20.1991
53.799999	98.983	-20.5956
54.500000	98.947	-20.9032
55.200001	98.908	-21.2191
56.000000	98.858	-21.5659
57.000000	98.794	-21.9741
58.000000	98.731	-22.4000
59.000000	98.667	-22.8336
60.000000	98.607	-23.2555
60.799999	98.559	-23.6147
61.500000	98.514	-23.9279
62.200001	98.468	-24.2062
63.000000	98.420	-24.5059
64.000000	98.362	-24.9124
65.000000	98.301	-25.3313
66.000000	98.237	-25.7566
67.000000	98.168	-26.1610
68.000000	98.102	-26.5081
69.000000	98.041	-26.8360
70.000000	97.983	-27.1614
71.000000	97.924	-27.4735
72.000000	97.864	-27.7708
73.000000	97.803	-28.0606
74.000000	97.741	-28.3502
75.000000	97.676	-28.6377
76.199997	97.596	-28.9716
77.500000	97.508	-29.3176
78.800003	97.422	-29.6472
80.000000	97.343	-29.9440
81.199997	97.264	-30.2312
82.500000	97.179	-30.5212
83.800003	97.097	-30.8007
85.000000	97.021	-31.0529
86.199997	96.946	-31.3024
87.500000	96.862	-31.5696
88.500000	96.794	-31.7577
90.000000	96.694	-32.0016
91.199997	96.617	-32.1833
92.500000	96.535	-32.3733
93.800003	96.454	-32.5624
95.000000	96.376	-32.7244
96.199997	96.295	-32.8259
97.500000	96.215	-32.9113
98.800003	96.135	-33.0502
100.000000	96.053	-33.2225
101.500000	95.936	-33.4194
103.000000	95.816	-33.5340
104.400002	95.711	-33.6134
106.000000	95.595	-33.7063
107.500000	95.484	-33.7736
109.000000	95.369	-33.7981
110.599998	95.240	-33.7392
112.000000	95.124	-33.6156
113.800003	94.968	-33.3391
115.000000	94.864	-33.0623
117.199997	94.683	-32.3423
118.000000	94.624	-31.9951
120.599998	94.496	-30.5393
122.000000	94.488	-29.6691
124.099998	94.558	-28.6069
125.000000	94.607	-28.3310
126.500000	94.694	-28.1678
128.000000	94.764	-28.3259
131.500000	94.807	-29.2769
132.000000	94.800	-29.4243
134.000000	94.753	-29.9614
136.000000	94.682	-30.3914
138.000000	94.597	-30.7021
140.000000	94.509	-30.9073
143.000000	94.377	-31.0744
145.000000	94.291	-31.1141
147.500000	94.185	-31.1107
150.000000	94.080	-31.0576
152.500000	93.979	-30.9818
155.000000	93.880	-30.8636
157.500000	93.788	-30.7047
160.000000	93.702	-30.5251
162.500000	93.621	-30.3287
165.000000	93.545	-30.1302
167.500000	93.472	-29.9219
170.000000	93.401	-29.7095
172.500000	93.333	-29.5151
175.000000	93.267	-29.3303
177.500000	93.203	-29.1433
180.000000	93.139	-28.9626
182.500000	93.077	-28.7759
185.000000	93.016	-28.5732
187.500000	92.957	-28.3644
190.000000	92.898	-28.1548
192.500000	92.840	-27.9456
195.000000	92.782	-27.7327
197.500000	92.724	-27.5173
200.000000	92.665	-27.2994
203.000000	92.595	-27.0297
206.000000	92.525	-26.7473
209.000000	92.455	-26.4446
212.000000	92.385	-26.1046
214.000000	92.338	-25.8520
218.000000	92.245	-25.2810
220.000000	92.199	-24.9536
224.000000	92.115	-24.1594
227.000000	92.065	-23.4320
230.000000	92.041	-22.6225
233.000000	92.057	-21.8057
236.000000	92.113	-21.1221
240.000000	92.219	-20.6232
243.000000	92.293	-20.5811
247.000000	92.346	-20.8062
250.000000	92.352	-21.0360
254.000000	92.335	-21.2756
258.000000	92.297	-21.4027
262.000000	92.251	-21.4355
265.000000	92.217	-21.4039
269.000000	92.171	-21.3220
272.000000	92.138	-21.2543
276.000000	92.096	-21.1405
280.000000	92.057	-20.9952
285.000000	92.010	-20.7949
290.000000	91.963	-20.5740
295.000000	91.921	-20.3434
300.000000	91.882	-20.1091
304.000000	91.851	-19.9268
307.000000	91.829	-19.7954
311.000000	91.802	-19.6269
315.000000	91.775	-19.4597
320.000000	91.743	-19.2383
325.000000	91.714	-19.0027
330.000000	91.684	-18.7806
335.000000	91.652	-18.5792
340.000000	91.622	-18.3815
345.000000	91.594	-18.1814
350.000000	91.567	-17.9830
355.000000	91.541	-17.7899
360.000000	91.516	-17.5894
365.000000	91.491	-17.3893
370.000000	91.467	-17.2019
375.000000	91.443	-17.0161
382.000000	91.409	-16.7585
387.000000	91.386	-16.5746
395.000000	91.349	-16.2711
400.000000	91.327	-16.0840
406.000000	91.301	-15.8678
412.000000	91.276	-15.6549
418.000000	91.252	-15.4432
425.000000	91.224	-15.1998
431.000000	91.200	-14.9896
437.000000	91.177	-14.7733
444.000000	91.151	-14.5256
450.000000	91.128	-14.3107
455.000000	91.109	-14.1283
462.000000	91.082	-13.8799
468.000000	91.059	-13.6771
475.000000	91.033	-13.4376
482.000000	91.006	-13.1917
487.000000	90.985	-12.9955
494.000000	90.961	-12.6700
500.000000	90.948	-12.3933
508.000000	90.938	-12.0988
515.000000	90.927	-11.9045
522.000000	90.907	-11.7224
530.000000	90.880	-11.4662
538.000000	90.854	-11.1818
545.000000	90.832	-10.9280
552.000000	90.812	-10.6672
560.000000	90.789	-10.3641
570.000000	90.765	-9.9910
580.000000	90.739	-9.6121
590.000000	90.716	-9.2261
600.000000	90.694	-8.8362
608.000000	90.678	-8.5196
615.000000	90.665	-8.2397
622.000000	90.652	-7.9598
630.000000	90.636	-7.6432
640.000000	90.620	-7.2391
650.000000	90.606	-6.8239
660.000000	90.591	-6.4050
670.000000	90.579	-5.9813
680.000000	90.568	-5.5574
690.000000	90.559	-5.1283
700.000000	90.550	-4.6847
710.000000	90.543	-4.2372
720.000000	90.537	-3.7881
730.000000	90.534	-3.3273
740.000000	90.533	-2.8632
750.000000	90.532	-2.3953
762.000000	90.536	-1.8153
775.000000	90.543	-1.1763
788.000000	90.554	-0.5354
800.000000	90.568	0.0567
812.000000	90.586	0.6578
825.000000	90.609	1.3303
838.000000	90.637	2.0029
850.000000	90.667	2.6167
