* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 01/11/2023 1:02:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ThieAudio Monarch MKIII R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.561	8.4699
20.299999	100.563	7.9830
20.600000	100.567	7.4927
20.900000	100.569	6.9899
21.200001	100.568	6.4775
21.400000	100.565	6.1387
21.799999	100.553	5.4856
22.000000	100.544	5.1789
22.400000	100.527	4.6130
22.700001	100.516	4.2235
23.000000	100.508	3.8506
23.299999	100.502	3.4808
23.600000	100.499	3.1064
24.000000	100.495	2.5959
24.299999	100.492	2.2087
24.700001	100.487	1.6957
25.000000	100.483	1.3167
25.400000	100.478	0.8159
25.799999	100.473	0.3112
26.200001	100.466	-0.2017
26.500000	100.459	-0.5867
26.900000	100.447	-1.0877
27.200001	100.436	-1.4465
27.600000	100.420	-1.8998
28.000000	100.406	-2.3345
28.500000	100.390	-2.8724
29.000000	100.373	-3.4081
29.500000	100.353	-3.9225
30.000000	100.334	-4.4058
30.400000	100.322	-4.7843
30.700001	100.314	-5.0735
31.100000	100.303	-5.4696
31.500000	100.290	-5.8680
32.000000	100.271	-6.3469
32.500000	100.254	-6.8004
33.000000	100.240	-7.2571
33.500000	100.225	-7.7387
34.000000	100.204	-8.2260
34.500000	100.178	-8.6799
35.000000	100.153	-9.0938
35.500000	100.131	-9.5029
36.000000	100.109	-9.9381
36.500000	100.081	-10.3863
37.000000	100.047	-10.8059
37.500000	100.013	-11.1807
38.200001	99.975	-11.6944
38.700001	99.952	-12.1047
39.500000	99.905	-12.7947
40.000000	99.873	-13.1851
40.599998	99.843	-13.6169
41.200001	99.820	-14.0713
41.799999	99.797	-14.5486
42.500000	99.767	-15.0540
43.099998	99.746	-15.4437
43.700001	99.726	-15.8472
44.400002	99.692	-16.2882
45.000000	99.660	-16.5789
45.500000	99.638	-16.8165
46.200001	99.596	-17.2135
46.799999	99.533	-17.4553
47.500000	99.475	-17.4280
48.200001	99.486	-17.4616
48.700001	99.510	-17.8303
49.400002	99.490	-18.7234
50.000000	99.415	-19.4009
50.799999	99.312	-19.9299
51.500000	99.254	-20.3306
52.200001	99.203	-20.7980
53.000000	99.146	-21.2886
53.799999	99.103	-21.7520
54.500000	99.065	-22.1732
55.200001	99.023	-22.5563
56.000000	98.975	-22.9304
57.000000	98.916	-23.3665
58.000000	98.852	-23.7859
59.000000	98.786	-24.2074
60.000000	98.716	-24.6542
60.799999	98.658	-25.0134
61.500000	98.607	-25.3197
62.200001	98.557	-25.6147
63.000000	98.502	-25.9299
64.000000	98.438	-26.2998
65.000000	98.377	-26.6663
66.000000	98.312	-27.0222
67.000000	98.244	-27.3682
68.000000	98.171	-27.6871
69.000000	98.102	-27.9926
70.000000	98.034	-28.3176
71.000000	97.964	-28.6368
72.000000	97.897	-28.9370
73.000000	97.832	-29.2112
74.000000	97.770	-29.4639
75.000000	97.711	-29.7286
76.199997	97.637	-30.0690
77.500000	97.548	-30.4454
78.800003	97.456	-30.7976
80.000000	97.370	-31.1210
81.199997	97.282	-31.4091
82.500000	97.194	-31.6910
83.800003	97.107	-31.9788
85.000000	97.022	-32.2465
86.199997	96.932	-32.4860
87.500000	96.835	-32.7190
88.500000	96.762	-32.8944
90.000000	96.655	-33.1522
91.199997	96.567	-33.3416
92.500000	96.471	-33.5004
93.800003	96.375	-33.6385
95.000000	96.283	-33.7626
96.199997	96.188	-33.8883
97.500000	96.081	-34.0433
98.800003	95.965	-34.1708
100.000000	95.862	-34.1649
101.500000	95.761	-34.1099
103.000000	95.665	-34.1260
104.400002	95.562	-34.0811
106.000000	95.442	-33.9194
107.500000	95.327	-33.7202
109.000000	95.212	-33.4531
110.599998	95.100	-33.0609
112.000000	95.018	-32.6404
113.800003	94.938	-32.0333
115.000000	94.902	-31.6129
117.199997	94.875	-30.9353
118.000000	94.876	-30.7498
120.599998	94.897	-30.4260
122.000000	94.910	-30.4222
124.099998	94.911	-30.6149
125.000000	94.902	-30.7523
126.500000	94.872	-31.0131
128.000000	94.830	-31.2739
131.500000	94.706	-31.7758
132.000000	94.686	-31.8328
134.000000	94.599	-32.0130
136.000000	94.506	-32.1173
138.000000	94.413	-32.1880
140.000000	94.320	-32.2394
143.000000	94.181	-32.2311
145.000000	94.091	-32.1725
147.500000	93.982	-32.0562
150.000000	93.876	-31.9072
152.500000	93.773	-31.7504
155.000000	93.671	-31.5735
157.500000	93.573	-31.3765
160.000000	93.477	-31.1620
162.500000	93.385	-30.9217
165.000000	93.298	-30.6703
167.500000	93.215	-30.4120
170.000000	93.135	-30.1380
172.500000	93.058	-29.8591
175.000000	92.983	-29.5864
177.500000	92.908	-29.3115
180.000000	92.835	-29.0248
182.500000	92.764	-28.7347
185.000000	92.692	-28.4443
187.500000	92.621	-28.1428
190.000000	92.551	-27.8260
192.500000	92.482	-27.4962
195.000000	92.413	-27.1500
197.500000	92.344	-26.7793
200.000000	92.276	-26.3822
203.000000	92.194	-25.8655
206.000000	92.111	-25.2819
209.000000	92.032	-24.6025
212.000000	91.961	-23.8168
214.000000	91.925	-23.2358
218.000000	91.893	-21.9821
220.000000	91.897	-21.3294
224.000000	91.952	-20.1138
227.000000	92.038	-19.4539
230.000000	92.141	-19.1100
233.000000	92.232	-19.0510
236.000000	92.293	-19.1901
240.000000	92.327	-19.4943
243.000000	92.324	-19.6887
247.000000	92.297	-19.8588
250.000000	92.268	-19.9360
254.000000	92.226	-19.9763
258.000000	92.182	-19.9222
262.000000	92.138	-19.7937
265.000000	92.106	-19.6783
269.000000	92.065	-19.5015
272.000000	92.037	-19.3560
276.000000	92.002	-19.1559
280.000000	91.969	-18.9396
285.000000	91.930	-18.6534
290.000000	91.894	-18.3797
295.000000	91.860	-18.1114
300.000000	91.828	-17.8427
304.000000	91.804	-17.6339
307.000000	91.786	-17.4796
311.000000	91.765	-17.2703
315.000000	91.746	-17.0605
320.000000	91.722	-16.8075
325.000000	91.700	-16.5600
330.000000	91.678	-16.3217
335.000000	91.656	-16.0906
340.000000	91.636	-15.8530
345.000000	91.617	-15.6256
350.000000	91.598	-15.4025
355.000000	91.579	-15.1779
360.000000	91.561	-14.9634
365.000000	91.542	-14.7554
370.000000	91.525	-14.5483
375.000000	91.509	-14.3494
382.000000	91.486	-14.0733
387.000000	91.471	-13.8729
395.000000	91.447	-13.5647
400.000000	91.432	-13.3729
406.000000	91.414	-13.1486
412.000000	91.396	-12.9298
418.000000	91.377	-12.7118
425.000000	91.358	-12.4493
431.000000	91.341	-12.2275
437.000000	91.324	-12.0131
444.000000	91.306	-11.7587
450.000000	91.290	-11.5481
455.000000	91.277	-11.3738
462.000000	91.262	-11.1227
468.000000	91.250	-10.9172
475.000000	91.239	-10.7144
482.000000	91.221	-10.5853
487.000000	91.194	-10.5137
494.000000	91.139	-10.3160
500.000000	91.085	-9.9540
508.000000	91.047	-9.1727
515.000000	91.079	-8.4943
522.000000	91.145	-8.2079
530.000000	91.178	-8.2891
538.000000	91.156	-8.3218
545.000000	91.124	-8.1877
552.000000	91.098	-7.9775
560.000000	91.074	-7.7018
570.000000	91.049	-7.3343
580.000000	91.029	-6.9669
590.000000	91.009	-6.5941
600.000000	90.992	-6.2133
608.000000	90.979	-5.9053
615.000000	90.967	-5.6346
622.000000	90.956	-5.3596
630.000000	90.945	-5.0406
640.000000	90.932	-4.6410
650.000000	90.921	-4.2313
660.000000	90.911	-3.8137
670.000000	90.901	-3.3954
680.000000	90.894	-2.9664
690.000000	90.889	-2.5313
700.000000	90.884	-2.0914
710.000000	90.880	-1.6357
720.000000	90.878	-1.1749
730.000000	90.877	-0.7101
740.000000	90.879	-0.2348
750.000000	90.883	0.2429
762.000000	90.891	0.8251
775.000000	90.903	1.4758
788.000000	90.918	2.1252
800.000000	90.937	2.7401
812.000000	90.959	3.3652
825.000000	90.989	4.0410
838.000000	91.023	4.7286
850.000000	91.059	5.3615
862.000000	91.100	5.9902
875.000000	91.150	6.6737
885.000000	91.193	7.1913
900.000000	91.261	7.9551
912.000000	91.321	8.5623
925.000000	91.393	9.2029
938.000000	91.470	9.8231
950.000000	91.545	10.3763
962.000000	91.625	10.9037
975.000000	91.716	11.4498
988.000000	91.810	11.9720
1000.000000	91.901	12.4239
1015.000000	92.020	12.9459
1030.000000	92.141	13.4200
1044.000000	92.257	13.8173
1060.000000	92.391	14.2278
1075.000000	92.518	14.5627
1090.000000	92.645	14.8459
1106.000000	92.780	15.1019
1120.000000	92.897	15.2881
1138.000000	93.046	15.4694
1150.000000	93.143	15.5598
1172.000000	93.317	15.6810
1180.000000	93.380	15.7094
1206.000000	93.575	15.7477
1220.000000	93.675	15.7460
1241.000000	93.822	15.7213
1250.000000	93.882	15.7019
1265.000000	93.980	15.6609
1280.000000	94.077	15.6131
1315.000000	94.292	15.4746
1320.000000	94.322	15.4534
1340.000000	94.439	15.3715
1360.000000	94.553	15.2910
1380.000000	94.663	15.2072
1400.000000	94.773	15.1278
1430.000000	94.933	15.0086
1450.000000	95.039	14.9303
1475.000000	95.170	14.8357
1500.000000	95.300	14.7401
1525.000000	95.431	14.6456
1550.000000	95.562	14.5414
1575.000000	95.694	14.4352
1600.000000	95.826	14.3217
1625.000000	95.959	14.1953
1650.000000	96.092	14.0670
1675.000000	96.225	13.9178
1700.000000	96.359	13.7473
1725.000000	96.494	13.5664
1750.000000	96.629	13.3611
1775.000000	96.764	13.1323
1800.000000	96.900	12.8866
1825.000000	97.033	12.6137
1850.000000	97.166	12.3189
1875.000000	97.296	12.0095
1900.000000	97.424	11.6770
1925.000000	97.552	11.3365
1950.000000	97.688	10.9485
1975.000000	97.822	10.3766
2000.000000	97.941	9.6379
2030.000000	98.077	8.6703
2060.000000	98.220	7.8179
2090.000000	98.362	7.1699
2120.000000	98.495	6.5903
2140.000000	98.583	6.1754
2180.000000	98.755	5.2817
2200.000000	98.838	4.8129
2240.000000	98.992	3.7916
2270.000000	99.097	2.9471
2300.000000	99.191	2.0591
2330.000000	99.272	1.1366
2360.000000	99.339	0.2001
2400.000000	99.406	-1.0297
2430.000000	99.442	-1.9351
2470.000000	99.470	-3.1015
2500.000000	99.480	-3.9328
2540.000000	99.477	-4.9920
2580.000000	99.460	-5.9771
2620.000000	99.428	-6.8789
2650.000000	99.396	-7.5089
2690.000000	99.343	-8.2697
2720.000000	99.296	-8.7735
2760.000000	99.225	-9.3651
2800.000000	99.146	-9.8577
2850.000000	99.039	-10.3235
2900.000000	98.924	-10.6213
2950.000000	98.807	-10.7334
3000.000000	98.693	-10.6804
3040.000000	98.606	-10.5222
3070.000000	98.544	-10.3386
3110.000000	98.467	-10.0240
3150.000000	98.396	-9.6326
3200.000000	98.319	-9.0344
3250.000000	98.258	-8.3492
3300.000000	98.213	-7.5847
3350.000000	98.185	-6.7455
3400.000000	98.178	-5.8690
3450.000000	98.191	-4.9764
3500.000000	98.222	-4.1015
3550.000000	98.270	-3.2764
3600.000000	98.330	-2.5085
3650.000000	98.398	-1.8092
3700.000000	98.471	-1.1777
3750.000000	98.547	-0.5947
3820.000000	98.659	0.1511
3870.000000	98.742	0.6443
3950.000000	98.884	1.3752
4000.000000	98.981	1.7672
4060.000000	99.104	2.1513
4120.000000	99.231	2.4198
4180.000000	99.358	2.5338
4250.000000	99.499	2.4633
4310.000000	99.605	2.2283
4370.000000	99.692	1.8397
4440.000000	99.755	1.2472
4500.000000	99.770	0.6820
4550.000000	99.752	0.2358
4620.000000	99.682	-0.2233
4680.000000	99.592	-0.3729
4750.000000	99.476	-0.1991
4820.000000	99.372	0.3441
4870.000000	99.321	0.8963
4940.000000	99.293	1.7723
5000.000000	99.308	2.5135
5080.000000	99.374	3.3224
5150.000000	99.462	3.7549
5220.000000	99.560	3.8902
5300.000000	99.664	3.6686
5380.000000	99.741	3.0767
5450.000000	99.771	2.3190
5520.000000	99.757	1.4021
5600.000000	99.682	0.2603
5700.000000	99.493	-1.0970
5800.000000	99.208	-2.1541
5900.000000	98.850	-2.7043
6000.000000	98.447	-2.6277
6080.000000	98.114	-2.0914
6150.000000	97.828	-1.2769
6220.000000	97.558	-0.1633
6300.000000	97.287	1.4136
6400.000000	97.021	3.6625
6500.000000	96.833	5.9263
6600.000000	96.688	8.0616
6700.000000	96.561	10.1980
6800.000000	96.462	12.4478
6900.000000	96.412	14.7930
7000.000000	96.420	17.1497
7100.000000	96.496	19.3785
7200.000000	96.635	21.3138
7300.000000	96.819	22.8011
7400.000000	97.019	23.7472
7500.000000	97.204	24.1893
7620.000000	97.389	24.2334
7750.000000	97.554	23.7504
7880.000000	97.663	22.5750
8000.000000	97.668	20.8312
8120.000000	97.529	18.6066
8250.000000	97.165	16.1190
8380.000000	96.573	14.2374
8500.000000	95.865	13.5637
8620.000000	95.063	14.1633
8750.000000	94.170	16.2383
8850.000000	93.505	18.7231
9000.000000	92.586	23.6157
9120.000000	91.938	28.3041
9250.000000	91.329	33.9613
9380.000000	90.811	40.0847
9500.000000	90.412	46.0850
9620.000000	90.094	52.3961
9750.000000	89.859	59.5031
9880.000000	89.747	66.6144
10000.000000	89.725	73.0287
10150.000000	89.785	80.9051
10300.000000	89.953	88.5812
10440.000000	90.206	95.3784
10600.000000	90.586	102.4705
10750.000000	90.995	108.2598
10900.000000	91.403	113.0846
11060.000000	91.767	117.1694
11200.000000	91.971	120.0268
