* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 01/11/2023 1:06:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ThieAudio V16 Divinity L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.358	2.5775
20.299999	100.393	2.2328
20.600000	100.427	1.7294
20.900000	100.441	1.0992
21.200001	100.425	0.4516
21.400000	100.398	0.0891
21.799999	100.326	-0.3816
22.000000	100.291	-0.4745
22.400000	100.252	-0.4438
22.700001	100.256	-0.3710
23.000000	100.285	-0.3938
23.299999	100.321	-0.5674
23.600000	100.351	-0.8734
24.000000	100.367	-1.3866
24.299999	100.361	-1.7511
24.700001	100.342	-2.1366
25.000000	100.331	-2.3628
25.400000	100.324	-2.6508
25.799999	100.323	-2.9935
26.200001	100.314	-3.3845
26.500000	100.301	-3.6669
26.900000	100.280	-3.9837
27.200001	100.269	-4.1788
27.600000	100.266	-4.4324
28.000000	100.273	-4.7521
28.500000	100.279	-5.2778
29.000000	100.264	-5.8362
29.500000	100.236	-6.2892
30.000000	100.213	-6.6089
30.400000	100.207	-6.8258
30.700001	100.208	-6.9976
31.100000	100.213	-7.2550
31.500000	100.216	-7.5380
32.000000	100.216	-7.9016
32.500000	100.212	-8.2563
33.000000	100.204	-8.5955
33.500000	100.193	-8.9166
34.000000	100.181	-9.2199
34.500000	100.170	-9.5144
35.000000	100.159	-9.8148
35.500000	100.149	-10.1390
36.000000	100.138	-10.5004
36.500000	100.121	-10.8932
37.000000	100.097	-11.2816
37.500000	100.069	-11.6254
38.200001	100.038	-12.0416
38.700001	100.024	-12.3541
39.500000	99.997	-12.9016
40.000000	99.974	-13.1890
40.599998	99.956	-13.4464
41.200001	99.954	-13.7169
41.799999	99.953	-14.0834
42.500000	99.931	-14.5398
43.099998	99.899	-14.8267
43.700001	99.872	-15.0148
44.400002	99.856	-15.2039
45.000000	99.855	-15.4292
45.500000	99.856	-15.7191
46.200001	99.840	-16.2697
46.799999	99.797	-16.7145
47.500000	99.746	-17.0106
48.200001	99.735	-17.2488
48.700001	99.744	-17.5790
49.400002	99.733	-18.2672
50.000000	99.687	-18.8139
50.799999	99.615	-19.2122
51.500000	99.582	-19.3794
52.200001	99.574	-19.5991
53.000000	99.566	-19.9816
53.799999	99.542	-20.3926
54.500000	99.513	-20.6931
55.200001	99.486	-20.9557
56.000000	99.460	-21.2662
57.000000	99.429	-21.7037
58.000000	99.392	-22.2062
59.000000	99.347	-22.6991
60.000000	99.302	-23.1377
60.799999	99.271	-23.4417
61.500000	99.253	-23.7080
62.200001	99.237	-24.0355
63.000000	99.206	-24.4451
64.000000	99.154	-24.8594
65.000000	99.107	-25.2130
66.000000	99.060	-25.5559
67.000000	99.018	-25.9038
68.000000	98.974	-26.2991
69.000000	98.926	-26.6777
70.000000	98.881	-27.0391
71.000000	98.838	-27.4109
72.000000	98.793	-27.7734
73.000000	98.749	-28.1142
74.000000	98.707	-28.4552
75.000000	98.663	-28.8029
76.199997	98.607	-29.1990
77.500000	98.547	-29.6140
78.800003	98.487	-30.0400
80.000000	98.429	-30.4278
81.199997	98.372	-30.8057
82.500000	98.309	-31.2155
83.800003	98.246	-31.6177
85.000000	98.188	-31.9684
86.199997	98.130	-32.3133
87.500000	98.066	-32.6694
88.500000	98.016	-32.9279
90.000000	97.942	-33.2996
91.199997	97.884	-33.6017
92.500000	97.820	-33.9297
93.800003	97.757	-34.2601
95.000000	97.698	-34.5671
96.199997	97.637	-34.8573
97.500000	97.574	-35.1552
98.800003	97.512	-35.4705
100.000000	97.451	-35.7557
101.500000	97.377	-36.1056
103.000000	97.302	-36.4352
104.400002	97.236	-36.7336
106.000000	97.157	-37.0688
107.500000	97.080	-37.3401
109.000000	97.005	-37.6017
110.599998	96.923	-37.9084
112.000000	96.848	-38.1713
113.800003	96.753	-38.4818
115.000000	96.691	-38.6808
117.199997	96.579	-39.0280
118.000000	96.538	-39.1469
120.599998	96.403	-39.5133
122.000000	96.331	-39.6965
124.099998	96.223	-39.9670
125.000000	96.175	-40.0856
126.500000	96.094	-40.2764
128.000000	96.010	-40.4473
131.500000	95.825	-40.7956
132.000000	95.800	-40.8487
134.000000	95.698	-41.0667
136.000000	95.590	-41.2493
138.000000	95.481	-41.3807
140.000000	95.374	-41.5011
143.000000	95.208	-41.6882
145.000000	95.097	-41.7772
147.500000	94.958	-41.8406
150.000000	94.817	-41.8423
152.500000	94.674	-41.8000
155.000000	94.530	-41.7213
157.500000	94.387	-41.5788
160.000000	94.243	-41.3269
162.500000	94.102	-40.9232
165.000000	93.973	-40.3560
167.500000	93.873	-39.6623
170.000000	93.808	-38.8678
172.500000	93.789	-38.0579
175.000000	93.816	-37.4537
177.500000	93.872	-37.2472
180.000000	93.922	-37.4240
182.500000	93.934	-37.8023
185.000000	93.900	-38.2318
187.500000	93.834	-38.6392
190.000000	93.752	-38.9670
192.500000	93.661	-39.1862
195.000000	93.565	-39.3196
197.500000	93.471	-39.3878
200.000000	93.380	-39.3821
203.000000	93.272	-39.2798
206.000000	93.166	-39.1230
209.000000	93.065	-38.9387
212.000000	92.966	-38.7264
214.000000	92.900	-38.5703
218.000000	92.779	-38.2352
220.000000	92.727	-38.0585
224.000000	92.627	-37.6754
227.000000	92.553	-37.3723
230.000000	92.482	-37.0521
233.000000	92.414	-36.7188
236.000000	92.351	-36.3942
240.000000	92.277	-35.9802
243.000000	92.226	-35.6527
247.000000	92.161	-35.2043
250.000000	92.117	-34.8668
254.000000	92.064	-34.4113
258.000000	92.014	-33.9764
262.000000	91.970	-33.5485
265.000000	91.942	-33.2054
269.000000	91.908	-32.7542
272.000000	91.886	-32.4478
276.000000	91.861	-32.0647
280.000000	91.839	-31.6937
285.000000	91.814	-31.2419
290.000000	91.792	-30.8248
295.000000	91.776	-30.4270
300.000000	91.766	-30.0319
304.000000	91.758	-29.7302
307.000000	91.753	-29.5137
311.000000	91.751	-29.2477
315.000000	91.750	-29.0121
320.000000	91.753	-28.7330
325.000000	91.760	-28.4321
330.000000	91.767	-28.1589
335.000000	91.773	-27.9354
340.000000	91.781	-27.7408
345.000000	91.791	-27.5755
350.000000	91.802	-27.4160
355.000000	91.815	-27.2583
360.000000	91.829	-27.1230
365.000000	91.841	-27.0219
370.000000	91.851	-26.9473
375.000000	91.861	-26.8856
382.000000	91.875	-26.8079
387.000000	91.887	-26.7598
395.000000	91.905	-26.7141
400.000000	91.917	-26.7081
406.000000	91.930	-26.7090
412.000000	91.943	-26.7195
418.000000	91.954	-26.7320
425.000000	91.970	-26.7412
431.000000	91.985	-26.7664
437.000000	92.000	-26.8130
444.000000	92.019	-26.8865
450.000000	92.035	-26.9810
455.000000	92.049	-27.0802
462.000000	92.067	-27.2458
468.000000	92.080	-27.4093
475.000000	92.090	-27.6067
482.000000	92.096	-27.8191
487.000000	92.098	-27.9858
494.000000	92.096	-28.2173
500.000000	92.092	-28.3981
508.000000	92.085	-28.6186
515.000000	92.078	-28.8003
522.000000	92.069	-28.9893
530.000000	92.058	-29.2164
538.000000	92.046	-29.4406
545.000000	92.036	-29.6313
552.000000	92.024	-29.8101
560.000000	92.008	-29.9977
570.000000	91.983	-30.2183
580.000000	91.957	-30.4241
590.000000	91.929	-30.6283
600.000000	91.900	-30.8258
608.000000	91.877	-30.9694
615.000000	91.857	-31.0840
622.000000	91.836	-31.1884
630.000000	91.814	-31.3003
640.000000	91.783	-31.4380
650.000000	91.753	-31.5627
660.000000	91.721	-31.6646
670.000000	91.686	-31.7161
680.000000	91.653	-31.7368
690.000000	91.623	-31.7452
700.000000	91.595	-31.7476
710.000000	91.569	-31.7244
720.000000	91.546	-31.6636
730.000000	91.525	-31.5690
740.000000	91.506	-31.4434
750.000000	91.490	-31.3016
762.000000	91.476	-31.1050
775.000000	91.472	-30.8637
788.000000	91.479	-30.6304
800.000000	91.495	-30.4200
812.000000	91.519	-30.2094
825.000000	91.551	-30.0009
838.000000	91.586	-29.8031
850.000000	91.624	-29.6398
862.000000	91.668	-29.4981
875.000000	91.717	-29.3650
885.000000	91.757	-29.2744
900.000000	91.819	-29.1405
912.000000	91.870	-29.0417
925.000000	91.930	-28.9656
938.000000	91.994	-28.9069
950.000000	92.058	-28.8629
962.000000	92.126	-28.8376
975.000000	92.202	-28.8250
988.000000	92.281	-28.8304
1000.000000	92.356	-28.8612
1015.000000	92.456	-28.9233
1030.000000	92.562	-29.0367
1044.000000	92.664	-29.1981
1060.000000	92.781	-29.4095
1075.000000	92.894	-29.6448
1090.000000	93.005	-29.9274
