* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 01/11/2023 1:08:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ThieAudio V16 Divinity R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.522	2.7162
20.299999	100.516	2.5579
20.600000	100.524	2.4081
20.900000	100.548	2.2015
21.200001	100.580	1.8821
21.400000	100.599	1.5984
21.799999	100.621	0.9037
22.000000	100.621	0.5281
22.400000	100.596	-0.1815
22.700001	100.564	-0.6108
23.000000	100.529	-0.9233
23.299999	100.503	-1.1451
23.600000	100.489	-1.3232
24.000000	100.489	-1.5747
24.299999	100.496	-1.8173
24.700001	100.505	-2.2165
25.000000	100.506	-2.5439
25.400000	100.499	-2.9690
25.799999	100.488	-3.3459
26.200001	100.477	-3.6759
26.500000	100.471	-3.9073
26.900000	100.466	-4.2124
27.200001	100.463	-4.4442
27.600000	100.459	-4.7561
28.000000	100.455	-5.0661
28.500000	100.448	-5.4492
29.000000	100.442	-5.8358
29.500000	100.434	-6.2336
30.000000	100.422	-6.6359
30.400000	100.410	-6.9482
30.700001	100.400	-7.1708
31.100000	100.388	-7.4520
31.500000	100.377	-7.7260
32.000000	100.368	-8.0833
32.500000	100.357	-8.4692
33.000000	100.340	-8.8557
33.500000	100.320	-9.2000
34.000000	100.303	-9.4933
34.500000	100.296	-9.7776
35.000000	100.295	-10.0982
35.500000	100.292	-10.4626
36.000000	100.284	-10.8408
36.500000	100.272	-11.2067
37.000000	100.257	-11.5551
37.500000	100.242	-11.8910
38.200001	100.217	-12.3375
38.700001	100.198	-12.6373
39.500000	100.168	-13.0921
40.000000	100.149	-13.3612
40.599998	100.130	-13.6753
41.200001	100.115	-14.0095
41.799999	100.099	-14.3774
42.500000	100.075	-14.8123
43.099998	100.055	-15.1674
43.700001	100.035	-15.5237
44.400002	100.008	-15.9214
45.000000	99.986	-16.1993
45.500000	99.974	-16.4031
46.200001	99.965	-16.7190
46.799999	99.951	-16.9991
47.500000	99.937	-17.2436
48.200001	99.943	-17.5101
48.700001	99.950	-17.8310
49.400002	99.929	-18.4104
50.000000	99.881	-18.8184
50.799999	99.819	-19.1312
51.500000	99.785	-19.3843
52.200001	99.755	-19.7236
53.000000	99.715	-20.1389
53.799999	99.675	-20.5381
54.500000	99.643	-20.8784
55.200001	99.613	-21.2045
56.000000	99.584	-21.5679
57.000000	99.548	-22.0109
58.000000	99.514	-22.4333
59.000000	99.479	-22.8569
60.000000	99.440	-23.2785
60.799999	99.406	-23.6110
61.500000	99.375	-23.9026
62.200001	99.344	-24.1960
63.000000	99.309	-24.5316
64.000000	99.266	-24.9491
65.000000	99.222	-25.3568
66.000000	99.179	-25.7482
67.000000	99.136	-26.1275
68.000000	99.092	-26.4948
69.000000	99.046	-26.8475
70.000000	99.001	-27.1965
71.000000	98.956	-27.5535
72.000000	98.912	-27.9099
73.000000	98.868	-28.2635
74.000000	98.825	-28.6187
75.000000	98.779	-28.9675
76.199997	98.723	-29.3690
77.500000	98.660	-29.7938
78.800003	98.596	-30.2153
80.000000	98.537	-30.6033
81.199997	98.479	-30.9844
82.500000	98.420	-31.3820
83.800003	98.364	-31.7878
85.000000	98.309	-32.1563
86.199997	98.250	-32.4973
87.500000	98.184	-32.8516
88.500000	98.132	-33.1199
90.000000	98.055	-33.5170
91.199997	97.994	-33.8324
92.500000	97.929	-34.1601
93.800003	97.866	-34.4746
95.000000	97.806	-34.7551
96.199997	97.745	-35.0031
97.500000	97.683	-35.2473
98.800003	97.625	-35.5458
100.000000	97.564	-35.8566
101.500000	97.483	-36.2233
103.000000	97.401	-36.5601
104.400002	97.328	-36.8517
106.000000	97.246	-37.1550
107.500000	97.173	-37.4216
109.000000	97.102	-37.6929
110.599998	97.025	-37.9863
112.000000	96.956	-38.2335
113.800003	96.866	-38.5436
115.000000	96.804	-38.7508
117.199997	96.689	-39.1131
118.000000	96.648	-39.2433
120.599998	96.513	-39.6470
122.000000	96.440	-39.8399
124.099998	96.332	-40.1141
125.000000	96.285	-40.2296
126.500000	96.206	-40.4135
128.000000	96.128	-40.5819
131.500000	95.946	-40.9213
132.000000	95.920	-40.9659
134.000000	95.816	-41.1436
136.000000	95.710	-41.3207
138.000000	95.604	-41.4882
140.000000	95.497	-41.6252
143.000000	95.339	-41.7831
145.000000	95.232	-41.8629
147.500000	95.103	-41.9210
150.000000	94.975	-41.9656
152.500000	94.841	-41.9847
155.000000	94.704	-41.9697
157.500000	94.568	-41.9131
160.000000	94.432	-41.7831
162.500000	94.297	-41.5569
165.000000	94.167	-41.2277
167.500000	94.047	-40.7738
170.000000	93.947	-40.1868
172.500000	93.878	-39.5340
175.000000	93.844	-38.9302
177.500000	93.842	-38.4997
180.000000	93.855	-38.3414
182.500000	93.859	-38.4353
185.000000	93.839	-38.6625
187.500000	93.794	-38.9128
190.000000	93.727	-39.1260
192.500000	93.646	-39.2853
195.000000	93.558	-39.3853
197.500000	93.469	-39.4127
200.000000	93.380	-39.3833
203.000000	93.273	-39.2911
206.000000	93.167	-39.1440
209.000000	93.066	-38.9414
212.000000	92.973	-38.6915
214.000000	92.915	-38.5074
218.000000	92.805	-38.1227
220.000000	92.752	-37.9333
224.000000	92.649	-37.5306
227.000000	92.579	-37.2001
230.000000	92.512	-36.8597
233.000000	92.448	-36.5438
236.000000	92.393	-36.2255
240.000000	92.330	-35.7747
243.000000	92.280	-35.4498
247.000000	92.217	-35.0144
250.000000	92.175	-34.6691
254.000000	92.123	-34.2001
258.000000	92.077	-33.7378
262.000000	92.031	-33.3105
265.000000	91.996	-33.0240
269.000000	91.960	-32.6591
272.000000	91.940	-32.3918
276.000000	91.913	-32.0193
280.000000	91.891	-31.6058
285.000000	91.869	-31.1133
290.000000	91.850	-30.6570
295.000000	91.836	-30.2442
300.000000	91.822	-29.8696
304.000000	91.815	-29.5781
307.000000	91.812	-29.3651
311.000000	91.810	-29.0931
315.000000	91.810	-28.8335
320.000000	91.813	-28.5254
325.000000	91.818	-28.2457
330.000000	91.824	-27.9951
335.000000	91.831	-27.7635
340.000000	91.839	-27.5515
345.000000	91.849	-27.3531
350.000000	91.859	-27.1713
355.000000	91.871	-27.0135
360.000000	91.883	-26.8749
365.000000	91.896	-26.7537
370.000000	91.912	-26.6469
375.000000	91.928	-26.5494
382.000000	91.955	-26.4375
387.000000	91.976	-26.3878
395.000000	92.006	-26.3645
400.000000	92.023	-26.3811
406.000000	92.043	-26.4273
412.000000	92.061	-26.4839
418.000000	92.077	-26.5457
425.000000	92.095	-26.6406
431.000000	92.109	-26.7450
437.000000	92.121	-26.8608
444.000000	92.132	-27.0065
450.000000	92.140	-27.1307
455.000000	92.145	-27.2305
462.000000	92.150	-27.3797
468.000000	92.153	-27.5225
475.000000	92.154	-27.7006
482.000000	92.154	-27.8840
487.000000	92.153	-28.0085
494.000000	92.149	-28.1761
500.000000	92.145	-28.3217
508.000000	92.139	-28.5210
515.000000	92.131	-28.7008
522.000000	92.123	-28.8852
530.000000	92.112	-29.0825
538.000000	92.099	-29.2606
545.000000	92.086	-29.4066
552.000000	92.070	-29.5475
560.000000	92.052	-29.7159
570.000000	92.031	-29.9389
580.000000	92.008	-30.1501
590.000000	91.983	-30.3302
600.000000	91.957	-30.4854
608.000000	91.933	-30.5950
615.000000	91.912	-30.6783
622.000000	91.891	-30.7546
630.000000	91.867	-30.8375
640.000000	91.838	-30.9290
650.000000	91.811	-30.9974
660.000000	91.786	-31.0519
670.000000	91.764	-31.0876
680.000000	91.743	-31.1107
690.000000	91.725	-31.1199
700.000000	91.707	-31.0980
710.000000	91.690	-31.0494
720.000000	91.674	-30.9813
730.000000	91.661	-30.9011
740.000000	91.652	-30.8201
750.000000	91.648	-30.7369
762.000000	91.650	-30.6333
775.000000	91.660	-30.5038
788.000000	91.675	-30.3627
800.000000	91.693	-30.2424
812.000000	91.713	-30.1251
825.000000	91.737	-29.9971
838.000000	91.763	-29.8629
850.000000	91.789	-29.7308
862.000000	91.818	-29.6045
875.000000	91.857	-29.4812
