* Measurement data measured by REW V5.31.1
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 26/06/2024 4:11:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Gate L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 91.294 -159.9935
20.299999 91.299 -160.7624
20.600000 91.295 -161.5049
20.900000 91.286 -162.1959
21.200001 91.277 -162.8310
21.400000 91.272 -163.2305
21.799999 91.270 -164.0028
22.000000 91.272 -164.3895
22.400000 91.278 -165.1855
22.700001 91.283 -165.8054
23.000000 91.285 -166.4397
23.299999 91.284 -167.0807
23.600000 91.280 -167.7213
24.000000 91.269 -168.5662
24.299999 91.258 -169.1873
24.700001 91.239 -169.9898
25.000000 91.222 -170.5663
25.400000 91.197 -171.2951
25.799999 91.173 -171.9796
26.200001 91.151 -172.6290
26.500000 91.136 -173.1008
26.900000 91.118 -173.7185
27.200001 91.105 -174.1766
27.600000 91.087 -174.7811
28.000000 91.067 -175.3745
28.500000 91.040 -176.0877
29.000000 91.011 -176.7525
29.500000 90.983 -177.3626
30.000000 90.961 -177.9382
30.400000 90.948 -178.4002
30.700001 90.940 -178.7592
31.100000 90.928 -179.2578
31.500000 90.912 -179.7703
32.000000 90.887 179.5939
32.500000 90.857 178.9784
33.000000 90.826 178.3761
33.500000 90.791 177.7794
34.000000 90.751 177.2045
34.500000 90.708 176.6750
35.000000 90.668 176.1866
35.500000 90.633 175.7069
36.000000 90.600 175.2131
36.500000 90.565 174.7144
37.000000 90.528 174.2266
37.500000 90.490 173.7438
38.200001 90.433 173.0646
38.700001 90.383 172.6232
39.500000 90.308 172.0902
40.000000 90.279 171.8018
40.599998 90.257 171.3646
41.200001 90.228 170.8094
41.799999 90.183 170.2377
42.500000 90.121 169.6394
43.099998 90.068 169.1609
43.700001 90.013 168.7055
44.400002 89.947 168.2416
45.000000 89.899 167.8826
45.500000 89.863 167.5710
46.200001 89.810 167.1190
46.799999 89.760 166.7759
47.500000 89.710 166.4332
48.200001 89.668 166.0659
48.700001 89.635 165.7805
49.400002 89.582 165.4066
50.000000 89.539 165.1169
50.799999 89.484 164.6966
51.500000 89.430 164.3022
52.200001 89.374 163.9255
53.000000 89.311 163.4791
53.799999 89.242 163.0443
54.500000 89.186 162.7202
55.200001 89.140 162.3731
56.000000 89.078 161.9593
57.000000 89.001 161.6418
58.000000 88.955 161.3528
59.000000 88.898 160.9731
60.000000 88.830 160.6726
60.799999 88.774 160.4434
61.500000 88.721 160.2455
62.200001 88.666 160.0536
63.000000 88.603 159.8424
64.000000 88.532 159.5817
65.000000 88.471 159.2371
66.000000 88.404 158.8704
67.000000 88.345 158.5290
68.000000 88.278 158.1563
69.000000 88.194 157.9536
70.000000 88.131 157.9121
71.000000 88.078 157.7817
72.000000 88.012 157.6063
73.000000 87.941 157.4578
74.000000 87.873 157.2978
75.000000 87.808 157.0809
76.199997 87.728 156.7942
77.500000 87.645 156.5114
78.800003 87.565 156.3161
80.000000 87.504 156.1957
81.199997 87.444 156.0804
82.500000 87.380 155.9224
83.800003 87.300 155.7126
85.000000 87.221 155.5370
86.199997 87.140 155.3741
87.500000 87.059 155.2310
88.500000 87.001 155.1463
90.000000 86.931 155.0800
91.199997 86.877 154.9454
92.500000 86.799 154.8160
93.800003 86.715 154.7715
95.000000 86.642 154.7671
96.199997 86.578 154.7002
97.500000 86.504 154.5791
98.800003 86.432 154.5347
100.000000 86.379 154.5386
101.500000 86.323 154.4990
103.000000 86.260 154.4367
104.400002 86.197 154.3956
106.000000 86.118 154.3622
107.500000 86.047 154.3420
109.000000 85.975 154.3177
110.599998 85.909 154.3491
112.000000 85.860 154.3364
113.800003 85.786 154.3189
115.000000 85.732 154.3805
117.199997 85.640 154.4877
118.000000 85.604 154.4958
120.599998 85.486 154.4648
122.000000 85.417 154.4873
124.099998 85.334 154.7619
125.000000 85.308 154.8630
126.500000 85.257 154.9119
128.000000 85.189 154.9425
131.500000 85.057 154.7392
132.000000 85.038 154.6970
134.000000 84.971 154.6895
136.000000 84.917 154.8620
138.000000 84.855 155.0066
140.000000 84.770 155.1356
143.000000 84.644 155.3768
145.000000 84.579 155.5534
147.500000 84.507 155.7862
150.000000 84.449 155.9700
152.500000 84.378 156.0133
155.000000 84.285 156.1416
157.500000 84.200 156.3502
160.000000 84.129 156.4919
162.500000 84.057 156.6799
165.000000 83.984 156.9319
167.500000 83.913 157.0945
170.000000 83.834 157.2124
172.500000 83.755 157.4533
175.000000 83.681 157.7263
177.500000 83.621 157.9221
180.000000 83.569 158.0580
182.500000 83.519 158.2667
185.000000 83.441 158.5066
187.500000 83.342 158.8214
190.000000 83.254 159.1388
192.500000 83.185 159.4727
195.000000 83.124 159.8485
197.500000 83.059 160.2012
200.000000 82.984 160.5941
203.000000 82.897 161.3452
206.000000 82.839 162.3892
209.000000 82.825 163.3917
212.000000 82.854 164.1726
214.000000 82.889 164.5600
218.000000 82.971 164.9630
220.000000 83.001 164.9401
224.000000 83.026 164.7103
227.000000 83.010 164.6117
230.000000 82.964 164.6086
233.000000 82.915 164.6327
236.000000 82.883 164.6757
240.000000 82.827 164.9019
243.000000 82.787 165.1900
247.000000 82.756 165.4803
250.000000 82.739 165.7637
254.000000 82.717 166.1046
258.000000 82.676 166.2542
262.000000 82.630 166.4002
265.000000 82.606 166.5980
269.000000 82.571 166.7228
272.000000 82.539 166.7672
276.000000 82.494 166.9203
280.000000 82.436 167.1967
285.000000 82.369 167.5473
290.000000 82.327 167.8753
295.000000 82.318 168.2967
300.000000 82.269 168.6573
304.000000 82.189 168.7791
307.000000 82.131 168.8547
311.000000 82.091 169.1466
315.000000 82.071 169.5695
320.000000 82.029 170.0286
325.000000 81.991 170.3992
330.000000 81.948 170.7206
335.000000 81.913 171.3007
340.000000 81.894 171.7486
345.000000 81.852 171.9206
350.000000 81.799 172.1865
355.000000 81.773 172.5197
360.000000 81.743 172.9167
365.000000 81.707 173.4560
370.000000 81.678 173.8685
375.000000 81.670 174.2043
382.000000 81.651 174.8647
387.000000 81.610 175.3989
395.000000 81.550 176.0654
400.000000 81.549 176.2814
406.000000 81.542 176.7421
412.000000 81.528 177.1721
418.000000 81.522 177.5330
425.000000 81.529 178.0193
431.000000 81.527 178.3569
437.000000 81.502 178.7616
444.000000 81.475 179.2120
450.000000 81.471 179.4278
455.000000 81.478 179.5829
462.000000 81.459 -179.9181
468.000000 81.417 -179.3547
475.000000 81.371 -178.7962
482.000000 81.326 -178.4514
487.000000 81.306 -178.2196
494.000000 81.293 -177.6926
500.000000 81.277 -177.2037
508.000000 81.267 -176.6443
515.000000 81.268 -176.0420
522.000000 81.273 -175.5228
530.000000 81.240 -174.9911
538.000000 81.234 -174.6022
545.000000 81.228 -174.1376
552.000000 81.192 -173.6455
560.000000 81.173 -173.1512
570.000000 81.183 -172.6712
580.000000 81.178 -172.1168
590.000000 81.187 -171.6789
600.000000 81.181 -171.1039
608.000000 81.170 -170.6037
615.000000 81.166 -170.0650
622.000000 81.167 -169.5986
630.000000 81.150 -169.0687
640.000000 81.133 -168.1843
650.000000 81.149 -167.3661
660.000000 81.180 -166.8181
670.000000 81.210 -166.1590
680.000000 81.211 -165.6694
690.000000 81.195 -165.0430
700.000000 81.208 -164.2076
710.000000 81.227 -163.5678
720.000000 81.228 -162.8987
730.000000 81.230 -162.1920
740.000000 81.249 -161.5289
750.000000 81.282 -160.9331
762.000000 81.313 -160.2043
775.000000 81.354 -159.5062
788.000000 81.409 -158.7843
800.000000 81.460 -157.8287
812.000000 81.515 -156.8810
825.000000 81.555 -156.0647
838.000000 81.603 -155.2961
850.000000 81.653 -154.5746
862.000000 81.691 -153.8048
875.000000 81.740 -152.9641
885.000000 81.794 -152.2868
900.000000 81.877 -151.3658
912.000000 81.953 -150.5999
925.000000 82.060 -149.7952
938.000000 82.152 -149.0643
950.000000 82.239 -148.3793
962.000000 82.331 -147.7379
975.000000 82.436 -147.1247
988.000000 82.547 -146.5592
1000.000000 82.652 -146.0730
1015.000000 82.789 -145.4196
1030.000000 82.920 -144.8384
1044.000000 83.026 -144.4265
1060.000000 83.156 -144.0122
1075.000000 83.294 -143.6369
1090.000000 83.427 -143.2475
1106.000000 83.565 -142.8612
1120.000000 83.682 -142.5972
1138.000000 83.824 -142.3512
1150.000000 83.922 -142.2409
1172.000000 84.096 -142.0139
1180.000000 84.158 -141.9193
1206.000000 84.351 -141.6529
1220.000000 84.446 -141.6135
1241.000000 84.580 -141.5268
1250.000000 84.638 -141.4717
1265.000000 84.734 -141.3951
1280.000000 84.824 -141.3332
1315.000000 85.024 -141.2173
1320.000000 85.052 -141.2040
1340.000000 85.160 -141.1427
1360.000000 85.264 -141.0898
1380.000000 85.366 -141.0524
1400.000000 85.463 -140.9879
1430.000000 85.610 -140.8720
1450.000000 85.707 -140.8085
1475.000000 85.827 -140.7182
1500.000000 85.943 -140.6254
1525.000000 86.060 -140.5447
1550.000000 86.183 -140.4812
1575.000000 86.302 -140.4103
1600.000000 86.416 -140.3249
1625.000000 86.537 -140.2723
1650.000000 86.659 -140.2289
1675.000000 86.779 -140.1931
1700.000000 86.902 -140.1726
1725.000000 87.025 -140.1801
1750.000000 87.144 -140.2134
1775.000000 87.264 -140.2593
1800.000000 87.384 -140.3154
1825.000000 87.503 -140.4064
1850.000000 87.622 -140.5154
1875.000000 87.741 -140.6400
1900.000000 87.860 -140.7953
1925.000000 87.977 -140.9624
1950.000000 88.093 -141.1339
1975.000000 88.209 -141.3242
2000.000000 88.324 -141.5416
2030.000000 88.460 -141.8267
2060.000000 88.596 -142.1516
2090.000000 88.729 -142.5089
2120.000000 88.860 -142.8876
2140.000000 88.946 -143.1590
2180.000000 89.114 -143.7539
2200.000000 89.197 -144.0762
2240.000000 89.358 -144.7592
2270.000000 89.473 -145.3004
2300.000000 89.584 -145.8694
2330.000000 89.691 -146.4751
2360.000000 89.793 -147.1035
2400.000000 89.922 -147.9713
2430.000000 90.012 -148.6432
2470.000000 90.124 -149.5722
2500.000000 90.201 -150.2933
2540.000000 90.295 -151.2785
2580.000000 90.380 -152.2736
2620.000000 90.454 -153.2729
2650.000000 90.502 -154.0300
2690.000000 90.558 -155.0403
2720.000000 90.594 -155.7979
2760.000000 90.634 -156.8027
2800.000000 90.663 -157.7925
2850.000000 90.685 -158.9989
2900.000000 90.695 -160.1654
2950.000000 90.694 -161.2924
3000.000000 90.682 -162.3685
3040.000000 90.667 -163.1953
3070.000000 90.652 -163.7982
3110.000000 90.628 -164.5715
3150.000000 90.600 -165.3107
3200.000000 90.561 -166.1835
3250.000000 90.517 -167.0020
3300.000000 90.469 -167.7686
3350.000000 90.419 -168.4916
3400.000000 90.367 -169.1759
3450.000000 90.313 -169.8168
3500.000000 90.258 -170.4210
3550.000000 90.203 -170.9840
3600.000000 90.148 -171.5164
3650.000000 90.094 -172.0192
3700.000000 90.040 -172.4946
3750.000000 89.988 -172.9438
3820.000000 89.916 -173.5380
3870.000000 89.867 -173.9456
3950.000000 89.791 -174.5679
4000.000000 89.745 -174.9452
4060.000000 89.691 -175.3875
4120.000000 89.639 -175.8233
4180.000000 89.589 -176.2507
4250.000000 89.534 -176.7481
4310.000000 89.491 -177.1873
4370.000000 89.450 -177.6489
4440.000000 89.404 -178.2373
4500.000000 89.365 -178.8039
4550.000000 89.329 -179.3182
4620.000000 89.268 179.9008
4680.000000 89.203 179.1925
4750.000000 89.113 178.3613
4820.000000 89.008 177.5549
4870.000000 88.924 176.9952
4940.000000 88.796 176.2379
5000.000000 88.675 175.6257
5080.000000 88.500 174.8773
5150.000000 88.336 174.3160
5220.000000 88.165 173.8584
5300.000000 87.964 173.4406
5380.000000 87.759 173.1275
5450.000000 87.578 172.9443
5520.000000 87.396 172.8549
5600.000000 87.188 172.8758
5700.000000 86.931 173.0758
5800.000000 86.687 173.4655
5900.000000 86.459 174.0417
6000.000000 86.251 174.7852
