* Measurement data measured by REW V5.31.1
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 26/06/2024 4:14:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Gate R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 91.443 -159.7281
20.299999 91.444 -160.4813
20.600000 91.446 -161.2044
20.900000 91.448 -161.9105
21.200001 91.449 -162.6093
21.400000 91.449 -163.0715
21.799999 91.443 -163.9762
22.000000 91.439 -164.4117
22.400000 91.427 -165.2369
22.700001 91.420 -165.8179
23.000000 91.416 -166.3796
23.299999 91.415 -166.9389
23.600000 91.416 -167.5102
24.000000 91.415 -168.2975
24.299999 91.410 -168.8978
24.700001 91.396 -169.6835
25.000000 91.381 -170.2446
25.400000 91.360 -170.9468
25.799999 91.341 -171.6107
26.200001 91.325 -172.2629
26.500000 91.314 -172.7547
26.900000 91.295 -173.4101
27.200001 91.278 -173.8896
27.600000 91.254 -174.4964
28.000000 91.230 -175.0648
28.500000 91.207 -175.7559
29.000000 91.186 -176.4716
29.500000 91.159 -177.2061
30.000000 91.121 -177.8956
30.400000 91.090 -178.3838
30.700001 91.071 -178.7213
31.100000 91.053 -179.1681
31.500000 91.042 -179.6516
32.000000 91.025 179.6708
32.500000 90.994 178.9577
33.000000 90.951 178.2846
33.500000 90.904 177.6913
34.000000 90.859 177.1693
34.500000 90.820 176.6899
35.000000 90.787 176.2231
35.500000 90.760 175.7416
36.000000 90.732 175.2366
36.500000 90.698 174.7339
37.000000 90.662 174.2711
37.500000 90.630 173.8477
38.200001 90.596 173.2213
38.700001 90.567 172.7057
39.500000 90.491 171.9135
40.000000 90.437 171.5511
40.599998 90.388 171.2209
41.200001 90.360 170.8536
41.799999 90.336 170.3635
42.500000 90.290 169.7173
43.099998 90.237 169.2085
43.700001 90.184 168.7664
44.400002 90.127 168.2910
45.000000 90.080 167.8921
45.500000 90.040 167.5685
46.200001 89.987 167.1341
46.799999 89.942 166.7668
47.500000 89.888 166.3389
48.200001 89.831 165.9365
48.700001 89.791 165.6665
49.400002 89.737 165.2892
50.000000 89.687 164.9751
50.799999 89.622 164.6321
51.500000 89.581 164.3546
52.200001 89.549 163.9734
53.000000 89.496 163.4522
53.799999 89.430 163.0066
54.500000 89.376 162.6711
55.200001 89.321 162.3516
56.000000 89.258 162.0555
57.000000 89.193 161.7142
58.000000 89.123 161.3095
59.000000 89.044 160.9944
60.000000 88.977 160.7060
60.799999 88.924 160.4147
61.500000 88.870 160.1477
62.200001 88.811 159.9260
63.000000 88.751 159.7270
64.000000 88.684 159.4541
65.000000 88.614 159.2037
66.000000 88.555 158.9698
67.000000 88.490 158.6738
68.000000 88.420 158.4937
69.000000 88.371 158.2955
70.000000 88.312 157.9637
71.000000 88.239 157.6963
72.000000 88.168 157.4712
73.000000 88.092 157.3062
74.000000 88.030 157.2323
75.000000 87.979 157.0838
76.199997 87.905 156.8551
77.500000 87.822 156.6780
78.800003 87.741 156.4681
80.000000 87.657 156.2764
81.199997 87.577 156.1767
82.500000 87.504 156.0355
83.800003 87.428 155.8934
85.000000 87.363 155.7556
86.199997 87.293 155.5882
87.500000 87.209 155.4084
88.500000 87.143 155.3178
90.000000 87.056 155.1993
91.199997 86.992 155.0760
92.500000 86.928 154.9881
93.800003 86.880 154.8914
95.000000 86.831 154.7132
96.199997 86.766 154.5981
97.500000 86.699 154.5757
98.800003 86.637 154.5238
100.000000 86.575 154.4420
101.500000 86.488 154.3742
103.000000 86.408 154.4182
104.400002 86.352 154.4844
106.000000 86.294 154.4535
107.500000 86.219 154.4099
109.000000 86.134 154.4762
110.599998 86.054 154.5663
112.000000 85.989 154.5617
113.800003 85.909 154.4965
115.000000 85.860 154.4749
117.199997 85.786 154.4840
118.000000 85.758 154.4885
120.599998 85.650 154.5782
122.000000 85.589 154.6266
124.099998 85.489 154.6586
125.000000 85.449 154.6943
126.500000 85.389 154.7462
128.000000 85.335 154.8163
131.500000 85.221 154.9747
132.000000 85.205 155.0043
134.000000 85.142 155.0746
136.000000 85.068 155.2137
138.000000 85.005 155.4150
140.000000 84.940 155.5215
143.000000 84.840 155.6956
145.000000 84.770 155.7154
147.500000 84.688 155.7878
150.000000 84.616 155.8495
152.500000 84.538 156.0479
155.000000 84.461 156.3538
157.500000 84.378 156.5352
160.000000 84.288 156.7128
162.500000 84.217 156.9796
165.000000 84.159 157.1594
167.500000 84.085 157.3103
170.000000 84.002 157.5252
172.500000 83.931 157.7657
175.000000 83.873 157.9636
177.500000 83.820 158.1586
180.000000 83.761 158.4117
182.500000 83.684 158.6765
185.000000 83.601 158.9164
187.500000 83.525 159.0151
190.000000 83.452 159.2596
192.500000 83.396 159.6875
195.000000 83.339 160.1044
197.500000 83.268 160.4342
200.000000 83.182 160.8262
203.000000 83.091 161.4706
206.000000 83.027 162.2094
209.000000 82.989 163.0506
212.000000 82.997 163.9633
214.000000 83.024 164.4437
218.000000 83.095 165.1575
220.000000 83.130 165.3983
224.000000 83.187 165.5958
227.000000 83.221 165.5559
230.000000 83.227 165.4643
233.000000 83.198 165.3553
236.000000 83.159 165.2506
240.000000 83.106 165.2293
243.000000 83.059 165.2832
247.000000 83.007 165.4662
250.000000 82.977 165.6024
254.000000 82.926 165.7561
258.000000 82.881 165.9432
262.000000 82.840 166.1947
265.000000 82.787 166.3544
269.000000 82.712 166.5110
272.000000 82.672 166.7232
276.000000 82.633 167.1866
280.000000 82.598 167.6237
285.000000 82.551 168.0379
290.000000 82.482 168.2529
295.000000 82.431 168.3154
300.000000 82.396 168.7518
304.000000 82.377 169.3463
307.000000 82.351 169.6456
311.000000 82.309 169.8461
315.000000 82.278 170.0299
320.000000 82.232 170.4934
325.000000 82.208 170.8620
330.000000 82.182 171.3118
335.000000 82.139 171.7565
340.000000 82.097 172.0114
345.000000 82.062 172.3110
350.000000 82.026 172.6469
355.000000 82.008 173.0103
360.000000 81.976 173.4981
365.000000 81.940 173.9047
370.000000 81.912 174.2138
375.000000 81.882 174.5864
382.000000 81.848 174.8531
387.000000 81.824 175.3164
395.000000 81.777 176.2478
400.000000 81.738 176.6945
406.000000 81.726 176.9967
412.000000 81.742 177.2817
418.000000 81.764 177.7461
425.000000 81.755 178.2402
431.000000 81.727 178.7306
437.000000 81.707 179.2991
444.000000 81.683 179.6175
450.000000 81.660 179.9293
455.000000 81.651 -179.7754
462.000000 81.633 -179.5189
468.000000 81.604 -179.1002
475.000000 81.584 -178.6677
482.000000 81.581 -178.3236
487.000000 81.561 -178.0532
494.000000 81.537 -177.5277
500.000000 81.515 -177.0178
508.000000 81.493 -176.4405
515.000000 81.481 -175.9179
522.000000 81.462 -175.3665
530.000000 81.466 -174.9541
538.000000 81.485 -174.4581
545.000000 81.481 -173.9471
552.000000 81.437 -173.5079
560.000000 81.393 -172.9103
570.000000 81.376 -172.2465
580.000000 81.377 -171.7412
590.000000 81.399 -170.9876
600.000000 81.407 -170.1434
608.000000 81.395 -169.5589
615.000000 81.373 -169.2675
622.000000 81.363 -168.9210
630.000000 81.368 -168.3891
640.000000 81.383 -167.6594
650.000000 81.411 -166.9240
660.000000 81.421 -166.2721
670.000000 81.426 -165.7511
680.000000 81.432 -165.0072
690.000000 81.459 -164.2455
700.000000 81.457 -163.7059
710.000000 81.457 -163.1672
720.000000 81.477 -162.4460
730.000000 81.512 -161.5957
740.000000 81.539 -160.9072
750.000000 81.535 -160.3442
762.000000 81.540 -159.5861
775.000000 81.597 -158.5450
788.000000 81.650 -157.7303
800.000000 81.689 -156.8501
812.000000 81.736 -156.0883
825.000000 81.769 -155.4471
838.000000 81.812 -154.6423
850.000000 81.882 -153.6754
862.000000 81.964 -152.7599
875.000000 82.034 -152.0905
885.000000 82.078 -151.5064
900.000000 82.142 -150.5680
912.000000 82.216 -149.8523
925.000000 82.307 -148.9821
938.000000 82.392 -148.1784
950.000000 82.485 -147.4444
962.000000 82.587 -146.7739
975.000000 82.699 -146.2202
988.000000 82.811 -145.6577
1000.000000 82.912 -145.0212
1015.000000 83.036 -144.3846
1030.000000 83.168 -143.8407
1044.000000 83.291 -143.4334
1060.000000 83.441 -143.0080
1075.000000 83.586 -142.6377
1090.000000 83.724 -142.2306
1106.000000 83.869 -141.8403
1120.000000 83.988 -141.5635
1138.000000 84.134 -141.3288
1150.000000 84.235 -141.1793
1172.000000 84.410 -140.9294
1180.000000 84.472 -140.8760
1206.000000 84.662 -140.7346
1220.000000 84.757 -140.6524
1241.000000 84.891 -140.5147
1250.000000 84.946 -140.4693
1265.000000 85.043 -140.3754
1280.000000 85.142 -140.2711
1315.000000 85.356 -140.1716
1320.000000 85.385 -140.1589
1340.000000 85.496 -140.1113
1360.000000 85.599 -139.9910
1380.000000 85.703 -139.8989
1400.000000 85.809 -139.8454
1430.000000 85.963 -139.7532
1450.000000 86.063 -139.6828
1475.000000 86.183 -139.5718
1500.000000 86.306 -139.4872
1525.000000 86.428 -139.4075
1550.000000 86.552 -139.3034
1575.000000 86.675 -139.2088
1600.000000 86.798 -139.1268
1625.000000 86.921 -139.0719
1650.000000 87.046 -139.0410
1675.000000 87.175 -139.0151
1700.000000 87.301 -138.9874
1725.000000 87.424 -138.9962
1750.000000 87.548 -139.0274
1775.000000 87.673 -139.0683
1800.000000 87.799 -139.1135
1825.000000 87.924 -139.1770
1850.000000 88.047 -139.2710
1875.000000 88.171 -139.3993
1900.000000 88.295 -139.5367
1925.000000 88.419 -139.6919
1950.000000 88.542 -139.8691
1975.000000 88.666 -140.0719
2000.000000 88.788 -140.2954
2030.000000 88.932 -140.5951
2060.000000 89.076 -140.9368
2090.000000 89.218 -141.3049
2120.000000 89.358 -141.7043
2140.000000 89.451 -141.9911
2180.000000 89.632 -142.6314
2200.000000 89.719 -142.9755
2240.000000 89.890 -143.6993
2270.000000 90.013 -144.2801
2300.000000 90.132 -144.8951
2330.000000 90.247 -145.5448
2360.000000 90.356 -146.2225
2400.000000 90.493 -147.1594
2430.000000 90.589 -147.8913
2470.000000 90.707 -148.8976
2500.000000 90.789 -149.6708
2540.000000 90.889 -150.7287
2580.000000 90.979 -151.8159
2620.000000 91.059 -152.9128
2650.000000 91.112 -153.7455
2690.000000 91.171 -154.8681
2720.000000 91.207 -155.7125
2760.000000 91.242 -156.8323
2800.000000 91.266 -157.9303
2850.000000 91.282 -159.2709
2900.000000 91.283 -160.5618
2950.000000 91.271 -161.7924
3000.000000 91.248 -162.9663
3040.000000 91.222 -163.8653
3070.000000 91.199 -164.5138
3110.000000 91.163 -165.3399
3150.000000 91.123 -166.1218
3200.000000 91.068 -167.0407
3250.000000 91.008 -167.9015
3300.000000 90.945 -168.7013
3350.000000 90.879 -169.4417
3400.000000 90.812 -170.1302
3450.000000 90.743 -170.7674
3500.000000 90.674 -171.3590
3550.000000 90.605 -171.9095
3600.000000 90.537 -172.4151
3650.000000 90.471 -172.8796
3700.000000 90.407 -173.3141
3750.000000 90.344 -173.7255
3820.000000 90.260 -174.2590
3870.000000 90.202 -174.6094
3950.000000 90.115 -175.1340
4000.000000 90.065 -175.4493
4060.000000 90.010 -175.8166
4120.000000 89.959 -176.1845
4180.000000 89.913 -176.5690
4250.000000 89.865 -177.0576
4310.000000 89.825 -177.5245
4370.000000 89.784 -178.0397
4440.000000 89.731 -178.6999
4500.000000 89.679 -179.3119
4550.000000 89.628 -179.8438
4620.000000 89.544 179.3932
4680.000000 89.460 178.7430
4750.000000 89.348 178.0164
4820.000000 89.223 177.3476
4870.000000 89.129 176.9138
4940.000000 88.995 176.3711
5000.000000 88.878 175.9548
5080.000000 88.720 175.4308
5150.000000 88.576 174.9888
5220.000000 88.423 174.6028
5300.000000 88.244 174.3000
5380.000000 88.082 174.0908
5450.000000 87.948 173.8134
5520.000000 87.795 173.4720
5600.000000 87.592 173.1888
5700.000000 87.323 173.1006
5800.000000 87.057 173.2879
5900.000000 86.806 173.7237
6000.000000 86.576 174.3413
