* Measurement data measured by REW V5.30.5
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -39.0 dBFS with no timing reference
* Dated: 08/03/2024 10:20:45 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Hexa L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 91.725 -0.8122
20.299999 91.696 -1.4024
20.600000 91.665 -1.9738
20.900000 91.635 -2.5250
21.200001 91.607 -3.0596
21.400000 91.589 -3.4106
21.799999 91.554 -4.1097
22.000000 91.536 -4.4597
22.400000 91.500 -5.1567
22.700001 91.470 -5.6685
23.000000 91.440 -6.1642
23.299999 91.409 -6.6434
23.600000 91.379 -7.1104
24.000000 91.339 -7.7239
24.299999 91.308 -8.1793
24.700001 91.264 -8.7703
25.000000 91.229 -9.1912
25.400000 91.181 -9.7131
25.799999 91.136 -10.1991
26.200001 91.096 -10.6736
26.500000 91.067 -11.0356
26.900000 91.027 -11.5305
27.200001 90.995 -11.9031
27.600000 90.947 -12.3834
28.000000 90.898 -12.8304
28.500000 90.839 -13.3476
29.000000 90.785 -13.8555
29.500000 90.734 -14.3883
30.000000 90.679 -14.9366
30.400000 90.631 -15.3575
30.700001 90.594 -15.6523
31.100000 90.549 -16.0242
31.500000 90.509 -16.3973
32.000000 90.461 -16.8986
32.500000 90.405 -17.4084
33.000000 90.342 -17.8372
33.500000 90.291 -18.1626
34.000000 90.263 -18.5130
34.500000 90.243 -19.0400
35.000000 90.194 -19.6992
35.500000 90.104 -20.2400
36.000000 90.007 -20.4696
36.500000 89.951 -20.5106
37.000000 89.938 -20.6939
37.500000 89.919 -21.1765
38.200001 89.814 -21.9327
38.700001 89.714 -22.1476
39.500000 89.633 -22.1741
40.000000 89.623 -22.4385
40.599998 89.582 -23.0527
41.200001 89.490 -23.6143
41.799999 89.390 -23.9044
42.500000 89.310 -24.0879
43.099998 89.263 -24.3141
43.700001 89.215 -24.6201
44.400002 89.153 -25.0064
45.000000 89.093 -25.3074
45.500000 89.042 -25.5173
46.200001 88.978 -25.7871
46.799999 88.925 -26.0496
47.500000 88.853 -26.3590
48.200001 88.778 -26.5985
48.700001 88.731 -26.7565
49.400002 88.667 -27.0346
50.000000 88.605 -27.3062
50.799999 88.511 -27.5962
51.500000 88.435 -27.7660
52.200001 88.370 -27.9133
53.000000 88.306 -28.1089
53.799999 88.245 -28.3671
54.500000 88.185 -28.6132
55.200001 88.118 -28.8145
56.000000 88.045 -28.9869
57.000000 87.959 -29.1970
58.000000 87.873 -29.4323
59.000000 87.780 -29.6664
60.000000 87.687 -29.8515
60.799999 87.618 -29.9792
61.500000 87.561 -30.0970
62.200001 87.506 -30.2241
63.000000 87.443 -30.3778
64.000000 87.362 -30.5434
65.000000 87.285 -30.6627
66.000000 87.212 -30.7951
67.000000 87.136 -30.9352
68.000000 87.058 -31.0450
69.000000 86.983 -31.1370
70.000000 86.909 -31.2410
71.000000 86.835 -31.3468
72.000000 86.762 -31.4376
73.000000 86.691 -31.5328
74.000000 86.620 -31.6336
75.000000 86.547 -31.7097
76.199997 86.462 -31.7633
77.500000 86.375 -31.8082
78.800003 86.288 -31.8695
80.000000 86.203 -31.8982
81.199997 86.125 -31.8920
82.500000 86.045 -31.9294
83.800003 85.963 -31.9647
85.000000 85.890 -31.9868
86.199997 85.819 -32.0028
87.500000 85.746 -32.0154
88.500000 85.689 -32.0322
90.000000 85.603 -32.0236
91.199997 85.537 -32.0100
92.500000 85.464 -31.9875
93.800003 85.393 -31.9556
95.000000 85.327 -31.9146
96.199997 85.265 -31.8680
97.500000 85.197 -31.8385
98.800003 85.127 -31.7930
100.000000 85.066 -31.7390
101.500000 84.991 -31.6661
103.000000 84.921 -31.6041
104.400002 84.856 -31.5606
106.000000 84.782 -31.5038
107.500000 84.713 -31.4525
109.000000 84.643 -31.3845
110.599998 84.569 -31.2747
112.000000 84.509 -31.1721
113.800003 84.432 -31.0780
115.000000 84.379 -31.0153
117.199997 84.286 -30.8745
118.000000 84.254 -30.8138
120.599998 84.148 -30.5803
122.000000 84.086 -30.4431
124.099998 83.994 -30.2021
125.000000 83.961 -30.1198
126.500000 83.910 -30.0594
128.000000 83.859 -30.0325
131.500000 83.746 -29.8500
132.000000 83.730 -29.8055
134.000000 83.663 -29.6282
136.000000 83.590 -29.4495
138.000000 83.518 -29.2719
140.000000 83.451 -29.1069
143.000000 83.357 -28.8685
145.000000 83.293 -28.6960
147.500000 83.216 -28.4604
150.000000 83.141 -28.2454
152.500000 83.066 -28.0005
155.000000 82.992 -27.7428
157.500000 82.920 -27.5020
160.000000 82.846 -27.2574
162.500000 82.775 -26.9933
165.000000 82.706 -26.7423
167.500000 82.636 -26.4802
170.000000 82.570 -26.1855
172.500000 82.502 -25.8641
175.000000 82.434 -25.5422
177.500000 82.366 -25.2266
180.000000 82.300 -24.8772
182.500000 82.235 -24.4514
185.000000 82.180 -23.9489
187.500000 82.139 -23.3715
190.000000 82.117 -22.7340
192.500000 82.117 -22.1526
195.000000 82.136 -21.7557
197.500000 82.165 -21.5478
200.000000 82.190 -21.4906
203.000000 82.191 -21.5435
206.000000 82.165 -21.6365
209.000000 82.130 -21.6913
212.000000 82.086 -21.6819
214.000000 82.051 -21.6476
218.000000 81.980 -21.5182
220.000000 81.944 -21.4088
224.000000 81.872 -21.1313
227.000000 81.822 -20.9615
230.000000 81.774 -20.7870
233.000000 81.727 -20.5684
236.000000 81.682 -20.3470
240.000000 81.628 -20.0725
243.000000 81.586 -19.8630
247.000000 81.529 -19.5342
250.000000 81.492 -19.3123
254.000000 81.438 -19.0382
258.000000 81.385 -18.7252
262.000000 81.341 -18.4240
265.000000 81.308 -18.2003
269.000000 81.262 -17.8903
272.000000 81.226 -17.6603
276.000000 81.182 -17.3479
280.000000 81.142 -17.0453
285.000000 81.096 -16.6745
290.000000 81.050 -16.4357
295.000000 81.011 -16.0417
300.000000 80.960 -15.5487
304.000000 80.914 -15.2485
307.000000 80.886 -15.0361
311.000000 80.848 -14.7649
315.000000 80.813 -14.4846
320.000000 80.773 -14.1240
325.000000 80.733 -13.7743
330.000000 80.693 -13.4272
335.000000 80.650 -13.0814
340.000000 80.607 -12.7224
345.000000 80.566 -12.3578
350.000000 80.527 -11.9970
355.000000 80.489 -11.6088
360.000000 80.454 -11.2387
365.000000 80.418 -10.8736
370.000000 80.382 -10.4816
375.000000 80.343 -10.0742
382.000000 80.287 -9.4697
387.000000 80.248 -9.0114
395.000000 80.197 -8.1447
400.000000 80.188 -7.5072
406.000000 80.199 -6.7957
412.000000 80.235 -6.2413
418.000000 80.282 -5.9199
425.000000 80.316 -5.7562
431.000000 80.315 -5.6984
437.000000 80.295 -5.6166
444.000000 80.259 -5.4392
450.000000 80.224 -5.2307
455.000000 80.191 -5.0212
462.000000 80.148 -4.6862
468.000000 80.116 -4.3829
475.000000 80.082 -4.0280
482.000000 80.049 -3.6444
487.000000 80.026 -3.3552
494.000000 79.995 -2.9518
500.000000 79.970 -2.5985
508.000000 79.934 -2.1335
515.000000 79.905 -1.7207
522.000000 79.879 -1.3036
530.000000 79.852 -0.8067
538.000000 79.826 -0.3234
545.000000 79.803 0.0947
552.000000 79.780 0.5116
560.000000 79.755 0.9943
570.000000 79.726 1.6284
580.000000 79.699 2.2416
590.000000 79.670 2.8464
600.000000 79.646 3.4398
608.000000 79.629 3.9192
615.000000 79.614 4.3534
622.000000 79.599 4.7976
630.000000 79.582 5.3018
640.000000 79.563 5.9246
650.000000 79.546 6.5453
660.000000 79.527 7.1765
670.000000 79.512 7.8278
680.000000 79.501 8.4678
690.000000 79.489 9.1035
700.000000 79.479 9.7563
710.000000 79.470 10.4287
720.000000 79.464 11.0961
730.000000 79.461 11.7471
740.000000 79.458 12.4012
750.000000 79.460 13.0716
762.000000 79.465 13.8853
775.000000 79.472 14.7634
788.000000 79.484 15.6466
800.000000 79.498 16.4592
812.000000 79.516 17.2889
825.000000 79.542 18.1658
838.000000 79.571 19.0424
850.000000 79.601 19.8550
862.000000 79.636 20.6536
875.000000 79.679 21.5088
885.000000 79.716 22.1685
900.000000 79.778 23.1492
912.000000 79.833 23.9056
925.000000 79.895 24.7091
938.000000 79.962 25.4896
950.000000 80.027 26.1897
962.000000 80.097 26.8623
975.000000 80.177 27.5554
988.000000 80.259 28.2102
1000.000000 80.339 28.7927
1015.000000 80.442 29.4767
1030.000000 80.545 30.1062
1044.000000 80.642 30.6660
1060.000000 80.754 31.2538
1075.000000 80.860 31.7426
1090.000000 80.965 32.1725
1106.000000 81.074 32.5783
1120.000000 81.167 32.9072
1138.000000 81.282 33.2772
1150.000000 81.358 33.4925
1172.000000 81.492 33.8283
1180.000000 81.538 33.9375
1206.000000 81.678 34.2512
1220.000000 81.748 34.4020
1241.000000 81.847 34.6017
1250.000000 81.887 34.6804
1265.000000 81.951 34.8029
1280.000000 82.010 34.9254
1315.000000 82.134 35.2181
1320.000000 82.150 35.2584
1340.000000 82.212 35.4200
1360.000000 82.269 35.5953
1380.000000 82.322 35.7882
1400.000000 82.370 35.9887
1430.000000 82.434 36.3149
1450.000000 82.471 36.5656
1475.000000 82.514 36.9157
1500.000000 82.553 37.3063
1525.000000 82.587 37.7527
1550.000000 82.620 38.2612
1575.000000 82.655 38.8497
1600.000000 82.695 39.5308
1625.000000 82.742 40.2966
1650.000000 82.804 41.1575
1675.000000 82.889 42.0810
1700.000000 83.000 43.0226
1725.000000 83.146 43.9034
1750.000000 83.323 44.5744
1775.000000 83.509 44.9398
1800.000000 83.678 45.0289
1825.000000 83.816 44.9642
1850.000000 83.923 44.8659
1875.000000 84.005 44.8233
1900.000000 84.072 44.8670
1925.000000 84.132 44.9932
1950.000000 84.189 45.1865
1975.000000 84.245 45.4451
2000.000000 84.300 45.7652
2030.000000 84.369 46.2228
2060.000000 84.444 46.7626
2090.000000 84.526 47.3970
2120.000000 84.622 48.1310
2140.000000 84.698 48.6723
2180.000000 84.894 49.7958
2200.000000 85.013 50.3200
2240.000000 85.287 51.1487
2270.000000 85.507 51.5413
2300.000000 85.731 51.7701
2330.000000 85.955 51.8491
2360.000000 86.179 51.7764
2400.000000 86.464 51.4272
2430.000000 86.656 51.0096
2470.000000 86.879 50.3737
2500.000000 87.026 49.9050
2540.000000 87.206 49.3364
2580.000000 87.378 48.8391
2620.000000 87.552 48.3956
2650.000000 87.688 48.0762
2690.000000 87.878 47.6312
2720.000000 88.029 47.2454
2760.000000 88.236 46.6158
2800.000000 88.442 45.8421
2850.000000 88.687 44.7252
2900.000000 88.925 43.5235
2950.000000 89.173 42.1876
3000.000000 89.431 40.5208
3040.000000 89.623 38.8624
3070.000000 89.747 37.4474
3110.000000 89.875 35.4006
3150.000000 89.956 33.2551
3200.000000 89.996 30.5503
3250.000000 89.978 27.9067
3300.000000 89.910 25.3772
3350.000000 89.799 22.9903
3400.000000 89.652 20.7640
3450.000000 89.473 18.7132
3500.000000 89.270 16.8551
3550.000000 89.048 15.1883
3600.000000 88.809 13.7095
3650.000000 88.557 12.4208
3700.000000 88.297 11.3176
3750.000000 88.030 10.3925
3820.000000 87.650 9.3861
3870.000000 87.377 8.8729
3950.000000 86.944 8.4023
4000.000000 86.679 8.3256
4060.000000 86.374 8.4297
4120.000000 86.084 8.7294
4180.000000 85.813 9.1907
4250.000000 85.522 9.8951
4310.000000 85.295 10.6049
4370.000000 85.087 11.3879
4440.000000 84.865 12.3818
4500.000000 84.694 13.2994
4550.000000 84.565 14.1051
4620.000000 84.407 15.2800
4680.000000 84.294 16.3082
4750.000000 84.186 17.4930
4820.000000 84.100 18.6271
4870.000000 84.050 19.3950
4940.000000 83.992 20.4062
5000.000000 83.951 21.2131
5080.000000 83.906 22.2104
5150.000000 83.871 23.0120
5220.000000 83.839 23.7438
5300.000000 83.802 24.5046
5380.000000 83.754 25.1722
5450.000000 83.680 25.7600
5520.000000 83.585 26.8233
