* Measurement data measured by REW V5.30.5
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -39.0 dBFS with no timing reference
* Dated: 08/03/2024 10:18:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Hexa R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 91.544 -1.5018
20.299999 91.511 -2.0719
20.600000 91.480 -2.6359
20.900000 91.449 -3.1935
21.200001 91.415 -3.7372
21.400000 91.393 -4.0869
21.799999 91.348 -4.7485
22.000000 91.327 -5.0626
22.400000 91.290 -5.6771
22.700001 91.266 -6.1467
23.000000 91.242 -6.6357
23.299999 91.215 -7.1398
23.600000 91.181 -7.6404
24.000000 91.128 -8.2587
24.299999 91.086 -8.6638
24.700001 91.036 -9.1335
25.000000 91.006 -9.4653
25.400000 90.976 -9.9394
25.799999 90.946 -10.4847
26.200001 90.906 -11.0797
26.500000 90.866 -11.5197
26.900000 90.803 -12.0490
27.200001 90.755 -12.3903
27.600000 90.695 -12.7885
28.000000 90.642 -13.1614
28.500000 90.581 -13.6360
29.000000 90.520 -14.1180
29.500000 90.459 -14.5865
30.000000 90.400 -15.0496
30.400000 90.354 -15.4285
30.700001 90.318 -15.7143
31.100000 90.266 -16.0801
31.500000 90.214 -16.4082
32.000000 90.153 -16.7606
32.500000 90.105 -17.0903
33.000000 90.067 -17.4586
33.500000 90.031 -17.8989
34.000000 89.988 -18.3993
34.500000 89.933 -18.9140
35.000000 89.866 -19.3853
35.500000 89.792 -19.7698
36.000000 89.720 -20.0615
36.500000 89.656 -20.2957
37.000000 89.603 -20.5258
37.500000 89.556 -20.7932
38.200001 89.486 -21.2463
38.700001 89.427 -21.5933
39.500000 89.317 -22.0824
40.000000 89.248 -22.3163
40.599998 89.172 -22.5520
41.200001 89.107 -22.7933
41.799999 89.046 -23.0695
42.500000 88.976 -23.4257
43.099998 88.913 -23.7353
43.700001 88.848 -24.0247
44.400002 88.774 -24.3177
45.000000 88.713 -24.5374
45.500000 88.665 -24.7101
46.200001 88.597 -24.9395
46.799999 88.539 -25.1102
47.500000 88.474 -25.2795
48.200001 88.413 -25.4672
48.700001 88.368 -25.6290
49.400002 88.296 -25.8508
50.000000 88.236 -26.0089
50.799999 88.164 -26.2559
51.500000 88.095 -26.5322
52.200001 88.020 -26.7496
53.000000 87.950 -26.9421
53.799999 87.887 -27.2291
54.500000 87.815 -27.4526
55.200001 87.742 -27.5164
56.000000 87.677 -27.4463
57.000000 87.633 -27.2865
58.000000 87.623 -27.4630
59.000000 87.543 -27.9830
60.000000 87.409 -28.1303
60.799999 87.326 -28.1134
61.500000 87.258 -28.1720
62.200001 87.189 -28.2491
63.000000 87.114 -28.3428
64.000000 87.025 -28.4819
65.000000 86.944 -28.5889
66.000000 86.874 -28.7024
67.000000 86.805 -28.8101
68.000000 86.737 -28.8929
69.000000 86.666 -28.9486
70.000000 86.594 -28.9635
71.000000 86.524 -28.9633
72.000000 86.456 -28.9574
73.000000 86.392 -28.9688
74.000000 86.327 -29.0049
75.000000 86.261 -29.0288
76.199997 86.185 -29.0417
77.500000 86.104 -29.0517
78.800003 86.025 -29.0782
80.000000 85.946 -29.0880
81.199997 85.871 -29.0476
82.500000 85.795 -28.9905
83.800003 85.726 -28.9410
85.000000 85.661 -28.9218
86.199997 85.594 -28.8932
87.500000 85.522 -28.8550
88.500000 85.468 -28.8232
90.000000 85.389 -28.7784
91.199997 85.328 -28.7360
92.500000 85.265 -28.6743
93.800003 85.204 -28.6048
95.000000 85.148 -28.5430
96.199997 85.091 -28.4780
97.500000 85.028 -28.4058
98.800003 84.963 -28.3269
100.000000 84.904 -28.2339
101.500000 84.837 -28.1219
103.000000 84.773 -28.0316
104.400002 84.714 -27.9353
106.000000 84.650 -27.7975
107.500000 84.593 -27.6605
109.000000 84.533 -27.5490
110.599998 84.467 -27.4316
112.000000 84.408 -27.3514
113.800003 84.334 -27.2568
115.000000 84.286 -27.1996
117.199997 84.202 -27.0226
118.000000 84.174 -26.9381
120.599998 84.088 -26.6561
122.000000 84.042 -26.5282
124.099998 83.971 -26.3612
125.000000 83.941 -26.2903
126.500000 83.893 -26.1504
128.000000 83.848 -26.0020
131.500000 83.741 -25.6625
132.000000 83.725 -25.6208
134.000000 83.660 -25.4515
136.000000 83.601 -25.2612
138.000000 83.548 -25.0818
140.000000 83.492 -24.8906
143.000000 83.405 -24.5793
145.000000 83.344 -24.3853
147.500000 83.271 -24.1154
150.000000 83.202 -23.8623
152.500000 83.135 -23.5986
155.000000 83.071 -23.3298
157.500000 83.009 -23.0343
160.000000 82.946 -22.7230
162.500000 82.884 -22.4076
165.000000 82.826 -22.0927
167.500000 82.767 -21.7677
170.000000 82.707 -21.3572
172.500000 82.662 -20.9655
175.000000 82.615 -20.6847
177.500000 82.564 -20.3392
180.000000 82.517 -19.8823
182.500000 82.478 -19.3716
185.000000 82.449 -18.8572
187.500000 82.435 -18.3499
190.000000 82.436 -17.9012
192.500000 82.447 -17.5245
195.000000 82.468 -17.2216
197.500000 82.493 -17.0275
200.000000 82.514 -16.9420
203.000000 82.521 -16.9583
206.000000 82.509 -17.0378
209.000000 82.486 -17.0797
212.000000 82.457 -17.0610
214.000000 82.433 -17.0307
218.000000 82.377 -16.9623
220.000000 82.347 -16.9139
224.000000 82.287 -16.6944
227.000000 82.243 -16.5118
230.000000 82.200 -16.3797
233.000000 82.160 -16.2435
236.000000 82.123 -16.0685
240.000000 82.072 -15.8197
243.000000 82.033 -15.6204
247.000000 81.987 -15.3394
250.000000 81.955 -15.1273
254.000000 81.913 -14.8545
258.000000 81.870 -14.5674
262.000000 81.831 -14.2880
265.000000 81.801 -14.0945
269.000000 81.756 -13.8484
272.000000 81.721 -13.6362
276.000000 81.684 -13.3375
280.000000 81.652 -13.0541
285.000000 81.611 -12.7063
290.000000 81.564 -12.3403
295.000000 81.527 -12.0253
300.000000 81.497 -11.7017
304.000000 81.467 -11.4415
307.000000 81.440 -11.2534
311.000000 81.406 -10.9722
315.000000 81.375 -10.6918
320.000000 81.337 -10.3363
325.000000 81.298 -9.9971
330.000000 81.261 -9.6684
335.000000 81.225 -9.3280
340.000000 81.191 -9.0195
345.000000 81.159 -8.6962
350.000000 81.123 -8.3533
355.000000 81.088 -8.0300
360.000000 81.054 -7.6805
365.000000 81.020 -7.3206
370.000000 80.978 -6.9575
375.000000 80.936 -6.5682
382.000000 80.897 -6.1016
387.000000 80.863 -5.7174
395.000000 80.804 -5.0104
400.000000 80.768 -4.5360
406.000000 80.731 -3.8872
412.000000 80.710 -3.1320
418.000000 80.712 -2.3486
425.000000 80.754 -1.5066
431.000000 80.814 -0.9854
437.000000 80.876 -0.7233
444.000000 80.922 -0.6758
450.000000 80.934 -0.7056
455.000000 80.927 -0.7036
462.000000 80.898 -0.6215
468.000000 80.867 -0.4826
475.000000 80.830 -0.2453
482.000000 80.796 0.0462
487.000000 80.772 0.2780
494.000000 80.739 0.6237
500.000000 80.710 0.9286
508.000000 80.676 1.3572
515.000000 80.648 1.7509
522.000000 80.622 2.1499
530.000000 80.594 2.5801
538.000000 80.566 3.0103
545.000000 80.542 3.4065
552.000000 80.521 3.8245
560.000000 80.500 4.3064
570.000000 80.473 4.9002
580.000000 80.448 5.5109
590.000000 80.420 6.1128
600.000000 80.397 6.7008
608.000000 80.381 7.1689
615.000000 80.367 7.6009
622.000000 80.352 8.0402
630.000000 80.337 8.5344
640.000000 80.320 9.1496
650.000000 80.304 9.7759
660.000000 80.292 10.4039
670.000000 80.280 11.0316
680.000000 80.269 11.6859
690.000000 80.261 12.3387
700.000000 80.254 13.0010
710.000000 80.248 13.6635
720.000000 80.244 14.3230
730.000000 80.244 14.9884
740.000000 80.245 15.6655
750.000000 80.248 16.3441
762.000000 80.256 17.1567
775.000000 80.269 18.0394
788.000000 80.285 18.9441
800.000000 80.304 19.7709
812.000000 80.329 20.5961
825.000000 80.360 21.4857
838.000000 80.393 22.3806
850.000000 80.429 23.2124
862.000000 80.469 24.0337
875.000000 80.517 24.9083
885.000000 80.558 25.5665
900.000000 80.626 26.5453
912.000000 80.685 27.3191
925.000000 80.753 28.1324
938.000000 80.827 28.9102
950.000000 80.898 29.6078
962.000000 80.973 30.2889
975.000000 81.058 31.0018
988.000000 81.146 31.6837
1000.000000 81.229 32.2790
1015.000000 81.335 32.9688
1030.000000 81.448 33.6069
1044.000000 81.555 34.1664
1060.000000 81.675 34.7461
1075.000000 81.787 35.2319
1090.000000 81.900 35.6715
1106.000000 82.018 36.0985
1120.000000 82.119 36.4326
1138.000000 82.245 36.8050
1150.000000 82.328 37.0286
1172.000000 82.472 37.3911
1180.000000 82.523 37.5027
1206.000000 82.680 37.8114
1220.000000 82.758 37.9579
1241.000000 82.871 38.1715
1250.000000 82.916 38.2533
1265.000000 82.989 38.3772
1280.000000 83.057 38.4964
1315.000000 83.206 38.7666
1320.000000 83.226 38.8051
1340.000000 83.302 38.9583
1360.000000 83.374 39.1192
1380.000000 83.442 39.2925
1400.000000 83.506 39.4718
1430.000000 83.597 39.7612
1450.000000 83.655 39.9664
1475.000000 83.723 40.2403
1500.000000 83.788 40.5270
1525.000000 83.852 40.8369
1550.000000 83.912 41.1755
1575.000000 83.969 41.5322
1600.000000 84.026 41.9085
1625.000000 84.082 42.3024
1650.000000 84.136 42.7281
1675.000000 84.188 43.2003
1700.000000 84.237 43.7122
1725.000000 84.285 44.2845
1750.000000 84.334 44.9420
1775.000000 84.387 45.7048
1800.000000 84.452 46.6000
1825.000000 84.541 47.6387
1850.000000 84.670 48.7625
1875.000000 84.851 49.8314
1900.000000 85.075 50.6501
1925.000000 85.316 51.0769
1950.000000 85.542 51.1405
1975.000000 85.734 50.9799
2000.000000 85.889 50.7448
2030.000000 86.037 50.5081
2060.000000 86.160 50.3922
2090.000000 86.271 50.4094
2120.000000 86.379 50.5523
2140.000000 86.452 50.7188
2180.000000 86.613 51.2010
2200.000000 86.704 51.4980
2240.000000 86.918 52.1474
2270.000000 87.109 52.6104
2300.000000 87.325 52.9908
2330.000000 87.562 53.2504
2360.000000 87.820 53.3485
2400.000000 88.183 53.1194
2430.000000 88.452 52.6412
2470.000000 88.783 51.6632
2500.000000 89.003 50.7719
2540.000000 89.261 49.4926
2580.000000 89.488 48.1716
2620.000000 89.695 46.8256
2650.000000 89.840 45.7935
2690.000000 90.020 44.3739
2720.000000 90.147 43.2694
2760.000000 90.302 41.7387
2800.000000 90.443 40.1419
2850.000000 90.594 38.0500
2900.000000 90.716 35.8502
2950.000000 90.805 33.5488
3000.000000 90.857 31.1609
3040.000000 90.865 29.2001
3070.000000 90.849 27.7256
3110.000000 90.798 25.8005
3150.000000 90.716 23.9730
3200.000000 90.581 21.8730
3250.000000 90.423 19.9773
3300.000000 90.250 18.2535
3350.000000 90.064 16.6611
3400.000000 89.866 15.1878
3450.000000 89.655 13.8431
3500.000000 89.431 12.6359
3550.000000 89.195 11.5806
3600.000000 88.951 10.6904
3650.000000 88.703 9.9578
3700.000000 88.454 9.3858
3750.000000 88.206 8.9808
3820.000000 87.870 8.6650
3870.000000 87.638 8.5933
3950.000000 87.287 8.6987
4000.000000 87.079 8.8854
4060.000000 86.842 9.2175
4120.000000 86.620 9.6642
4180.000000 86.416 10.2061
4250.000000 86.201 10.9308
4310.000000 86.035 11.6033
4370.000000 85.885 12.3053
4440.000000 85.732 13.1394
4500.000000 85.616 13.8475
4550.000000 85.530 14.4289
4620.000000 85.422 15.2185
4680.000000 85.342 15.8634
4750.000000 85.259 16.5713
4820.000000 85.183 17.2214
4870.000000 85.131 17.6508
4940.000000 85.062 18.2076
5000.000000 85.004 18.6501
5080.000000 84.926 19.2043
5150.000000 84.856 19.6646
5220.000000 84.783 20.1178
5300.000000 84.696 20.6357
5380.000000 84.606 21.1782
5450.000000 84.525 21.6785
5520.000000 84.445 22.2072
5600.000000 84.354 22.8557
