* Measurement data measured by REW V5.30.5
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -41.0 dBFS with no timing reference
* Dated: 08/03/2024 10:12:33 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Nova L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 93.244 171.1801
20.299999 93.185 170.6182
20.600000 93.134 170.1332
20.900000 93.096 169.6888
21.200001 93.072 169.2379
21.400000 93.062 168.9127
21.799999 93.045 168.1765
22.000000 93.035 167.7690
22.400000 93.001 166.9217
22.700001 92.962 166.3114
23.000000 92.917 165.7644
23.299999 92.871 165.2936
23.600000 92.830 164.8834
24.000000 92.789 164.3677
24.299999 92.764 163.9585
24.700001 92.728 163.3569
25.000000 92.694 162.8824
25.400000 92.635 162.2769
25.799999 92.568 161.7549
26.200001 92.503 161.3199
26.500000 92.462 161.0205
26.900000 92.414 160.6050
27.200001 92.380 160.2600
27.600000 92.332 159.7599
28.000000 92.275 159.2505
28.500000 92.198 158.6615
29.000000 92.126 158.1413
29.500000 92.065 157.6423
30.000000 92.014 157.1079
30.400000 91.975 156.6423
30.700001 91.945 156.2761
31.100000 91.903 155.7763
31.500000 91.858 155.2737
32.000000 91.796 154.6570
32.500000 91.727 154.0780
33.000000 91.654 153.5674
33.500000 91.585 153.1253
34.000000 91.523 152.6984
34.500000 91.461 152.2265
35.000000 91.384 151.7316
35.500000 91.288 151.3358
36.000000 91.191 151.1429
36.500000 91.123 151.0884
37.000000 91.093 150.9537
37.500000 91.072 150.5742
38.200001 90.995 149.7974
38.700001 90.905 149.3745
39.500000 90.786 149.0720
40.000000 90.749 148.8660
40.599998 90.711 148.4153
41.200001 90.650 147.8617
41.799999 90.571 147.3761
42.500000 90.481 146.9229
43.099998 90.408 146.5700
43.700001 90.337 146.2237
44.400002 90.254 145.8225
45.000000 90.180 145.4949
45.500000 90.119 145.2469
46.200001 90.039 144.9114
46.799999 89.975 144.5884
47.500000 89.893 144.1859
48.200001 89.807 143.8183
48.700001 89.749 143.5692
49.400002 89.667 143.2084
50.000000 89.592 142.9150
50.799999 89.493 142.6091
51.500000 89.415 142.3849
52.200001 89.343 142.1489
53.000000 89.262 141.8632
53.799999 89.180 141.5563
54.500000 89.102 141.2821
55.200001 89.020 141.0412
56.000000 88.929 140.8011
57.000000 88.819 140.4957
58.000000 88.709 140.2014
59.000000 88.604 139.9214
60.000000 88.499 139.6513
60.799999 88.417 139.4592
61.500000 88.347 139.2975
62.200001 88.279 139.1217
63.000000 88.197 138.9074
64.000000 88.089 138.6692
65.000000 87.983 138.4607
66.000000 87.877 138.2681
67.000000 87.778 138.0957
68.000000 87.684 137.8838
69.000000 87.585 137.6977
70.000000 87.494 137.5627
71.000000 87.407 137.3796
72.000000 87.310 137.2003
73.000000 87.212 137.0817
74.000000 87.118 136.9641
75.000000 87.022 136.8182
76.199997 86.903 136.6783
77.500000 86.783 136.5627
78.800003 86.669 136.4182
80.000000 86.566 136.3029
81.199997 86.466 136.1823
82.500000 86.352 136.0169
83.800003 86.228 135.9267
85.000000 86.122 135.9035
86.199997 86.021 135.8490
87.500000 85.911 135.8053
88.500000 85.830 135.7794
90.000000 85.709 135.7347
91.199997 85.611 135.6999
92.500000 85.500 135.6718
93.800003 85.388 135.6635
95.000000 85.286 135.6709
96.199997 85.190 135.6808
97.500000 85.088 135.6655
98.800003 84.985 135.6556
100.000000 84.888 135.6618
101.500000 84.768 135.6969
103.000000 84.648 135.7479
104.400002 84.536 135.8036
106.000000 84.410 135.8830
107.500000 84.291 135.9837
109.000000 84.173 136.1129
110.599998 84.045 136.2655
112.000000 83.930 136.4009
113.800003 83.777 136.6089
115.000000 83.676 136.7818
117.199997 83.497 137.2206
118.000000 83.436 137.4271
120.599998 83.260 138.1851
122.000000 83.179 138.6136
124.099998 83.085 139.1417
125.000000 83.048 139.2808
126.500000 82.981 139.4368
128.000000 82.904 139.5965
131.500000 82.718 140.0037
132.000000 82.688 140.0547
134.000000 82.563 140.2863
136.000000 82.425 140.5645
138.000000 82.265 141.0178
140.000000 82.098 141.7665
143.000000 81.891 143.4550
145.000000 81.825 144.8778
147.500000 81.867 146.6386
150.000000 82.008 147.6454
152.500000 82.149 147.6534
155.000000 82.218 147.0030
157.500000 82.198 146.2381
160.000000 82.104 145.6900
162.500000 81.975 145.3942
165.000000 81.839 145.2964
167.500000 81.708 145.3705
170.000000 81.574 145.5712
172.500000 81.443 145.8465
175.000000 81.323 146.1526
177.500000 81.216 146.4941
180.000000 81.110 146.8774
182.500000 81.004 147.2717
185.000000 80.903 147.6754
187.500000 80.809 148.0906
190.000000 80.716 148.5343
192.500000 80.623 149.0078
195.000000 80.535 149.5052
197.500000 80.455 149.9843
200.000000 80.376 150.4487
203.000000 80.285 151.0304
206.000000 80.198 151.6062
209.000000 80.116 152.1846
212.000000 80.037 152.7227
214.000000 79.984 153.0924
218.000000 79.883 153.8779
220.000000 79.834 154.2728
224.000000 79.741 155.0777
227.000000 79.676 155.6782
230.000000 79.614 156.2725
233.000000 79.553 156.8606
236.000000 79.496 157.4594
240.000000 79.421 158.2358
243.000000 79.366 158.8370
247.000000 79.297 159.6400
250.000000 79.248 160.2226
254.000000 79.187 160.9731
258.000000 79.126 161.7327
262.000000 79.063 162.5237
265.000000 79.015 163.1294
269.000000 78.955 163.9406
272.000000 78.914 164.5544
276.000000 78.859 165.3996
280.000000 78.805 166.3460
285.000000 78.760 167.7162
290.000000 78.761 169.1973
295.000000 78.834 170.5852
300.000000 78.944 171.4362
304.000000 79.005 171.7151
307.000000 79.025 171.8414
311.000000 79.023 172.0535
315.000000 79.006 172.3545
320.000000 78.983 172.8262
325.000000 78.959 173.3618
330.000000 78.934 173.9513
335.000000 78.912 174.5751
340.000000 78.895 175.2069
345.000000 78.882 175.8511
350.000000 78.875 176.4774
355.000000 78.870 177.0703
360.000000 78.866 177.6766
365.000000 78.865 178.2858
370.000000 78.866 178.8882
375.000000 78.865 179.4799
382.000000 78.868 -179.7124
387.000000 78.875 -179.1436
395.000000 78.889 -178.2758
400.000000 78.896 -177.7272
406.000000 78.905 -177.0757
412.000000 78.916 -176.4750
418.000000 78.929 -175.9065
425.000000 78.944 -175.2472
431.000000 78.959 -174.6675
437.000000 78.974 -174.1243
444.000000 78.990 -173.4951
450.000000 79.007 -172.9668
455.000000 79.019 -172.5628
462.000000 79.034 -171.9697
468.000000 79.050 -171.4596
475.000000 79.069 -170.8841
482.000000 79.090 -170.3303
487.000000 79.106 -169.9291
494.000000 79.127 -169.3874
500.000000 79.142 -168.9280
508.000000 79.162 -168.3233
515.000000 79.182 -167.8241
522.000000 79.202 -167.3078
530.000000 79.225 -166.7119
538.000000 79.248 -166.1478
545.000000 79.267 -165.6853
552.000000 79.285 -165.2185
560.000000 79.306 -164.6793
570.000000 79.330 -163.9958
580.000000 79.358 -163.3377
590.000000 79.384 -162.6943
600.000000 79.411 -162.0225
608.000000 79.432 -161.4903
615.000000 79.449 -161.0388
622.000000 79.466 -160.6017
630.000000 79.485 -160.0984
640.000000 79.515 -159.4734
650.000000 79.546 -158.8327
660.000000 79.575 -158.1895
670.000000 79.601 -157.5655
680.000000 79.628 -156.9421
690.000000 79.657 -156.3238
700.000000 79.688 -155.6833
710.000000 79.718 -155.0151
720.000000 79.749 -154.3625
730.000000 79.782 -153.7164
740.000000 79.817 -153.0662
750.000000 79.853 -152.4183
762.000000 79.896 -151.6466
775.000000 79.947 -150.8131
788.000000 80.000 -149.9853
800.000000 80.052 -149.2159
812.000000 80.107 -148.4324
825.000000 80.169 -147.5719
838.000000 80.234 -146.7254
850.000000 80.299 -145.9550
862.000000 80.370 -145.1830
875.000000 80.451 -144.3672
885.000000 80.517 -143.7507
900.000000 80.619 -142.8344
912.000000 80.702 -142.1176
925.000000 80.798 -141.3674
938.000000 80.900 -140.6331
950.000000 80.996 -139.9692
962.000000 81.093 -139.3338
975.000000 81.201 -138.6831
988.000000 81.314 -138.0664
1000.000000 81.421 -137.5313
1015.000000 81.557 -136.9032
1030.000000 81.695 -136.3091
1044.000000 81.824 -135.8110
1060.000000 81.973 -135.3110
1075.000000 82.113 -134.8928
1090.000000 82.251 -134.5104
1106.000000 82.395 -134.1545
1120.000000 82.520 -133.8847
1138.000000 82.676 -133.5845
1150.000000 82.777 -133.4159
1172.000000 82.954 -133.1612
1180.000000 83.016 -133.0811
1206.000000 83.211 -132.8690
1220.000000 83.310 -132.7719
1241.000000 83.453 -132.6553
1250.000000 83.512 -132.6135
1265.000000 83.607 -132.5480
1280.000000 83.697 -132.4857
1315.000000 83.895 -132.3522
1320.000000 83.922 -132.3344
1340.000000 84.026 -132.2567
1360.000000 84.126 -132.1672
1380.000000 84.221 -132.0725
1400.000000 84.314 -131.9699
1430.000000 84.447 -131.7891
1450.000000 84.531 -131.6557
1475.000000 84.636 -131.4693
1500.000000 84.741 -131.2650
1525.000000 84.843 -131.0550
1550.000000 84.944 -130.8241
1575.000000 85.045 -130.5810
1600.000000 85.148 -130.3193
1625.000000 85.251 -130.0534
1650.000000 85.355 -129.7836
1675.000000 85.460 -129.5032
1700.000000 85.567 -129.2162
1725.000000 85.675 -128.9297
1750.000000 85.785 -128.6388
1775.000000 85.897 -128.3473
1800.000000 86.013 -128.0574
1825.000000 86.132 -127.7724
1850.000000 86.255 -127.4920
1875.000000 86.381 -127.2313
1900.000000 86.510 -126.9906
1925.000000 86.640 -126.7695
1950.000000 86.772 -126.5672
1975.000000 86.905 -126.3781
2000.000000 87.040 -126.2047
2030.000000 87.206 -126.0224
2060.000000 87.374 -125.8666
2090.000000 87.544 -125.7441
2120.000000 87.717 -125.6565
2140.000000 87.835 -125.6169
2180.000000 88.072 -125.5856
2200.000000 88.193 -125.5986
2240.000000 88.437 -125.6825
2270.000000 88.622 -125.8008
2300.000000 88.809 -125.9697
2330.000000 88.997 -126.1915
2360.000000 89.187 -126.4682
2400.000000 89.440 -126.9258
2430.000000 89.630 -127.3398
2470.000000 89.882 -128.0003
2500.000000 90.068 -128.5836
2540.000000 90.312 -129.4848
2580.000000 90.546 -130.5263
2620.000000 90.769 -131.7085
2650.000000 90.926 -132.6814
2690.000000 91.119 -134.0786
2720.000000 91.249 -135.1930
2760.000000 91.402 -136.7554
2800.000000 91.531 -138.3874
2850.000000 91.654 -140.4946
2900.000000 91.736 -142.6273
2950.000000 91.776 -144.7266
3000.000000 91.776 -146.7340
3040.000000 91.753 -148.2362
3070.000000 91.725 -149.2911
3110.000000 91.682 -150.6048
3150.000000 91.636 -151.8441
3200.000000 91.575 -153.3684
3250.000000 91.499 -154.9178
3300.000000 91.396 -156.4462
3350.000000 91.263 -157.8664
3400.000000 91.108 -159.1169
3450.000000 90.939 -160.1773
3500.000000 90.764 -161.0542
3550.000000 90.589 -161.7680
3600.000000 90.414 -162.3362
3650.000000 90.244 -162.7693
3700.000000 90.080 -163.0810
3750.000000 89.922 -163.2887
3820.000000 89.716 -163.4218
3870.000000 89.581 -163.4248
3950.000000 89.383 -163.3166
4000.000000 89.273 -163.1897
4060.000000 89.154 -162.9837
4120.000000 89.051 -162.7440
4180.000000 88.963 -162.5022
4250.000000 88.876 -162.2451
4310.000000 88.814 -162.0529
4370.000000 88.762 -161.8997
4440.000000 88.710 -161.7905
4500.000000 88.671 -161.7569
4550.000000 88.642 -161.7769
4620.000000 88.603 -161.8914
4680.000000 88.566 -162.0775
4750.000000 88.516 -162.3883
4820.000000 88.452 -162.7781
4870.000000 88.395 -163.0900
4940.000000 88.301 -163.5548
5000.000000 88.203 -163.9539
5080.000000 88.048 -164.4355
5150.000000 87.891 -164.7598
5220.000000 87.717 -164.9431
5300.000000 87.508 -164.9383
5380.000000 87.300 -164.7036
5450.000000 87.127 -164.3335
5520.000000 86.969 -163.8311
5600.000000 86.809 -163.1331
5700.000000 86.643 -162.1253
5800.000000 86.518 -161.0229
