* Measurement data measured by REW V5.30.5
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -41.0 dBFS with no timing reference
* Dated: 08/03/2024 10:11:11 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Nova R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 92.969 172.7243
20.299999 92.983 172.4160
20.600000 93.007 171.9601
20.900000 93.029 171.3624
21.200001 93.039 170.6672
21.400000 93.037 170.1811
21.799999 93.012 169.2361
22.000000 92.993 168.8051
22.400000 92.951 168.0540
22.700001 92.924 167.5724
23.000000 92.905 167.1237
23.299999 92.893 166.6677
23.600000 92.885 166.1759
24.000000 92.867 165.4565
24.299999 92.844 164.8940
24.700001 92.796 164.1737
25.000000 92.751 163.6905
25.400000 92.686 163.1392
25.799999 92.624 162.6709
26.200001 92.567 162.2448
26.500000 92.526 161.9380
26.900000 92.474 161.5453
27.200001 92.437 161.2643
27.600000 92.395 160.8904
28.000000 92.362 160.4746
28.500000 92.323 159.8372
29.000000 92.269 159.0976
29.500000 92.190 158.3892
30.000000 92.103 157.8172
30.400000 92.040 157.4485
30.700001 91.998 157.1981
31.100000 91.946 156.8824
31.500000 91.899 156.5955
32.000000 91.851 156.2791
32.500000 91.824 155.9146
33.000000 91.803 155.3611
33.500000 91.748 154.6537
34.000000 91.641 154.0674
34.500000 91.518 153.8680
35.000000 91.438 153.9973
35.500000 91.427 154.0894
36.000000 91.452 153.8314
36.500000 91.464 153.2051
37.000000 91.442 152.3683
37.500000 91.385 151.4597
38.200001 91.244 150.2617
38.700001 91.110 149.6561
39.500000 90.922 149.2815
40.000000 90.860 149.1555
40.599998 90.815 148.7900
41.200001 90.754 148.2631
41.799999 90.675 147.8192
42.500000 90.597 147.4371
43.099998 90.542 147.0797
43.700001 90.480 146.6849
44.400002 90.400 146.2660
45.000000 90.331 145.9447
45.500000 90.274 145.6874
46.200001 90.195 145.3412
46.799999 90.131 145.0298
47.500000 90.057 144.6057
48.200001 89.971 144.1613
48.700001 89.905 143.8752
49.400002 89.815 143.5256
50.000000 89.741 143.2581
50.799999 89.649 142.9354
51.500000 89.577 142.6511
52.200001 89.505 142.3397
53.000000 89.418 142.0026
53.799999 89.332 141.7073
54.500000 89.258 141.4440
55.200001 89.180 141.1920
56.000000 89.093 140.9530
57.000000 88.994 140.6486
58.000000 88.894 140.2953
59.000000 88.791 139.9370
60.000000 88.683 139.5895
60.799999 88.596 139.3552
61.500000 88.523 139.1751
62.200001 88.453 138.9969
63.000000 88.375 138.7882
64.000000 88.279 138.5217
65.000000 88.180 138.2703
66.000000 88.083 138.0721
67.000000 87.995 137.8706
68.000000 87.906 137.5927
69.000000 87.803 137.3250
70.000000 87.699 137.1439
71.000000 87.605 136.9626
72.000000 87.508 136.7371
73.000000 87.404 136.5448
74.000000 87.304 136.4155
75.000000 87.211 136.3071
76.199997 87.107 136.1365
77.500000 86.989 135.9196
78.800003 86.867 135.7451
80.000000 86.754 135.6122
81.199997 86.645 135.5156
82.500000 86.533 135.4078
83.800003 86.422 135.2890
85.000000 86.320 135.1761
86.199997 86.217 135.0615
87.500000 86.104 134.9778
88.500000 86.021 134.9323
90.000000 85.901 134.8552
91.199997 85.805 134.7910
92.500000 85.698 134.7109
93.800003 85.586 134.6682
95.000000 85.485 134.6738
96.199997 85.389 134.6947
97.500000 85.292 134.6750
98.800003 85.191 134.6118
100.000000 85.092 134.5694
101.500000 84.970 134.5751
103.000000 84.855 134.5945
104.400002 84.751 134.5888
106.000000 84.629 134.5843
107.500000 84.512 134.5947
109.000000 84.392 134.6078
110.599998 84.258 134.6483
112.000000 84.139 134.7028
113.800003 83.980 134.7982
115.000000 83.874 134.8915
117.199997 83.680 135.0979
118.000000 83.608 135.1869
120.599998 83.368 135.5963
122.000000 83.237 135.8947
124.099998 83.020 136.4578
125.000000 82.922 136.8152
126.500000 82.757 137.5681
128.000000 82.596 138.6035
131.500000 82.447 142.4830
132.000000 82.476 143.0727
134.000000 82.717 144.7222
136.000000 83.004 144.6954
138.000000 83.165 143.5424
140.000000 83.174 142.2264
143.000000 83.018 140.8831
145.000000 82.876 140.4249
147.500000 82.694 140.1338
150.000000 82.518 140.0505
152.500000 82.350 140.1367
155.000000 82.189 140.3423
157.500000 82.035 140.6559
160.000000 81.893 141.0727
162.500000 81.770 141.5928
165.000000 81.675 142.1398
167.500000 81.595 142.5293
170.000000 81.506 142.8026
172.500000 81.408 143.0345
175.000000 81.304 143.2707
177.500000 81.198 143.5640
180.000000 81.094 143.9202
182.500000 80.992 144.2897
185.000000 80.891 144.6454
187.500000 80.792 145.0264
190.000000 80.696 145.4380
192.500000 80.604 145.8616
195.000000 80.514 146.2930
197.500000 80.425 146.7286
200.000000 80.339 147.1534
203.000000 80.240 147.7179
206.000000 80.151 148.3052
209.000000 80.062 148.8593
212.000000 79.972 149.4207
214.000000 79.916 149.7974
218.000000 79.809 150.5494
220.000000 79.757 150.9332
224.000000 79.654 151.6764
227.000000 79.575 152.2544
230.000000 79.500 152.8381
233.000000 79.429 153.4197
236.000000 79.363 154.0039
240.000000 79.275 154.7838
243.000000 79.210 155.3298
247.000000 79.137 156.1020
250.000000 79.084 156.6817
254.000000 79.004 157.4852
258.000000 78.930 158.2964
262.000000 78.859 159.1085
265.000000 78.807 159.7076
269.000000 78.742 160.5195
272.000000 78.695 161.1294
276.000000 78.636 161.9262
280.000000 78.573 162.7610
285.000000 78.482 163.9729
290.000000 78.403 165.4565
295.000000 78.374 167.2667
300.000000 78.449 169.1576
304.000000 78.590 170.2352
307.000000 78.707 170.5966
311.000000 78.823 170.6115
315.000000 78.868 170.4280
320.000000 78.855 170.3477
325.000000 78.810 170.5647
330.000000 78.762 170.9987
335.000000 78.724 171.5210
340.000000 78.693 172.0976
345.000000 78.664 172.6963
350.000000 78.639 173.2843
355.000000 78.617 173.9166
360.000000 78.600 174.5384
365.000000 78.584 175.1338
370.000000 78.573 175.7378
375.000000 78.574 176.3550
382.000000 78.573 177.1997
387.000000 78.573 177.7802
395.000000 78.576 178.6727
400.000000 78.579 179.1959
406.000000 78.582 179.8017
412.000000 78.588 -179.5677
418.000000 78.597 -178.9308
425.000000 78.607 -178.2259
431.000000 78.613 -177.6349
437.000000 78.621 -177.0564
444.000000 78.629 -176.4054
450.000000 78.638 -175.8785
455.000000 78.647 -175.4036
462.000000 78.664 -174.7584
468.000000 78.679 -174.2422
475.000000 78.696 -173.6462
482.000000 78.711 -173.0822
487.000000 78.724 -172.6731
494.000000 78.745 -172.0997
500.000000 78.758 -171.6162
508.000000 78.772 -170.9981
515.000000 78.789 -170.4638
522.000000 78.809 -169.9213
530.000000 78.831 -169.3439
538.000000 78.849 -168.7632
545.000000 78.868 -168.2458
552.000000 78.886 -167.7368
560.000000 78.905 -167.1610
570.000000 78.931 -166.4941
580.000000 78.961 -165.8312
590.000000 78.985 -165.1587
600.000000 79.011 -164.4787
608.000000 79.033 -163.9470
615.000000 79.052 -163.4906
622.000000 79.071 -163.0349
630.000000 79.093 -162.5181
640.000000 79.121 -161.8676
650.000000 79.149 -161.2216
660.000000 79.177 -160.5893
670.000000 79.204 -159.9488
680.000000 79.231 -159.2998
690.000000 79.260 -158.6467
700.000000 79.289 -158.0042
710.000000 79.321 -157.3603
720.000000 79.355 -156.7113
730.000000 79.388 -156.0635
740.000000 79.421 -155.4196
750.000000 79.455 -154.7749
762.000000 79.498 -153.9926
775.000000 79.550 -153.1461
788.000000 79.606 -152.3059
800.000000 79.661 -151.5325
812.000000 79.718 -150.7488
825.000000 79.783 -149.8872
838.000000 79.851 -149.0447
850.000000 79.918 -148.2806
862.000000 79.988 -147.5212
875.000000 80.067 -146.7026
885.000000 80.131 -146.0823
900.000000 80.233 -145.1797
912.000000 80.318 -144.4718
925.000000 80.415 -143.7235
938.000000 80.515 -142.9878
950.000000 80.612 -142.3343
962.000000 80.712 -141.7157
975.000000 80.825 -141.0830
988.000000 80.941 -140.4724
1000.000000 81.049 -139.9466
1015.000000 81.187 -139.3475
1030.000000 81.327 -138.7845
1044.000000 81.459 -138.3001
1060.000000 81.608 -137.8009
1075.000000 81.748 -137.3859
1090.000000 81.887 -137.0203
1106.000000 82.034 -136.6844
1120.000000 82.160 -136.4419
1138.000000 82.317 -136.1699
1150.000000 82.418 -136.0092
1172.000000 82.598 -135.7674
1180.000000 82.662 -135.6961
1206.000000 82.861 -135.5199
1220.000000 82.961 -135.4491
1241.000000 83.104 -135.3582
1250.000000 83.163 -135.3259
1265.000000 83.258 -135.2858
1280.000000 83.349 -135.2534
1315.000000 83.550 -135.1772
1320.000000 83.578 -135.1658
1340.000000 83.682 -135.1156
1360.000000 83.781 -135.0605
1380.000000 83.877 -134.9999
1400.000000 83.969 -134.9288
1430.000000 84.101 -134.8062
1450.000000 84.186 -134.7105
1475.000000 84.292 -134.5802
1500.000000 84.395 -134.4281
1525.000000 84.497 -134.2552
1550.000000 84.597 -134.0647
1575.000000 84.697 -133.8670
1600.000000 84.797 -133.6523
1625.000000 84.898 -133.4275
1650.000000 85.000 -133.2012
1675.000000 85.102 -132.9668
1700.000000 85.207 -132.7255
1725.000000 85.315 -132.4676
1750.000000 85.425 -132.1942
1775.000000 85.540 -131.9264
1800.000000 85.660 -131.6816
1825.000000 85.783 -131.4689
1850.000000 85.906 -131.2802
1875.000000 86.029 -131.1081
1900.000000 86.152 -130.9458
1925.000000 86.276 -130.7907
1950.000000 86.403 -130.6518
1975.000000 86.531 -130.5255
2000.000000 86.662 -130.4160
2030.000000 86.821 -130.3049
2060.000000 86.982 -130.2234
2090.000000 87.146 -130.1734
2120.000000 87.312 -130.1594
2140.000000 87.425 -130.1711
2180.000000 87.653 -130.2529
2200.000000 87.767 -130.3250
2240.000000 87.998 -130.5303
2270.000000 88.171 -130.7414
2300.000000 88.344 -131.0055
2330.000000 88.517 -131.3190
2360.000000 88.688 -131.6839
2400.000000 88.914 -132.2598
2430.000000 89.081 -132.7619
2470.000000 89.299 -133.5154
2500.000000 89.457 -134.1479
2540.000000 89.659 -135.0729
2580.000000 89.850 -136.0897
2620.000000 90.029 -137.1991
2650.000000 90.154 -138.0852
2690.000000 90.308 -139.3303
2720.000000 90.412 -140.3111
2760.000000 90.535 -141.6712
2800.000000 90.637 -143.0783
2850.000000 90.733 -144.8577
2900.000000 90.798 -146.5961
2950.000000 90.842 -148.2504
3000.000000 90.878 -149.8491
3040.000000 90.903 -151.1769
3070.000000 90.913 -152.2341
3110.000000 90.905 -153.7070
3150.000000 90.867 -155.1824
3200.000000 90.778 -156.9172
3250.000000 90.657 -158.4496
3300.000000 90.518 -159.7563
3350.000000 90.372 -160.8604
3400.000000 90.225 -161.7955
3450.000000 90.079 -162.5970
3500.000000 89.936 -163.2892
3550.000000 89.795 -163.8868
3600.000000 89.656 -164.4002
3650.000000 89.519 -164.8464
3700.000000 89.386 -165.2261
3750.000000 89.255 -165.5445
3820.000000 89.076 -165.9002
3870.000000 88.952 -166.0862
3950.000000 88.757 -166.2747
4000.000000 88.640 -166.3324
4060.000000 88.505 -166.3375
4120.000000 88.376 -166.2763
4180.000000 88.257 -166.1586
4250.000000 88.132 -165.9806
4310.000000 88.037 -165.8255
4370.000000 87.951 -165.6842
4440.000000 87.860 -165.5556
4500.000000 87.786 -165.4826
4550.000000 87.727 -165.4530
4620.000000 87.645 -165.4733
4680.000000 87.570 -165.5529
4750.000000 87.472 -165.7088
4820.000000 87.356 -165.8916
4870.000000 87.260 -166.0027
4940.000000 87.112 -166.0806
5000.000000 86.976 -166.0439
5080.000000 86.791 -165.8411
5150.000000 86.633 -165.5388
5220.000000 86.482 -165.1393
5300.000000 86.316 -164.5856
5380.000000 86.160 -163.9350
5450.000000 86.034 -163.2834
5520.000000 85.920 -162.5630
5600.000000 85.804 -161.6711
5700.000000 85.687 -160.4667
5800.000000 85.606 -159.1859
