* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 09/11/2023 12:07:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ultimate Ears Live L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.689	-162.8641
20.299999	101.670	-163.3438
20.600000	101.653	-163.7308
20.900000	101.645	-164.0610
21.200001	101.646	-164.3881
21.400000	101.648	-164.6220
21.799999	101.653	-165.1149
22.000000	101.654	-165.3602
22.400000	101.652	-165.8087
22.700001	101.653	-166.1013
23.000000	101.661	-166.3828
23.299999	101.675	-166.6957
23.600000	101.689	-167.0609
24.000000	101.696	-167.6163
24.299999	101.688	-168.0300
24.700001	101.662	-168.4915
25.000000	101.640	-168.7392
25.400000	101.621	-168.9675
25.799999	101.619	-169.1797
26.200001	101.627	-169.4653
26.500000	101.631	-169.7337
26.900000	101.627	-170.1203
27.200001	101.618	-170.3919
27.600000	101.604	-170.7027
28.000000	101.596	-170.9764
28.500000	101.596	-171.3386
29.000000	101.599	-171.7638
29.500000	101.597	-172.2171
30.000000	101.592	-172.6458
30.400000	101.589	-172.9630
30.700001	101.588	-173.1924
31.100000	101.590	-173.4971
31.500000	101.591	-173.8042
32.000000	101.589	-174.1831
32.500000	101.581	-174.5276
33.000000	101.567	-174.7976
33.500000	101.553	-174.9760
34.000000	101.547	-175.0918
34.500000	101.549	-175.2081
35.000000	101.555	-175.3733
35.500000	101.555	-175.5948
36.000000	101.549	-175.8481
36.500000	101.538	-176.1165
37.000000	101.525	-176.4125
37.500000	101.510	-176.7576
38.200001	101.476	-177.2851
38.700001	101.446	-177.6129
39.500000	101.418	-178.0168
40.000000	101.417	-178.2792
40.599998	101.416	-178.6058
41.200001	101.416	-178.8208
41.799999	101.431	-178.9357
42.500000	101.453	-179.1064
43.099998	101.447	-179.1942
43.700001	101.435	-179.0994
44.400002	101.426	-179.0094
45.000000	101.381	-179.0533
45.500000	101.315	-178.9598
46.200001	101.247	-178.7787
46.799999	101.181	-179.2493
47.500000	100.895	-179.9374
48.200001	100.491	-178.3777
48.700001	100.452	-176.0132
49.400002	100.879	-174.2212
50.000000	101.258	-175.7116
50.799999	101.341	-179.2161
51.500000	101.226	179.1338
52.200001	101.206	178.3703
53.000000	101.239	177.4566
53.799999	101.252	176.8857
54.500000	101.285	176.6719
55.200001	101.314	176.4716
56.000000	101.317	176.3828
57.000000	101.310	176.4028
58.000000	101.279	176.3293
59.000000	101.243	176.1954
60.000000	101.214	175.8453
60.799999	101.188	175.4749
61.500000	101.169	175.1692
62.200001	101.157	174.8990
63.000000	101.152	174.6285
64.000000	101.149	174.3483
65.000000	101.142	174.1364
66.000000	101.126	173.9766
67.000000	101.103	173.8093
68.000000	101.074	173.5929
69.000000	101.041	173.3496
70.000000	101.014	173.0909
71.000000	100.995	172.8164
72.000000	100.977	172.5582
73.000000	100.961	172.3622
74.000000	100.948	172.2115
75.000000	100.934	172.0527
76.199997	100.908	171.8423
77.500000	100.876	171.5995
78.800003	100.846	171.3126
80.000000	100.819	171.0172
81.199997	100.790	170.7690
82.500000	100.767	170.5660
83.800003	100.746	170.3487
85.000000	100.717	170.1577
86.199997	100.686	170.0016
87.500000	100.656	169.8249
88.500000	100.633	169.6660
90.000000	100.601	169.4272
91.199997	100.580	169.2512
92.500000	100.562	169.0506
93.800003	100.542	168.8464
95.000000	100.521	168.6869
96.199997	100.497	168.5231
97.500000	100.459	168.3463
98.800003	100.416	168.2491
100.000000	100.392	168.1431
101.500000	100.364	167.8291
103.000000	100.322	167.4894
104.400002	100.280	167.2516
106.000000	100.239	167.0639
107.500000	100.202	166.8907
109.000000	100.158	166.7041
110.599998	100.106	166.5268
112.000000	100.062	166.3835
113.800003	100.008	166.1999
115.000000	99.969	166.1029
117.199997	99.896	166.0039
118.000000	99.869	165.9772
120.599998	99.769	165.9054
122.000000	99.712	165.9042
124.099998	99.626	165.9720
125.000000	99.588	166.0371
126.500000	99.521	166.2310
128.000000	99.457	166.5670
131.500000	99.361	167.8864
132.000000	99.359	168.1270
134.000000	99.400	169.1493
136.000000	99.535	170.0050
138.000000	99.734	170.3062
140.000000	99.929	169.9258
143.000000	100.118	168.5539
145.000000	100.168	167.4889
147.500000	100.174	166.2275
150.000000	100.139	165.1051
152.500000	100.077	164.1290
155.000000	99.992	163.3503
157.500000	99.903	162.7582
160.000000	99.816	162.2657
162.500000	99.731	161.8501
165.000000	99.652	161.4765
167.500000	99.574	161.1230
170.000000	99.497	160.8086
172.500000	99.424	160.5201
175.000000	99.350	160.2567
177.500000	99.276	160.0406
180.000000	99.207	159.8352
182.500000	99.139	159.6246
185.000000	99.071	159.4416
187.500000	99.008	159.2867
190.000000	98.945	159.1216
192.500000	98.880	158.9474
195.000000	98.813	158.7911
197.500000	98.750	158.6379
200.000000	98.687	158.4773
203.000000	98.610	158.3133
206.000000	98.536	158.1867
209.000000	98.464	158.0590
212.000000	98.391	157.9445
214.000000	98.342	157.8851
218.000000	98.247	157.7522
220.000000	98.197	157.6738
224.000000	98.095	157.5478
227.000000	98.025	157.4559
230.000000	97.956	157.3622
233.000000	97.885	157.2992
236.000000	97.814	157.2584
240.000000	97.720	157.1935
243.000000	97.645	157.1532
247.000000	97.546	157.1394
250.000000	97.472	157.1396
254.000000	97.372	157.1516
258.000000	97.275	157.2044
262.000000	97.180	157.2479
265.000000	97.107	157.2860
269.000000	97.009	157.4101
272.000000	96.937	157.5337
276.000000	96.845	157.7353
280.000000	96.757	158.0302
285.000000	96.660	158.4644
290.000000	96.580	158.9954
295.000000	96.535	159.5428
300.000000	96.538	159.9053
304.000000	96.553	159.9487
307.000000	96.563	159.8300
311.000000	96.559	159.5414
315.000000	96.521	159.1917
320.000000	96.444	158.8215
325.000000	96.349	158.5723
330.000000	96.244	158.3871
335.000000	96.139	158.3059
340.000000	96.034	158.2530
345.000000	95.931	158.2246
350.000000	95.830	158.2825
355.000000	95.731	158.3535
360.000000	95.634	158.4525
365.000000	95.533	158.6058
370.000000	95.435	158.7440
375.000000	95.340	158.8949
382.000000	95.206	159.1519
387.000000	95.119	159.3212
395.000000	94.975	159.6212
400.000000	94.888	159.8298
406.000000	94.789	160.0995
412.000000	94.685	160.3717
418.000000	94.586	160.6572
425.000000	94.472	160.9964
431.000000	94.370	161.2803
437.000000	94.277	161.6026
444.000000	94.166	161.9669
450.000000	94.070	162.2925
455.000000	93.992	162.6083
462.000000	93.882	163.0348
468.000000	93.788	163.3934
475.000000	93.684	163.8713
482.000000	93.581	164.3144
487.000000	93.509	164.6228
494.000000	93.409	165.1160
500.000000	93.326	165.5335
508.000000	93.216	166.0830
515.000000	93.119	166.6264
522.000000	93.025	167.1668
530.000000	92.919	167.7903
538.000000	92.811	168.4524
545.000000	92.724	169.0149
552.000000	92.639	169.5947
560.000000	92.540	170.2957
570.000000	92.425	171.1669
580.000000	92.308	172.0830
590.000000	92.196	173.0256
600.000000	92.090	173.9958
608.000000	92.003	174.7894
615.000000	91.934	175.4958
622.000000	91.869	176.2113
630.000000	91.793	177.0348
640.000000	91.707	178.1013
650.000000	91.629	179.1882
660.000000	91.551	-179.7384
670.000000	91.483	-178.6099
680.000000	91.417	-177.4665
690.000000	91.354	-176.3109
700.000000	91.302	-175.1065
710.000000	91.252	-173.9290
720.000000	91.210	-172.7471
730.000000	91.179	-171.5204
740.000000	91.152	-170.3202
750.000000	91.133	-169.1079
762.000000	91.121	-167.6094
775.000000	91.116	-166.0405
788.000000	91.122	-164.4213
800.000000	91.140	-162.9501
812.000000	91.169	-161.5157
825.000000	91.212	-159.9340
838.000000	91.267	-158.4341
850.000000	91.327	-157.0490
862.000000	91.397	-155.6664
875.000000	91.485	-154.2528
885.000000	91.558	-153.1754
900.000000	91.680	-151.6090
912.000000	91.789	-150.4447
925.000000	91.913	-149.2015
938.000000	92.046	-148.0182
950.000000	92.177	-147.0063
962.000000	92.310	-146.0226
975.000000	92.459	-145.0172
988.000000	92.620	-144.1130
1000.000000	92.768	-143.3297
1015.000000	92.958	-142.4279
1030.000000	93.157	-141.6459
1044.000000	93.338	-140.9781
1060.000000	93.548	-140.3083
1075.000000	93.749	-139.7978
