* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 09/11/2023 12:08:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ultimate Ears Live R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.174	-161.2841
20.299999	101.164	-161.7540
20.600000	101.157	-162.1687
20.900000	101.156	-162.5526
21.200001	101.161	-162.9405
21.400000	101.166	-163.2160
21.799999	101.173	-163.8026
22.000000	101.173	-164.1017
22.400000	101.164	-164.6637
22.700001	101.152	-165.0151
23.000000	101.144	-165.2926
23.299999	101.145	-165.5245
23.600000	101.156	-165.7556
24.000000	101.183	-166.1325
24.299999	101.202	-166.4913
24.700001	101.213	-167.0366
25.000000	101.208	-167.4347
25.400000	101.189	-167.8720
25.799999	101.169	-168.1750
26.200001	101.163	-168.4048
26.500000	101.168	-168.5923
26.900000	101.182	-168.9197
27.200001	101.189	-169.2270
27.600000	101.187	-169.6778
28.000000	101.173	-170.1047
28.500000	101.152	-170.5423
29.000000	101.143	-170.9118
29.500000	101.149	-171.3084
30.000000	101.158	-171.7760
30.400000	101.160	-172.1684
30.700001	101.158	-172.4457
31.100000	101.156	-172.7718
31.500000	101.156	-173.0526
32.000000	101.162	-173.3759
32.500000	101.168	-173.6965
33.000000	101.168	-173.9993
33.500000	101.163	-174.2570
34.000000	101.154	-174.4762
34.500000	101.142	-174.6910
35.000000	101.126	-174.9208
35.500000	101.102	-175.1622
36.000000	101.075	-175.4122
36.500000	101.048	-175.6856
37.000000	101.024	-176.0064
37.500000	101.001	-176.3798
38.200001	100.971	-176.9259
38.700001	100.959	-177.2707
39.500000	100.985	-177.8142
40.000000	101.015	-178.2508
40.599998	101.033	-178.7739
41.200001	101.037	-179.0255
41.799999	101.059	-179.0376
42.500000	101.087	-179.0921
43.099998	101.060	-179.0344
43.700001	101.020	-178.6398
44.400002	101.004	-178.3294
45.000000	100.930	-178.5741
45.500000	100.790	-178.6899
46.200001	100.612	-178.6180
46.799999	100.506	-179.6693
47.500000	100.057	177.9776
48.200001	99.176	179.3832
48.700001	98.849	-176.1858
49.400002	99.488	-170.9230
50.000000	100.281	-171.9514
50.799999	100.651	-177.6084
51.500000	100.568	179.4372
52.200001	100.611	178.4868
53.000000	100.783	177.4131
53.799999	100.879	176.5997
54.500000	100.950	176.3804
55.200001	100.998	176.1834
56.000000	100.979	176.1069
57.000000	100.927	176.2778
58.000000	100.861	176.1405
59.000000	100.777	175.7958
60.000000	100.721	175.2590
60.799999	100.691	174.7065
61.500000	100.670	174.2775
62.200001	100.661	173.9773
63.000000	100.665	173.7574
64.000000	100.675	173.5972
65.000000	100.670	173.5572
66.000000	100.654	173.5631
67.000000	100.633	173.4745
68.000000	100.604	173.2234
69.000000	100.572	172.8804
70.000000	100.550	172.5024
71.000000	100.539	172.0957
72.000000	100.527	171.7274
73.000000	100.511	171.4753
74.000000	100.496	171.2994
75.000000	100.478	171.1096
76.199997	100.443	170.8409
77.500000	100.401	170.5538
78.800003	100.371	170.2335
80.000000	100.347	169.9103
81.199997	100.322	169.6382
82.500000	100.299	169.4029
83.800003	100.272	169.1452
85.000000	100.238	168.9052
86.199997	100.205	168.6874
87.500000	100.176	168.4182
88.500000	100.152	168.1934
90.000000	100.114	167.9195
91.199997	100.089	167.7247
92.500000	100.061	167.4746
93.800003	100.026	167.2234
95.000000	99.996	167.0329
96.199997	99.973	166.8524
97.500000	99.949	166.6508
98.800003	99.926	166.4679
100.000000	99.902	166.2484
101.500000	99.853	165.9495
103.000000	99.797	165.7053
104.400002	99.748	165.5015
106.000000	99.703	165.2852
107.500000	99.667	165.0502
109.000000	99.623	164.8143
110.599998	99.572	164.6151
112.000000	99.530	164.4430
113.800003	99.473	164.1884
115.000000	99.432	164.0341
117.199997	99.363	163.8188
118.000000	99.339	163.7381
120.599998	99.246	163.5015
122.000000	99.192	163.4272
124.099998	99.113	163.3190
125.000000	99.077	163.2735
126.500000	99.013	163.2370
128.000000	98.948	163.2683
131.500000	98.797	163.5179
132.000000	98.774	163.5842
134.000000	98.689	163.9910
136.000000	98.628	164.6047
138.000000	98.602	165.3948
140.000000	98.631	166.3206
143.000000	98.819	167.4078
145.000000	99.004	167.4926
147.500000	99.218	166.8298
150.000000	99.361	165.5611
152.500000	99.401	164.0613
155.000000	99.362	162.7409
157.500000	99.288	161.6656
160.000000	99.193	160.8056
162.500000	99.093	160.1914
165.000000	99.003	159.7037
167.500000	98.914	159.2570
170.000000	98.829	158.8768
172.500000	98.752	158.5114
175.000000	98.672	158.1624
177.500000	98.588	157.8875
180.000000	98.510	157.6565
182.500000	98.434	157.4076
185.000000	98.355	157.1832
187.500000	98.282	157.0042
190.000000	98.213	156.8211
192.500000	98.141	156.6360
195.000000	98.070	156.4837
197.500000	98.004	156.3382
200.000000	97.939	156.1688
203.000000	97.855	155.9800
206.000000	97.776	155.8146
209.000000	97.699	155.6292
212.000000	97.618	155.4813
214.000000	97.565	155.4088
218.000000	97.463	155.2410
220.000000	97.410	155.1579
224.000000	97.302	155.0499
227.000000	97.226	154.9626
230.000000	97.149	154.8586
233.000000	97.069	154.7828
236.000000	96.994	154.7175
240.000000	96.896	154.6130
243.000000	96.815	154.5565
247.000000	96.714	154.5132
250.000000	96.639	154.4772
254.000000	96.534	154.4332
258.000000	96.434	154.4489
262.000000	96.330	154.4515
265.000000	96.250	154.4663
269.000000	96.146	154.5717
272.000000	96.070	154.6367
276.000000	95.970	154.7342
280.000000	95.870	154.9596
285.000000	95.754	155.2865
290.000000	95.651	155.7337
295.000000	95.584	156.2098
300.000000	95.560	156.5335
304.000000	95.545	156.6085
307.000000	95.535	156.5513
311.000000	95.507	156.3835
315.000000	95.450	156.1662
320.000000	95.367	155.9534
325.000000	95.279	155.7971
330.000000	95.177	155.6054
335.000000	95.070	155.5147
340.000000	94.957	155.4546
345.000000	94.843	155.4160
350.000000	94.730	155.4900
355.000000	94.619	155.5538
360.000000	94.509	155.6487
365.000000	94.396	155.8112
370.000000	94.289	155.9408
375.000000	94.184	156.0919
382.000000	94.033	156.3592
387.000000	93.936	156.5352
395.000000	93.769	156.8740
400.000000	93.669	157.1025
406.000000	93.553	157.4021
412.000000	93.428	157.7122
418.000000	93.313	158.0471
425.000000	93.181	158.4325
431.000000	93.065	158.7495
437.000000	92.959	159.1197
444.000000	92.830	159.5308
450.000000	92.718	159.9095
455.000000	92.630	160.2829
462.000000	92.502	160.7645
468.000000	92.393	161.1794
475.000000	92.269	161.7481
482.000000	92.147	162.2648
487.000000	92.063	162.6422
494.000000	91.945	163.2496
500.000000	91.846	163.7349
508.000000	91.716	164.3801
515.000000	91.600	165.0383
522.000000	91.489	165.6690
530.000000	91.365	166.4196
538.000000	91.236	167.2420
545.000000	91.133	167.9265
552.000000	91.032	168.6315
560.000000	90.913	169.4847
570.000000	90.782	170.5421
580.000000	90.646	171.6683
590.000000	90.520	172.8311
600.000000	90.398	174.0200
608.000000	90.296	174.9969
615.000000	90.220	175.8748
622.000000	90.147	176.7699
630.000000	90.061	177.7934
640.000000	89.968	179.1052
650.000000	89.882	-179.5551
660.000000	89.794	-178.2124
670.000000	89.724	-176.7916
680.000000	89.656	-175.3824
690.000000	89.596	-173.9739
700.000000	89.552	-172.5078
710.000000	89.509	-171.0807
720.000000	89.475	-169.6216
730.000000	89.454	-168.1122
740.000000	89.437	-166.6700
750.000000	89.431	-165.2117
762.000000	89.440	-163.4200
775.000000	89.462	-161.5682
788.000000	89.499	-159.6594
800.000000	89.547	-157.9733
812.000000	89.606	-156.3279
825.000000	89.683	-154.5054
838.000000	89.774	-152.8123
850.000000	89.865	-151.2480
862.000000	89.968	-149.7079
875.000000	90.095	-148.1755
885.000000	90.196	-146.9963
900.000000	90.361	-145.2931
912.000000	90.506	-144.0553
925.000000	90.662	-142.7153
938.000000	90.829	-141.4604
950.000000	90.993	-140.4192
962.000000	91.153	-139.3933
975.000000	91.333	-138.3491
988.000000	91.523	-137.4299
1000.000000	91.695	-136.6200
1015.000000	91.914	-135.6872
1030.000000	92.145	-134.9092
1044.000000	92.353	-134.2453
1060.000000	92.595	-133.5916
1075.000000	92.827	-133.1056
1090.000000	93.042	-132.6713
1106.000000	93.274	-132.2988
1120.000000	93.477	-132.0619
1138.000000	93.719	-131.8300
1150.000000	93.883	-131.7360
1172.000000	94.183	-131.6953
1180.000000	94.284	-131.7098
1206.000000	94.620	-131.8596
1220.000000	94.794	-132.0081
1241.000000	95.035	-132.3123
1250.000000	95.141	-132.4735
1265.000000	95.310	-132.7974
1280.000000	95.454	-133.1775
1315.000000	95.774	-133.8741
1320.000000	95.822	-133.9697
1340.000000	96.009	-134.4508
1360.000000	96.202	-135.0265
1380.000000	96.385	-135.6909
1400.000000	96.545	-136.4402
1430.000000	96.777	-137.5133
1450.000000	96.919	-138.2475
1475.000000	97.105	-139.2476
1500.000000	97.277	-140.3880
1525.000000	97.427	-141.6420
1550.000000	97.574	-142.9196
1575.000000	97.694	-144.3368
1600.000000	97.805	-145.7829
1625.000000	97.898	-147.2979
1650.000000	97.964	-148.9176
1675.000000	98.017	-150.5136
1700.000000	98.039	-152.1925
1725.000000	98.036	-153.8893
1750.000000	98.014	-155.5208
1775.000000	97.961	-157.1988
1800.000000	97.886	-158.8081
1825.000000	97.794	-160.2998
1850.000000	97.676	-161.7758
1875.000000	97.543	-163.1141
1900.000000	97.398	-164.2826
1925.000000	97.237	-165.4045
1950.000000	97.068	-166.3974
1975.000000	96.895	-167.2194
2000.000000	96.713	-167.9989
2030.000000	96.486	-168.7972
2060.000000	96.259	-169.3393
2090.000000	96.030	-169.7942
2120.000000	95.807	-170.0659
2140.000000	95.665	-170.1152
2180.000000	95.389	-170.1336
2200.000000	95.258	-170.0584
2240.000000	95.014	-169.6764
2270.000000	94.843	-169.3628
2300.000000	94.687	-168.9433
2330.000000	94.546	-168.4057
2360.000000	94.421	-167.8922
2400.000000	94.280	-167.1291
2430.000000	94.195	-166.4804
2470.000000	94.106	-165.6912
2500.000000	94.056	-165.0497
2540.000000	94.010	-164.1707
2580.000000	93.990	-163.4019
2620.000000	93.992	-162.5766
2650.000000	94.010	-162.0057
2690.000000	94.057	-161.3542
2720.000000	94.108	-160.8471
2760.000000	94.202	-160.2520
2800.000000	94.328	-159.8284
2850.000000	94.525	-159.4038
2900.000000	94.770	-159.3909
2950.000000	95.042	-159.7701
3000.000000	95.325	-160.6261
3040.000000	95.551	-161.7113
3070.000000	95.711	-162.6697
3110.000000	95.912	-164.1974
3150.000000	96.100	-166.0716
3200.000000	96.297	-168.7194
3250.000000	96.446	-171.7402
3300.000000	96.538	-175.1570
3350.000000	96.547	-178.7383
3400.000000	96.472	177.5068
3450.000000	96.306	173.7794
3500.000000	96.049	170.3240
3550.000000	95.726	167.1338
3600.000000	95.352	164.3816
3650.000000	94.940	162.1375
3700.000000	94.519	160.2634
3750.000000	94.095	158.8278
3820.000000	93.513	157.4859
3870.000000	93.127	156.8082
3950.000000	92.544	156.2750
4000.000000	92.204	156.1386
4060.000000	91.821	156.2069
4120.000000	91.457	156.6565
4180.000000	91.135	157.3787
4250.000000	90.823	158.6649
4310.000000	90.628	160.0833
4370.000000	90.530	161.5520
4440.000000	90.528	163.2170
4500.000000	90.616	164.3152
4550.000000	90.737	164.8260
4620.000000	90.921	164.9722
4680.000000	91.059	164.5870
4750.000000	91.172	163.6812
4820.000000	91.202	162.6976
4870.000000	91.181	162.0603
4940.000000	91.120	161.3410
5000.000000	91.038	161.0297
5080.000000	90.915	161.0375
5150.000000	90.828	161.3655
5220.000000	90.763	162.0366
5300.000000	90.735	163.0571
5380.000000	90.771	164.2017
5450.000000	90.841	165.3520
5520.000000	90.957	166.5424
5600.000000	91.149	167.8693
5700.000000	91.449	169.5382
5800.000000	91.839	170.9804
5900.000000	92.299	172.1577
6000.000000	92.824	172.9767
6080.000000	93.289	173.2617
6150.000000	93.708	173.2768
6220.000000	94.141	173.0154
6300.000000	94.650	172.3008
6400.000000	95.265	170.8624
6500.000000	95.843	168.8026
6600.000000	96.370	166.1144
6700.000000	96.802	163.0117
6800.000000	97.141	159.5556
6900.000000	97.362	155.9692
7000.000000	97.444	152.7402
7100.000000	97.475	150.2611
7200.000000	97.541	148.3343
7300.000000	97.610	146.5792
7400.000000	97.700	145.2501
7500.000000	97.898	144.3924
7620.000000	98.362	143.0325
7750.000000	99.084	139.4046
7880.000000	99.722	132.5328
8000.000000	100.000	123.6197
8120.000000	99.831	113.5055
8250.000000	99.089	103.1519
8380.000000	97.906	94.9979
8500.000000	96.575	90.0400
8620.000000	95.149	87.3740
8750.000000	93.635	86.5398
8850.000000	92.521	87.0823
9000.000000	90.958	89.3143
9120.000000	89.832	91.9583
9250.000000	88.709	95.5105
9380.000000	87.677	99.6003
9500.000000	86.810	103.7416
9620.000000	86.004	108.2253
9750.000000	85.196	113.4017
9880.000000	84.465	118.8323
10000.000000	83.844	124.0903
10150.000000	83.133	130.9650
10300.000000	82.515	138.1108
10440.000000	82.008	145.0834
10600.000000	81.520	153.3900
10750.000000	81.180	161.4363
10900.000000	80.953	169.6879
11060.000000	80.856	178.4520
11200.000000	80.895	-174.1584
11380.000000	81.045	-165.1461
11500.000000	81.193	-159.4435
11720.000000	81.540	-149.4480
11800.000000	81.683	-145.8887
12060.000000	82.270	-134.5459
12200.000000	82.673	-128.5910
12410.000000	83.396	-119.9238
12500.000000	83.761	-116.3727
12650.000000	84.440	-110.7298
12800.000000	85.199	-105.4574
13150.000000	87.359	-95.1899
13200.000000	87.712	-94.0275
13400.000000	89.232	-90.3677
13600.000000	90.933	-88.8613
13800.000000	92.668	-90.6942
14000.000000	94.119	-96.7215
14300.000000	95.167	-111.0723
14500.000000	95.025	-119.9096
14750.000000	94.318	-126.3703
15000.000000	93.596	-127.8277
15250.000000	93.236	-126.3705
15500.000000	93.379	-124.1576
15750.000000	93.965	-122.7856
16000.000000	94.889	-123.6974
16250.000000	95.904	-128.0510
16500.000000	96.687	-135.9499
16750.000000	97.045	-145.9112
17000.000000	96.982	-155.6650
17250.000000	96.732	-163.9881
17500.000000	96.590	-171.4448
17750.000000	96.659	-179.8044
18000.000000	96.806	168.8804
18250.000000	96.678	153.7717
