* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 09/11/2023 12:26:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ultimate Ears UE18+ Pro L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.314	-126.3839
20.299999	94.379	-126.7343
20.600000	94.452	-127.0977
20.900000	94.532	-127.5143
21.200001	94.611	-128.0078
21.400000	94.661	-128.3741
21.799999	94.746	-129.1589
22.000000	94.783	-129.5559
22.400000	94.845	-130.3194
22.700001	94.888	-130.8569
23.000000	94.930	-131.3745
23.299999	94.973	-131.8874
23.600000	95.016	-132.4007
24.000000	95.070	-133.0808
24.299999	95.110	-133.5779
24.700001	95.163	-134.2206
25.000000	95.204	-134.6963
25.400000	95.257	-135.3344
25.799999	95.305	-135.9651
26.200001	95.346	-136.5441
26.500000	95.375	-136.9192
26.900000	95.419	-137.3417
27.200001	95.460	-137.6313
27.600000	95.525	-138.0399
28.000000	95.591	-138.5204
28.500000	95.661	-139.2009
29.000000	95.709	-139.8631
29.500000	95.745	-140.4343
30.000000	95.781	-140.9363
30.400000	95.812	-141.3285
30.700001	95.834	-141.6279
31.100000	95.863	-142.0323
31.500000	95.890	-142.4372
32.000000	95.923	-142.9404
32.500000	95.955	-143.4412
33.000000	95.988	-143.9352
33.500000	96.024	-144.4204
34.000000	96.063	-144.9085
34.500000	96.102	-145.4096
35.000000	96.138	-145.9088
35.500000	96.170	-146.3724
36.000000	96.203	-146.7857
36.500000	96.238	-147.1714
37.000000	96.275	-147.5673
37.500000	96.308	-147.9841
38.200001	96.339	-148.5533
38.700001	96.355	-148.9173
39.500000	96.385	-149.4667
40.000000	96.408	-149.8442
40.599998	96.437	-150.3752
41.200001	96.459	-150.9989
41.799999	96.464	-151.6371
42.500000	96.459	-152.2074
43.099998	96.478	-152.5229
43.700001	96.525	-152.8580
44.400002	96.579	-153.3233
45.000000	96.617	-153.5921
45.500000	96.662	-153.7063
46.200001	96.733	-153.8991
46.799999	96.766	-153.9895
47.500000	96.823	-153.6007
48.200001	97.003	-153.2725
48.700001	97.159	-153.7647
49.400002	97.232	-155.3914
50.000000	97.117	-156.5390
50.799999	96.915	-156.7519
51.500000	96.854	-156.5685
52.200001	96.840	-156.7942
53.000000	96.807	-157.2574
53.799999	96.787	-157.6974
54.500000	96.783	-158.1331
55.200001	96.786	-158.5445
56.000000	96.804	-158.9580
57.000000	96.835	-159.4385
58.000000	96.867	-159.8094
59.000000	96.893	-160.1456
60.000000	96.903	-160.4323
60.799999	96.909	-160.6433
61.500000	96.914	-160.8712
62.200001	96.917	-161.1389
63.000000	96.917	-161.4664
64.000000	96.920	-161.8874
65.000000	96.927	-162.2949
66.000000	96.935	-162.6753
67.000000	96.941	-162.9630
68.000000	96.958	-163.1738
69.000000	96.974	-163.4604
70.000000	96.970	-163.7566
71.000000	96.961	-163.9608
72.000000	96.965	-164.1538
73.000000	96.978	-164.4230
74.000000	96.991	-164.7572
75.000000	97.001	-165.1027
76.199997	97.009	-165.4860
77.500000	97.014	-165.8256
78.800003	97.019	-166.1298
80.000000	97.023	-166.4062
81.199997	97.023	-166.7101
82.500000	97.016	-167.0192
83.800003	97.012	-167.3000
85.000000	97.013	-167.5541
86.199997	97.015	-167.8313
87.500000	97.012	-168.1323
88.500000	97.010	-168.3383
90.000000	97.011	-168.6101
91.199997	97.016	-168.7921
92.500000	97.030	-168.9837
93.800003	97.041	-169.2172
95.000000	97.040	-169.4345
96.199997	97.034	-169.6264
97.500000	97.026	-169.8760
98.800003	97.005	-170.1381
100.000000	96.996	-170.2905
101.500000	97.016	-170.6190
103.000000	97.022	-171.0833
104.400002	97.019	-171.4151
106.000000	97.016	-171.7061
107.500000	97.010	-171.9465
109.000000	97.000	-172.1802
110.599998	96.986	-172.4418
112.000000	96.974	-172.6687
113.800003	96.962	-172.9490
115.000000	96.955	-173.1264
117.199997	96.942	-173.4236
118.000000	96.938	-173.5296
120.599998	96.920	-173.8907
122.000000	96.909	-174.0796
124.099998	96.893	-174.3478
125.000000	96.887	-174.4625
126.500000	96.877	-174.6574
128.000000	96.867	-174.8506
131.500000	96.841	-175.2563
132.000000	96.837	-175.3112
134.000000	96.822	-175.5263
136.000000	96.805	-175.7347
138.000000	96.788	-175.9421
140.000000	96.771	-176.1430
143.000000	96.745	-176.4221
145.000000	96.727	-176.6171
147.500000	96.705	-176.8587
150.000000	96.682	-177.0815
152.500000	96.659	-177.2752
155.000000	96.634	-177.4695
157.500000	96.607	-177.6667
160.000000	96.583	-177.8605
162.500000	96.560	-178.0444
165.000000	96.538	-178.2159
167.500000	96.514	-178.3792
170.000000	96.488	-178.5382
172.500000	96.461	-178.6788
175.000000	96.435	-178.8027
177.500000	96.409	-178.9236
180.000000	96.381	-179.0407
182.500000	96.355	-179.1543
185.000000	96.328	-179.2723
187.500000	96.301	-179.3866
190.000000	96.273	-179.4869
192.500000	96.244	-179.5774
195.000000	96.212	-179.6569
197.500000	96.179	-179.7192
200.000000	96.147	-179.7652
203.000000	96.109	-179.8061
206.000000	96.068	-179.8259
209.000000	96.026	-179.8180
212.000000	95.982	-179.7799
214.000000	95.952	-179.7352
218.000000	95.890	-179.5773
220.000000	95.860	-179.4542
224.000000	95.803	-179.0885
227.000000	95.769	-178.6917
230.000000	95.750	-178.1938
233.000000	95.756	-177.6210
236.000000	95.796	-177.0425
240.000000	95.907	-176.4608
243.000000	96.018	-176.3094
247.000000	96.159	-176.5556
250.000000	96.236	-176.9962
254.000000	96.292	-177.7196
258.000000	96.302	-178.4040
262.000000	96.284	-178.9603
265.000000	96.260	-179.2981
269.000000	96.224	-179.6555
272.000000	96.195	-179.8606
276.000000	96.159	179.9276
280.000000	96.123	179.7704
285.000000	96.080	179.6294
290.000000	96.040	179.5311
295.000000	96.003	179.4704
300.000000	95.970	179.4295
304.000000	95.946	179.4096
307.000000	95.929	179.3990
311.000000	95.908	179.3935
315.000000	95.889	179.3975
320.000000	95.865	179.4073
325.000000	95.843	179.4288
330.000000	95.823	179.4590
335.000000	95.805	179.4956
340.000000	95.788	179.5361
345.000000	95.773	179.5751
350.000000	95.759	179.6206
355.000000	95.747	179.6777
360.000000	95.737	179.7350
365.000000	95.729	179.8012
370.000000	95.721	179.8771
375.000000	95.714	179.9470
382.000000	95.707	-179.9598
387.000000	95.704	-179.8965
395.000000	95.702	-179.7946
400.000000	95.700	-179.7243
406.000000	95.701	-179.6373
412.000000	95.704	-179.5487
418.000000	95.707	-179.4587
425.000000	95.715	-179.3588
431.000000	95.722	-179.2809
437.000000	95.732	-179.2138
444.000000	95.745	-179.1319
450.000000	95.758	-179.0664
455.000000	95.769	-179.0131
462.000000	95.787	-178.9336
468.000000	95.803	-178.8703
