* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 09/11/2023 12:28:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ultimate Ears UE18+ Pro R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	95.592	-153.9925
20.299999	95.589	-154.5594
20.600000	95.572	-155.0044
20.900000	95.553	-155.2885
21.200001	95.551	-155.4482
21.400000	95.563	-155.5450
21.799999	95.611	-155.8214
22.000000	95.641	-156.0397
22.400000	95.692	-156.6477
22.700001	95.711	-157.1812
23.000000	95.711	-157.6848
23.299999	95.700	-158.0956
23.600000	95.688	-158.4021
24.000000	95.683	-158.6956
24.299999	95.693	-158.9051
24.700001	95.715	-159.2580
25.000000	95.727	-159.5935
25.400000	95.728	-160.0842
25.799999	95.706	-160.5081
26.200001	95.676	-160.7689
26.500000	95.660	-160.8563
26.900000	95.659	-160.8989
27.200001	95.676	-160.9540
27.600000	95.713	-161.1449
28.000000	95.747	-161.4917
28.500000	95.766	-162.0355
29.000000	95.760	-162.5088
29.500000	95.751	-162.8248
30.000000	95.757	-163.0521
30.400000	95.773	-163.2462
30.700001	95.788	-163.4176
31.100000	95.805	-163.6705
31.500000	95.817	-163.9257
32.000000	95.826	-164.2080
32.500000	95.831	-164.4257
33.000000	95.838	-164.5764
33.500000	95.852	-164.6814
34.000000	95.873	-164.7884
34.500000	95.898	-164.9486
35.000000	95.919	-165.1771
35.500000	95.927	-165.4406
36.000000	95.924	-165.6870
36.500000	95.916	-165.8901
37.000000	95.909	-166.0649
37.500000	95.904	-166.2415
38.200001	95.900	-166.5104
38.700001	95.896	-166.7051
39.500000	95.896	-167.0198
40.000000	95.898	-167.2259
40.599998	95.899	-167.4590
41.200001	95.904	-167.6562
41.799999	95.917	-167.8570
42.500000	95.932	-168.1444
43.099998	95.934	-168.3866
43.700001	95.932	-168.5700
44.400002	95.933	-168.7424
45.000000	95.933	-168.8977
45.500000	95.932	-169.0295
46.200001	95.927	-169.2099
46.799999	95.919	-169.3571
47.500000	95.911	-169.4909
48.200001	95.912	-169.6104
48.700001	95.918	-169.7358
49.400002	95.920	-169.9561
50.000000	95.918	-170.1140
50.799999	95.923	-170.2859
51.500000	95.929	-170.4499
52.200001	95.934	-170.5753
53.000000	95.951	-170.7129
53.799999	95.963	-170.9513
54.500000	95.956	-171.1246
55.200001	95.951	-171.2160
56.000000	95.950	-171.3479
57.000000	95.936	-171.4557
58.000000	95.946	-171.5091
59.000000	95.953	-171.7586
60.000000	95.942	-171.9109
60.799999	95.949	-172.0272
61.500000	95.950	-172.2053
62.200001	95.939	-172.3475
63.000000	95.932	-172.4240
64.000000	95.937	-172.5596
65.000000	95.932	-172.7258
66.000000	95.929	-172.8222
67.000000	95.934	-172.9314
68.000000	95.936	-173.0652
69.000000	95.936	-173.1692
70.000000	95.940	-173.2701
71.000000	95.939	-173.4185
72.000000	95.927	-173.5285
73.000000	95.922	-173.5557
74.000000	95.932	-173.6469
75.000000	95.932	-173.8440
76.199997	95.918	-173.9984
77.500000	95.920	-174.0885
78.800003	95.924	-174.2960
80.000000	95.911	-174.4152
81.199997	95.910	-174.4223
82.500000	95.923	-174.5256
83.800003	95.921	-174.7067
85.000000	95.910	-174.7974
86.199997	95.908	-174.8579
87.500000	95.909	-174.9641
88.500000	95.907	-175.0647
90.000000	95.899	-175.1903
91.199997	95.895	-175.2501
92.500000	95.895	-175.3215
93.800003	95.895	-175.4262
95.000000	95.889	-175.5166
96.199997	95.884	-175.5776
97.500000	95.883	-175.6378
98.800003	95.884	-175.7336
100.000000	95.880	-175.8465
101.500000	95.870	-175.9426
103.000000	95.867	-176.0059
104.400002	95.866	-176.0730
106.000000	95.866	-176.1511
107.500000	95.865	-176.2279
109.000000	95.863	-176.3250
110.599998	95.858	-176.4553
112.000000	95.849	-176.5729
113.800003	95.836	-176.6944
115.000000	95.829	-176.7544
117.199997	95.819	-176.8308
118.000000	95.815	-176.8541
120.599998	95.798	-176.9275
122.000000	95.786	-176.9719
124.099998	95.771	-177.0449
125.000000	95.768	-177.0736
126.500000	95.766	-177.1214
128.000000	95.765	-177.1740
131.500000	95.754	-177.2610
132.000000	95.753	-177.2724
134.000000	95.751	-177.3668
136.000000	95.747	-177.5146
138.000000	95.742	-177.6298
140.000000	95.736	-177.6871
143.000000	95.726	-177.7255
145.000000	95.719	-177.7640
147.500000	95.715	-177.8465
150.000000	95.710	-177.9261
152.500000	95.705	-178.0010
155.000000	95.698	-178.0629
157.500000	95.692	-178.1165
160.000000	95.685	-178.1813
162.500000	95.676	-178.2593
165.000000	95.669	-178.3386
167.500000	95.664	-178.3892
170.000000	95.659	-178.4160
172.500000	95.651	-178.4476
175.000000	95.639	-178.4875
177.500000	95.629	-178.5365
180.000000	95.619	-178.5947
182.500000	95.609	-178.6469
185.000000	95.598	-178.6833
187.500000	95.587	-178.7025
190.000000	95.577	-178.7100
192.500000	95.566	-178.7120
195.000000	95.555	-178.7125
197.500000	95.543	-178.7122
200.000000	95.529	-178.7054
203.000000	95.510	-178.6772
206.000000	95.490	-178.6277
209.000000	95.471	-178.5520
212.000000	95.455	-178.4375
214.000000	95.447	-178.3377
218.000000	95.438	-178.0751
220.000000	95.439	-177.9384
224.000000	95.444	-177.7563
227.000000	95.439	-177.6655
230.000000	95.424	-177.5162
233.000000	95.407	-177.2462
236.000000	95.402	-176.8449
240.000000	95.434	-176.1531
243.000000	95.499	-175.6148
247.000000	95.642	-175.1114
250.000000	95.771	-175.0398
254.000000	95.932	-175.3983
258.000000	96.044	-176.0904
262.000000	96.100	-176.8630
265.000000	96.115	-177.4007
269.000000	96.113	-178.0092
272.000000	96.101	-178.3789
276.000000	96.081	-178.7724
280.000000	96.060	-179.0749
285.000000	96.036	-179.3517
290.000000	96.018	-179.5514
295.000000	96.001	-179.7274
300.000000	95.986	-179.8801
304.000000	95.977	-179.9888
307.000000	95.972	179.9355
