* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 09/11/2023 12:19:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ultimate Ears UE6 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	109.539	168.5834
20.299999	109.509	168.0737
20.600000	109.480	167.5609
20.900000	109.451	167.0439
21.200001	109.420	166.5281
21.400000	109.398	166.1915
21.799999	109.351	165.5482
22.000000	109.327	165.2463
22.400000	109.281	164.6837
22.700001	109.249	164.2877
23.000000	109.221	163.8981
23.299999	109.194	163.5016
23.600000	109.166	163.0939
24.000000	109.125	162.5385
24.299999	109.090	162.1279
24.700001	109.038	161.6099
25.000000	108.997	161.2507
25.400000	108.944	160.8052
25.799999	108.893	160.3759
26.200001	108.845	159.9414
26.500000	108.809	159.6079
26.900000	108.759	159.1590
27.200001	108.720	158.8268
27.600000	108.667	158.3982
28.000000	108.615	157.9883
28.500000	108.550	157.4985
29.000000	108.489	157.0286
29.500000	108.430	156.5761
30.000000	108.375	156.1312
30.400000	108.333	155.7686
30.700001	108.301	155.4876
31.100000	108.257	155.1005
31.500000	108.208	154.7073
32.000000	108.139	154.2313
32.500000	108.064	153.8009
33.000000	107.988	153.4250
33.500000	107.916	153.0814
34.000000	107.849	152.7372
34.500000	107.784	152.3858
35.000000	107.720	152.0472
35.500000	107.666	151.7192
36.000000	107.622	151.3415
36.500000	107.581	150.8504
37.000000	107.522	150.2778
37.500000	107.437	149.7666
38.200001	107.299	149.4112
38.700001	107.218	149.4102
39.500000	107.147	149.5170
40.000000	107.129	149.5048
40.599998	107.117	149.3243
41.200001	107.095	148.9354
41.799999	107.043	148.4396
42.500000	106.953	147.9151
43.099998	106.873	147.5021
43.700001	106.790	147.0518
44.400002	106.689	146.5493
45.000000	106.616	146.1509
45.500000	106.565	145.7690
46.200001	106.490	145.2629
46.799999	106.452	145.0464
47.500000	106.498	144.6272
48.200001	106.540	143.3049
48.700001	106.463	142.1113
49.400002	106.206	141.3544
50.000000	106.012	141.8867
50.799999	105.949	142.8680
51.500000	105.944	143.0304
52.200001	105.885	142.9652
53.000000	105.796	142.9979
53.799999	105.706	142.9098
54.500000	105.613	142.7594
55.200001	105.519	142.6065
56.000000	105.420	142.3596
