* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 09/11/2023 12:13:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ultimate Ears UE7 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	98.348	-141.8921
20.299999	98.378	-142.3472
20.600000	98.416	-142.8142
20.900000	98.459	-143.3308
21.200001	98.500	-143.9130
21.400000	98.523	-144.3264
21.799999	98.557	-145.1687
22.000000	98.568	-145.5737
22.400000	98.584	-146.3125
22.700001	98.598	-146.8037
23.000000	98.617	-147.2629
23.299999	98.641	-147.7174
23.600000	98.669	-148.1818
24.000000	98.706	-148.8199
24.299999	98.732	-149.2998
24.700001	98.764	-149.9240
25.000000	98.788	-150.3788
25.400000	98.817	-150.9777
25.799999	98.839	-151.5699
26.200001	98.851	-152.1208
26.500000	98.854	-152.4708
26.900000	98.857	-152.8238
27.200001	98.867	-153.0172
27.600000	98.897	-153.2491
28.000000	98.943	-153.5629
28.500000	98.998	-154.1675
29.000000	99.020	-154.9117
29.500000	99.006	-155.5699
30.000000	98.985	-156.0164
30.400000	98.983	-156.2897
30.700001	98.993	-156.5145
31.100000	99.010	-156.8964
31.500000	99.022	-157.3582
32.000000	99.023	-157.9439
32.500000	99.019	-158.4453
33.000000	99.025	-158.8879
33.500000	99.042	-159.3512
34.000000	99.059	-159.8453
34.500000	99.073	-160.3133
35.000000	99.092	-160.7397
35.500000	99.118	-161.1823
36.000000	99.138	-161.6786
36.500000	99.143	-162.1732
37.000000	99.134	-162.5678
37.500000	99.126	-162.8359
38.200001	99.132	-163.1283
38.700001	99.143	-163.3675
39.500000	99.157	-163.7975
40.000000	99.164	-164.0724
40.599998	99.174	-164.4306
41.200001	99.179	-164.8309
41.799999	99.179	-165.2344
42.500000	99.176	-165.6643
43.099998	99.178	-166.0140
43.700001	99.182	-166.3731
44.400002	99.183	-166.7883
45.000000	99.181	-167.1048
45.500000	99.181	-167.3372
46.200001	99.184	-167.6529
46.799999	99.185	-167.9383
47.500000	99.177	-168.2480
48.200001	99.168	-168.4830
48.700001	99.167	-168.6288
49.400002	99.174	-168.8794
50.000000	99.178	-169.1586
50.799999	99.175	-169.5611
51.500000	99.170	-169.8997
52.200001	99.165	-170.2375
53.000000	99.157	-170.6102
53.799999	99.148	-170.9205
54.500000	99.147	-171.1523
55.200001	99.150	-171.3867
56.000000	99.153	-171.6627
57.000000	99.154	-171.9962
58.000000	99.150	-172.3181
59.000000	99.142	-172.5948
60.000000	99.141	-172.8813
60.799999	99.136	-173.1610
61.500000	99.124	-173.3928
62.200001	99.113	-173.5851
63.000000	99.105	-173.7957
64.000000	99.097	-174.0888
65.000000	99.085	-174.3699
66.000000	99.075	-174.6321
67.000000	99.066	-174.8938
68.000000	99.057	-175.1370
69.000000	99.051	-175.3831
70.000000	99.044	-175.6370
71.000000	99.035	-175.8717
72.000000	99.027	-176.1038
73.000000	99.016	-176.3326
74.000000	99.004	-176.5418
75.000000	98.991	-176.7444
76.199997	98.973	-176.9736
77.500000	98.958	-177.2099
78.800003	98.944	-177.4650
80.000000	98.929	-177.6967
81.199997	98.913	-177.9186
82.500000	98.893	-178.1300
83.800003	98.875	-178.3089
85.000000	98.858	-178.4784
86.199997	98.838	-178.6311
87.500000	98.817	-178.7640
88.500000	98.801	-178.8489
90.000000	98.779	-178.9536
91.199997	98.759	-179.0072
92.500000	98.738	-178.9927
93.800003	98.729	-178.9237
95.000000	98.735	-178.8843
96.199997	98.749	-178.9036
97.500000	98.772	-178.9667
98.800003	98.806	-179.1283
100.000000	98.833	-179.3718
101.500000	98.852	-179.7103
103.000000	98.860	179.9625
104.400002	98.859	179.6487
106.000000	98.845	179.2753
107.500000	98.824	178.9321
109.000000	98.798	178.6064
110.599998	98.766	178.3058
112.000000	98.739	178.0880
113.800003	98.703	177.8582
115.000000	98.678	177.7297
