* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 01/11/2023 2:24:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Unique Melody MEST MK3 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.586	162.1837
20.299999	102.549	161.6380
20.600000	102.507	161.1282
20.900000	102.464	160.6686
21.200001	102.423	160.2606
21.400000	102.399	160.0079
21.799999	102.362	159.5196
22.000000	102.348	159.2677
22.400000	102.325	158.7194
22.700001	102.309	158.2638
23.000000	102.289	157.7809
23.299999	102.264	157.2932
23.600000	102.234	156.8199
24.000000	102.191	156.2303
24.299999	102.158	155.8188
24.700001	102.117	155.2953
25.000000	102.087	154.9099
25.400000	102.045	154.4029
25.799999	102.002	153.9164
26.200001	101.959	153.4605
26.500000	101.928	153.1324
26.900000	101.890	152.6934
27.200001	101.863	152.3492
27.600000	101.824	151.8676
28.000000	101.779	151.3795
28.500000	101.716	150.8024
29.000000	101.653	150.2738
29.500000	101.595	149.7594
30.000000	101.539	149.2256
30.400000	101.493	148.7901
30.700001	101.457	148.4686
31.100000	101.409	148.0544
31.500000	101.362	147.6533
32.000000	101.307	147.1555
32.500000	101.253	146.6561
33.000000	101.199	146.1703
33.500000	101.145	145.7108
34.000000	101.097	145.2659
34.500000	101.052	144.8106
35.000000	101.006	144.3344
35.500000	100.957	143.8506
36.000000	100.904	143.3807
36.500000	100.849	142.9362
37.000000	100.793	142.5176
37.500000	100.737	142.1195
38.200001	100.663	141.5760
38.700001	100.611	141.1795
39.500000	100.523	140.5287
40.000000	100.462	140.1437
40.599998	100.389	139.7327
41.200001	100.322	139.3634
41.799999	100.262	138.9959
42.500000	100.197	138.5365
43.099998	100.141	138.1136
43.700001	100.084	137.6694
44.400002	100.010	137.1409
45.000000	99.941	136.7042
45.500000	99.882	136.3664
46.200001	99.799	135.9357
46.799999	99.730	135.5934
47.500000	99.654	135.2042
48.200001	99.582	134.8124
48.700001	99.530	134.5300
49.400002	99.459	134.1347
50.000000	99.398	133.7996
50.799999	99.316	133.3658
51.500000	99.247	132.9983
52.200001	99.179	132.6295
53.000000	99.100	132.2052
53.799999	99.019	131.8071
54.500000	98.951	131.4833
55.200001	98.887	131.1519
56.000000	98.813	130.7524
57.000000	98.716	130.2751
58.000000	98.621	129.8406
59.000000	98.530	129.4153
60.000000	98.440	129.0007
60.799999	98.370	128.6674
61.500000	98.308	128.3724
62.200001	98.244	128.0865
63.000000	98.173	127.7755
64.000000	98.084	127.3946
65.000000	97.997	127.0214
66.000000	97.909	126.6603
67.000000	97.822	126.3133
68.000000	97.738	125.9779
69.000000	97.655	125.6453
70.000000	97.574	125.3090
71.000000	97.493	124.9734
72.000000	97.413	124.6468
73.000000	97.333	124.3217
74.000000	97.252	124.0101
75.000000	97.171	123.7270
76.199997	97.079	123.3978
77.500000	96.980	123.0387
78.800003	96.882	122.6841
80.000000	96.794	122.3745
81.199997	96.710	122.0641
82.500000	96.619	121.7141
83.800003	96.526	121.3858
85.000000	96.440	121.1177
86.199997	96.358	120.8582
87.500000	96.270	120.5779
88.500000	96.203	120.3617
90.000000	96.104	120.0201
91.199997	96.023	119.7503
92.500000	95.939	119.4771
93.800003	95.858	119.2101
95.000000	95.786	118.9693
96.199997	95.714	118.7367
97.500000	95.637	118.4954
98.800003	95.560	118.2570
100.000000	95.488	118.0355
101.500000	95.398	117.7702
103.000000	95.311	117.5130
104.400002	95.232	117.2757
106.000000	95.145	117.0094
107.500000	95.066	116.7610
109.000000	94.987	116.5234
110.599998	94.904	116.2814
112.000000	94.832	116.0756
113.800003	94.741	115.8196
115.000000	94.681	115.6521
117.199997	94.574	115.3411
118.000000	94.535	115.2258
120.599998	94.413	114.8581
122.000000	94.349	114.6649
124.099998	94.256	114.3834
125.000000	94.216	114.2680
126.500000	94.151	114.0820
128.000000	94.087	113.8969
131.500000	93.940	113.4741
132.000000	93.919	113.4161
134.000000	93.839	113.1886
136.000000	93.761	112.9686
138.000000	93.686	112.7493
140.000000	93.612	112.5210
143.000000	93.504	112.1813
145.000000	93.433	111.9659
147.500000	93.345	111.7228
150.000000	93.261	111.4799
152.500000	93.180	111.2149
155.000000	93.102	110.9545
157.500000	93.028	110.7161
160.000000	92.953	110.4924
162.500000	92.881	110.2701
165.000000	92.809	110.0348
167.500000	92.739	109.8034
170.000000	92.671	109.5798
172.500000	92.606	109.3592
175.000000	92.545	109.1361
177.500000	92.484	108.9322
180.000000	92.426	108.7376
182.500000	92.369	108.5397
185.000000	92.314	108.3322
187.500000	92.261	108.1196
190.000000	92.210	107.9099
192.500000	92.160	107.6965
195.000000	92.112	107.4815
197.500000	92.064	107.2721
200.000000	92.018	107.0731
203.000000	91.966	106.8415
206.000000	91.916	106.6044
209.000000	91.866	106.3664
212.000000	91.818	106.1375
214.000000	91.786	105.9890
218.000000	91.724	105.6925
220.000000	91.695	105.5413
224.000000	91.638	105.2365
227.000000	91.598	105.0118
230.000000	91.560	104.8021
233.000000	91.523	104.6104
236.000000	91.489	104.4340
240.000000	91.445	104.2065
243.000000	91.415	104.0278
247.000000	91.379	103.7812
250.000000	91.354	103.6096
254.000000	91.324	103.4091
258.000000	91.300	103.2368
262.000000	91.285	103.0800
265.000000	91.279	102.9571
269.000000	91.280	102.7944
272.000000	91.285	102.6627
276.000000	91.300	102.4305
280.000000	91.324	102.1066
285.000000	91.359	101.5846
290.000000	91.384	100.9745
295.000000	91.393	100.3291
300.000000	91.390	99.6973
304.000000	91.383	99.2158
307.000000	91.377	98.8740
311.000000	91.370	98.4409
315.000000	91.365	98.0262
320.000000	91.360	97.5257
325.000000	91.359	97.0356
330.000000	91.361	96.5486
335.000000	91.365	96.0680
340.000000	91.371	95.5977
345.000000	91.381	95.1292
350.000000	91.393	94.6602
355.000000	91.407	94.1915
360.000000	91.422	93.7176
365.000000	91.438	93.2402
370.000000	91.456	92.7582
375.000000	91.475	92.2725
382.000000	91.504	91.5925
387.000000	91.526	91.1091
395.000000	91.564	90.3287
400.000000	91.588	89.8380
406.000000	91.619	89.2493
412.000000	91.652	88.6611
418.000000	91.686	88.0724
425.000000	91.727	87.3804
431.000000	91.764	86.7803
437.000000	91.800	86.1739
444.000000	91.844	85.4594
450.000000	91.883	84.8466
455.000000	91.916	84.3359
462.000000	91.963	83.6195
468.000000	92.004	83.0021
475.000000	92.051	82.2772
482.000000	92.098	81.5493
487.000000	92.132	81.0303
494.000000	92.180	80.3047
500.000000	92.221	79.6863
508.000000	92.276	78.8611
515.000000	92.324	78.1324
522.000000	92.372	77.3939
530.000000	92.427	76.5415
538.000000	92.481	75.6912
545.000000	92.527	74.9491
552.000000	92.572	74.2125
560.000000	92.623	73.3794
570.000000	92.684	72.3395
580.000000	92.743	71.2987
590.000000	92.801	70.2640
600.000000	92.858	69.2373
608.000000	92.901	68.4202
615.000000	92.937	67.7142
622.000000	92.972	67.0198
630.000000	93.010	66.2468
640.000000	93.056	65.3324
650.000000	93.114	64.4800
660.000000	93.189	63.5493
670.000000	93.252	62.4240
680.000000	93.286	61.3217
690.000000	93.314	60.3559
700.000000	93.348	59.4614
710.000000	93.389	58.5635
720.000000	93.428	57.6475
730.000000	93.459	56.7508
740.000000	93.486	55.8893
750.000000	93.512	55.0583
762.000000	93.544	54.0918
775.000000	93.576	53.0848
788.000000	93.606	52.1150
800.000000	93.634	51.2550
812.000000	93.662	50.4285
825.000000	93.692	49.5651
838.000000	93.724	48.7314
850.000000	93.754	47.9917
862.000000	93.786	47.2859
875.000000	93.823	46.5545
885.000000	93.852	46.0056
900.000000	93.902	45.1924
912.000000	93.945	44.5396
925.000000	93.994	43.8308
938.000000	94.045	43.1263
950.000000	94.092	42.4836
962.000000	94.141	41.8506
975.000000	94.194	41.1696
988.000000	94.247	40.4885
1000.000000	94.299	39.8596
1015.000000	94.366	39.0659
1030.000000	94.436	38.2573
1044.000000	94.503	37.4886
1060.000000	94.579	36.5927
1075.000000	94.651	35.7358
1090.000000	94.722	34.8612
1106.000000	94.796	33.9077
1120.000000	94.858	33.0547
