* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 01/11/2023 2:25:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Unique Melody MEST MK3 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.150	163.1228
20.299999	103.124	162.6417
20.600000	103.098	162.1797
20.900000	103.072	161.7322
21.200001	103.049	161.2859
21.400000	103.034	160.9816
21.799999	103.002	160.3529
22.000000	102.984	160.0308
22.400000	102.942	159.3871
22.700001	102.906	158.9240
23.000000	102.867	158.4946
23.299999	102.827	158.1031
23.600000	102.790	157.7431
24.000000	102.748	157.2886
24.299999	102.722	156.9427
24.700001	102.690	156.4510
25.000000	102.666	156.0563
25.400000	102.630	155.5116
25.799999	102.588	154.9782
26.200001	102.544	154.4808
26.500000	102.511	154.1311
26.900000	102.472	153.6812
27.200001	102.445	153.3427
27.600000	102.410	152.8795
28.000000	102.374	152.4065
28.500000	102.326	151.8214
29.000000	102.275	151.2580
29.500000	102.225	150.7108
30.000000	102.174	150.1691
30.400000	102.131	149.7405
30.700001	102.097	149.4260
31.100000	102.052	149.0213
31.500000	102.005	148.6349
32.000000	101.949	148.1713
32.500000	101.895	147.7139
33.000000	101.843	147.2476
33.500000	101.790	146.7691
34.000000	101.736	146.2845
34.500000	101.682	145.8007
35.000000	101.626	145.3213
35.500000	101.570	144.8510
36.000000	101.514	144.3964
36.500000	101.460	143.9592
37.000000	101.408	143.5300
37.500000	101.358	143.0984
38.200001	101.288	142.4915
38.700001	101.237	142.0706
39.500000	101.154	141.4316
40.000000	101.104	141.0463
40.599998	101.042	140.5925
41.200001	100.980	140.1501
41.799999	100.918	139.7214
42.500000	100.845	139.2382
43.099998	100.783	138.8343
43.700001	100.724	138.4282
44.400002	100.653	137.9454
45.000000	100.590	137.5402
45.500000	100.538	137.2221
46.200001	100.469	136.7964
46.799999	100.413	136.4239
47.500000	100.346	135.9755
48.200001	100.278	135.5410
48.700001	100.228	135.2459
49.400002	100.162	134.8398
50.000000	100.104	134.4884
50.799999	100.026	134.0228
51.500000	99.956	133.6298
52.200001	99.887	133.2524
53.000000	99.809	132.8305
53.799999	99.733	132.4112
54.500000	99.666	132.0528
55.200001	99.600	131.7043
56.000000	99.527	131.3098
57.000000	99.435	130.8222
58.000000	99.343	130.3499
59.000000	99.250	129.8983
60.000000	99.160	129.4675
60.799999	99.091	129.1195
61.500000	99.030	128.8113
62.200001	98.969	128.5091
63.000000	98.901	128.1702
64.000000	98.816	127.7503
65.000000	98.732	127.3505
66.000000	98.651	126.9612
67.000000	98.568	126.5755
68.000000	98.484	126.2191
69.000000	98.404	125.8757
70.000000	98.323	125.5262
71.000000	98.243	125.1756
72.000000	98.163	124.8297
73.000000	98.083	124.4989
74.000000	98.006	124.1801
75.000000	97.931	123.8665
76.199997	97.843	123.4833
77.500000	97.744	123.0759
78.800003	97.646	122.7025
80.000000	97.557	122.3716
81.199997	97.471	122.0385
82.500000	97.379	121.6737
83.800003	97.289	121.3171
85.000000	97.206	120.9933
86.199997	97.123	120.6893
87.500000	97.035	120.3831
88.500000	96.969	120.1551
90.000000	96.871	119.8085
91.199997	96.793	119.5328
92.500000	96.710	119.2430
93.800003	96.630	118.9524
95.000000	96.557	118.6819
96.199997	96.485	118.4106
97.500000	96.407	118.1260
98.800003	96.330	117.8554
100.000000	96.260	117.6033
101.500000	96.171	117.2923
103.000000	96.084	117.0034
104.400002	96.005	116.7687
106.000000	95.924	116.5222
107.500000	95.852	116.2457
109.000000	95.773	115.9524
110.599998	95.685	115.6678
112.000000	95.611	115.4280
113.800003	95.519	115.1202
115.000000	95.460	114.9245
117.199997	95.356	114.5707
118.000000	95.318	114.4433
120.599998	95.197	114.0384
122.000000	95.133	113.8202
124.099998	95.039	113.5006
125.000000	95.000	113.3687
126.500000	94.935	113.1553
128.000000	94.871	112.9492
131.500000	94.728	112.4526
132.000000	94.707	112.3799
134.000000	94.626	112.1072
136.000000	94.548	111.8516
138.000000	94.471	111.5989
140.000000	94.395	111.3544
143.000000	94.285	110.9807
145.000000	94.213	110.7183
147.500000	94.125	110.3970
150.000000	94.042	110.0941
152.500000	93.962	109.8197
155.000000	93.885	109.5323
157.500000	93.807	109.2377
160.000000	93.734	108.9548
162.500000	93.663	108.6986
165.000000	93.593	108.4484
167.500000	93.523	108.1755
170.000000	93.455	107.8881
172.500000	93.389	107.6129
175.000000	93.326	107.3534
177.500000	93.266	107.0960
180.000000	93.207	106.8441
182.500000	93.150	106.5936
185.000000	93.094	106.3471
187.500000	93.041	106.1052
190.000000	92.990	105.8633
192.500000	92.939	105.6235
195.000000	92.889	105.3814
197.500000	92.840	105.1359
200.000000	92.793	104.8917
203.000000	92.738	104.6060
206.000000	92.687	104.3251
209.000000	92.637	104.0472
212.000000	92.589	103.7828
214.000000	92.557	103.6133
218.000000	92.497	103.2699
220.000000	92.468	103.0908
224.000000	92.413	102.7275
227.000000	92.374	102.4592
230.000000	92.338	102.1943
