* Measurement data measured by REW V5.30.5
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -37.0 dBFS with no timing reference
* Dated: 06/03/2024 12:10:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: XSL X-One MK II L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 94.296 -147.4428
20.299999 94.335 -148.1537
20.600000 94.371 -148.8892
20.900000 94.403 -149.6387
21.200001 94.428 -150.3847
21.400000 94.442 -150.8712
21.799999 94.466 -151.8051
22.000000 94.477 -152.2513
22.400000 94.500 -153.1108
22.700001 94.517 -153.7381
23.000000 94.535 -154.3579
23.299999 94.552 -154.9710
23.600000 94.567 -155.5733
24.000000 94.585 -156.3508
24.299999 94.598 -156.9137
24.700001 94.617 -157.6485
25.000000 94.633 -158.2007
25.400000 94.652 -158.9536
25.799999 94.666 -159.7222
26.200001 94.670 -160.4775
26.500000 94.669 -161.0116
26.900000 94.665 -161.6621
27.200001 94.665 -162.1104
27.600000 94.673 -162.6921
28.000000 94.688 -163.3027
28.500000 94.703 -164.1313
29.000000 94.704 -164.9688
29.500000 94.698 -165.7312
30.000000 94.699 -166.4398
30.400000 94.705 -167.0357
30.700001 94.705 -167.5148
31.100000 94.691 -168.1556
31.500000 94.660 -168.7099
32.000000 94.617 -169.1749
32.500000 94.603 -169.4506
33.000000 94.628 -169.7666
33.500000 94.664 -170.2835
34.000000 94.683 -170.9554
34.500000 94.678 -171.6457
35.000000 94.658 -172.2818
35.500000 94.630 -172.8521
36.000000 94.596 -173.3237
36.500000 94.571 -173.6702
37.000000 94.573 -173.9796
37.500000 94.601 -174.4374
38.200001 94.627 -175.4600
38.700001 94.604 -176.2592
39.500000 94.534 -177.2059
40.000000 94.506 -177.6326
40.599998 94.489 -178.1548
41.200001 94.469 -178.6915
41.799999 94.450 -179.1803
42.500000 94.437 -179.7526
43.099998 94.418 179.7172
43.700001 94.386 179.2385
44.400002 94.354 178.7833
45.000000 94.339 178.3596
45.500000 94.323 177.9414
46.200001 94.287 177.3519
46.799999 94.256 176.8943
47.500000 94.231 176.3274
48.200001 94.198 175.7150
48.700001 94.168 175.3337
49.400002 94.140 174.8961
50.000000 94.130 174.4963
50.799999 94.105 173.8872
51.500000 94.064 173.4759
52.200001 94.038 173.1785
53.000000 94.021 172.6798
53.799999 93.967 172.0338
54.500000 93.898 171.5587
55.200001 93.836 171.1191
56.000000 93.767 170.5413
57.000000 93.681 169.8719
58.000000 93.629 169.1825
59.000000 93.559 168.5313
60.000000 93.503 168.4121
60.799999 93.505 168.3900
61.500000 93.500 168.2500
62.200001 93.477 168.0980
63.000000 93.439 167.8474
64.000000 93.363 167.2626
65.000000 93.278 165.9796
66.000000 93.028 163.6741
67.000000 92.552 162.7341
68.000000 92.314 163.6765
69.000000 92.352 164.2321
70.000000 92.502 164.5081
71.000000 92.696 164.2901
72.000000 92.795 163.9925
73.000000 92.832 163.8817
74.000000 92.758 163.8298
75.000000 92.636 164.2826
76.199997 92.545 164.5850
77.500000 92.478 164.4737
78.800003 92.495 163.9142
80.000000 92.525 163.4459
81.199997 92.599 163.6154
82.500000 92.790 163.9193
83.800003 92.878 163.0310
85.000000 92.746 162.4484
86.199997 92.580 162.2074
87.500000 92.395 161.8871
88.500000 92.287 161.7242
90.000000 92.241 161.3948
91.199997 92.244 160.8411
92.500000 92.222 160.3382
93.800003 92.181 160.0420
95.000000 92.131 159.8489
96.199997 92.074 159.6075
97.500000 92.004 159.2543
98.800003 91.929 158.9320
100.000000 91.873 158.7483
101.500000 91.827 158.5370
103.000000 91.772 158.2775
104.400002 91.710 158.1007
106.000000 91.649 157.9024
107.500000 91.601 157.5891
109.000000 91.543 157.2227
110.599998 91.475 156.9169
112.000000 91.414 156.6767
113.800003 91.330 156.4107
115.000000 91.276 156.2635
117.199997 91.183 155.9414
118.000000 91.147 155.8263
120.599998 91.031 155.5357
122.000000 90.970 155.3991
124.099998 90.877 155.2299
125.000000 90.839 155.1686
126.500000 90.776 155.0702
128.000000 90.713 154.9853
131.500000 90.573 154.8366
132.000000 90.554 154.8225
134.000000 90.484 154.7846
136.000000 90.423 154.6966
138.000000 90.358 154.5541
140.000000 90.292 154.4083
143.000000 90.189 154.1887
145.000000 90.116 154.0685
147.500000 90.022 153.9557
150.000000 89.929 153.8587
152.500000 89.837 153.7853
155.000000 89.750 153.7284
157.500000 89.660 153.6775
160.000000 89.570 153.6508
162.500000 89.480 153.6495
165.000000 89.394 153.6697
167.500000 89.309 153.6915
170.000000 89.226 153.7007
172.500000 89.144 153.6981
175.000000 89.062 153.7219
177.500000 88.979 153.7687
180.000000 88.892 153.8207
182.500000 88.804 153.9041
185.000000 88.719 154.0158
187.500000 88.633 154.1188
190.000000 88.542 154.2755
192.500000 88.448 154.5061
195.000000 88.356 154.8113
197.500000 88.274 155.1749
200.000000 88.215 155.5962
203.000000 88.175 156.2488
206.000000 88.164 156.9918
209.000000 88.178 157.3519
212.000000 88.193 157.2139
214.000000 88.191 157.0206
218.000000 88.142 156.7131
220.000000 88.098 156.6210
224.000000 88.002 156.5426
227.000000 87.929 156.5624
230.000000 87.857 156.6153
233.000000 87.787 156.6738
236.000000 87.715 156.7573
240.000000 87.622 156.9379
243.000000 87.556 157.0828
247.000000 87.470 157.2909
250.000000 87.408 157.4487
254.000000 87.327 157.6621
258.000000 87.248 157.8984
262.000000 87.170 158.1584
265.000000 87.110 158.3510
269.000000 87.034 158.6164
272.000000 86.985 158.8236
276.000000 86.923 159.0989
280.000000 86.855 159.3701
285.000000 86.767 159.7134
290.000000 86.683 160.0804
295.000000 86.604 160.4521
300.000000 86.529 160.8062
304.000000 86.472 161.1078
307.000000 86.432 161.3465
311.000000 86.378 161.6766
315.000000 86.322 161.9896
320.000000 86.253 162.3543
325.000000 86.188 162.7358
330.000000 86.124 163.1154
335.000000 86.063 163.5093
340.000000 86.005 163.9112
345.000000 85.946 164.3163
350.000000 85.888 164.7086
355.000000 85.832 165.0975
360.000000 85.780 165.4886
365.000000 85.730 165.8732
370.000000 85.679 166.2772
375.000000 85.630 166.7267
382.000000 85.566 167.3041
387.000000 85.520 167.6983
395.000000 85.448 168.3596
400.000000 85.405 168.7554
406.000000 85.355 169.2127
412.000000 85.308 169.7078
418.000000 85.261 170.2138
425.000000 85.210 170.7868
431.000000 85.170 171.2723
437.000000 85.130 171.7601
444.000000 85.086 172.3212
450.000000 85.049 172.8050
455.000000 85.018 173.2189
462.000000 84.977 173.8016
468.000000 84.944 174.2930
475.000000 84.906 174.8565
482.000000 84.868 175.4176
487.000000 84.843 175.8173
494.000000 84.811 176.3741
500.000000 84.785 176.8638
508.000000 84.750 177.5166
515.000000 84.720 178.0776
522.000000 84.691 178.6607
530.000000 84.661 179.3143
538.000000 84.635 179.9571
545.000000 84.612 -179.4709
552.000000 84.590 -178.8982
560.000000 84.564 -178.2565
570.000000 84.535 -177.4592
580.000000 84.511 -176.6701
590.000000 84.489 -175.8683
600.000000 84.467 -175.0604
608.000000 84.450 -174.4049
615.000000 84.436 -173.8385
622.000000 84.423 -173.2762
630.000000 84.410 -172.6190
640.000000 84.395 -171.7723
650.000000 84.382 -170.8930
660.000000 84.372 -169.9780
670.000000 84.374 -169.0114
680.000000 84.395 -168.0381
690.000000 84.430 -167.1566
700.000000 84.464 -166.4128
710.000000 84.486 -165.7330
720.000000 84.499 -165.0282
730.000000 84.511 -164.2534
740.000000 84.532 -163.4377
750.000000 84.562 -162.6445
762.000000 84.602 -161.7281
775.000000 84.645 -160.7750
788.000000 84.687 -159.8429
800.000000 84.728 -158.9648
812.000000 84.770 -158.0673
825.000000 84.820 -157.1047
838.000000 84.876 -156.1408
850.000000 84.932 -155.2464
862.000000 84.994 -154.3656
875.000000 85.065 -153.4315
885.000000 85.125 -152.7159
900.000000 85.219 -151.6613
912.000000 85.300 -150.8347
925.000000 85.393 -149.9606
938.000000 85.491 -149.1171
950.000000 85.586 -148.3524
962.000000 85.684 -147.6121
975.000000 85.795 -146.8516
988.000000 85.909 -146.1251
1000.000000 86.017 -145.4802
1015.000000 86.157 -144.7247
1030.000000 86.300 -144.0250
1044.000000 86.435 -143.4196
1060.000000 86.592 -142.7818
1075.000000 86.742 -142.2349
1090.000000 86.892 -141.7347
1106.000000 87.051 -141.2546
1120.000000 87.190 -140.8811
1138.000000 87.367 -140.4613
1150.000000 87.484 -140.2148
1172.000000 87.694 -139.8265
1180.000000 87.769 -139.7026
1206.000000 88.008 -139.3620
1220.000000 88.134 -139.2104
1241.000000 88.317 -139.0089
1250.000000 88.395 -138.9294
1265.000000 88.524 -138.8039
1280.000000 88.655 -138.6899
1315.000000 88.965 -138.5777
1320.000000 89.008 -138.5845
1340.000000 89.176 -138.6522
1360.000000 89.334 -138.7588
1380.000000 89.484 -138.8807
1400.000000 89.630 -139.0110
1430.000000 89.840 -139.2200
1450.000000 89.976 -139.3761
1475.000000 90.141 -139.5967
1500.000000 90.303 -139.8327
1525.000000 90.461 -140.0868
1550.000000 90.614 -140.3651
1575.000000 90.764 -140.6511
1600.000000 90.910 -140.9440
1625.000000 91.054 -141.2340
1650.000000 91.199 -141.5215
1675.000000 91.348 -141.8119
1700.000000 91.505 -142.1193
1725.000000 91.673 -142.5004
1750.000000 91.845 -143.0212
1775.000000 92.009 -143.6845
1800.000000 92.158 -144.4504
1825.000000 92.292 -145.2780
1850.000000 92.413 -146.1316
1875.000000 92.522 -146.9995
1900.000000 92.621 -147.8791
1925.000000 92.710 -148.7738
1950.000000 92.790 -149.6816
1975.000000 92.861 -150.5991
2000.000000 92.922 -151.5236
2030.000000 92.981 -152.6339
2060.000000 93.024 -153.7325
2090.000000 93.053 -154.7950
2120.000000 93.068 -155.7968
2140.000000 93.073 -156.4172
2180.000000 93.078 -157.5302
2200.000000 93.084 -158.0336
2240.000000 93.115 -159.0344
2270.000000 93.146 -159.8930
2300.000000 93.170 -160.8842
2330.000000 93.173 -161.9636
2360.000000 93.151 -163.0538
2400.000000 93.090 -164.4220
2430.000000 93.026 -165.3539
2470.000000 92.923 -166.4501
2500.000000 92.838 -167.1591
2540.000000 92.718 -167.9633
2580.000000 92.596 -168.6072
2620.000000 92.477 -169.1089
2650.000000 92.392 -169.4072
2690.000000 92.286 -169.7221
2720.000000 92.211 -169.8960
2760.000000 92.119 -170.0400
2800.000000 92.045 -170.0960
2850.000000 91.981 -170.1410
2900.000000 91.944 -170.2780
2950.000000 91.916 -170.5525
3000.000000 91.884 -170.9470
3040.000000 91.851 -171.3105
3070.000000 91.822 -171.5835
3110.000000 91.780 -171.9262
3150.000000 91.736 -172.2387
3200.000000 91.684 -172.6042
3250.000000 91.639 -172.9692
3300.000000 91.604 -173.3708
3350.000000 91.576 -173.8502
3400.000000 91.551 -174.4590
3450.000000 91.520 -175.2228
3500.000000 91.473 -176.1705
3550.000000 91.392 -177.3118
3600.000000 91.249 -178.5898
3650.000000 91.005 -179.6657
3700.000000 90.699 -179.7705
3750.000000 90.517 -178.8908
3820.000000 90.474 -178.6106
3870.000000 90.413 -179.0485
3950.000000 90.240 -179.5895
4000.000000 90.142 -179.7765
4060.000000 90.047 179.8986
4120.000000 89.956 179.3590
4180.000000 89.848 178.6060
4250.000000 89.680 177.5692
4310.000000 89.498 176.6551
4370.000000 89.281 175.7919
4440.000000 88.990 174.9095
4500.000000 88.716 174.2899
4550.000000 88.472 173.8886
4620.000000 88.112 173.5206
4680.000000 87.793 173.3923
4750.000000 87.411 173.4510
4820.000000 87.024 173.7223
4870.000000 86.747 174.0491
4940.000000 86.357 174.6867
5000.000000 86.026 175.4019
5080.000000 85.591 176.6187
5150.000000 85.223 177.9301
5220.000000 84.872 179.4494
5300.000000 84.501 -178.6009
5380.000000 84.162 -176.4826
5450.000000 83.890 -174.5292
5520.000000 83.642 -172.4884
5600.000000 83.385 -170.0534
5700.000000 83.106 -166.8763
