* Measurement data measured by REW V5.30.5
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -37.0 dBFS with no timing reference
* Dated: 06/03/2024 12:07:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: XSL X-One MK II R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 93.132 -154.0662
20.299999 93.239 -154.4907
20.600000 93.363 -155.3679
20.900000 93.442 -156.5547
21.200001 93.453 -157.6970
21.400000 93.434 -158.2587
21.799999 93.412 -158.7365
22.000000 93.445 -158.7270
22.400000 93.635 -158.8158
22.700001 93.839 -159.4345
23.000000 94.015 -160.6453
23.299999 94.102 -162.2177
23.600000 94.072 -163.7329
24.000000 93.900 -164.9306
24.299999 93.763 -164.9518
24.700001 93.711 -164.1839
25.000000 93.799 -163.6620
25.400000 93.997 -163.8430
25.799999 94.124 -165.0760
26.200001 94.075 -166.6633
26.500000 93.929 -167.5477
26.900000 93.677 -167.8720
27.200001 93.515 -167.4918
27.600000 93.402 -166.5989
28.000000 93.394 -165.8393
28.500000 93.441 -165.4610
29.000000 93.492 -165.5453
29.500000 93.560 -165.9722
30.000000 93.637 -166.9276
30.400000 93.661 -168.0962
30.700001 93.635 -169.0780
31.100000 93.539 -170.2537
31.500000 93.403 -170.9971
32.000000 93.274 -171.2064
32.500000 93.279 -171.1129
33.000000 93.401 -171.5462
33.500000 93.515 -172.8505
34.000000 93.508 -174.5665
34.500000 93.372 -175.8588
35.000000 93.215 -176.2289
35.500000 93.159 -175.9946
36.000000 93.215 -175.9315
36.500000 93.292 -176.4240
37.000000 93.316 -177.2297
37.500000 93.289 -177.9501
38.200001 93.242 -178.6273
38.700001 93.219 -179.0141
39.500000 93.189 -179.5498
40.000000 93.184 -179.8442
40.599998 93.186 179.7596
41.200001 93.183 179.3600
41.799999 93.186 179.0463
42.500000 93.219 178.5980
43.099998 93.239 177.9523
43.700001 93.207 177.2456
44.400002 93.125 176.7691
45.000000 93.078 176.6763
45.500000 93.073 176.6033
46.200001 93.088 176.2314
46.799999 93.082 175.7120
47.500000 93.048 175.1257
48.200001 93.017 174.6182
48.700001 93.000 174.2301
49.400002 92.967 173.6528
50.000000 92.930 173.2182
50.799999 92.888 172.7416
51.500000 92.857 172.3373
52.200001 92.821 171.9590
53.000000 92.780 171.5920
53.799999 92.742 171.2574
54.500000 92.710 170.9698
55.200001 92.679 170.6636
56.000000 92.645 170.2707
57.000000 92.597 169.6849
58.000000 92.524 169.0908
59.000000 92.454 168.7572
60.000000 92.430 168.4219
60.799999 92.410 167.9932
61.500000 92.379 167.6149
62.200001 92.341 167.3062
63.000000 92.300 167.0079
64.000000 92.244 166.6660
65.000000 92.192 166.4050
66.000000 92.144 166.0615
67.000000 92.079 165.8278
68.000000 92.066 165.5729
69.000000 92.024 164.7791
70.000000 91.900 164.3949
71.000000 91.851 164.4392
72.000000 91.841 164.1042
73.000000 91.801 163.7061
74.000000 91.762 163.4205
75.000000 91.730 163.1486
76.199997 91.685 162.7438
77.500000 91.612 162.3887
78.800003 91.547 162.0708
80.000000 91.476 161.7168
81.199997 91.403 161.4661
82.500000 91.336 161.1652
83.800003 91.266 160.9447
85.000000 91.221 160.7769
86.199997 91.173 160.5279
87.500000 91.114 160.3025
88.500000 91.070 160.1293
90.000000 91.000 159.8426
91.199997 90.942 159.6073
92.500000 90.878 159.3761
93.800003 90.818 159.1617
95.000000 90.764 158.9660
96.199997 90.710 158.7842
97.500000 90.651 158.5971
98.800003 90.592 158.4086
100.000000 90.535 158.2382
101.500000 90.464 158.0604
103.000000 90.400 157.8976
104.400002 90.344 157.7234
106.000000 90.275 157.5273
107.500000 90.209 157.3671
109.000000 90.138 157.2092
110.599998 90.061 157.1000
112.000000 90.002 157.0097
113.800003 89.927 156.8149
115.000000 89.872 156.7064
117.199997 89.773 156.5829
118.000000 89.737 156.5428
120.599998 89.614 156.4243
122.000000 89.545 156.3696
124.099998 89.443 156.2956
125.000000 89.401 156.2668
126.500000 89.332 156.2213
128.000000 89.256 156.1997
131.500000 89.042 156.4586
132.000000 89.011 156.5445
134.000000 88.898 156.9743
136.000000 88.812 157.3769
138.000000 88.751 157.9013
140.000000 88.745 158.5025
143.000000 88.809 158.9907
145.000000 88.849 158.8767
147.500000 88.855 158.4791
150.000000 88.820 158.0581
152.500000 88.760 157.7235
155.000000 88.688 157.4659
157.500000 88.611 157.2630
160.000000 88.531 157.1166
162.500000 88.449 157.0203
165.000000 88.369 156.9595
167.500000 88.290 156.9260
170.000000 88.214 156.9392
172.500000 88.139 156.9695
175.000000 88.064 157.0074
177.500000 87.989 157.0456
180.000000 87.916 157.1023
182.500000 87.847 157.1768
185.000000 87.779 157.2639
187.500000 87.710 157.3609
190.000000 87.644 157.4606
192.500000 87.581 157.5646
195.000000 87.517 157.6692
197.500000 87.452 157.7623
200.000000 87.390 157.8565
203.000000 87.320 157.9846
206.000000 87.248 158.1899
209.000000 87.181 158.4281
212.000000 87.118 158.6188
214.000000 87.073 158.7452
218.000000 86.983 159.0148
220.000000 86.942 159.1500
224.000000 86.864 159.4613
227.000000 86.807 159.6839
230.000000 86.751 159.8692
233.000000 86.696 160.0662
236.000000 86.642 160.3116
240.000000 86.574 160.6219
243.000000 86.523 160.8270
247.000000 86.459 161.0964
250.000000 86.411 161.2886
254.000000 86.347 161.5449
258.000000 86.281 161.8222
262.000000 86.212 162.0856
265.000000 86.169 162.2471
269.000000 86.122 162.4832
272.000000 86.079 162.6909
276.000000 86.014 162.9792
280.000000 85.951 163.3237
285.000000 85.875 163.7810
290.000000 85.802 164.1771
295.000000 85.734 164.5689
300.000000 85.669 164.9818
304.000000 85.622 165.3060
307.000000 85.589 165.5371
311.000000 85.541 165.8368
315.000000 85.492 166.1524
320.000000 85.436 166.5687
325.000000 85.380 167.0026
330.000000 85.325 167.4056
335.000000 85.274 167.8025
340.000000 85.225 168.2041
345.000000 85.178 168.6248
350.000000 85.131 169.0428
355.000000 85.084 169.4531
360.000000 85.038 169.8683
365.000000 84.996 170.3157
370.000000 84.958 170.7354
375.000000 84.916 171.1177
382.000000 84.855 171.6833
387.000000 84.817 172.1150
395.000000 84.757 172.8229
400.000000 84.720 173.2386
406.000000 84.676 173.7265
412.000000 84.634 174.2532
418.000000 84.593 174.8037
425.000000 84.556 175.4899
431.000000 84.531 176.0775
437.000000 84.509 176.6380
444.000000 84.493 177.2223
450.000000 84.480 177.6737
455.000000 84.466 178.0325
462.000000 84.437 178.5352
468.000000 84.412 178.9736
475.000000 84.385 179.5026
482.000000 84.358 -179.9645
487.000000 84.339 -179.5836
494.000000 84.312 -179.0300
500.000000 84.290 -178.5529
508.000000 84.263 -177.9313
515.000000 84.243 -177.3895
522.000000 84.222 -176.8381
530.000000 84.198 -176.2005
538.000000 84.180 -175.5827
545.000000 84.164 -175.0340
552.000000 84.147 -174.4727
560.000000 84.128 -173.8445
570.000000 84.110 -173.0550
580.000000 84.094 -172.2650
590.000000 84.080 -171.4751
600.000000 84.065 -170.7020
608.000000 84.055 -170.0677
615.000000 84.047 -169.5162
622.000000 84.040 -168.9676
630.000000 84.034 -168.3409
640.000000 84.028 -167.5451
650.000000 84.022 -166.7428
660.000000 84.013 -165.9156
670.000000 84.005 -165.0702
680.000000 84.000 -164.2012
690.000000 83.995 -163.2848
700.000000 83.995 -162.3063
710.000000 84.006 -161.2444
720.000000 84.036 -160.1264
730.000000 84.090 -159.0245
740.000000 84.168 -158.0114
750.000000 84.264 -157.1792
762.000000 84.373 -156.4630
775.000000 84.454 -155.8539
788.000000 84.506 -155.1970
800.000000 84.546 -154.5019
812.000000 84.586 -153.7312
825.000000 84.635 -152.8600
838.000000 84.690 -151.9588
850.000000 84.746 -151.1054
862.000000 84.807 -150.2598
875.000000 84.879 -149.3624
885.000000 84.938 -148.6705
900.000000 85.034 -147.6329
912.000000 85.115 -146.8289
925.000000 85.209 -145.9830
938.000000 85.308 -145.1597
950.000000 85.403 -144.4187
962.000000 85.501 -143.6957
975.000000 85.611 -142.9441
988.000000 85.725 -142.2276
1000.000000 85.833 -141.5941
1015.000000 85.973 -140.8438
1030.000000 86.116 -140.1388
1044.000000 86.251 -139.5199
1060.000000 86.407 -138.8599
1075.000000 86.553 -138.2885
1090.000000 86.700 -137.7620
1106.000000 86.857 -137.2484
1120.000000 86.994 -136.8420
1138.000000 87.169 -136.3684
1150.000000 87.285 -136.0822
1172.000000 87.495 -135.6130
1180.000000 87.570 -135.4583
1206.000000 87.810 -135.0023
1220.000000 87.936 -134.7737
1241.000000 88.122 -134.4511
1250.000000 88.201 -134.3213
1265.000000 88.332 -134.1069
1280.000000 88.464 -133.8837
1315.000000 88.787 -133.3672
1320.000000 88.836 -133.3063
1340.000000 89.035 -133.1328
1360.000000 89.234 -133.0812
1380.000000 89.425 -133.1234
1400.000000 89.607 -133.2257
1430.000000 89.865 -133.4335
1450.000000 90.032 -133.6006
1475.000000 90.234 -133.8319
1500.000000 90.431 -134.0956
1525.000000 90.623 -134.3938
1550.000000 90.810 -134.7222
1575.000000 90.992 -135.0838
1600.000000 91.168 -135.4665
1625.000000 91.342 -135.8669
1650.000000 91.515 -136.2824
1675.000000 91.687 -136.7240
1700.000000 91.857 -137.2042
1725.000000 92.026 -137.7176
1750.000000 92.196 -138.2693
1775.000000 92.369 -138.8849
1800.000000 92.541 -139.6016
1825.000000 92.705 -140.4295
1850.000000 92.858 -141.3387
1875.000000 92.997 -142.2965
1900.000000 93.123 -143.2871
1925.000000 93.236 -144.3067
1950.000000 93.339 -145.3494
1975.000000 93.432 -146.4093
2000.000000 93.513 -147.4850
2030.000000 93.595 -148.7928
2060.000000 93.660 -150.1064
2090.000000 93.708 -151.4061
2120.000000 93.737 -152.6776
2140.000000 93.747 -153.4979
2180.000000 93.746 -155.0442
2200.000000 93.737 -155.7564
2240.000000 93.712 -157.0335
2270.000000 93.695 -157.8650
2300.000000 93.689 -158.6309
2330.000000 93.698 -159.4178
2360.000000 93.710 -160.3094
2400.000000 93.709 -161.6735
2430.000000 93.682 -162.7478
2470.000000 93.609 -164.0992
2500.000000 93.534 -164.9938
2540.000000 93.420 -165.9949
2580.000000 93.304 -166.7803
2620.000000 93.196 -167.3852
2650.000000 93.124 -167.7658
2690.000000 93.039 -168.2366
2720.000000 92.979 -168.5778
2760.000000 92.900 -169.0014
2800.000000 92.822 -169.3593
2850.000000 92.734 -169.7053
2900.000000 92.662 -169.9770
2950.000000 92.610 -170.2160
3000.000000 92.578 -170.4863
3040.000000 92.562 -170.7776
3070.000000 92.551 -171.0374
3110.000000 92.535 -171.4163
3150.000000 92.518 -171.8096
3200.000000 92.497 -172.3071
3250.000000 92.485 -172.8330
3300.000000 92.482 -173.4341
3350.000000 92.485 -174.1520
3400.000000 92.485 -175.0148
3450.000000 92.475 -176.0193
3500.000000 92.451 -177.1540
3550.000000 92.404 -178.4110
3600.000000 92.328 -179.7571
3650.000000 92.213 178.8758
3700.000000 92.054 177.6011
3750.000000 91.858 176.6097
3820.000000 91.619 175.9657
3870.000000 91.540 175.4730
3950.000000 91.406 173.6428
4000.000000 91.252 172.3315
4060.000000 91.021 170.8764
4120.000000 90.759 169.5617
4180.000000 90.474 168.3625
4250.000000 90.113 167.1071
4310.000000 89.781 166.1658
4370.000000 89.425 165.3716
4440.000000 88.984 164.6664
4500.000000 88.592 164.2819
4550.000000 88.258 164.1263
4620.000000 87.787 164.1632
4680.000000 87.384 164.4147
4750.000000 86.921 164.9290
4820.000000 86.468 165.6600
4870.000000 86.150 166.3136
4940.000000 85.715 167.4007
5000.000000 85.351 168.4739
5080.000000 84.880 170.1094
5150.000000 84.483 171.7412
5220.000000 84.108 173.5470
5300.000000 83.707 175.8071
5380.000000 83.339 178.2371
5450.000000 83.044 -179.5335
5520.000000 82.774 -177.2316
5600.000000 82.494 -174.5110
5700.000000 82.185 -170.9930
5800.000000 81.926 -167.3588
